WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,RelativeHumidity,LandVisibility,Rainfall24Hr,DewPoint,MeanSeaLevelPressure,WindSpeed,StationPressure,VaporPressure,WindDirection,AirTemperature
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,10-11-2019,10:00:00,70,7.00,0.30,24.3,1012.73,0.0,1002.12,30.46,000,30.5
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,10-11-2019,10:00:00,78,8.00,0.00,25.1,1011.22,5.6,1009.30,31.93,090,29.4
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,10-11-2019,10:00:00,56,10.00,0.00,22.1,1012.19,5.6,991.57,26.64,010,32.1
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,10-11-2019,10:00:00,69,10.00,0.00,24.6,1012.13,0.0,994.60,30.98,000,30.9
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,10-11-2019,10:00:00,69,10.00,0.00,25.1,1011.76,5.6,995.77,31.93,030,31.5
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,10-11-2019,10:00:00,71,10.00,0.60,23.9,1012.62,0.0,998.64,29.63,000,29.8
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,10-11-2019,10:00:00,71,10.00,0.00,23.9,1012.71,0.0,997.93,29.71,000,29.7
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,10-11-2019,10:00:00,83,8.00,2.50,26.1,1012.64,3.7,998.00,33.74,110,29.3
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,10-11-2019,10:00:00,71,10.00,0.00,24.4,1012.05,0.0,1009.05,30.62,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",30.3
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,10-11-2019,10:00:00,78,10.00,0.00,24.6,1012.23,0.0,1004.28,31.01,000,28.8
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,10-11-2019,10:00:00,67,10.00,0.00,23.9,1012.09,5.6,1010.99,29.73,090,30.7
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,10-11-2019,10:00:00,72,8.00,0.00,25.4,1011.09,0.0,996.54,32.34,000,31.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,10-11-2019,10:00:00,77,8.00,19.80,20.4,1010.73,5.6,877.41,23.96,030,24.7
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,10-11-2019,10:00:00,78,10.00,2.90,24.7,1012.23,0.0,1006.36,31.13,000,29.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,10-11-2019,10:00:00,66,8.00,0.00,24.9,1011.99,5.6,1011.19,31.52,080,32.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,10-11-2019,10:00:00,67,10.00,0.00,23.8,1012.17,0.0,1011.72,29.53,000,30.6
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,10-11-2019,10:00:00,74,10.00,6.30,24.9,1012.36,0.0,1001.12,31.56,000,30.2
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,10-11-2019,10:00:00,73,8.00,28.80,25.0,1012.30,0.0,1011.29,31.68,000,30.4
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,10-11-2019,10:00:00,66,7.00,0.00,23.7,1012.34,5.6,1010.53,29.28,330,30.9
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,10-11-2019,10:00:00,77,9.00,9.40,25.1,1012.05,0.0,1011.29,31.85,000,29.5
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,10-11-2019,10:00:00,67,10.00,12.60,23.7,1012.04,5.6,1011.34,29.33,090,30.5
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,10-11-2019,10:00:00,70,10.00,0.00,25.4,1011.97,0.0,1011.28,32.52,000,31.5
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,10-11-2019,10:00:00,70,10.00,45.90,24.1,1012.27,3.7,991.23,30.06,010,30.3
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,10-11-2019,10:00:00,72,10.00,0.01,24.4,1012.44,0.0,995.81,30.50,000,30.1
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,10-11-2019,10:00:00,72,10.00,0.60,24.8,1012.53,3.7,996.20,31.31,090,30.5
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,10-11-2019,10:00:00,75,10.00,14.00,24.5,1012.32,0.0,990.53,30.72,000,29.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,10-11-2019,10:00:00,73,9.00,1.00,23.5,1012.09,7.4,968.91,29.00,030,28.9
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,10-11-2019,10:00:00,71,10.00,0.00,24.7,1011.82,3.7,991.41,31.15,330,30.7
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,10-11-2019,10:00:00,82,10.00,0.00,26.3,1014.20,3.7,993.42,34.29,330,29.7
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,10-11-2019,10:00:00,75,9.00,1.20,25.6,1011.88,0.0,1011.45,32.75,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",30.5
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,10-11-2019,10:00:00,75,11.00,0.00,25.6,1011.62,0.0,1010.21,32.75,000,30.5
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,10-11-2019,10:00:00,75,12.00,0.00,25.6,1012.18,0.0,1007.28,32.75,000,30.5
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,10-11-2019,10:00:00,69,10.00,5.40,24.2,1012.11,5.6,1008.84,30.18,160,30.5
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,10-11-2019,10:00:00,75,10.00,0.00,26.1,1012.52,0.0,1011.42,33.81,000,31.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,10-11-2019,10:00:00,63,10.00,10.40,23.6,1011.96,3.7,1011.66,29.15,050,31.4
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,10-11-2019,10:00:00,65,10.00,55.20,22.7,1012.43,0.0,1011.74,27.55,000,30.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,10-11-2019,10:00:00,81,10.00,52.00,26.0,1011.77,0.0,1011.29,33.58,000,29.5
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,10-11-2019,10:00:00,59,10.00,0.00,22.8,1012.28,3.7,1010.88,27.82,210,32.0
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,10-11-2019,10:00:00,75,7.00,2.30,23.9,1012.01,0.0,1010.33,29.63,000,28.8
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,10-11-2019,10:00:00,75,12.00,0.00,25.0,1014.71,0.0,1006.72,31.72,000,30.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,10-11-2019,10:00:00,80,8.00,5.80,26.2,1012.18,5.6,1011.90,34.05,290,30.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,10-11-2019,10:00:00,72,12.00,0.00,24.8,1012.06,0.0,1008.94,31.31,000,30.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,10-11-2019,10:00:00,74,10.00,0.00,24.9,1012.37,0.0,1005.47,31.44,000,30.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,10-11-2019,10:00:00,68,10.00,0.01,24.4,1012.31,3.7,1006.76,30.61,280,31.0
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,10-11-2019,10:00:00,75,8.00,0.00,25.0,1013.06,0.0,1003.79,31.72,000,30.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.01,10-11-2019,10:00:00,75,14.00,1.10,25.0,1012.74,0.0,1011.48,31.72,000,30.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,10-11-2019,10:00:00,72,11.00,0.00,25.1,1012.21,5.6,1011.78,31.93,060,30.8
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,10-11-2019,10:00:00,71,6.00,0.00,24.3,1012.40,9.3,1000.20,30.31,040,30.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,10-11-2019,10:00:00,73,10.00,0.00,25.5,1012.07,11.1,1011.36,32.72,050,30.9
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,10-11-2019,10:00:00,71,7.00,6.30,25.4,1012.10,7.4,1009.69,32.47,230,31.2
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,10-11-2019,10:00:00,74,12.00,0.50,25.2,1012.61,9.3,1012.10,32.05,020,30.3
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,10-11-2019,10:00:00,73,10.00,1.50,24.8,1011.92,5.6,1006.80,31.27,200,30.2
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,10-11-2019,10:00:00,72,9.00,0.30,25.4,1012.07,5.6,1011.66,32.34,060,31.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,10-11-2019,10:00:00,85,8.00,3.20,27.2,1011.99,3.7,1009.24,36.14,210,30.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,10-11-2019,10:00:00,60,10.00,0.00,23.3,1012.33,9.3,1011.55,28.66,080,32.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,10-11-2019,10:00:00,72,8.00,16.90,25.4,1011.67,5.6,1011.21,32.34,250,31.0
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,10-11-2019,10:00:00,70,8.00,0.00,24.1,1011.81,5.6,1011.14,29.94,290,30.1
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,10-11-2019,10:00:00,64,9.00,0.00,23.5,1011.84,3.7,1010.32,28.92,030,31.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,10-11-2019,10:00:00,66,10.00,11.70,23.8,1012.29,5.6,1011.39,29.48,040,31.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,10-11-2019,10:00:00,73,10.00,2.20,24.7,1012.42,7.4,1011.74,31.15,120,30.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,10-11-2019,10:00:00,77,10.00,0.01,25.2,1011.10,0.0,1010.31,32.05,000,29.6
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,10-11-2019,10:00:00,69,10.00,0.00,24.9,1011.91,7.4,1011.28,31.51,030,31.3
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,10-11-2019,10:00:00,78,10.00,0.01,25.9,1011.65,0.0,1011.25,33.38,000,30.1
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,10-11-2019,10:00:00,81,7.00,2.40,27.0,1013.23,0.0,1009.05,35.56,000,30.7
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,10-11-2019,10:00:00,65,10.00,0.00,22.7,1012.28,0.0,1010.68,27.55,000,30.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,10-11-2019,10:00:00,84,10.00,1.40,24.6,1012.21,3.7,1008.73,30.89,210,27.6
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,10-11-2019,10:00:00,77,10.00,0.50,25.2,1012.22,1.9,1010.87,31.97,030,29.7
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,10-11-2019,10:00:00,72,12.00,3.80,25.0,1012.09,0.0,1011.21,31.72,000,30.7
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,10-11-2019,10:00:00,75,10.00,5.20,25.1,1012.46,0.0,1008.92,31.80,000,29.9
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,10-11-2019,10:00:00,75,10.00,2.60,25.0,1012.18,0.0,1011.75,31.72,000,30.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,10-11-2019,10:00:00,69,10.00,0.60,24.4,1011.64,0.0,1010.66,30.58,000,30.7
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,10-11-2019,10:00:00,80,10.00,0.00,26.0,1012.35,7.4,1011.53,33.54,100,29.9
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,10-11-2019,10:00:00,73,12.00,1.30,25.1,1012.19,11.1,1010.39,31.88,320,30.5
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,10-11-2019,10:00:00,73,11.00,0.00,24.9,1012.34,5.6,1011.59,31.48,050,30.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,10-11-2019,10:00:00,72,10.00,43.80,24.3,1012.43,3.7,1008.45,30.39,990,29.9
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,10-11-2019,10:00:00,67,10.00,0.00,23.9,1011.79,0.0,1011.11,29.73,000,30.7
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,10-11-2019,10:00:00,68,12.00,25.40,24.4,1011.88,0.0,1010.77,30.53,000,31.1
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,10-11-2019,10:00:00,79,11.00,40.60,25.9,1012.26,3.7,1009.35,33.33,300,29.8
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,10-11-2019,10:00:00,69,11.00,8.10,23.8,1012.11,0.0,1011.42,29.47,000,30.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,10-11-2019,10:00:00,66,10.00,47.20,23.3,1012.19,0.0,1008.10,28.59,000,30.4
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,10-11-2019,10:00:00,64,12.00,0.00,23.6,1011.65,0.0,1011.06,29.12,000,31.1
