WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,Rainfall24Hr,LandVisibility,MeanSeaLevelPressure,DewPoint,StationPressure,WindDirection,WindSpeed,RelativeHumidity,VaporPressure,AirTemperature
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,08-08-2019,13:00:00,0.00,8.00,1002.19,23.8,987.93,200,3.7,54,29.54,34.4
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.01,08-08-2019,13:00:00,0.20,.10,1005.90,20.5,871.61,280,7.4,98,24.08,20.8
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,08-08-2019,13:00:00,0.00,10.00,1004.09,25.3,998.32,000,0.0,67,32.23,32.2
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,08-08-2019,13:00:00,2.40,9.00,1005.18,24.2,1004.39,300,9.3,62,30.24,32.5
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,08-08-2019,13:00:00,0.90,10.00,1005.13,24.1,1004.69,230,13.0,63,30.08,32.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,2.90,08-08-2019,13:00:00,22.90,4.00,1007.00,24.9,995.70,000,0.0,90,31.55,26.8
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,08-08-2019,13:00:00,0.70,12.00,1005.09,24.4,1004.09,270,3.7,67,30.57,31.4
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,08-08-2019,13:00:00,2.40,9.00,1004.78,24.7,1002.99,240,5.6,65,31.15,32.1
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,08-08-2019,13:00:00,0.40,9.00,1005.01,23.0,1004.26,230,3.7,63,28.09,31.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,08-08-2019,13:00:00,1.00,10.00,1005.28,23.1,1004.59,280,22.2,63,28.17,30.9
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,08-08-2019,13:00:00,0.50,7.00,1004.58,24.1,1003.89,240,9.3,63,30.08,32.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,08-08-2019,13:00:00,0.00,12.00,1003.16,21.9,982.60,300,11.1,48,26.32,34.5
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,08-08-2019,13:00:00,0.00,12.00,1002.88,22.7,986.56,260,5.6,55,27.56,33.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,08-08-2019,13:00:00,0.00,10.00,1003.51,22.3,987.44,230,3.7,55,26.86,32.5
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,08-08-2019,13:00:00,0.00,10.00,1003.18,22.9,981.86,260,7.4,54,27.87,33.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,08-08-2019,13:00:00,0.20,14.00,1004.04,23.1,961.48,220,25.9,63,28.17,30.9
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,08-08-2019,13:00:00,0.01,10.00,1002.97,21.8,982.94,250,11.1,50,26.15,33.7
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,08-08-2019,13:00:00,0.00,10.00,1004.62,24.6,984.24,250,20.4,62,30.86,32.8
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,08-08-2019,13:00:00,0.50,10.00,1005.90,24.0,1005.47,330,14.8,68,29.89,30.5
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,08-08-2019,13:00:00,0.01,11.00,1005.10,24.8,1003.71,000,0.0,71,31.35,30.8
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,08-08-2019,13:00:00,0.00,10.00,1004.36,24.1,999.52,270,11.1,63,30.08,32.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.20,08-08-2019,13:00:00,3.70,7.00,1005.99,25.2,1002.73,290,9.3,80,31.98,29.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,08-08-2019,13:00:00,1.60,10.00,1005.66,24.2,1004.57,290,7.4,69,30.18,30.5
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,08-08-2019,13:00:00,2.90,10.00,1005.27,23.3,1004.98,300,13.0,62,28.59,31.4
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,08-08-2019,13:00:00,2.70,10.00,1005.11,24.6,1004.44,220,11.1,65,30.86,32.1
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,08-08-2019,13:00:00,2.70,10.00,1005.07,24.0,1004.59,310,9.3,65,29.80,31.3
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,08-08-2019,13:00:00,2.60,10.00,1005.30,24.0,1003.91,260,24.1,66,29.76,31.0
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,08-08-2019,13:00:00,1.60,10.00,1005.83,26.5,1004.18,000,0.0,77,34.71,31.0
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,08-08-2019,13:00:00,0.50,12.00,1006.29,24.0,998.41,230,11.1,65,29.92,31.5
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,08-08-2019,13:00:00,0.00,10.00,1005.26,24.9,1004.98,080,5.6,70,31.47,31.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-08-2019,13:00:00,0.00,10.00,1005.63,25.9,1002.55,000,0.0,72,33.40,31.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-08-2019,13:00:00,0.00,12.00,1006.00,24.3,999.15,300,7.4,70,30.46,30.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,08-08-2019,13:00:00,0.40,10.00,1004.35,23.9,998.86,290,16.7,61,29.66,32.5
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,08-08-2019,13:00:00,0.01,12.00,1006.68,24.9,997.56,330,11.1,62,31.41,33.2
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.01,08-08-2019,13:00:00,2.40,14.00,1006.52,24.8,1005.27,320,14.8,77,31.36,29.4
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.60,08-08-2019,13:00:00,1.10,11.00,1005.68,23.2,1005.25,300,14.8,63,28.37,31.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.01,08-08-2019,13:00:00,0.90,8.00,1005.59,24.2,993.44,270,7.4,74,30.13,29.2
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.10,08-08-2019,13:00:00,1.80,10.00,1005.72,24.7,1005.02,270,13.0,69,31.19,31.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.01,08-08-2019,13:00:00,0.10,10.00,1005.90,22.5,1003.51,260,11.1,56,27.30,32.3
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,08-08-2019,13:00:00,0.01,8.00,1006.15,25.6,1005.64,280,13.0,75,32.75,30.5
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.10,08-08-2019,13:00:00,0.30,13.00,1005.77,23.1,1000.66,220,3.7,68,28.23,29.5
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,08-08-2019,13:00:00,0.60,9.00,1005.29,25.9,1004.89,170,9.3,73,33.48,31.4
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,08-08-2019,13:00:00,11.30,8.00,1005.54,25.6,1002.80,240,5.6,75,32.75,30.5
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,08-08-2019,13:00:00,1.10,10.00,1006.74,23.6,1005.96,310,29.6,77,29.11,28.1
48501,TRAD,ตราด,ตราด,11.76667,102.88333,12.90,08-08-2019,13:00:00,51.20,6.00,1006.09,25.5,1005.63,310,5.6,90,32.73,27.4
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1.50,08-08-2019,13:00:00,2.90,7.00,1007.57,25.5,1006.88,340,5.6,91,32.69,27.1
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,4.00,08-08-2019,13:00:00,5.20,8.00,1007.88,25.0,1006.35,270,5.6,91,31.71,26.6
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.30,08-08-2019,13:00:00,0.30,10.00,1008.75,26.0,1007.84,220,3.7,81,33.58,29.5
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-08-2019,13:00:00,0.01,10.00,1007.20,24.7,1006.52,000,0.0,69,31.19,31.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,08-08-2019,13:00:00,0.00,10.00,1007.65,24.3,1006.87,270,11.1,65,30.41,31.6
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-08-2019,13:00:00,0.00,10.00,1006.20,21.4,1005.58,360,3.7,45,25.44,34.9
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-08-2019,13:00:00,0.01,12.00,1006.60,24.4,1006.20,230,7.4,54,30.52,35.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-08-2019,13:00:00,0.01,6.00,1009.10,24.3,1004.93,230,14.8,68,30.41,30.9
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,08-08-2019,13:00:00,0.00,10.00,1007.92,22.7,1006.35,250,9.3,53,27.51,33.4
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,08-08-2019,13:00:00,0.00,8.00,1007.67,25.5,1004.25,330,7.4,69,32.69,32.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,08-08-2019,13:00:00,0.00,10.00,1007.13,20.8,1005.80,300,9.3,49,24.63,32.9
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,08-08-2019,13:00:00,0.00,10.00,1008.21,25.6,1007.33,270,14.8,71,32.81,31.5
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,08-08-2019,13:00:00,0.00,10.00,1007.80,22.6,1004.30,280,14.8,57,27.38,32.2
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,08-08-2019,13:00:00,0.00,10.00,1008.05,24.6,1007.62,280,11.1,62,30.99,33.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,08-08-2019,13:00:00,0.00,10.00,1008.15,25.1,1007.17,280,9.3,67,31.81,32.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,08-08-2019,13:00:00,0.00,10.00,1008.49,26.1,1007.68,260,25.9,76,33.76,30.7
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,08-08-2019,13:00:00,0.00,10.00,1008.10,22.6,1006.32,300,7.4,56,27.33,32.6
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,08-08-2019,13:00:00,0.00,11.00,1007.11,21.7,1006.37,250,20.4,51,25.93,33.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,08-08-2019,13:00:00,0.00,10.00,1007.56,22.4,1003.64,260,20.4,55,27.05,32.6
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,08-08-2019,13:00:00,0.00,10.00,1008.45,23.1,1007.78,260,9.3,58,28.33,32.4
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,08-08-2019,13:00:00,0.00,12.00,1007.89,22.2,1006.80,230,14.8,53,26.72,33.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,08-08-2019,13:00:00,0.00,12.00,1007.58,21.6,1004.73,270,16.7,49,25.79,33.8
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,08-08-2019,13:00:00,0.00,10.00,1006.25,24.2,1005.58,240,5.6,61,30.28,32.8
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,08-08-2019,13:00:00,0.00,10.00,1007.25,21.2,1003.21,270,9.3,49,25.22,33.5
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,08-08-2019,13:00:00,0.00,10.00,1007.17,20.9,1006.59,310,5.6,48,24.67,33.5
