WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,AirTemperature,LandVisibility,StationPressure,VaporPressure,DewPoint,WindDirection,Rainfall,MeanSeaLevelPressure,WindSpeed,RelativeHumidity
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,10-01-2019,01:00:00,22.8,3.00,980.05,26.99,22.3,000,0.00,1010.21,0.0,97
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,10-01-2019,01:00:00,26.7,8.00,1002.32,30.26,24.2,000,0.00,1009.65,0.0,86
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,10-01-2019,01:00:00,27.0,5.00,989.67,29.48,23.8,260,0.00,1009.61,3.7,83
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,10-01-2019,01:00:00,23.8,4.00,981.44,25.09,21.2,000,0.00,1010.46,0.0,85
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,10-01-2019,01:00:00,25.9,7.00,989.87,26.97,22.3,000,0.00,1010.16,0.0,81
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,10-01-2019,01:00:00,22.6,6.00,989.47,24.72,20.9,000,0.00,1011.60,0.0,90
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,10-01-2019,01:00:00,24.5,7.00,990.51,26.59,22.1,000,0.00,1010.21,0.0,87
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,10-01-2019,01:00:00,24.7,8.00,994.06,26.68,22.2,000,0.00,1010.99,0.0,86
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,10-01-2019,01:00:00,22.0,7.00,993.48,24.50,20.8,000,0.00,1011.25,0.0,93
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-01-2019,01:00:00,25.4,8.00,984.28,29.72,23.9,070,0.00,1010.25,3.7,92
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,10-01-2019,01:00:00,27.0,6.00,1003.45,33.91,26.1,290,0.00,1009.24,3.7,95
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,10-01-2019,01:00:00,26.5,5.00,1002.99,33.19,25.8,000,0.00,1009.20,0.0,96
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,10-01-2019,01:00:00,26.7,7.00,994.42,29.19,23.6,000,0.00,1010.93,0.0,83
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.30,10-01-2019,01:00:00,25.5,10.00,987.17,27.81,22.8,000,0.00,1009.65,0.0,85
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,10-01-2019,01:00:00,26.7,5.00,995.93,29.72,23.9,000,0.00,1010.38,0.0,85
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.60,10-01-2019,01:00:00,27.0,7.00,993.56,30.02,24.1,000,0.00,1009.99,0.0,84
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,10-01-2019,01:00:00,26.9,6.00,1004.64,32.30,25.3,000,0.00,1009.89,0.0,91
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,10-01-2019,01:00:00,26.0,10.00,995.77,30.30,24.3,000,0.00,1009.03,0.0,90
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,10-01-2019,01:00:00,26.8,5.00,1000.38,29.64,23.9,000,0.00,1009.73,0.0,84
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,10-01-2019,01:00:00,26.1,7.00,988.92,28.62,23.3,250,0.00,1010.74,5.6,85
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,10-01-2019,01:00:00,27.5,10.00,993.16,28.80,23.4,000,0.00,1010.69,0.0,78
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,10-01-2019,01:00:00,25.5,10.00,993.46,28.59,23.3,000,0.00,1009.41,0.0,88
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,10-01-2019,01:00:00,25.1,6.00,990.50,28.92,23.5,000,0.00,1009.55,0.0,91
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,10-01-2019,01:00:00,23.0,6.00,959.20,25.36,21.3,000,0.00,1011.08,0.0,90
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,10-01-2019,01:00:00,28.2,3.00,1005.64,34.65,26.5,000,0.00,1009.59,0.0,91
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1.20,10-01-2019,01:00:00,21.7,6.00,916.14,24.75,20.9,220,0.00,1011.61,5.6,95
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,10-01-2019,01:00:00,25.5,7.00,994.37,30.44,24.3,000,0.00,1010.49,0.0,93
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,10-01-2019,01:00:00,27.0,4.00,1006.02,32.21,25.3,000,0.00,1010.07,0.0,90
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,10-01-2019,01:00:00,25.7,7.00,1000.35,29.21,23.7,000,0.00,1011.11,0.0,89
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,10-01-2019,01:00:00,27.6,7.00,1008.21,32.56,25.5,000,0.00,1010.14,0.0,88
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,10-01-2019,01:00:00,27.2,7.00,989.68,27.98,22.9,000,0.00,1010.59,0.0,78
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,10-01-2019,01:00:00,25.4,6.00,992.24,29.19,23.6,000,0.00,1010.05,0.0,90
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,10-01-2019,01:00:00,26.6,10.00,993.81,30.34,24.3,000,0.00,1010.04,0.0,87
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,10-01-2019,01:00:00,25.7,7.00,996.39,28.42,23.2,000,0.00,1010.53,0.0,86
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,10-01-2019,01:00:00,24.0,7.00,996.03,27.76,22.8,000,0.00,1011.06,0.0,93
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,10-01-2019,01:00:00,25.9,1.50,996.29,33.12,25.7,000,0.00,1011.08,0.0,99
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,10-01-2019,01:00:00,27.7,5.00,1006.95,29.71,23.9,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,1009.97,0.0,80
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,10-01-2019,01:00:00,27.2,7.00,1001.97,30.39,24.3,000,0.00,1009.94,0.0,84
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,10-01-2019,01:00:00,28.6,6.00,1009.39,33.16,25.8,130,0.00,1010.49,3.7,85
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,10-01-2019,01:00:00,25.8,8.00,995.54,31.00,24.6,000,0.00,1010.34,0.0,93
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,10-01-2019,01:00:00,20.1,4.00,876.98,22.83,19.6,180,0.00,1012.44,7.4,97
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,10-01-2019,01:00:00,26.4,8.00,1004.45,31.88,25.1,000,0.00,1010.36,0.0,93
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,10-01-2019,01:00:00,28.0,5.00,1009.41,29.19,23.6,000,0.00,1010.21,0.0,77
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,10-01-2019,01:00:00,29.0,6.00,1010.05,30.57,24.4,210,0.00,1010.49,5.6,76
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1.20,10-01-2019,01:00:00,25.6,4.00,1000.29,30.63,24.4,000,0.00,1011.69,0.0,93
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,10-01-2019,01:00:00,29.2,7.00,1009.23,31.25,24.8,210,0.00,1010.24,3.7,77
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,10-01-2019,01:00:00,28.3,6.00,1008.11,33.12,25.8,000,0.00,1009.93,0.0,86
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,10-01-2019,01:00:00,27.7,8.00,1009.15,29.44,23.8,000,0.00,1009.92,0.0,79
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,10-01-2019,01:00:00,28.6,8.00,1009.95,31.74,25.0,200,0.00,1010.66,13.0,81
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,3.20,10-01-2019,01:00:00,28.0,7.00,1009.85,32.23,25.3,000,0.00,1010.56,0.0,85
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,10-01-2019,01:00:00,27.5,7.00,989.28,28.26,23.1,000,0.00,1010.46,0.0,77
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,10-01-2019,01:00:00,25.6,7.00,993.59,29.56,23.8,000,0.00,1010.44,0.0,90
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,10-01-2019,01:00:00,24.2,7.00,994.80,28.36,23.2,000,0.00,1011.45,0.0,94
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,10-01-2019,01:00:00,26.2,6.00,988.33,28.01,23.0,000,0.00,1010.31,0.0,82
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,10-01-2019,01:00:00,24.1,8.00,967.35,27.17,22.5,000,0.00,1011.18,0.0,91
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,10-01-2019,01:00:00,25.2,6.00,989.92,29.89,24.0,000,0.00,1010.67,0.0,93
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,10-01-2019,01:00:00,23.5,6.00,990.91,27.66,22.8,220,0.00,1012.07,5.6,96
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,10-01-2019,01:00:00,29.1,8.00,1010.08,32.75,25.6,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,1010.52,0.0,81
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,10-01-2019,01:00:00,27.0,6.00,1009.34,31.66,25.0,000,0.00,1010.76,0.0,89
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,10-01-2019,01:00:00,27.0,7.00,1005.94,33.34,25.9,000,0.00,1010.89,0.0,94
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,10-01-2019,01:00:00,26.7,6.00,1007.19,27.60,22.7,320,0.00,1010.50,5.6,79
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,10-01-2019,01:00:00,27.2,10.00,1009.40,33.46,25.9,000,0.00,1010.51,0.0,93
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.70,10-01-2019,01:00:00,29.6,10.00,1010.27,34.08,26.2,000,0.00,1010.56,0.0,82
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,3.70,10-01-2019,01:00:00,28.0,7.00,1009.56,34.23,26.3,000,2.10,1010.05,0.0,91
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,13.80,10-01-2019,01:00:00,28.5,10.00,1009.17,34.11,26.2,210,0.00,1010.58,13.0,88
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,10-01-2019,01:00:00,26.7,10.00,1004.55,32.46,25.4,000,0.00,1012.60,0.0,93
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,10-01-2019,01:00:00,28.7,4.00,1010.04,32.79,25.6,180,0.00,1010.32,9.3,83
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,10-01-2019,01:00:00,28.7,10.00,1007.68,31.38,24.8,000,0.00,1010.81,0.0,80
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,10-01-2019,01:00:00,28.1,8.00,1003.87,31.03,24.7,000,0.00,1010.82,0.0,82
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,10-01-2019,01:00:00,27.3,7.00,1005.69,31.97,25.2,000,0.00,1011.31,0.0,88
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,10-01-2019,01:00:00,27.0,4.00,1009.77,32.77,25.6,000,0.00,1011.03,0.0,92
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,10-01-2019,01:00:00,28.0,11.00,1009.96,30.56,24.4,250,0.00,1010.39,7.4,81
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,10-01-2019,01:00:00,25.4,8.00,998.75,28.93,23.5,000,0.00,1011.13,0.0,89
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,10-01-2019,01:00:00,27.8,6.00,1010.15,29.63,23.9,240,0.00,1010.87,5.6,79
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,10-01-2019,01:00:00,27.1,5.00,1009.28,31.58,24.9,190,0.00,1011.73,5.6,88
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,10-01-2019,01:00:00,29.2,7.00,1010.58,33.83,26.1,220,0.00,1011.10,7.4,83
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.10,10-01-2019,01:00:00,28.2,5.00,1005.66,31.79,25.1,000,0.00,1010.82,0.0,83
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1.60,10-01-2019,01:00:00,26.0,7.00,1010.94,31.11,24.7,000,0.01,1011.35,0.0,93
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,4.30,10-01-2019,01:00:00,25.7,8.00,1008.63,31.63,25.0,000,0.00,1011.42,0.0,96
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,10-01-2019,01:00:00,26.4,6.00,1010.77,29.17,23.6,270,0.00,1011.56,61.1,85
48501,TRAD,ตราด,ตราด,11.76667,102.88333,15.50,10-01-2019,01:00:00,25.7,6.00,1010.71,31.08,24.7,120,0.00,1011.17,3.7,94
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,10-01-2019,01:00:00,25.8,8.00,1010.37,30.73,24.5,270,0.00,1011.06,3.7,93
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,10-01-2019,01:00:00,25.0,7.00,1009.51,29.00,23.5,000,0.00,1011.06,0.0,92
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,3.60,10-01-2019,01:00:00,25.1,10.00,1010.65,29.97,24.1,090,0.00,1011.58,1.9,94
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,10-01-2019,01:00:00,28.8,10.00,1010.77,32.42,25.4,100,0.00,1011.46,9.3,82
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,10-01-2019,01:00:00,23.6,8.00,1011.14,27.58,22.7,000,0.00,1011.94,0.0,95
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,10-01-2019,01:00:00,24.8,10.00,1010.58,29.16,23.6,000,0.00,1011.22,0.0,93
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,10-01-2019,01:00:00,24.7,8.00,1011.06,29.25,23.7,000,0.00,1011.47,0.0,94
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1.20,10-01-2019,01:00:00,23.8,5.00,1009.08,28.69,23.4,000,0.00,1013.36,0.0,97
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,27.40,10-01-2019,01:00:00,23.1,6.00,1009.63,27.49,22.6,000,0.00,1011.27,0.0,97
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,53.40,10-01-2019,01:00:00,23.0,7.00,1007.61,27.07,22.4,000,0.00,1011.14,0.0,96
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,10-01-2019,01:00:00,24.0,8.00,1009.07,29.04,23.6,000,0.00,1010.45,0.0,97
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,10-01-2019,01:00:00,26.0,10.00,1010.46,30.84,24.6,000,0.00,1011.36,0.0,92
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1.20,10-01-2019,01:00:00,23.5,10.00,1008.07,28.17,23.0,000,0.00,1011.69,0.0,97
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,10-01-2019,01:00:00,27.0,10.00,1010.50,28.67,23.3,000,0.00,1010.94,0.0,80
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,10-01-2019,01:00:00,25.7,9.00,1010.02,31.36,24.8,000,0.00,1011.02,0.0,95
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.40,10-01-2019,01:00:00,25.4,10.00,1009.83,29.99,24.1,000,0.00,1010.65,0.0,92
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,92.90,10-01-2019,01:00:00,23.9,10.00,1009.86,28.61,23.3,000,0.00,1011.70,0.0,97
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,10-01-2019,01:00:00,25.5,10.00,1010.69,28.59,23.3,240,0.00,1011.45,7.4,88
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,35.80,10-01-2019,01:00:00,23.5,10.00,1007.81,28.42,23.2,000,0.00,1011.88,0.0,98
48570,SATUN,สตูล,สตูล,6.65000,100.08333,37.20,10-01-2019,01:00:00,24.5,10.00,1011.27,28.89,23.5,000,0.00,1011.96,0.0,94
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,11.00,10-01-2019,01:00:00,24.5,10.00,1010.41,29.93,24.1,000,0.00,1011.54,0.0,97
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,6.10,10-01-2019,01:00:00,24.0,10.00,1008.93,29.30,23.7,000,0.00,1011.90,0.0,98
