WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,VaporPressure,LandVisibility,AirTemperature,StationPressure,MaximumTemperature,DewPoint,WindSpeed,Rainfall24Hr,Rainfall,WindDirection,RelativeHumidity
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1005.97,09-01-2019,19:00:00,30.31,8.00,28.3,1004.86,34.2,24.3,7.4,0.00,0.00,210,79
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1005.17,09-01-2019,19:00:00,34.40,5.00,28.5,990.59,33.2,26.4,0.0,3.80,3.80,000,88
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1007.89,09-01-2019,19:00:00,22.65,.05,19.5,872.79,21.6,19.5,13.0,45.20,12.20,290,100
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1005.89,09-01-2019,19:00:00,28.06,8.00,28.4,1000.05,33.7,23.0,7.4,0.80,0.80,260,73
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1005.79,09-01-2019,19:00:00,32.55,8.00,28.3,1005.00,35.3,25.5,3.7,0.10,0.00,230,85
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1005.78,09-01-2019,19:00:00,30.70,10.00,28.5,1005.34,31.2,24.5,7.4,1.00,0.00,230,79
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1007.05,09-01-2019,19:00:00,29.66,5.00,25.8,995.71,31.3,23.9,0.0,26.10,3.10,000,89
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1005.91,09-01-2019,19:00:00,32.93,10.00,27.5,1004.90,35.4,25.7,0.0,4.00,4.00,000,90
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1006.00,09-01-2019,19:00:00,31.52,7.00,27.5,1004.18,34.2,24.9,0.0,0.40,0.40,000,86
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1005.64,09-01-2019,19:00:00,27.89,7.00,28.6,1004.88,34.5,22.9,0.0,0.01,0.01,000,71
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1006.14,09-01-2019,19:00:00,31.93,9.00,26.0,1005.43,31.9,25.1,5.6,12.20,10.60,150,95
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1006.38,09-01-2019,19:00:00,30.02,7.00,27.0,1005.67,33.2,24.1,0.0,1.60,0.01,000,84
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1004.75,09-01-2019,19:00:00,31.07,10.00,30.1,983.86,34.0,24.7,5.6,0.01,0.00,240,73
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1004.32,09-01-2019,19:00:00,33.08,9.00,30.1,987.82,32.9,25.7,0.0,0.10,0.00,000,78
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1005.57,09-01-2019,19:00:00,32.87,8.00,29.3,989.29,33.5,25.6,3.7,0.10,0.00,180,81
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1004.87,09-01-2019,19:00:00,30.01,10.00,29.0,983.21,33.6,24.1,0.0,0.80,0.00,000,75
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1006.78,09-01-2019,19:00:00,27.86,2.00,24.5,963.20,30.9,22.9,11.1,7.60,7.60,210,91
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1004.59,09-01-2019,19:00:00,29.08,10.00,29.8,984.27,33.7,23.6,7.4,2.00,0.00,220,69
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1006.09,09-01-2019,19:00:00,33.05,9.00,27.7,985.35,32.6,25.7,9.3,0.00,0.00,240,89
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1006.15,09-01-2019,19:00:00,28.91,10.00,29.0,1005.72,32.7,23.5,9.3,0.20,0.00,230,72
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1006.01,09-01-2019,19:00:00,30.51,6.00,28.4,1004.60,32.8,24.4,5.6,3.10,0.00,330,79
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1006.33,09-01-2019,19:00:00,32.64,7.00,27.5,1001.41,31.5,25.5,0.0,2.50,0.10,000,89
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1006.07,09-01-2019,19:00:00,28.37,12.00,29.0,1002.80,32.1,23.2,5.6,0.10,0.00,270,71
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1006.05,09-01-2019,19:00:00,34.81,10.00,28.0,1004.95,33.7,26.6,0.0,2.30,0.01,000,92
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1006.11,09-01-2019,19:00:00,32.43,8.00,28.1,1005.81,32.3,25.4,5.6,2.20,2.20,190,85
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1005.98,09-01-2019,19:00:00,30.84,8.00,26.0,1005.29,31.8,24.6,0.0,10.50,10.50,000,92
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1006.47,09-01-2019,19:00:00,32.61,10.00,27.2,1005.98,33.5,25.5,5.6,11.50,11.50,240,90
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1005.78,09-01-2019,19:00:00,32.97,10.00,27.1,1004.37,32.5,25.7,7.4,7.60,0.01,190,92
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1005.93,09-01-2019,19:00:00,35.81,10.00,29.3,1004.26,29.6,27.1,22.2,0.40,0.00,230,88
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1007.56,09-01-2019,19:00:00,30.15,10.00,28.5,999.59,34.2,24.2,5.6,2.40,0.00,230,78
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1006.14,09-01-2019,19:00:00,30.88,10.00,29.3,1005.86,32.7,24.6,0.0,5.10,0.00,000,76
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1006.31,09-01-2019,19:00:00,29.74,10.00,29.0,1003.20,31.7,23.9,5.6,0.00,0.00,250,74
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1006.37,09-01-2019,19:00:00,28.18,10.00,28.9,999.48,30.4,23.1,9.3,2.00,0.00,220,71
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1005.99,09-01-2019,19:00:00,31.54,10.00,28.5,1000.42,33.7,24.9,0.0,0.50,0.50,000,81
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1007.27,09-01-2019,19:00:00,30.31,10.00,28.3,998.00,31.3,24.3,13.0,0.00,0.00,270,79
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1007.19,09-01-2019,19:00:00,30.01,10.00,28.0,1005.94,32.7,24.1,3.7,1.90,0.00,270,79
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1006.39,09-01-2019,19:00:00,29.03,11.00,28.2,1005.96,31.8,23.5,0.0,4.60,0.00,000,76
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1007.02,09-01-2019,19:00:00,29.78,10.00,26.3,994.73,31.0,24.0,0.0,2.00,0.00,000,87
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1006.35,09-01-2019,19:00:00,29.06,10.00,27.5,1005.64,31.6,23.6,0.0,6.30,0.00,000,79
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1006.67,09-01-2019,19:00:00,30.15,10.00,28.5,1004.25,31.7,24.2,3.7,9.20,0.00,200,78
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1007.38,09-01-2019,19:00:00,30.98,10.00,28.5,1006.86,31.0,24.6,13.0,0.01,0.00,260,80
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1006.59,09-01-2019,19:00:00,30.01,9.00,28.0,1001.46,31.6,24.1,5.6,8.40,0.00,230,79
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1006.89,09-01-2019,19:00:00,31.77,7.00,27.2,1006.47,31.0,25.1,0.0,12.00,0.20,000,88
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1007.43,09-01-2019,19:00:00,32.63,8.00,26.5,1004.66,30.2,25.5,0.0,17.40,6.00,000,94
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1007.09,09-01-2019,19:00:00,30.43,10.00,26.5,1006.31,29.0,24.3,0.0,2.30,0.00,000,88
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.32,09-01-2019,19:00:00,31.55,7.00,26.8,1006.86,31.6,24.9,9.3,42.10,7.70,230,90
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1007.55,09-01-2019,19:00:00,26.69,8.00,25.3,1006.86,27.7,22.2,7.4,7.70,0.00,300,83
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1007.74,09-01-2019,19:00:00,25.52,8.00,25.5,1006.20,28.7,21.4,0.0,12.20,0.00,000,78
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.52,09-01-2019,19:00:00,28.89,10.00,24.5,1007.60,26.5,23.5,0.0,94.10,0.00,000,94
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1007.14,09-01-2019,19:00:00,27.75,10.00,27.8,1006.46,30.7,22.8,5.6,0.30,0.00,240,74
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1007.68,09-01-2019,19:00:00,31.79,8.00,26.5,1006.88,29.5,25.1,0.0,4.30,0.00,000,92
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.80,09-01-2019,19:00:00,26.70,10.00,27.8,1007.17,31.4,22.2,0.0,9.90,0.00,000,71
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.20,09-01-2019,19:00:00,28.28,10.00,27.8,1007.79,31.1,23.1,0.0,9.30,0.00,000,76
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1010.30,09-01-2019,19:00:00,29.48,5.00,27.0,1006.08,30.2,23.8,0.0,0.20,0.00,000,83
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.36,09-01-2019,19:00:00,29.82,8.00,25.6,1006.74,32.0,24.0,0.0,12.60,0.00,000,91
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1008.81,09-01-2019,19:00:00,31.63,8.00,26.7,1005.32,29.3,25.0,0.0,15.70,0.00,000,90
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1008.56,09-01-2019,19:00:00,26.69,8.00,27.5,1007.20,30.4,22.2,0.0,0.00,0.00,000,73
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1007.92,09-01-2019,19:00:00,30.18,10.00,26.8,1007.03,30.1,24.2,0.0,65.90,0.00,000,86
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1008.72,09-01-2019,19:00:00,27.56,10.00,25.8,1005.14,29.0,22.7,0.0,27.00,0.00,000,83
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.20,09-01-2019,19:00:00,30.10,10.00,26.9,1007.77,30.2,24.1,0.0,59.20,0.00,000,85
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1007.98,09-01-2019,19:00:00,30.76,10.00,26.1,1006.99,30.0,24.5,0.0,74.10,0.00,000,91
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.70,09-01-2019,19:00:00,26.69,10.00,25.3,1007.87,28.7,22.2,0.0,39.20,0.00,000,83
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1008.73,09-01-2019,19:00:00,31.24,10.00,26.5,1006.91,28.7,24.8,0.0,25.20,0.00,000,90
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.76,09-01-2019,19:00:00,28.18,10.00,26.0,1008.00,31.6,23.1,1.9,2.00,0.90,230,84
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1008.55,09-01-2019,19:00:00,29.97,10.00,25.1,1004.52,28.8,24.1,0.0,4.20,0.01,000,94
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.31,09-01-2019,19:00:00,29.91,10.00,25.5,1008.63,27.7,24.0,0.0,74.00,0.00,000,92
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.25,09-01-2019,19:00:00,29.16,10.00,24.8,1007.13,29.9,23.6,0.0,14.40,0.20,000,93
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.38,09-01-2019,19:00:00,31.76,10.00,26.2,1005.45,29.0,25.0,0.0,7.50,0.00,000,93
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1007.90,09-01-2019,19:00:00,29.60,6.00,26.2,1007.21,33.0,23.9,0.0,0.30,0.00,000,87
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1009.00,09-01-2019,19:00:00,26.14,7.00,26.6,1004.87,33.4,21.8,0.0,0.00,0.00,000,75
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1008.75,09-01-2019,19:00:00,26.02,10.00,28.0,1008.16,34.2,21.7,0.0,0.20,0.00,000,69
