WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,AirTemperature,DewPoint,Rainfall,WindDirection,WindSpeed,LandVisibility,MeanSeaLevelPressure,RelativeHumidity,StationPressure,VaporPressure
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,09-24-2019,10:00:00,30.2,22.6,0.00,310,3.7,6.00,1015.46,64,997.02,27.39
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-24-2019,10:00:00,29.3,20.0,0.00,000,0.0,10.00,1016.52,57,993.71,23.41
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-24-2019,10:00:00,28.5,20.1,0.00,000,0.0,12.00,1016.60,61,986.65,23.56
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-24-2019,10:00:00,29.0,22.4,0.00,000,0.0,8.00,1015.61,68,980.14,27.03
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-24-2019,10:00:00,27.3,20.6,0.00,140,5.6,6.00,1016.46,67,986.56,24.30
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-24-2019,10:00:00,30.6,20.7,0.00,000,0.0,9.00,1015.43,56,1008.16,24.40
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-24-2019,10:00:00,30.1,19.2,0.00,060,14.8,7.00,1016.61,52,996.74,22.25
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-24-2019,10:00:00,28.4,19.3,0.00,160,3.7,5.00,1016.77,58,988.01,22.40
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-24-2019,10:00:00,29.3,18.4,0.00,070,3.7,10.00,1016.68,52,996.49,21.17
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-24-2019,10:00:00,29.0,18.0,0.00,000,0.0,7.00,1017.12,52,995.34,20.68
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-24-2019,10:00:00,29.0,18.0,0.00,050,3.7,8.00,1016.38,52,996.85,20.68
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,09-24-2019,10:00:00,31.0,17.7,0.00,090,5.6,10.00,1016.66,45,999.98,20.27
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-24-2019,10:00:00,31.1,19.0,0.00,080,3.7,12.00,1016.65,49,999.32,21.94
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-24-2019,10:00:00,28.6,19.2,0.00,000,0.0,9.00,1016.09,57,990.24,22.24
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-24-2019,10:00:00,30.3,24.4,0.00,160,11.1,10.00,1015.54,71,1009.76,30.62
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-24-2019,10:00:00,30.2,24.2,0.00,000,0.0,10.00,1015.58,70,1009.41,30.14
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-24-2019,10:00:00,30.2,18.8,0.00,020,7.4,12.00,1016.44,50,1000.03,21.67
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,09-24-2019,10:00:00,30.0,20.5,0.00,060,7.4,10.00,1013.04,57,990.81,24.12
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-24-2019,10:00:00,29.5,22.9,0.00,000,0.0,6.00,1016.16,68,1001.77,27.96
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-24-2019,10:00:00,30.1,21.0,0.00,000,0.0,7.00,1015.65,58,999.30,24.81
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-24-2019,10:00:00,30.4,21.7,0.00,060,7.4,10.00,1015.79,60,1010.57,25.88
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-24-2019,10:00:00,29.5,20.4,0.00,030,3.7,12.00,1014.39,58,1001.20,24.01
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-24-2019,10:00:00,28.6,23.2,0.00,060,1.9,8.00,1015.61,73,1006.26,28.43
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-24-2019,10:00:00,29.4,18.7,0.00,050,9.3,8.00,1016.14,53,994.43,21.58
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-24-2019,10:00:00,30.0,21.0,0.00,090,11.1,10.00,1016.67,59,999.18,24.89
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-24-2019,10:00:00,30.2,20.0,0.00,020,13.0,12.00,1015.88,55,1000.07,23.44
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,09-24-2019,10:00:00,29.5,20.6,0.00,000,0.0,10.00,1015.02,59,996.14,24.27
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,09-24-2019,10:00:00,25.8,19.6,0.00,000,0.0,10.00,1014.14,69,962.58,22.82
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,09-24-2019,10:00:00,30.5,25.3,0.00,240,3.7,4.00,1015.43,74,1011.48,32.17
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.01,09-24-2019,10:00:00,23.4,19.2,0.00,040,18.5,8.00,1014.94,77,919.67,22.19
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-24-2019,10:00:00,28.7,27.0,0.00,090,7.4,10.00,1010.59,91,994.64,35.71
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1.00,09-24-2019,10:00:00,27.6,24.3,0.00,000,0.0,6.00,1015.73,82,1011.67,30.34
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.50,09-24-2019,10:00:00,29.5,21.0,0.00,020,9.3,10.00,1016.05,60,1005.37,24.78
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.90,09-24-2019,10:00:00,28.0,23.6,0.00,060,5.6,10.00,1015.84,77,1013.90,29.19
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-24-2019,10:00:00,29.5,17.2,0.00,070,11.1,10.00,1014.98,47,994.13,19.55
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-24-2019,10:00:00,28.5,18.4,0.00,060,18.5,10.00,1015.66,54,997.93,21.09
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-24-2019,10:00:00,29.8,18.7,0.00,030,14.8,10.00,1015.44,51,999.30,21.50
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,09-24-2019,10:00:00,29.8,21.1,0.00,020,11.1,10.00,1015.31,60,1001.29,25.06
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-24-2019,10:00:00,29.5,22.1,0.00,000,0.0,8.00,1015.64,65,1000.81,26.62
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-24-2019,10:00:00,29.1,23.1,0.00,060,16.7,10.00,1016.43,70,1001.73,28.29
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.10,09-24-2019,10:00:00,27.8,23.9,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,7.00,1015.22,79,1012.19,29.63
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-24-2019,10:00:00,31.0,18.7,0.00,050,13.0,10.00,1015.17,48,1007.26,21.51
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,5.90,09-24-2019,10:00:00,28.9,21.6,0.00,060,16.7,8.00,1014.32,65,1013.21,25.80
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-24-2019,10:00:00,28.5,22.1,0.00,060,3.7,8.00,1015.72,69,1000.98,26.65
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,30.50,09-24-2019,10:00:00,23.0,19.1,0.00,080,9.3,8.00,1013.77,79,879.34,22.05
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-24-2019,10:00:00,29.5,19.7,0.00,080,9.3,6.00,1015.30,56,1009.43,23.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,23.90,09-24-2019,10:00:00,30.0,25.0,0.00,050,5.6,8.00,1014.18,75,1013.38,31.72
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.80,09-24-2019,10:00:00,30.0,23.5,0.00,120,9.3,10.00,1014.23,68,1013.78,28.91
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,09-24-2019,10:00:00,26.5,22.8,0.00,100,7.4,6.00,1014.65,80,1003.24,27.77
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1.60,09-24-2019,10:00:00,28.2,23.7,0.01,090,9.3,10.00,1014.87,77,1013.85,29.30
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,3.80,09-24-2019,10:00:00,30.5,19.9,0.00,000,0.0,12.00,1014.96,53,1013.15,23.19
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1.00,09-24-2019,10:00:00,29.4,24.2,0.00,000,0.0,9.00,1014.73,74,1013.97,30.24
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,2.80,09-24-2019,10:00:00,29.3,22.5,0.00,080,11.1,10.00,1014.25,67,1013.54,27.32
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,2.60,09-24-2019,10:00:00,30.8,20.8,0.00,060,7.4,12.00,1013.90,55,1013.20,24.50
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.01,09-24-2019,10:00:00,28.5,20.1,0.00,090,13.0,8.00,1015.88,61,994.65,23.56
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.60,09-24-2019,10:00:00,28.4,21.5,0.00,080,14.8,8.00,1015.61,66,998.83,25.69
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,09-24-2019,10:00:00,28.4,22.7,0.00,050,5.6,9.00,1015.96,71,999.46,27.52
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,7.60,09-24-2019,10:00:00,28.3,20.6,0.00,090,18.5,8.00,1015.68,63,993.73,24.23
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,18.30,09-24-2019,10:00:00,27.0,19.3,0.00,280,29.6,10.00,1014.64,63,971.08,22.32
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,3.40,09-24-2019,10:00:00,27.8,21.4,0.00,030,16.7,10.00,1015.60,68,994.92,25.41
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,09-24-2019,10:00:00,28.4,22.2,0.00,050,25.9,8.00,1017.50,69,996.57,26.73
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,8.10,09-24-2019,10:00:00,28.7,24.5,0.00,080,11.1,9.00,1014.52,78,1014.09,30.82
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,5.90,09-24-2019,10:00:00,29.6,23.7,0.00,070,3.7,10.00,1014.00,71,1012.58,29.24
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,13.20,09-24-2019,10:00:00,29.5,22.4,0.00,060,7.4,8.00,1014.22,66,1009.30,27.15
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,11.90,09-24-2019,10:00:00,28.0,23.8,0.00,000,0.0,8.00,1014.96,78,1011.65,29.46
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,11.80,09-24-2019,10:00:00,27.0,24.8,0.00,000,0.0,8.00,1014.78,88,1013.67,31.38
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.20,09-24-2019,10:00:00,29.7,22.2,0.00,050,14.8,10.00,1014.28,64,1013.98,26.72
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,9.60,09-24-2019,10:00:00,29.3,24.6,0.00,090,7.4,10.00,1014.41,76,1013.73,30.88
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,11.10,09-24-2019,10:00:00,29.5,23.7,0.00,100,1.9,10.00,1013.99,71,1013.50,29.33
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1.60,09-24-2019,10:00:00,29.8,24.0,0.00,040,9.3,10.00,1014.56,71,1013.15,29.91
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1.80,09-24-2019,10:00:00,27.8,25.7,0.00,060,18.5,10.00,1014.46,88,1012.77,32.96
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,7.00,09-24-2019,10:00:00,28.2,24.3,0.00,230,3.7,10.00,1016.29,80,1008.25,30.40
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,24.20,09-24-2019,10:00:00,30.4,23.3,0.00,060,7.4,10.00,1013.68,66,1013.40,28.59
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-24-2019,10:00:00,31.0,24.6,0.00,230,9.3,10.00,1013.60,69,1010.49,30.90
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.90,09-24-2019,10:00:00,29.9,22.7,0.00,090,11.1,10.00,1013.59,66,1006.67,27.63
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1.30,09-24-2019,10:00:00,29.5,22.3,0.00,030,9.3,8.00,1014.94,65,1009.34,26.89
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,8.80,09-24-2019,10:00:00,30.0,24.3,0.00,090,7.4,10.00,1015.05,71,1005.76,30.31
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,70.20,09-24-2019,10:00:00,27.6,25.3,0.00,320,7.4,6.00,1014.59,87,1013.32,32.28
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,3.50,09-24-2019,10:00:00,28.5,24.8,0.00,010,13.0,11.00,1014.23,80,1013.80,31.26
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-24-2019,10:00:00,27.5,24.5,0.00,010,9.3,8.00,1014.59,84,1002.26,30.70
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-24-2019,10:00:00,29.5,25.7,0.00,000,0.0,8.00,1014.08,80,1013.37,33.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1.00,09-24-2019,10:00:00,32.0,24.1,0.00,360,11.1,9.00,1014.56,63,1012.15,30.08
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.10,09-24-2019,10:00:00,29.8,25.0,0.00,210,7.4,12.00,1013.72,75,1013.20,31.60
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1.40,09-24-2019,10:00:00,30.3,23.2,0.00,020,7.4,12.00,1013.31,66,1008.19,28.39
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.50,09-24-2019,10:00:00,30.0,23.5,0.00,050,18.5,7.00,1013.68,68,1013.27,28.91
