WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,MeanSeaLevelPressure,AirTemperature,Rainfall,DewPoint,WindDirection,StationPressure,LandVisibility,VaporPressure,Rainfall24Hr,WindSpeed
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,96,09-30-2019,04:00:00,1010.65,24.0,0.00,23.3,000,991.93,3.00,28.53,0.00,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,93,09-30-2019,04:00:00,1011.97,23.8,0.00,22.6,000,988.84,10.00,27.42,0.00,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,93,09-30-2019,04:00:00,1011.94,22.0,0.00,20.8,000,981.48,5.00,24.50,0.00,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,95,09-30-2019,04:00:00,1011.59,22.8,0.00,21.9,000,975.53,7.00,26.25,0.00,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,99,09-30-2019,04:00:00,1010.70,21.0,0.00,20.8,000,980.35,2.00,24.61,0.00,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,87,09-30-2019,04:00:00,1010.72,24.6,0.00,22.2,000,1003.33,8.00,26.76,0.00,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,89,09-30-2019,04:00:00,1010.68,25.5,0.00,23.6,050,990.62,5.00,29.11,0.00,5.6
48353,LOEI,เลย,เลย,17.45000,101.73333,90,09-30-2019,04:00:00,1011.36,22.5,0.00,20.8,000,982.19,3.00,24.57,0.00,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,90,09-30-2019,04:00:00,1010.80,23.5,0.00,21.7,000,990.33,5.00,25.92,0.00,0.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,92,09-30-2019,04:00:00,1011.51,21.9,0.00,20.5,000,989.33,5.00,24.11,0.00,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,90,09-30-2019,04:00:00,1010.68,23.3,0.00,21.5,000,990.90,7.00,25.60,0.00,0.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,87,09-30-2019,04:00:00,1011.13,22.5,0.00,20.2,000,994.07,8.00,23.62,0.00,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,94,09-30-2019,04:00:00,1011.78,20.5,0.00,19.6,000,993.92,6.00,22.73,0.00,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,83,09-30-2019,04:00:00,1009.61,24.0,0.00,20.9,000,983.53,7.00,24.78,0.00,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,98,09-30-2019,04:00:00,1010.52,26.1,0.00,25.7,330,1004.69,6.00,32.95,0.00,5.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,97,09-30-2019,04:00:00,1010.94,25.8,0.00,25.4,000,1004.70,5.00,32.37,0.00,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,91,09-30-2019,04:00:00,1011.76,24.0,0.00,22.5,000,995.08,8.00,27.25,0.00,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,92,09-30-2019,04:00:00,1009.73,25.0,0.00,23.5,090,987.21,8.00,29.00,0.00,3.7
48376,TAK,ตาก,ตาก,16.87833,99.14333,94,09-30-2019,04:00:00,1011.38,25.0,0.00,24.0,000,996.84,6.00,29.79,0.00,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,91,09-30-2019,04:00:00,1010.87,24.0,0.00,22.5,000,994.27,7.00,27.25,0.00,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,92,09-30-2019,04:00:00,1010.59,25.8,0.00,24.3,000,1005.33,10.00,30.46,0.00,0.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,91,09-30-2019,04:00:00,1009.44,24.5,0.00,23.0,000,996.11,10.00,28.11,0.00,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,93,09-30-2019,04:00:00,1010.23,25.7,0.00,24.5,000,1000.84,4.00,30.81,0.00,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,91,09-30-2019,04:00:00,1010.68,24.0,0.00,22.5,300,988.70,4.00,27.25,0.00,3.7
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,80,09-30-2019,04:00:00,1010.74,27.0,0.00,23.3,000,993.18,6.00,28.67,0.00,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,87,09-30-2019,04:00:00,1010.38,22.5,0.00,20.2,000,994.25,10.00,23.62,0.00,0.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,96,09-30-2019,04:00:00,1009.91,23.0,0.00,22.2,000,990.72,5.00,26.83,0.00,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,92,09-30-2019,04:00:00,1013.24,22.2,0.00,20.8,000,961.12,5.00,24.57,0.00,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,94,09-30-2019,04:00:00,1010.04,27.0,0.00,25.9,000,1006.07,3.00,33.34,0.00,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,98,09-30-2019,04:00:00,1012.77,19.1,0.00,18.8,000,916.40,3.00,21.65,0.00,0.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,97,09-30-2019,04:00:00,1010.93,23.8,0.00,23.2,000,994.72,8.00,28.43,0.00,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,92,09-30-2019,04:00:00,1009.87,26.0,0.00,24.6,000,1005.81,5.00,30.84,0.00,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,91,09-30-2019,04:00:00,1011.31,23.5,0.00,22.0,000,1000.46,5.00,26.42,0.00,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,92,09-30-2019,04:00:00,1010.60,26.0,0.00,24.6,000,1008.66,9.00,30.84,0.00,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,91,09-30-2019,04:00:00,1010.58,24.4,0.00,22.8,000,989.47,7.00,27.69,0.00,0.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,91,09-30-2019,04:00:00,1010.57,23.0,0.00,21.5,000,992.61,10.00,25.60,0.00,0.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,89,09-30-2019,04:00:00,1010.40,23.9,0.00,21.9,000,994.02,8.00,26.34,0.00,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,84,09-30-2019,04:00:00,1011.24,24.5,0.00,21.6,010,997.03,8.00,25.84,0.00,3.7
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,89,09-30-2019,04:00:00,1010.32,23.7,0.00,21.7,000,995.28,7.00,26.00,0.00,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,89,09-30-2019,04:00:00,1011.37,24.8,0.00,22.9,000,996.53,6.00,27.87,0.00,0.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,92,09-30-2019,04:00:00,1009.79,26.5,0.00,25.1,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1006.75,3.00,31.79,0.01,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,88,09-30-2019,04:00:00,1010.26,25.2,0.00,23.1,000,1002.24,7.00,28.31,0.00,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,90,09-30-2019,04:00:00,1010.83,26.2,0.00,24.5,000,1009.71,8.00,30.67,0.00,0.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,88,09-30-2019,04:00:00,1010.59,25.0,0.00,22.8,000,995.76,8.00,27.70,0.00,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,95,09-30-2019,04:00:00,1013.97,16.9,0.00,16.0,000,876.94,8.00,18.22,0.00,0.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,95,09-30-2019,04:00:00,1010.57,24.1,0.00,23.2,000,1004.61,8.00,28.44,0.00,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,81,09-30-2019,04:00:00,1010.84,28.0,0.00,24.4,000,1010.03,7.00,30.56,0.00,0.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,85,09-30-2019,04:00:00,1009.88,29.0,0.00,26.2,210,1009.44,8.00,33.99,0.00,5.6
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,96,09-30-2019,04:00:00,1011.90,23.5,1.20,22.8,000,1000.41,3.00,27.66,19.30,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,88,09-30-2019,04:00:00,1010.19,27.0,0.00,24.8,000,1009.17,4.00,31.38,0.00,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,91,09-30-2019,04:00:00,1010.07,25.5,0.00,23.9,180,1008.23,7.00,29.64,0.00,3.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,86,09-30-2019,04:00:00,1010.37,26.3,0.00,23.7,000,1009.60,4.00,29.25,0.00,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,91,09-30-2019,04:00:00,1010.03,27.0,0.00,25.4,210,1009.33,5.00,32.49,0.00,5.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,83,09-30-2019,04:00:00,1010.05,26.8,0.00,23.7,000,1009.34,7.00,29.37,0.00,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,88,09-30-2019,04:00:00,1010.86,24.0,0.00,21.9,000,989.42,6.00,26.25,0.00,0.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,95,09-30-2019,04:00:00,1010.29,24.0,0.00,23.1,000,993.35,6.00,28.27,0.00,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,96,09-30-2019,04:00:00,1010.88,23.2,0.00,22.4,000,994.18,5.00,27.16,0.00,0.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,91,09-30-2019,04:00:00,1010.81,24.0,0.00,22.5,000,988.66,4.00,27.25,0.00,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,91,09-30-2019,04:00:00,1011.43,21.5,0.00,19.9,080,967.22,7.00,23.28,0.00,3.7
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,96,09-30-2019,04:00:00,1010.87,23.2,0.00,22.6,000,989.97,8.00,27.41,0.00,0.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,100,09-30-2019,04:00:00,1011.93,22.4,0.00,22.4,000,990.69,5.00,27.07,0.00,0.0
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,84,09-30-2019,04:00:00,1010.44,26.8,0.00,23.9,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1010.00,8.00,29.64,0.00,0.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,89,09-30-2019,04:00:00,1011.16,26.1,0.00,24.1,000,1009.73,6.00,29.95,0.00,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,96,09-30-2019,04:00:00,1010.15,25.0,0.00,24.3,000,1005.16,7.00,30.32,0.00,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,84,09-30-2019,04:00:00,1010.42,26.5,0.00,23.6,000,1007.11,6.00,29.08,0.00,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,98,09-30-2019,04:00:00,1010.19,25.0,0.00,24.7,000,1009.08,6.00,31.12,0.00,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,87,09-30-2019,04:00:00,1010.13,28.7,0.00,26.3,000,1009.83,8.00,34.24,0.00,0.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,80,09-30-2019,04:00:00,1010.27,28.7,0.00,24.8,000,1009.79,10.00,31.38,0.00,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,80,09-30-2019,04:00:00,1010.28,28.2,0.00,24.5,290,1008.87,8.00,30.67,0.00,7.4
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,97,09-30-2019,04:00:00,1011.83,25.0,0.00,24.4,000,1003.73,10.00,30.58,0.00,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,86,09-30-2019,04:00:00,1009.94,27.8,0.00,25.2,000,1009.66,10.00,32.12,0.00,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,92,09-30-2019,04:00:00,1009.91,26.5,0.00,25.1,000,1006.76,10.00,31.79,0.00,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,93,09-30-2019,04:00:00,1010.35,26.6,0.00,25.3,000,1003.38,8.00,32.26,0.00,0.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,92,09-30-2019,04:00:00,1010.52,26.5,0.00,25.1,000,1004.90,7.00,31.79,0.00,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,84,09-30-2019,04:00:00,1011.41,25.5,0.00,22.5,000,1010.14,6.00,27.29,0.00,0.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,96,09-30-2019,04:00:00,1010.06,26.1,0.00,25.4,000,1009.62,11.00,32.40,0.00,0.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,96,09-30-2019,04:00:00,1010.76,23.4,0.00,22.8,000,998.31,6.00,27.75,0.00,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,85,09-30-2019,04:00:00,1010.08,26.1,0.00,23.3,000,1009.36,6.00,28.62,0.00,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,93,09-30-2019,04:00:00,1010.71,26.2,0.00,24.9,000,1008.26,5.00,31.49,0.00,0.0
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,93,09-30-2019,04:00:00,1010.39,26.5,0.00,25.2,000,1009.87,8.00,32.07,0.00,0.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,92,09-30-2019,04:00:00,1010.24,25.5,0.00,24.0,340,1005.05,7.00,29.91,0.00,3.7
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,93,09-30-2019,04:00:00,1010.31,26.0,0.00,24.7,000,1009.89,6.00,31.11,1.20,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,96,09-30-2019,04:00:00,1010.73,25.0,0.00,24.3,000,1007.93,8.00,30.32,0.00,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,93,09-30-2019,04:00:00,1011.98,24.5,0.00,23.3,000,1011.18,6.00,28.63,1.40,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,96,09-30-2019,04:00:00,1009.82,25.5,0.00,24.8,150,1009.35,6.00,31.25,0.00,5.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,97,09-30-2019,04:00:00,1010.65,24.5,0.00,24.1,000,1009.96,6.00,29.93,0.00,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,95,09-30-2019,04:00:00,1010.44,24.6,0.00,23.7,000,1008.90,6.00,29.33,0.00,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,93,09-30-2019,04:00:00,1010.31,24.3,0.00,23.1,000,1009.38,10.00,28.28,0.00,0.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,94,09-30-2019,04:00:00,1010.24,26.0,0.00,25.0,000,1009.55,10.00,31.65,0.00,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,92,09-30-2019,04:00:00,1010.50,24.8,0.00,23.3,000,1009.69,7.00,28.64,0.00,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,96,09-30-2019,04:00:00,1010.20,24.8,0.00,24.1,000,1009.56,10.00,29.95,0.00,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,99,09-30-2019,04:00:00,1009.96,25.0,0.00,24.8,000,1009.55,8.00,31.39,0.00,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,97,09-30-2019,04:00:00,1012.15,24.0,0.00,23.4,000,1007.88,5.00,28.78,0.00,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,98,09-30-2019,04:00:00,1010.61,24.2,0.00,23.9,000,1008.98,5.00,29.66,0.00,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,95,09-30-2019,04:00:00,1010.78,24.0,0.00,23.1,000,1007.26,5.00,28.27,0.00,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,97,09-30-2019,04:00:00,1009.73,25.6,0.00,25.0,000,1008.36,7.00,31.71,1.40,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,98,09-30-2019,04:00:00,1009.65,24.5,0.00,24.2,000,1008.75,10.00,30.20,11.50,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,97,09-30-2019,04:00:00,1009.56,23.7,0.00,23.3,000,1005.95,10.00,28.52,4.40,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,93,09-30-2019,04:00:00,1009.86,25.8,0.00,24.5,000,1009.42,10.00,30.73,21.80,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,94,09-30-2019,04:00:00,1009.18,25.0,0.00,24.0,000,1008.18,9.00,29.79,23.60,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,91,09-30-2019,04:00:00,1010.39,24.8,0.00,23.2,000,1009.57,10.00,28.38,0.00,0.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,94,09-30-2019,04:00:00,1009.80,25.4,0.00,24.4,000,1007.97,10.00,30.52,0.00,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,88,09-30-2019,04:00:00,1010.83,25.8,0.00,23.6,230,1010.08,10.00,29.13,0.00,3.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,98,09-30-2019,04:00:00,1010.12,24.5,0.00,24.2,000,1006.08,10.00,30.20,0.00,0.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,92,09-30-2019,04:00:00,1009.75,25.0,0.00,23.5,000,1009.06,10.00,29.00,0.70,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,94,09-30-2019,04:00:00,1010.01,25.6,0.00,24.6,000,1008.89,10.00,30.90,1.40,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,96,09-30-2019,04:00:00,1010.28,24.6,0.00,23.9,000,1007.33,10.00,29.59,6.60,0.0
