WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,StationPressure,Rainfall24Hr,VaporPressure,Rainfall,WindDirection,DewPoint,WindSpeed,LandVisibility,RelativeHumidity,AirTemperature
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1008.70,09-14-2019,10:00:00,1005.72,0.10,32.34,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",25.4,0.0,10.00,72,31.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1008.75,09-14-2019,10:00:00,1000.86,8.10,32.75,0.00,000,25.6,0.0,10.00,78,29.8
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1008.52,09-14-2019,10:00:00,1007.41,1.60,31.53,0.00,000,24.9,0.0,8.00,78,29.2
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1009.27,09-14-2019,10:00:00,994.62,4.50,25.61,0.00,000,21.5,0.0,8.00,66,28.5
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1009.87,09-14-2019,10:00:00,875.00,0.00,23.70,0.00,000,20.2,0.0,2.00,97,20.7
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1009.24,09-14-2019,10:00:00,1003.38,12.20,33.74,0.00,000,26.1,0.0,9.00,86,28.6
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1009.19,09-14-2019,10:00:00,1008.40,1.50,29.89,0.00,240,24.0,3.7,9.00,68,30.5
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1009.34,09-14-2019,10:00:00,1008.90,5.50,29.30,0.40,210,23.7,3.7,10.00,72,29.2
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1010.22,09-14-2019,10:00:00,998.94,7.20,29.33,0.20,000,23.7,0.0,10.00,75,28.5
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1009.32,09-14-2019,10:00:00,1008.32,0.20,30.88,0.00,000,24.6,0.0,12.00,76,29.3
