WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,StationPressure,RelativeHumidity,WindDirection,Rainfall24Hr,VaporPressure,MeanSeaLevelPressure,AirTemperature,LandVisibility,Rainfall,DewPoint,WindSpeed
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,07-18-2019,13:00:00,982.46,68,030,46.00,34.49,1001.44,33.1,15.00,0.00,26.4,5.6
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,07-18-2019,13:00:00,986.20,66,060,0.00,32.41,1002.56,32.7,11.00,0.00,25.4,3.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,07-18-2019,13:00:00,985.36,58,090,0.00,31.31,1002.26,34.4,12.00,0.00,24.8,3.7
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,07-18-2019,13:00:00,975.60,41,230,0.00,24.14,1000.47,35.8,13.00,0.00,20.5,3.7
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,07-18-2019,13:00:00,997.25,57,000,0.00,33.64,1002.84,36.0,10.00,0.00,26.0,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,07-18-2019,13:00:00,996.61,58,220,0.00,33.06,1002.61,35.2,12.00,0.00,25.7,11.1
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,07-18-2019,13:00:00,986.27,47,000,0.00,28.06,1002.15,36.2,10.00,0.00,23.0,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,07-18-2019,13:00:00,980.91,66,000,0.00,30.16,1002.83,31.2,10.00,0.00,24.2,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,07-18-2019,13:00:00,989.35,49,270,0.00,27.49,1003.32,34.8,10.00,0.00,22.6,16.7
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,07-18-2019,13:00:00,986.39,46,000,0.00,28.57,1002.17,37.0,12.00,0.00,23.3,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,07-18-2019,13:00:00,997.72,54,250,0.00,30.95,1002.79,35.2,10.00,0.00,24.6,9.3
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,07-18-2019,13:00:00,988.26,51,180,0.00,30.86,1000.98,36.4,12.00,0.00,24.6,3.7
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,07-18-2019,13:00:00,993.69,52,240,0.00,29.05,1002.73,35.0,12.00,0.00,23.6,3.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,07-18-2019,13:00:00,980.66,47,240,0.00,27.19,1001.63,35.5,10.00,0.00,22.5,5.6
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,07-18-2019,13:00:00,984.44,48,210,0.00,30.36,1001.28,37.0,12.00,0.00,24.3,11.1
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,07-18-2019,13:00:00,986.23,59,160,0.00,31.34,1001.63,34.0,12.00,0.00,24.8,3.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,07-18-2019,13:00:00,982.51,50,000,0.00,30.04,1000.71,36.3,10.00,0.00,24.1,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,07-18-2019,13:00:00,954.08,55,250,0.00,24.60,1004.30,31.0,11.00,0.00,20.8,11.1
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,07-18-2019,13:00:00,998.67,56,240,0.00,30.29,1002.52,34.2,9.00,0.00,24.3,1.9
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,07-18-2019,13:00:00,910.38,78,210,2.50,25.78,1003.89,25.8,9.00,0.00,21.6,18.5
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,07-18-2019,13:00:00,986.19,50,240,0.00,30.61,1001.60,36.7,10.00,0.00,24.4,9.3
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,07-18-2019,13:00:00,999.13,59,150,0.00,33.91,1003.05,35.3,12.00,0.00,26.1,3.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,07-18-2019,13:00:00,993.61,51,210,0.00,28.02,1004.00,34.5,10.00,0.00,23.0,9.3
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,07-18-2019,13:00:00,1001.63,54,090,0.00,29.46,1003.51,34.5,15.00,0.00,23.8,9.3
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,07-18-2019,13:00:00,981.43,41,210,0.00,25.96,1001.51,37.0,10.00,0.00,21.7,5.6
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,07-18-2019,13:00:00,984.84,53,230,0.00,29.63,1001.96,35.0,10.00,0.00,23.9,14.8
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,07-18-2019,13:00:00,985.76,56,170,0.00,31.71,1001.41,35.0,10.00,0.00,25.0,11.1
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,07-18-2019,13:00:00,989.04,58,160,0.00,29.91,1002.71,33.6,10.00,0.00,24.0,5.6
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,07-18-2019,13:00:00,988.88,61,000,0.00,31.88,1003.33,33.7,10.00,0.00,25.1,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,07-18-2019,13:00:00,988.12,57,220,0.50,31.14,1002.37,34.6,10.00,0.00,24.7,9.3
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,07-18-2019,13:00:00,1000.06,49,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,29.10,1002.98,36.0,10.00,0.00,23.6,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,07-18-2019,13:00:00,994.60,52,150,0.00,29.05,1002.30,35.0,10.00,0.00,23.6,5.6
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,07-18-2019,13:00:00,1002.66,57,210,0.00,29.09,1003.74,33.2,10.00,0.00,23.6,16.7
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,07-18-2019,13:00:00,988.50,54,000,0.00,29.80,1002.75,34.8,10.00,0.00,24.0,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,07-18-2019,13:00:00,870.08,97,250,0.20,26.50,1003.32,22.5,8.00,0.00,22.0,1.9
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,07-18-2019,13:00:00,997.21,55,220,0.00,32.12,1002.90,35.6,10.00,0.00,25.2,5.6
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,07-18-2019,13:00:00,1003.20,58,230,0.00,34.58,1003.98,36.0,10.00,0.00,26.5,16.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,07-18-2019,13:00:00,1003.69,67,230,0.00,30.77,1004.13,31.5,10.00,0.00,24.5,18.5
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,07-18-2019,13:00:00,993.45,63,000,0.00,32.21,1004.49,33.3,10.00,0.00,25.3,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,07-18-2019,13:00:00,1002.59,51,220,0.00,29.86,1003.57,35.8,14.00,0.00,24.0,13.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,07-18-2019,13:00:00,1001.88,55,220,0.00,28.96,1003.66,33.7,12.00,0.00,23.5,7.4
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,07-18-2019,13:00:00,1002.34,46,230,0.00,26.31,1003.08,35.2,12.00,0.00,21.9,7.4
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,07-18-2019,13:00:00,1003.71,62,210,0.00,31.28,1004.40,33.0,10.00,0.00,24.8,22.2
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,07-18-2019,13:00:00,1002.32,54,240,0.00,32.92,1003.00,36.5,12.00,0.00,25.6,5.6
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,07-18-2019,13:00:00,981.74,51,260,0.00,29.73,1002.21,35.6,10.00,0.00,23.9,7.4
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,07-18-2019,13:00:00,986.80,60,180,0.00,30.74,1003.11,33.3,13.00,0.00,24.5,7.4
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,07-18-2019,13:00:00,987.52,57,210,0.00,30.93,1003.49,34.5,10.00,0.00,24.6,3.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,07-18-2019,13:00:00,980.94,49,000,0.00,29.87,1002.02,36.5,10.00,0.00,24.0,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,07-18-2019,13:00:00,960.50,56,260,0.00,27.11,1002.84,32.2,10.00,0.00,22.4,25.9
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,07-18-2019,13:00:00,982.24,66,080,7.20,30.49,1002.40,31.5,5.00,7.20,24.4,7.4
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,07-18-2019,13:00:00,984.09,65,190,0.00,34.14,1004.39,33.9,9.00,0.00,26.3,13.0
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,07-18-2019,13:00:00,1003.52,64,170,0.80,30.77,1003.94,32.2,10.00,0.00,24.5,18.5
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,07-18-2019,13:00:00,1002.10,63,000,0.00,33.44,1003.48,34.0,11.00,0.00,25.9,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,07-18-2019,13:00:00,999.16,57,240,0.00,31.01,1003.96,34.4,9.00,0.00,24.6,3.7
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,07-18-2019,13:00:00,1000.44,50,250,0.00,28.18,1003.64,35.0,12.00,0.00,23.1,11.1
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,07-18-2019,13:00:00,1002.79,54,230,0.00,30.30,1003.87,34.9,10.00,0.00,24.3,3.7
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,07-18-2019,13:00:00,1003.82,60,150,0.00,30.87,1004.12,33.5,10.00,0.00,24.6,11.1
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,07-18-2019,13:00:00,1003.19,54,210,0.00,28.11,1003.86,33.7,12.00,0.00,23.0,9.3
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,07-18-2019,13:00:00,1003.60,59,000,0.00,30.28,1004.08,33.5,10.00,0.00,24.2,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,07-18-2019,13:00:00,1002.74,57,210,0.00,30.46,1004.11,34.0,10.00,0.00,24.3,11.1
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,07-18-2019,13:00:00,1003.04,66,190,0.00,30.49,1004.69,31.5,12.00,0.00,24.4,7.4
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,07-18-2019,13:00:00,997.22,53,270,0.40,27.62,1005.03,33.6,15.00,0.40,22.7,14.8
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,07-18-2019,13:00:00,1004.03,64,240,0.00,32.38,1004.31,33.1,12.00,0.00,25.4,14.8
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,07-18-2019,13:00:00,1001.41,60,000,0.00,28.66,1004.49,32.0,10.00,0.00,23.3,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,07-18-2019,13:00:00,998.03,66,270,0.00,29.56,1004.87,30.9,10.00,0.00,23.9,9.3
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,07-18-2019,13:00:00,998.08,57,280,2.10,30.93,1003.52,34.5,10.00,0.00,24.6,9.3
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,07-18-2019,13:00:00,996.61,65,230,0.00,31.35,1005.76,32.2,12.00,0.00,24.8,14.8
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,07-18-2019,13:00:00,1003.57,59,230,0.10,29.83,1004.81,33.0,15.00,0.00,24.0,7.4
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,07-18-2019,13:00:00,1004.15,62,170,0.00,33.58,1004.57,34.2,11.00,0.00,26.0,9.3
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,07-18-2019,13:00:00,992.96,66,240,0.00,30.08,1005.02,31.3,10.00,0.00,24.1,7.4
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,07-18-2019,13:00:00,1003.92,59,240,1.70,29.83,1004.62,33.0,10.00,0.00,24.0,13.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,07-18-2019,13:00:00,1003.02,61,200,0.00,29.87,1005.40,32.6,10.00,0.00,24.0,11.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,07-18-2019,13:00:00,1004.85,75,210,0.00,32.13,1005.37,30.2,10.00,0.00,25.2,9.3
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,07-18-2019,13:00:00,999.73,68,190,0.00,30.73,1004.80,31.2,12.00,0.00,24.5,7.4
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,07-18-2019,13:00:00,1004.98,95,000,110.70,29.69,1005.39,24.8,7.00,22.00,23.9,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,07-18-2019,13:00:00,1003.23,96,030,151.70,29.41,1006.02,24.5,8.00,35.10,23.8,3.7
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,07-18-2019,13:00:00,1006.46,57,000,0.90,27.27,1007.23,32.0,12.00,0.00,22.5,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,07-18-2019,13:00:00,1005.20,82,270,83.90,33.66,1005.66,29.4,8.00,0.60,26.0,7.4
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,07-18-2019,13:00:00,1004.66,79,000,4.70,33.04,1005.33,29.8,9.00,1.60,25.7,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,07-18-2019,13:00:00,1004.01,60,250,1.60,29.30,1005.50,32.6,9.00,0.00,23.7,7.4
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,07-18-2019,13:00:00,1006.81,93,190,53.50,30.81,1007.73,25.7,6.00,8.70,24.5,7.4
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,07-18-2019,13:00:00,1004.92,68,140,22.00,31.35,1005.60,31.5,12.00,0.00,24.8,11.1
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,07-18-2019,13:00:00,1005.28,62,200,1.80,31.92,1006.06,33.3,10.00,0.00,25.1,7.4
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,07-18-2019,13:00:00,1004.40,56,320,7.00,29.13,1005.02,33.5,10.00,0.00,23.6,5.6
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,07-18-2019,13:00:00,1005.03,71,220,2.20,34.76,1005.42,32.4,10.00,0.01,26.6,7.4
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,07-18-2019,13:00:00,1003.37,66,240,9.20,31.94,1007.51,32.2,10.00,0.00,25.1,5.6
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,07-18-2019,13:00:00,1005.30,91,000,30.20,30.94,1006.92,26.2,7.00,5.20,24.6,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,07-18-2019,13:00:00,1003.47,90,270,5.00,33.53,1006.93,27.8,5.00,0.50,26.0,14.8
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,07-18-2019,13:00:00,1004.17,62,090,0.80,30.53,1005.49,32.5,10.00,0.00,24.4,7.4
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,07-18-2019,13:00:00,1005.55,97,000,84.10,31.22,1006.44,25.2,6.00,49.80,24.8,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,07-18-2019,13:00:00,1003.51,95,000,22.30,30.98,1007.08,25.5,8.00,2.50,24.6,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,07-18-2019,13:00:00,1006.09,94,000,70.60,31.46,1006.53,25.9,9.00,29.00,24.9,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,07-18-2019,13:00:00,1005.16,95,000,69.40,31.74,1006.16,25.9,5.00,9.30,25.0,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,07-18-2019,13:00:00,1006.04,86,300,23.60,28.42,1006.86,25.7,8.00,6.60,23.2,11.1
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,07-18-2019,13:00:00,1004.06,69,200,12.00,31.31,1005.85,31.2,10.00,0.00,24.8,13.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,07-18-2019,13:00:00,1004.91,67,030,0.30,31.19,1005.65,31.7,12.00,0.00,24.7,7.4
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,07-18-2019,13:00:00,1001.82,54,230,1.60,27.91,1005.72,33.6,10.00,0.00,22.9,7.4
48570,SATUN,สตูล,สตูล,6.65000,100.08333,07-18-2019,13:00:00,1005.74,58,240,0.20,28.65,1006.41,32.7,10.00,0.00,23.3,5.6
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,07-18-2019,13:00:00,1004.30,56,220,0.00,28.92,1005.39,33.4,10.00,0.00,23.5,16.7
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,07-18-2019,13:00:00,1003.00,57,240,0.00,30.04,1005.85,33.8,12.00,0.00,24.1,5.6
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,07-18-2019,13:00:00,1004.87,66,170,0.00,33.72,1005.54,33.3,8.00,0.00,26.1,5.6
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,07-18-2019,13:00:00,1001.96,63,080,0.00,30.94,1006.00,32.7,10.00,0.00,24.6,5.6
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,07-18-2019,13:00:00,1005.68,62,000,0.00,29.91,1006.26,32.2,10.00,0.00,24.0,0.0
