WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,DewPoint,LandVisibility,AirTemperature,Rainfall24Hr,VaporPressure,Rainfall,WindDirection,WindSpeed,StationPressure,MeanSeaLevelPressure
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,61,10-01-2019,10:00:00,23.5,7.00,32.0,0.00,28.94,0.00,220,11.1,990.94,1011.56
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,63,10-01-2019,10:00:00,23.0,8.00,31.0,0.00,28.09,0.00,160,3.7,993.89,1011.40
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,59,10-01-2019,10:00:00,22.7,10.00,31.7,0.00,27.52,0.00,220,7.4,995.23,1011.21
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,60,10-01-2019,10:00:00,22.2,8.00,31.0,0.00,26.73,0.00,080,5.6,997.73,1011.64
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,59,10-01-2019,10:00:00,22.0,8.00,30.8,0.00,26.35,0.00,000,0.0,997.46,1012.18
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,72,10-01-2019,10:00:00,25.4,8.00,31.0,0.00,32.34,0.00,000,0.0,997.33,1011.88
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,75,10-01-2019,10:00:00,26.0,2.00,30.9,0.00,33.60,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,1008.70,1011.69
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,72,10-01-2019,10:00:00,25.7,8.00,31.3,0.00,32.97,0.00,000,0.0,1003.83,1011.70
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,71,10-01-2019,10:00:00,26.0,8.00,31.9,0.00,33.67,0.00,170,11.1,1011.10,1012.20
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,71,10-01-2019,10:00:00,25.3,8.00,31.2,0.00,32.18,0.00,000,0.0,997.42,1011.97
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,75,10-01-2019,10:00:00,20.5,8.00,25.2,0.00,24.04,0.00,200,7.4,877.44,1010.53
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,72,10-01-2019,10:00:00,25.7,6.00,31.5,0.00,33.10,0.00,190,9.3,1006.04,1011.86
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,71,10-01-2019,10:00:00,26.4,8.00,32.2,0.00,34.32,0.00,090,1.9,1010.95,1011.75
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,76,10-01-2019,10:00:00,24.3,8.00,29.0,60.20,30.29,2.30,210,13.0,1011.54,1011.98
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,64,10-01-2019,10:00:00,23.3,7.00,31.0,0.00,28.65,0.00,000,0.0,1001.38,1012.59
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,67,10-01-2019,10:00:00,24.9,8.00,31.8,0.00,31.39,0.00,200,3.7,1010.97,1011.97
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,74,10-01-2019,10:00:00,25.9,6.00,31.1,0.00,33.43,0.00,170,13.0,1009.88,1011.69
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,69,10-01-2019,10:00:00,25.1,10.00,31.5,0.00,31.93,0.00,000,0.0,1010.84,1011.60
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,67,10-01-2019,10:00:00,25.0,9.00,31.9,0.01,31.60,0.00,180,13.0,1010.76,1011.46
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,67,10-01-2019,10:00:00,25.0,6.00,31.8,3.20,31.68,0.00,160,3.7,1011.43,1012.12
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,68,10-01-2019,10:00:00,24.2,7.00,30.8,0.01,30.21,0.00,000,0.0,990.78,1011.77
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,63,10-01-2019,10:00:00,23.5,8.00,31.4,0.00,28.87,0.00,210,5.6,995.12,1011.67
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,66,10-01-2019,10:00:00,24.6,10.00,31.7,0.00,30.90,0.00,000,0.0,995.89,1012.15
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,75,10-01-2019,10:00:00,24.5,6.00,29.5,0.00,30.72,0.00,000,0.0,990.25,1012.03
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,66,10-01-2019,10:00:00,23.0,4.00,30.0,0.00,28.09,0.00,250,3.7,969.01,1012.04
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,72,10-01-2019,10:00:00,25.4,9.00,31.0,0.00,32.34,0.00,200,5.6,991.33,1011.71
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,70,10-01-2019,10:00:00,25.7,6.00,31.9,0.00,33.07,0.00,220,9.3,992.85,1013.47
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,71,10-01-2019,10:00:00,25.8,9.00,31.8,0.00,33.15,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,1011.38,1011.81
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,78,10-01-2019,10:00:00,26.3,11.00,30.6,0.00,34.14,0.00,000,0.0,1010.84,1012.24
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,75,10-01-2019,10:00:00,26.1,8.00,31.0,0.00,33.81,0.00,000,0.0,1007.02,1011.91
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,63,10-01-2019,10:00:00,24.2,9.00,32.1,0.00,30.28,0.00,210,9.3,1008.43,1011.69
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,74,10-01-2019,10:00:00,25.8,8.00,31.0,0.00,33.22,0.00,260,11.1,1010.70,1011.80
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,76,10-01-2019,10:00:00,25.9,10.00,30.5,1.70,33.34,0.00,210,11.1,1011.82,1012.12
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,80,10-01-2019,10:00:00,26.0,8.00,29.8,2.10,33.62,0.00,310,5.6,1011.37,1012.05
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,82,10-01-2019,10:00:00,26.1,7.00,29.5,3.70,33.87,0.00,300,3.7,1011.08,1011.57
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,73,10-01-2019,10:00:00,26.4,8.00,31.8,13.80,34.35,0.00,190,11.1,1010.63,1012.02
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,86,10-01-2019,10:00:00,26.7,5.00,29.4,2.10,35.13,0.00,200,14.8,1010.31,1011.98
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,70,10-01-2019,10:00:00,24.8,12.00,30.9,0.00,31.27,0.00,230,7.4,1005.79,1013.74
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,71,10-01-2019,10:00:00,26.0,8.00,32.0,0.00,33.58,0.00,000,0.0,1011.30,1011.58
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,77,10-01-2019,10:00:00,27.2,10.00,31.8,0.00,36.18,0.00,000,0.0,1009.13,1012.23
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,75,10-01-2019,10:00:00,25.6,10.00,30.5,0.00,32.75,0.00,210,7.4,1005.44,1012.33
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,72,10-01-2019,10:00:00,26.0,7.00,31.7,0.00,33.53,0.00,000,0.0,1007.28,1012.82
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,75,10-01-2019,10:00:00,26.0,6.00,31.0,0.00,33.52,0.00,210,13.0,1005.40,1014.66
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,73,10-01-2019,10:00:00,25.5,7.00,31.0,0.00,32.63,0.00,150,3.7,1010.93,1012.18
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,72,10-01-2019,10:00:00,25.9,8.00,31.6,0.00,33.32,0.00,160,3.7,1011.48,1011.91
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,65,10-01-2019,10:00:00,24.0,3.00,31.5,0.00,29.92,0.00,140,3.7,1000.10,1012.24
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,66,10-01-2019,10:00:00,24.7,7.00,31.9,0.00,31.02,0.00,110,5.6,1011.36,1012.07
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,67,10-01-2019,10:00:00,25.5,7.00,32.4,0.00,32.66,0.00,190,14.8,1010.17,1012.57
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,75,10-01-2019,10:00:00,26.0,8.00,31.0,0.00,33.52,0.00,200,5.6,1011.54,1012.05
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,72,10-01-2019,10:00:00,24.3,13.00,29.9,0.10,30.39,0.00,260,9.3,1007.20,1012.33
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,73,10-01-2019,10:00:00,25.7,8.00,31.0,1.60,32.93,0.00,210,13.0,1011.99,1012.40
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,74,10-01-2019,10:00:00,25.3,8.00,30.5,4.30,32.17,0.00,140,7.4,1009.87,1012.62
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,71,10-01-2019,10:00:00,26.1,8.00,32.0,0.00,33.88,0.00,000,0.0,1011.65,1012.43
48501,TRAD,ตราด,ตราด,11.76667,102.88333,74,10-01-2019,10:00:00,25.4,8.00,30.5,15.50,32.46,0.00,180,3.7,1012.05,1012.50
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,66,10-01-2019,10:00:00,24.5,10.00,31.8,0.00,30.81,0.00,080,3.7,1011.91,1012.59
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,57,10-01-2019,10:00:00,22.8,10.00,32.4,0.40,27.77,0.00,230,3.7,1011.01,1012.52
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,69,10-01-2019,10:00:00,24.4,10.00,30.8,3.60,30.49,0.00,270,5.6,1012.22,1013.13
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,73,10-01-2019,10:00:00,25.1,12.00,30.5,0.00,31.88,0.00,240,7.4,1012.17,1012.85
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,73,10-01-2019,10:00:00,24.9,10.00,30.3,0.00,31.48,0.00,300,3.7,1012.35,1013.14
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,71,10-01-2019,10:00:00,23.9,10.00,29.7,0.00,29.71,0.00,000,0.0,1012.20,1012.84
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,77,10-01-2019,10:00:00,27.0,10.00,31.6,0.00,35.73,0.00,000,0.0,1012.32,1012.72
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,75,10-01-2019,10:00:00,24.5,10.00,29.4,1.20,30.80,0.00,000,0.0,1010.98,1015.18
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,79,10-01-2019,10:00:00,24.4,12.00,28.4,27.40,30.51,0.00,000,0.0,1011.55,1013.16
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,75,10-01-2019,10:00:00,25.6,8.00,30.5,53.40,32.75,0.00,000,0.0,1009.42,1012.88
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,73,10-01-2019,10:00:00,24.7,10.00,30.0,0.00,31.15,0.00,210,3.7,1011.91,1013.26
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,75,10-01-2019,10:00:00,25.0,10.00,30.0,0.00,31.72,0.00,270,9.3,1012.10,1012.98
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,75,10-01-2019,10:00:00,24.9,10.00,29.9,1.20,31.52,0.00,000,0.0,1009.51,1013.06
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,85,10-01-2019,10:00:00,25.0,9.00,27.9,2.60,31.75,1.20,000,0.0,1012.42,1012.86
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,75,10-01-2019,10:00:00,24.9,10.00,29.9,0.20,31.52,0.20,290,9.3,1011.28,1012.27
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,86,10-01-2019,10:00:00,26.7,10.00,29.4,0.40,35.13,0.00,210,9.3,1012.40,1013.21
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,78,10-01-2019,10:00:00,24.7,11.00,29.0,92.90,31.13,0.00,000,0.0,1011.54,1013.35
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,69,10-01-2019,10:00:00,24.3,12.00,30.7,0.00,30.29,0.00,280,7.4,1012.50,1013.25
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,71,10-01-2019,10:00:00,24.2,10.00,29.9,35.80,30.11,0.00,230,9.3,1009.26,1013.25
48570,SATUN,สตูล,สตูล,6.65000,100.08333,71,10-01-2019,10:00:00,24.8,10.00,30.6,37.20,31.23,0.00,000,0.0,1012.71,1013.39
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,68,10-01-2019,10:00:00,24.2,12.00,30.8,11.00,30.21,0.00,140,5.6,1012.14,1013.25
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,78,10-01-2019,10:00:00,25.8,12.00,30.0,6.10,33.17,0.00,270,7.4,1010.38,1013.29
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,68,10-01-2019,10:00:00,23.8,11.00,30.3,0.00,29.50,0.00,260,7.4,1012.34,1013.02
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,70,10-01-2019,10:00:00,23.5,10.00,29.6,4.10,28.97,0.00,220,13.0,1009.26,1013.37
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,73,10-01-2019,10:00:00,23.4,10.00,28.8,0.00,28.81,0.00,070,7.4,1011.84,1012.43
