WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,RelativeHumidity,StationPressure,MeanSeaLevelPressure,VaporPressure,WindSpeed,AirTemperature,WindDirection,Rainfall,Rainfall24Hr,LandVisibility
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,24.9,08-09-2019,01:00:00,91,983.53,1001.12,31.52,9.3,26.5,200,4.00,7.30,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,25.4,08-09-2019,01:00:00,94,984.81,1000.90,32.43,7.4,26.4,240,6.90,14.00,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.2,08-09-2019,01:00:00,76,988.31,1002.19,30.18,7.4,28.8,230,0.00,0.00,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,25.5,08-09-2019,01:00:00,90,987.89,1002.64,32.61,0.0,27.2,000,3.10,4.10,9.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,24.8,08-09-2019,01:00:00,83,987.79,1002.34,31.39,7.4,28.0,220,0.00,0.00,10.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,24.2,08-09-2019,01:00:00,84,1000.65,1003.66,30.12,0.0,27.2,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,0.90,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,23.8,08-09-2019,01:00:00,83,995.19,1003.11,29.48,0.0,27.0,000,0.00,0.01,7.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,23.8,08-09-2019,01:00:00,85,1003.62,1004.73,29.54,7.4,26.6,260,0.00,0.70,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.9,08-09-2019,01:00:00,81,988.34,1002.90,31.54,0.0,28.5,000,0.00,0.00,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,18.9,08-09-2019,01:00:00,99,870.96,1005.97,21.87,13.0,19.1,280,0.40,13.20,.10
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,24.4,08-09-2019,01:00:00,86,998.06,1003.92,30.64,5.6,26.9,200,0.00,0.20,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,25.0,08-09-2019,01:00:00,90,1004.01,1004.81,31.63,0.0,26.7,000,1.80,3.60,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,25.1,08-09-2019,01:00:00,85,1004.54,1004.98,31.95,7.4,28.0,230,0.30,1.20,7.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.0,08-09-2019,01:00:00,96,995.14,1006.52,29.77,0.0,24.7,000,2.80,26.20,3.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,24.5,08-09-2019,01:00:00,89,1003.89,1004.90,30.70,0.0,26.5,000,0.60,0.60,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,24.3,08-09-2019,01:00:00,88,1002.58,1004.41,30.43,5.6,26.5,210,0.00,2.00,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,23.8,08-09-2019,01:00:00,88,1004.15,1004.92,29.50,7.4,26.0,230,0.00,1.60,4.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,23.9,08-09-2019,01:00:00,89,1004.56,1005.26,29.58,9.3,25.9,230,0.60,1.60,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.4,08-09-2019,01:00:00,88,1003.67,1004.37,32.36,0.0,27.5,000,0.01,0.50,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,22.4,08-09-2019,01:00:00,75,981.95,1003.00,27.11,7.4,27.3,270,0.00,0.01,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,23.3,08-09-2019,01:00:00,77,985.82,1002.42,28.63,9.3,27.7,210,0.00,0.00,7.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,23.6,08-09-2019,01:00:00,79,986.43,1002.76,29.06,1.9,27.5,220,0.00,0.00,6.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,22.3,08-09-2019,01:00:00,73,981.47,1003.20,26.95,0.0,27.5,000,0.00,0.01,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,22.6,08-09-2019,01:00:00,93,960.70,1004.27,27.42,14.8,23.8,230,0.00,14.70,6.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,23.1,08-09-2019,01:00:00,77,982.01,1002.44,28.26,9.3,27.5,230,0.00,0.00,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,24.3,08-09-2019,01:00:00,82,982.82,1003.52,30.34,16.7,27.6,250,0.00,0.00,8.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,25.2,08-09-2019,01:00:00,90,1004.72,1005.16,32.02,5.6,26.9,240,0.70,1.50,9.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,24.5,08-09-2019,01:00:00,91,1002.80,1004.22,30.76,0.0,26.1,000,0.00,0.01,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,24.5,08-09-2019,01:00:00,88,999.39,1004.31,30.81,0.0,26.7,000,0.00,0.00,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,24.5,08-09-2019,01:00:00,91,1001.85,1005.15,30.76,0.0,26.1,000,0.70,3.50,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,25.0,08-09-2019,01:00:00,93,1004.34,1005.45,31.76,0.0,26.2,000,0.20,0.30,6.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,24.1,08-09-2019,01:00:00,84,1004.70,1005.00,29.93,0.0,27.1,000,0.30,3.00,9.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,24.4,08-09-2019,01:00:00,86,1004.99,1005.48,30.56,1.9,27.0,180,0.30,0.30,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,25.0,08-09-2019,01:00:00,90,1003.70,1005.11,31.63,11.1,26.7,240,0.60,2.80,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.5,08-09-2019,01:00:00,91,999.40,1007.44,30.76,0.0,26.1,000,0.00,0.00,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,24.6,08-09-2019,01:00:00,81,1004.84,1005.12,30.95,7.4,28.2,300,0.00,0.00,8.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,24.7,08-09-2019,01:00:00,81,1001.73,1004.84,31.14,0.0,28.3,000,0.00,0.00,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,24.5,08-09-2019,01:00:00,82,998.36,1005.27,30.72,9.3,27.8,230,0.00,0.00,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,23.9,08-09-2019,01:00:00,81,998.72,1004.29,29.60,13.0,27.5,250,0.00,0.40,8.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,24.8,08-09-2019,01:00:00,98,1004.86,1006.13,31.31,0.0,25.1,000,0.60,5.30,8.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,23.9,08-09-2019,01:00:00,81,1004.90,1005.33,29.60,5.6,27.5,220,0.00,7.30,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,24.1,08-09-2019,01:00:00,96,993.74,1006.07,29.95,0.0,24.8,000,0.00,1.60,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,25.5,08-09-2019,01:00:00,93,1004.99,1005.70,32.54,0.0,26.6,000,0.00,2.30,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,23.4,08-09-2019,01:00:00,73,1003.19,1005.60,28.81,7.4,28.8,260,0.00,0.01,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,24.6,08-09-2019,01:00:00,80,1004.69,1005.21,30.98,14.8,28.5,300,0.00,0.30,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,23.7,08-09-2019,01:00:00,80,999.88,1005.01,29.33,0.0,27.5,000,0.00,0.30,8.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.0,08-09-2019,01:00:00,91,1004.85,1005.26,31.71,0.0,26.6,000,0.00,1.60,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.3,08-09-2019,01:00:00,96,1002.94,1005.71,32.20,0.0,26.0,000,0.01,11.00,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,23.7,08-09-2019,01:00:00,86,1005.08,1005.87,29.33,0.0,26.2,000,0.00,5.60,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.7,08-09-2019,01:00:00,94,1005.02,1005.48,32.94,5.6,26.8,290,13.70,59.90,5.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.6,08-09-2019,01:00:00,91,1005.67,1006.36,30.94,0.0,26.2,000,0.20,10.00,7.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.0,08-09-2019,01:00:00,94,1004.77,1006.31,29.79,0.0,25.0,000,2.40,10.20,8.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.1,08-09-2019,01:00:00,82,1006.88,1007.79,29.96,7.4,27.4,190,0.00,1.10,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,24.1,08-09-2019,01:00:00,79,1006.14,1006.83,30.01,5.6,28.0,270,0.01,0.20,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.6,08-09-2019,01:00:00,92,1006.75,1007.55,30.84,0.0,26.0,000,0.00,0.00,8.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,24.3,08-09-2019,01:00:00,83,1006.08,1006.71,30.42,0.0,27.5,000,0.00,0.00,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.2,08-09-2019,01:00:00,78,1006.46,1006.86,30.23,0.0,28.4,000,0.01,0.01,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,22.9,08-09-2019,01:00:00,74,1005.24,1009.44,27.85,0.0,28.0,000,0.00,0.01,5.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.0,08-09-2019,01:00:00,92,1006.71,1008.33,29.91,0.0,25.5,000,0.00,0.00,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.9,08-09-2019,01:00:00,92,1004.44,1007.93,31.41,0.0,26.3,000,0.00,0.00,6.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.2,08-09-2019,01:00:00,78,1005.91,1007.26,30.15,7.4,28.5,300,0.00,0.00,8.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,25.4,08-09-2019,01:00:00,86,1007.10,1007.99,32.52,9.3,28.0,240,0.00,0.00,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.9,08-09-2019,01:00:00,93,1003.97,1007.54,31.49,0.0,26.2,000,0.80,0.80,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.6,08-09-2019,01:00:00,73,1007.07,1007.50,30.95,9.3,29.9,270,0.00,0.00,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,25.6,08-09-2019,01:00:00,78,1006.46,1007.45,32.75,7.4,29.8,290,0.00,0.00,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,26.2,08-09-2019,01:00:00,82,1007.05,1007.86,34.08,27.8,29.6,270,0.00,0.00,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.9,08-09-2019,01:00:00,89,1006.09,1007.91,31.46,0.0,26.9,000,0.00,0.00,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,23.5,08-09-2019,01:00:00,78,1006.51,1007.26,28.90,0.0,27.7,000,0.00,0.00,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.2,08-09-2019,01:00:00,86,1003.71,1007.71,30.18,3.7,26.8,990,0.00,0.00,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,25.2,08-09-2019,01:00:00,86,1007.13,1007.82,32.12,0.0,27.8,000,0.00,0.00,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.6,08-09-2019,01:00:00,83,1006.53,1007.65,29.10,0.0,26.8,000,0.00,0.00,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.8,08-09-2019,01:00:00,90,1004.80,1007.73,31.24,0.0,26.5,000,0.00,0.00,10.00
