WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,MeanSeaLevelPressure,WindDirection,AirTemperature,DewPoint,LandVisibility,Rainfall,RelativeHumidity,Rainfall24Hr,StationPressure,WindSpeed
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,27.45,08-01-2019,04:00:00,1006.69,220,25.0,22.6,10.00,0.00,87,2.20,1005.98,7.4
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,30.07,08-01-2019,04:00:00,1005.98,000,26.6,24.1,7.00,0.00,86,4.20,1005.28,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,24.61,08-01-2019,04:00:00,1004.82,260,26.0,20.8,10.00,0.00,73,2.00,983.64,1.9
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,29.49,08-01-2019,04:00:00,1004.46,000,24.4,23.8,6.00,0.00,97,19.60,987.64,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,27.09,08-01-2019,04:00:00,1004.95,190,24.2,22.4,5.00,0.00,90,21.60,988.40,3.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,24.28,08-01-2019,04:00:00,1004.83,000,25.8,20.6,10.00,0.01,73,2.90,982.94,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,24.61,08-01-2019,04:00:00,1005.41,230,24.8,20.8,10.00,0.00,79,1.10,961.94,14.8
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,25.78,08-01-2019,04:00:00,1004.69,240,25.8,21.6,6.00,0.01,78,0.20,984.10,7.4
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,30.18,08-01-2019,04:00:00,1005.56,230,24.2,24.2,7.00,0.00,100,8.00,984.59,13.0
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,29.31,08-01-2019,04:00:00,1006.41,230,27.2,23.7,10.00,0.00,81,0.01,1005.98,7.4
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,29.26,08-01-2019,04:00:00,1006.47,000,25.0,23.7,6.00,0.00,92,0.80,1005.04,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,28.40,08-01-2019,04:00:00,1006.11,000,25.1,23.2,7.00,0.00,89,0.10,1001.15,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,25.70,08-01-2019,04:00:00,1006.19,000,26.2,21.5,10.00,0.00,76,0.30,1002.89,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,26.94,08-01-2019,04:00:00,1006.06,000,25.0,22.3,10.00,0.00,85,0.70,1004.95,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,27.36,08-01-2019,04:00:00,1006.29,000,27.0,22.6,10.00,0.00,77,0.30,1005.99,0.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,26.92,08-01-2019,04:00:00,1006.17,000,26.9,22.3,10.00,0.00,76,0.40,1005.68,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,25.79,08-01-2019,04:00:00,1006.66,190,26.4,21.6,10.00,0.00,75,0.40,1005.25,118.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,27.76,08-01-2019,04:00:00,1008.14,000,24.0,22.8,10.00,0.00,93,2.50,1000.05,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,31.94,08-01-2019,04:00:00,1005.58,000,27.0,25.1,8.00,0.00,90,2.30,1005.29,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,27.69,08-01-2019,04:00:00,1005.44,200,28.2,22.8,10.00,0.00,72,0.00,1002.32,9.3
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,28.47,08-01-2019,04:00:00,1006.74,270,27.9,23.2,10.00,0.00,76,0.80,999.82,7.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,27.81,08-01-2019,04:00:00,1006.10,000,25.5,22.8,8.00,0.00,85,0.00,1000.48,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,28.22,08-01-2019,04:00:00,1007.20,000,25.0,23.1,10.00,0.00,89,0.01,1005.92,0.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,30.12,08-01-2019,04:00:00,1006.22,220,27.2,24.2,11.00,0.00,84,0.90,1005.79,14.8
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,29.15,08-01-2019,04:00:00,1006.78,000,24.5,23.6,8.00,0.90,95,2.90,994.42,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,29.41,08-01-2019,04:00:00,1006.50,240,26.1,23.8,10.00,0.10,87,0.60,1005.78,5.6
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,28.82,08-01-2019,04:00:00,1006.99,240,27.8,23.4,8.00,0.00,77,10.30,1004.57,3.7
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,30.04,08-01-2019,04:00:00,1006.58,260,28.3,24.1,8.00,0.00,78,12.50,1006.07,7.4
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,28.98,08-01-2019,04:00:00,1006.43,000,24.7,23.5,10.00,0.00,93,16.80,1001.24,0.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,30.34,08-01-2019,04:00:00,1006.96,000,25.3,24.3,7.00,0.30,94,21.90,1006.54,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,28.53,08-01-2019,04:00:00,1007.08,000,24.0,23.3,8.00,1.40,96,32.60,1004.29,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,28.83,08-01-2019,04:00:00,1007.30,000,25.2,23.4,10.00,2.60,90,10.10,1006.51,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,28.59,08-01-2019,04:00:00,1005.71,310,25.5,23.3,6.00,0.00,88,23.20,1005.25,5.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,29.35,08-01-2019,04:00:00,1007.34,000,26.5,23.7,8.00,0.00,85,0.20,1006.66,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,29.97,08-01-2019,04:00:00,1007.31,000,26.4,24.1,6.00,0.00,87,0.00,1005.78,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,30.01,08-01-2019,04:00:00,1008.61,210,28.0,24.1,10.00,0.00,79,0.00,1007.70,3.7
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,30.04,08-01-2019,04:00:00,1008.10,000,27.3,24.1,10.00,0.00,83,0.00,1007.41,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,28.88,08-01-2019,04:00:00,1008.44,180,24.2,23.5,8.00,0.00,96,0.00,1007.64,3.7
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,29.00,08-01-2019,04:00:00,1008.08,000,25.0,23.5,10.00,0.00,92,0.00,1007.44,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,29.28,08-01-2019,04:00:00,1008.37,000,25.3,23.7,10.00,0.00,91,0.00,1007.96,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,27.66,08-01-2019,04:00:00,1009.77,000,26.0,22.7,6.00,0.00,82,0.00,1005.54,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,28.60,08-01-2019,04:00:00,1008.52,000,23.6,23.3,10.00,0.00,98,0.00,1006.89,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,28.53,08-01-2019,04:00:00,1009.34,000,24.0,23.3,10.00,0.00,96,0.00,1005.82,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,29.16,08-01-2019,04:00:00,1008.36,000,24.8,23.6,7.00,0.00,93,0.00,1006.99,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,28.95,08-01-2019,04:00:00,1009.35,240,28.3,23.5,10.00,0.00,75,4.60,1008.46,11.1
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,28.98,08-01-2019,04:00:00,1008.44,000,24.7,23.5,10.00,0.00,93,0.00,1004.85,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,30.46,08-01-2019,04:00:00,1008.28,290,28.8,24.3,10.00,0.00,77,0.00,1007.84,3.7
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,29.77,08-01-2019,04:00:00,1006.72,280,29.3,24.0,10.00,0.00,73,0.00,1005.73,5.6
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,32.38,08-01-2019,04:00:00,1008.51,240,29.2,25.4,10.00,0.00,80,0.00,1007.70,25.9
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,29.70,08-01-2019,04:00:00,1008.72,000,25.1,23.9,10.00,0.00,93,0.00,1006.90,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,27.67,08-01-2019,04:00:00,1008.70,230,26.3,22.8,10.00,0.00,81,0.00,1007.94,3.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,29.16,08-01-2019,04:00:00,1009.03,000,24.8,23.6,10.00,0.00,93,0.00,1005.00,0.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,28.83,08-01-2019,04:00:00,1008.56,000,25.2,23.4,10.00,0.00,90,0.00,1007.87,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,29.00,08-01-2019,04:00:00,1008.69,000,25.0,23.5,10.00,0.00,92,0.00,1007.56,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,28.70,08-01-2019,04:00:00,1009.21,000,24.1,23.4,10.00,0.00,96,0.00,1006.26,0.0
