WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,VaporPressure,MeanSeaLevelPressure,WindDirection,MaximumTemperature,WindSpeed,StationPressure,AirTemperature,DewPoint,Rainfall24Hr,RelativeHumidity,Rainfall
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,8.00,09-09-2019,19:00:00,26.25,1009.54,000,28.0,0.0,957.91,24.0,21.9,17.70,88,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,7.00,09-09-2019,19:00:00,34.19,1004.62,000,33.5,0.0,1000.72,30.9,26.3,0.00,77,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,5.00,09-09-2019,19:00:00,23.46,1007.04,240,24.8,11.1,911.79,21.0,20.1,5.80,94,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10.00,09-09-2019,19:00:00,32.28,1004.52,000,32.8,0.0,988.61,27.6,25.3,0.20,87,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,12.00,09-09-2019,19:00:00,30.06,1005.32,000,35.5,0.0,1001.34,30.3,24.1,0.00,70,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,8.00,09-09-2019,19:00:00,31.98,1006.59,000,34.0,0.0,995.99,29.0,25.2,0.00,80,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,8.00,09-09-2019,19:00:00,32.71,1005.83,000,35.8,0.0,1003.92,29.5,25.5,0.00,79,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,09-09-2019,19:00:00,28.07,1004.98,000,33.8,0.0,984.35,29.7,23.0,0.00,67,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,09-09-2019,19:00:00,30.16,1004.62,300,32.5,5.6,986.97,26.5,24.2,0.01,87,0.01
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,09-09-2019,19:00:00,30.02,1004.56,200,33.5,5.6,988.45,27.0,24.1,3.10,84,3.10
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,09-09-2019,19:00:00,31.27,1005.38,190,32.5,3.7,991.52,30.2,24.8,2.10,73,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,9.00,09-09-2019,19:00:00,33.70,1006.26,000,32.5,0.0,991.54,29.0,26.0,0.00,84,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,8.00,09-09-2019,19:00:00,35.23,1006.39,000,33.0,0.0,991.87,30.0,26.8,0.00,83,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10.00,09-09-2019,19:00:00,27.20,1005.24,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",35.2,0.0,1002.26,30.1,22.5,0.10,64,0.10
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10.00,09-09-2019,19:00:00,33.42,1005.20,000,33.6,0.0,997.36,30.4,25.9,0.00,77,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,7.00,09-09-2019,19:00:00,34.07,1006.25,000,33.6,0.0,1005.14,28.2,26.2,9.70,89,9.70
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,9.00,09-09-2019,19:00:00,36.61,1005.14,110,33.1,3.7,990.67,30.9,27.4,0.00,82,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,.10,09-09-2019,19:00:00,21.95,1008.68,290,23.8,5.6,873.26,19.0,19.0,30.20,100,22.80
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10.00,09-09-2019,19:00:00,28.89,1005.70,200,34.4,7.4,999.86,28.7,23.5,0.00,73,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,8.00,09-09-2019,19:00:00,29.89,1006.36,240,35.7,11.1,1005.57,30.5,24.0,0.00,68,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,09-09-2019,19:00:00,30.02,1006.78,230,31.0,11.1,1006.33,27.0,24.1,0.70,84,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,7.00,09-09-2019,19:00:00,31.63,1008.69,000,32.8,0.0,997.36,26.7,25.0,2.30,90,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10.00,09-09-2019,19:00:00,28.32,1006.01,300,36.0,9.3,1005.01,31.4,23.1,2.10,62,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,7.00,09-09-2019,19:00:00,31.28,1005.96,170,35.5,3.7,1004.15,27.8,24.8,0.01,84,0.01
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,8.00,09-09-2019,19:00:00,25.35,1006.22,230,34.7,7.4,1005.46,30.4,21.3,0.00,58,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,09-09-2019,19:00:00,31.51,1007.26,200,32.8,24.1,1006.56,28.2,24.9,0.20,82,0.20
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.00,09-09-2019,19:00:00,31.68,1006.68,330,33.7,7.4,1005.99,29.7,25.0,3.80,76,0.01
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10.00,09-09-2019,19:00:00,29.33,1005.56,250,33.6,1.9,984.68,30.5,23.7,0.00,67,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,10.00,09-09-2019,19:00:00,31.44,1005.37,000,33.0,0.0,988.85,30.0,24.9,0.00,74,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,9.00,09-09-2019,19:00:00,34.97,1005.45,000,33.5,0.0,989.18,29.6,26.7,0.00,84,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,09-09-2019,19:00:00,31.60,1005.80,000,33.8,0.0,984.23,30.5,25.0,0.00,72,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10.00,09-09-2019,19:00:00,27.38,1006.68,160,30.5,3.7,963.23,25.4,22.6,1.20,84,1.20
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10.00,09-09-2019,19:00:00,28.67,1005.84,000,34.0,0.0,985.31,27.0,23.3,0.30,80,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,9.00,09-09-2019,19:00:00,32.28,1006.77,240,32.1,7.4,986.00,27.6,25.3,0.00,87,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,09-09-2019,19:00:00,32.55,1007.17,250,32.0,9.3,1006.74,29.0,25.5,0.80,81,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,8.00,09-09-2019,19:00:00,33.01,1006.60,000,33.0,0.0,1005.18,27.4,25.7,3.80,90,0.10
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,8.00,09-09-2019,19:00:00,33.12,1006.45,000,33.2,0.0,1001.55,29.0,25.8,0.50,83,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10.00,09-09-2019,19:00:00,29.14,1007.45,000,35.4,0.0,1004.17,28.4,23.6,0.90,75,0.90
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,09-09-2019,19:00:00,29.00,1006.87,280,34.5,3.7,1005.77,29.9,23.5,0.00,69,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,09-09-2019,19:00:00,33.57,1006.90,210,33.0,11.1,1006.60,28.8,26.0,2.30,85,0.01
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10.00,09-09-2019,19:00:00,35.23,1006.97,000,33.1,0.0,1006.29,27.5,26.8,17.80,96,0.01
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,09-09-2019,19:00:00,34.81,1007.27,000,33.4,0.0,1006.78,27.3,26.6,29.20,96,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,09-09-2019,19:00:00,32.26,1006.78,000,33.5,0.0,1005.38,29.0,25.3,0.00,81,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,10.00,09-09-2019,19:00:00,34.40,1007.12,190,30.2,37.0,1005.45,28.5,26.4,0.00,88,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,09-09-2019,19:00:00,29.74,1008.34,220,33.5,3.7,1000.38,29.0,23.9,0.00,74,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,09-09-2019,19:00:00,32.34,1006.63,120,33.5,5.6,1006.35,29.6,25.3,1.80,78,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,09-09-2019,19:00:00,33.12,1007.17,000,31.5,0.0,1004.05,28.3,25.8,2.10,86,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,09-09-2019,19:00:00,31.54,1007.19,210,31.0,7.4,1000.28,28.5,24.9,0.00,81,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,10.00,09-09-2019,19:00:00,31.13,1007.18,000,33.8,0.0,1001.62,29.0,24.7,0.00,78,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,10.00,09-09-2019,19:00:00,32.35,1007.81,230,31.6,24.1,998.53,28.2,25.4,0.00,85,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10.00,09-09-2019,19:00:00,27.98,1007.97,000,33.1,0.0,1006.72,29.8,22.9,0.01,67,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,09-09-2019,19:00:00,30.57,1007.13,000,34.6,0.0,1006.70,29.0,24.4,0.01,76,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,8.00,09-09-2019,19:00:00,27.79,1007.92,000,32.6,0.0,995.71,28.4,22.8,0.00,72,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,09-09-2019,19:00:00,28.45,1007.41,240,33.8,7.4,1006.70,28.9,23.2,0.00,71,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,09-09-2019,19:00:00,31.33,1007.71,220,33.8,14.8,1005.29,29.1,24.8,0.00,78,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10.00,09-09-2019,19:00:00,32.96,1007.46,260,31.0,22.2,1006.95,28.5,25.7,0.00,85,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,9.00,09-09-2019,19:00:00,31.42,1007.60,190,32.5,5.6,1002.47,28.3,24.9,0.00,82,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.00,09-09-2019,19:00:00,32.30,1008.00,210,32.3,9.3,1007.59,28.6,25.3,0.00,83,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,09-09-2019,19:00:00,33.12,1008.17,000,30.8,0.0,1005.40,28.3,25.8,0.00,86,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,09-09-2019,19:00:00,28.33,1008.81,000,32.7,0.0,1008.02,25.5,23.1,13.80,87,0.50
48501,TRAD,ตราด,ตราด,11.76667,102.88333,5.00,09-09-2019,19:00:00,32.94,1007.16,220,28.9,3.7,1006.70,26.8,25.7,39.80,94,0.80
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,7.00,09-09-2019,19:00:00,29.25,1010.00,000,31.8,0.0,1009.31,24.7,23.7,0.70,94,0.70
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,7.00,09-09-2019,19:00:00,29.89,1009.23,000,31.0,0.0,1007.70,26.5,24.0,8.80,86,7.20
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,7.00,09-09-2019,19:00:00,29.00,1011.22,200,28.9,5.6,1010.29,25.0,23.5,23.20,92,10.90
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,7.00,09-09-2019,19:00:00,29.95,1010.10,290,30.9,5.6,1009.41,24.8,24.1,48.60,96,29.90
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,7.00,09-09-2019,19:00:00,29.79,1011.08,170,36.0,3.7,1010.28,25.0,24.0,16.40,94,0.30
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,8.00,09-09-2019,19:00:00,29.23,1009.05,330,33.7,7.4,1008.41,24.4,23.7,13.90,96,7.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,09-09-2019,19:00:00,29.66,1009.45,000,33.5,0.0,1009.04,24.2,23.9,34.80,98,1.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,6.00,09-09-2019,19:00:00,28.79,1012.30,000,33.0,0.0,1008.03,24.3,23.4,42.90,95,16.90
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10.00,09-09-2019,19:00:00,30.32,1010.49,000,33.0,0.0,1008.86,25.0,24.3,7.00,96,5.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,6.00,09-09-2019,19:00:00,28.53,1010.33,000,32.0,0.0,1006.81,24.0,23.3,41.30,96,16.20
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,8.00,09-09-2019,19:00:00,30.67,1009.76,000,32.8,0.0,1008.39,26.2,24.5,0.01,90,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,8.00,09-09-2019,19:00:00,31.25,1010.34,000,31.1,0.0,1009.44,25.5,24.8,27.80,96,1.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,09-09-2019,19:00:00,28.86,1010.44,000,30.0,0.0,1006.83,23.9,23.5,51.80,97,1.60
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,09-09-2019,19:00:00,32.04,1010.03,000,30.3,0.0,1009.59,26.2,25.2,42.80,94,0.20
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,8.00,09-09-2019,19:00:00,30.70,1009.95,000,31.1,0.0,1008.96,26.5,24.5,1.80,89,0.01
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,09-09-2019,19:00:00,27.25,1009.93,070,31.0,9.3,1009.11,24.0,22.5,68.20,91,4.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10.00,09-09-2019,19:00:00,29.91,1010.09,000,31.6,0.0,1008.27,25.5,24.0,64.70,92,0.30
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10.00,09-09-2019,19:00:00,28.59,1009.73,220,32.2,3.7,1008.98,29.4,23.3,7.00,70,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,09-09-2019,19:00:00,29.52,1010.22,210,31.2,5.6,1006.23,27.6,23.8,0.00,80,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,09-09-2019,19:00:00,30.15,1009.91,000,30.8,0.0,1009.23,28.5,24.2,0.00,78,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,09-09-2019,19:00:00,32.38,1009.65,000,31.4,0.0,1008.55,29.2,25.4,0.00,80,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10.00,09-09-2019,19:00:00,30.72,1009.94,000,30.5,0.0,1007.02,27.8,24.5,0.00,82,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,7.00,09-09-2019,19:00:00,30.70,1009.89,000,31.7,0.0,1009.21,27.5,24.5,1.50,84,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,7.00,09-09-2019,19:00:00,30.70,1010.33,000,30.8,0.0,1006.19,26.5,24.5,1.50,89,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,9.00,09-09-2019,19:00:00,27.55,1009.30,000,32.5,0.0,1008.71,25.5,22.7,14.90,84,0.00
