WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,WindDirection,Rainfall24Hr,LandVisibility,WindSpeed,Rainfall,MeanSeaLevelPressure,StationPressure,DewPoint,AirTemperature,VaporPressure
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,98,10-11-2019,04:00:00,000,2.50,6.00,0.0,0.00,1010.74,995.92,24.9,25.2,31.49
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,92,10-11-2019,04:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,8.00,0.0,0.00,1010.54,1007.50,24.6,26.0,30.84
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,93,10-11-2019,04:00:00,000,0.00,7.00,0.0,0.00,1010.24,1002.21,23.6,24.8,29.16
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,92,10-11-2019,04:00:00,000,0.00,7.00,0.0,0.00,1010.60,1009.49,24.6,26.0,30.84
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,89,10-11-2019,04:00:00,000,0.00,8.00,0.0,0.00,1010.81,995.97,22.9,24.8,27.87
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,99,10-11-2019,04:00:00,000,19.80,8.00,0.0,0.00,1013.34,876.65,17.3,17.5,19.77
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,98,10-11-2019,04:00:00,000,2.90,5.00,0.0,0.00,1010.50,1004.54,23.7,24.0,29.30
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,88,10-11-2019,04:00:00,060,0.00,8.00,5.6,0.00,1010.33,1009.52,24.0,26.2,29.86
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,89,10-11-2019,04:00:00,120,0.00,8.00,9.3,0.00,1009.56,1009.11,25.4,27.4,32.45
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,96,10-11-2019,04:00:00,000,6.30,4.00,0.0,0.00,1011.32,999.87,23.5,24.2,28.88
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,93,10-11-2019,04:00:00,000,28.80,6.00,0.0,2.50,1010.19,1009.17,23.3,24.5,28.63
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,87,10-11-2019,04:00:00,000,0.00,7.00,0.0,0.00,1010.67,1008.83,22.6,25.0,27.45
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,93,10-11-2019,04:00:00,040,11.00,6.00,5.6,0.00,1010.06,1009.36,24.7,26.0,31.11
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,91,10-11-2019,04:00:00,000,0.00,7.00,0.0,0.00,1010.09,1009.39,25.1,26.7,31.91
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,97,10-11-2019,04:00:00,000,45.90,8.00,0.0,0.00,1011.09,989.64,23.6,24.0,29.04
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,95,10-11-2019,04:00:00,000,0.01,6.00,0.0,0.00,1010.61,993.69,23.4,24.3,28.79
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,97,10-11-2019,04:00:00,000,0.60,7.00,0.0,0.00,1010.99,994.35,23.6,24.2,29.13
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,97,10-11-2019,04:00:00,000,14.00,6.00,0.0,0.00,1010.93,988.77,23.3,23.9,28.61
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,98,10-11-2019,04:00:00,000,1.00,8.00,0.0,0.00,1010.91,966.81,21.8,22.1,26.09
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,91,10-11-2019,04:00:00,000,0.00,10.00,0.0,0.00,1010.36,989.56,23.0,24.5,28.11
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,100,10-11-2019,04:00:00,260,0.00,7.00,5.6,0.00,1011.94,990.78,23.4,23.4,28.76
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,92,10-11-2019,04:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.10,8.00,0.0,0.01,1010.33,1009.89,25.1,26.5,31.79
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,94,10-11-2019,04:00:00,000,0.00,6.00,0.0,0.00,1010.07,1008.64,23.4,24.4,28.71
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,97,10-11-2019,04:00:00,000,0.00,7.00,0.0,0.00,1010.58,1005.59,24.3,24.7,30.30
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,93,10-11-2019,04:00:00,000,5.40,9.00,0.0,5.30,1010.43,1007.11,24.2,25.5,30.17
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,98,10-11-2019,04:00:00,340,0.00,10.00,3.7,0.00,1010.19,1009.08,24.9,25.2,31.49
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,92,10-11-2019,04:00:00,000,7.10,10.00,0.0,0.00,1010.13,1009.83,25.6,27.0,32.77
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,93,10-11-2019,04:00:00,000,26.60,8.00,0.0,0.00,1010.19,1009.70,25.4,26.5,32.35
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,84,10-11-2019,04:00:00,360,0.00,8.00,11.1,0.00,1010.51,1009.09,24.1,27.0,30.02
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,97,10-11-2019,04:00:00,000,0.00,10.00,0.0,0.00,1011.83,1003.70,23.0,23.5,28.17
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,93,10-11-2019,04:00:00,000,5.80,4.00,0.0,0.00,1009.98,1009.69,24.4,25.6,30.63
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,96,10-11-2019,04:00:00,000,0.00,10.00,0.0,0.00,1009.62,1006.46,24.8,25.5,31.25
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,92,10-11-2019,04:00:00,000,0.00,6.00,0.0,0.00,1009.74,1002.77,25.0,26.4,31.60
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,94,10-11-2019,04:00:00,000,0.01,10.00,0.0,0.00,1010.38,1004.73,24.4,25.4,30.52
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,87,10-11-2019,04:00:00,270,0.01,8.00,7.4,0.00,1011.01,1009.74,23.8,26.1,29.41
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,85,10-11-2019,04:00:00,000,0.00,11.00,0.0,0.00,1010.01,1009.58,24.3,27.0,30.29
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,96,10-11-2019,04:00:00,000,0.00,4.00,0.0,0.00,1010.42,998.01,23.6,24.3,29.05
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,92,10-11-2019,04:00:00,000,0.00,7.00,0.0,0.00,1010.09,1009.37,24.7,26.1,31.03
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,85,10-11-2019,04:00:00,000,6.30,4.00,0.0,0.00,1010.61,1008.15,22.2,24.9,26.77
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,96,10-11-2019,04:00:00,000,0.50,8.00,0.0,0.00,1010.12,1009.60,24.3,25.0,30.32
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,95,10-11-2019,04:00:00,030,1.50,7.00,5.6,0.00,1009.99,1004.79,23.9,24.8,29.69
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,96,10-11-2019,04:00:00,000,0.30,7.00,0.0,0.00,1010.25,1009.83,24.0,24.7,29.77
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,96,10-11-2019,04:00:00,000,3.20,8.00,0.0,0.00,1010.31,1007.51,23.8,24.5,29.41
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,91,10-11-2019,04:00:00,000,0.00,10.00,0.0,0.00,1010.06,1009.27,23.9,25.5,29.64
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,92,10-11-2019,04:00:00,000,0.00,7.00,0.0,0.00,1010.49,1009.80,23.6,24.9,29.08
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,92,10-11-2019,04:00:00,000,0.00,7.00,0.0,0.00,1010.29,1008.75,23.7,25.2,29.36
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,93,10-11-2019,04:00:00,160,11.70,10.00,3.7,0.00,1010.53,1009.60,23.3,24.5,28.63
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,94,10-11-2019,04:00:00,330,4.90,10.00,5.6,0.00,1010.31,1009.61,23.7,24.7,29.25
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,96,10-11-2019,04:00:00,000,0.01,7.00,0.0,0.00,1010.34,1009.54,23.8,24.5,29.41
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,95,10-11-2019,04:00:00,000,0.00,10.00,0.0,0.00,1009.15,1008.51,23.6,24.5,29.15
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,97,10-11-2019,04:00:00,000,0.30,1.00,0.0,0.00,1008.94,1008.53,23.4,24.0,28.78
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,96,10-11-2019,04:00:00,000,2.40,5.00,0.0,0.00,1012.27,1007.99,23.0,23.6,28.09
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,98,10-11-2019,04:00:00,000,0.00,7.00,0.0,0.00,1010.25,1008.61,23.0,23.3,28.08
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,91,10-11-2019,04:00:00,000,1.40,10.00,0.0,0.00,1010.31,1006.78,21.5,23.0,25.60
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,98,10-11-2019,04:00:00,000,0.50,8.00,0.0,0.00,1008.86,1007.49,23.9,24.2,29.66
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,99,10-11-2019,04:00:00,000,3.80,10.00,0.0,0.00,1009.82,1008.92,23.9,24.1,29.74
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,98,10-11-2019,04:00:00,000,5.20,10.00,0.0,0.00,1009.84,1006.23,23.1,23.4,28.25
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,96,10-11-2019,04:00:00,000,3.00,10.00,0.0,0.80,1009.44,1009.00,24.8,25.5,31.25
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,92,10-11-2019,04:00:00,000,1.30,10.00,0.0,0.00,1009.81,1008.81,23.5,25.0,29.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,93,10-11-2019,04:00:00,070,0.60,10.00,7.4,0.00,1009.49,1008.67,23.6,24.8,29.16
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,97,10-11-2019,04:00:00,000,1.30,7.00,0.0,0.00,1009.47,1007.63,23.4,23.8,28.69
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,95,10-11-2019,04:00:00,230,0.00,10.00,5.6,0.00,1009.23,1008.47,23.1,24.0,28.27
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,99,10-11-2019,04:00:00,000,43.80,10.00,0.0,0.00,1009.36,1005.31,22.9,23.1,27.99
48570,SATUN,สตูล,สตูล,6.65000,100.08333,96,10-11-2019,04:00:00,000,0.00,10.00,0.0,0.00,1010.47,1009.78,23.8,24.5,29.41
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,98,10-11-2019,04:00:00,000,25.40,10.00,0.0,0.00,1009.87,1008.74,22.2,22.5,26.74
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,98,10-11-2019,04:00:00,000,40.60,10.00,0.0,0.00,1009.43,1006.47,23.0,23.3,28.08
