WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,WindDirection,VaporPressure,WindSpeed,DewPoint,MeanSeaLevelPressure,RelativeHumidity,StationPressure,AirTemperature,LandVisibility,Rainfall
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,8.60,09-11-2019,16:00:00,000,30.84,0.0,24.6,1009.90,82,1002.60,28.0,9.00,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,24.40,09-11-2019,16:00:00,070,31.70,5.6,25.0,1009.37,82,989.52,28.3,10.00,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,1.60,09-11-2019,16:00:00,030,30.31,3.7,24.3,1009.54,71,981.13,30.0,15.00,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,50.30,09-11-2019,16:00:00,070,31.16,3.7,24.7,1009.55,76,989.50,29.3,14.00,0.01
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,66.50,09-11-2019,16:00:00,000,31.54,0.0,24.9,1010.07,81,988.40,28.5,15.00,0.01
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,38.20,09-11-2019,16:00:00,000,30.07,0.0,24.1,1009.51,77,990.09,28.6,15.00,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,81.90,09-11-2019,16:00:00,000,29.11,0.0,23.6,1010.25,77,993.53,28.1,12.00,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,84.60,09-11-2019,16:00:00,060,30.37,3.7,24.3,1010.38,81,992.98,27.9,12.00,0.10
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,31.20,09-11-2019,16:00:00,090,30.44,5.6,24.3,1010.06,93,984.09,25.5,5.00,8.20
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,15.50,09-11-2019,16:00:00,140,32.36,5.6,25.4,1010.75,88,1004.95,27.5,10.00,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,14.40,09-11-2019,16:00:00,000,32.93,0.0,25.7,1010.27,90,1004.07,27.5,8.00,0.40
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,18.20,09-11-2019,16:00:00,000,29.50,0.0,23.8,1011.61,88,995.05,26.0,12.00,12.40
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,6.10,09-11-2019,16:00:00,280,28.59,5.6,23.3,1009.85,88,987.37,25.5,8.00,2.30
48376,TAK,ตาก,ตาก,16.87833,99.14333,1.60,09-11-2019,16:00:00,270,28.96,9.3,23.5,1010.86,80,996.44,27.3,6.00,0.20
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,3.00,09-11-2019,16:00:00,000,30.56,0.0,24.4,1010.80,86,994.36,27.0,7.00,1.30
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1.50,09-11-2019,16:00:00,230,30.31,7.4,24.3,1009.96,71,1004.77,30.0,10.00,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,13.30,09-11-2019,16:00:00,000,30.72,0.0,24.5,1009.09,82,995.90,27.8,12.00,0.60
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,11.60,09-11-2019,16:00:00,330,30.31,7.4,24.3,1010.10,84,1000.76,27.3,10.00,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,18.20,09-11-2019,16:00:00,240,27.85,9.3,22.9,1009.54,74,987.87,28.0,10.00,0.01
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,3.10,09-11-2019,16:00:00,240,31.28,11.1,24.8,1009.47,76,992.07,29.5,10.00,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,6.80,09-11-2019,16:00:00,220,30.72,3.7,24.5,1009.24,75,993.51,29.5,12.00,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,11.50,09-11-2019,16:00:00,270,29.52,1.9,23.8,1008.71,75,989.90,28.6,10.00,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,14.90,09-11-2019,16:00:00,000,26.60,0.0,22.1,1013.34,85,961.65,24.8,10.00,4.20
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,10.90,09-11-2019,16:00:00,260,31.94,1.9,25.1,1009.78,90,1005.81,27.0,3.00,7.80
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,5.60,09-11-2019,16:00:00,250,23.41,9.3,20.0,1011.37,97,915.56,20.5,.20,2.20
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,3.30,09-11-2019,16:00:00,000,31.03,0.0,24.7,1009.69,74,993.81,29.8,8.00,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-11-2019,16:00:00,310,30.11,5.6,24.2,1009.89,60,1005.92,33.0,10.00,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,21.60,09-11-2019,16:00:00,320,29.25,3.7,23.7,1010.35,58,999.86,33.0,10.00,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.30,09-11-2019,16:00:00,270,28.59,7.4,23.3,1009.66,54,1007.77,33.8,12.00,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,17.60,09-11-2019,16:00:00,260,29.47,7.4,23.8,1009.61,69,988.90,30.0,10.00,0.70
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,15.10,09-11-2019,16:00:00,000,32.38,0.0,25.4,1009.83,80,992.25,29.2,10.00,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,7.90,09-11-2019,16:00:00,240,31.25,5.6,24.8,1009.28,77,993.20,29.2,10.00,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,5.30,09-11-2019,16:00:00,260,28.80,3.7,23.4,1010.21,69,996.26,29.8,10.00,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1.80,09-11-2019,16:00:00,000,31.28,0.0,24.8,1010.93,76,996.17,29.5,8.00,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1.70,09-11-2019,16:00:00,270,31.31,7.4,24.8,1010.10,72,995.55,30.5,8.00,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.10,09-11-2019,16:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",30.29,0.0,24.3,1009.50,56,1006.55,34.2,10.00,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,34.60,09-11-2019,16:00:00,000,28.91,0.0,23.5,1009.69,68,1001.80,30.0,10.00,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.50,09-11-2019,16:00:00,270,30.04,3.7,24.1,1009.39,57,1008.31,33.8,8.00,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,35.50,09-11-2019,16:00:00,000,34.65,0.0,26.5,1010.03,74,995.53,31.8,8.00,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,55.60,09-11-2019,16:00:00,290,22.08,1.9,19.1,1009.17,74,875.81,24.1,8.00,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,6.80,09-11-2019,16:00:00,000,30.61,0.0,24.4,1009.93,61,1004.15,33.1,10.00,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,29.40,09-11-2019,16:00:00,280,28.18,5.6,23.1,1009.79,52,1009.01,34.3,15.00,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-11-2019,16:00:00,210,29.70,11.1,23.9,1009.76,68,1009.32,30.4,10.00,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,4.60,09-11-2019,16:00:00,000,30.57,0.0,24.4,1011.47,76,1000.19,29.0,10.00,3.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-11-2019,16:00:00,180,29.71,3.7,23.9,1009.40,53,1008.41,34.9,12.00,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.01,09-11-2019,16:00:00,230,28.43,7.4,23.2,1009.88,53,1008.09,34.0,13.00,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,09-11-2019,16:00:00,000,26.20,0.0,21.9,1009.15,51,1008.40,33.3,8.00,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.01,09-11-2019,16:00:00,200,28.96,9.3,23.5,1009.72,55,1009.03,33.7,10.00,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,30.20,09-11-2019,16:00:00,000,31.74,0.0,25.0,1009.70,64,1009.01,32.8,8.00,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.10,09-11-2019,16:00:00,300,26.37,9.3,22.0,1009.24,52,988.46,33.1,10.00,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.90,09-11-2019,16:00:00,260,29.76,5.6,24.0,1009.95,66,993.40,31.0,10.00,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1.90,09-11-2019,16:00:00,360,30.65,5.6,24.5,1010.36,67,994.10,31.3,10.00,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.20,09-11-2019,16:00:00,320,26.45,14.8,22.0,1009.24,53,987.77,33.0,10.00,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,12.60,09-11-2019,16:00:00,260,27.24,22.2,22.5,1009.74,66,966.72,29.4,10.00,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.40,09-11-2019,16:00:00,350,29.22,5.6,23.7,1009.30,61,989.03,32.0,10.00,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,5.40,09-11-2019,16:00:00,320,33.20,5.6,25.8,1011.69,80,990.96,29.6,9.00,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.10,09-11-2019,16:00:00,140,29.43,13.0,23.8,1009.32,64,1008.89,31.4,11.00,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,6.10,09-11-2019,16:00:00,000,31.97,0.0,25.2,1009.81,68,1008.41,31.8,11.00,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,3.20,09-11-2019,16:00:00,000,33.73,0.0,26.1,1009.56,75,1004.68,31.1,8.00,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,09-11-2019,16:00:00,300,26.03,9.3,21.7,1009.42,46,1006.20,35.2,12.00,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,09-11-2019,16:00:00,000,29.54,0.0,23.8,1009.42,56,1008.34,33.7,10.00,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.01,09-11-2019,16:00:00,320,29.29,9.3,23.7,1009.57,55,1009.27,34.0,10.00,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.50,09-11-2019,16:00:00,000,28.10,0.0,23.0,1009.71,52,1009.03,34.4,10.00,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1.50,09-11-2019,16:00:00,250,29.70,7.4,23.9,1009.67,57,1009.19,33.5,10.00,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,6.20,09-11-2019,16:00:00,240,25.93,13.0,21.7,1009.71,51,1008.33,33.3,10.00,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,09-11-2019,16:00:00,230,33.98,11.1,26.2,1009.99,77,1008.32,30.8,12.00,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,09-11-2019,16:00:00,000,27.77,0.0,22.8,1011.49,57,1003.59,32.4,10.00,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-11-2019,16:00:00,280,27.01,11.1,22.4,1009.72,51,1009.45,34.0,10.00,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-11-2019,16:00:00,320,28.66,5.6,23.3,1010.29,60,1007.20,32.0,10.00,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,09-11-2019,16:00:00,330,27.41,5.6,22.6,1010.34,59,1003.48,31.5,12.00,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.40,09-11-2019,16:00:00,000,31.06,0.0,24.7,1010.10,70,1004.56,30.8,10.00,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,09-11-2019,16:00:00,320,28.80,11.1,23.4,1010.83,50,1001.74,35.3,15.00,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,09-11-2019,16:00:00,000,29.25,0.0,23.7,1010.53,58,1009.28,33.0,15.00,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.30,09-11-2019,16:00:00,160,31.86,9.3,25.1,1009.88,66,1009.45,32.3,11.00,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-11-2019,16:00:00,150,27.84,7.4,22.9,1009.86,55,997.81,33.0,12.00,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-11-2019,16:00:00,140,29.47,5.6,23.8,1010.65,69,1009.95,30.0,10.00,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,09-11-2019,16:00:00,210,26.21,14.8,21.9,1010.67,48,1008.29,34.3,10.00,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,09-11-2019,16:00:00,250,30.63,22.2,24.4,1010.01,74,1009.50,29.6,10.00,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,09-11-2019,16:00:00,180,27.87,3.7,22.9,1009.67,60,1004.58,31.6,13.00,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.40,09-11-2019,16:00:00,000,31.23,0.0,24.8,1010.00,66,1009.59,32.0,9.00,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,2.10,09-11-2019,16:00:00,200,33.24,7.4,25.8,1010.22,71,1007.49,31.7,8.00,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-11-2019,16:00:00,150,31.93,9.3,25.1,1011.02,69,1010.25,31.5,10.00,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,2.50,09-11-2019,16:00:00,210,32.96,3.7,25.7,1010.65,78,1010.19,29.9,8.00,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.40,09-11-2019,16:00:00,160,29.79,7.4,24.0,1011.04,81,1010.36,27.6,8.00,0.40
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,6.80,09-11-2019,16:00:00,000,27.99,0.0,22.9,1010.97,85,1009.43,25.6,7.00,6.80
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.01,09-11-2019,16:00:00,280,29.74,5.6,23.9,1011.51,74,1010.60,29.0,10.00,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.10,09-11-2019,16:00:00,040,35.23,5.6,26.8,1010.92,83,1010.24,30.0,8.00,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1.00,09-11-2019,16:00:00,080,33.58,7.4,26.0,1010.29,71,1009.50,32.0,8.00,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.60,09-11-2019,16:00:00,090,32.52,5.6,25.4,1009.72,70,1009.10,31.5,10.00,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,30.80,09-11-2019,16:00:00,080,31.73,11.1,25.0,1009.93,66,1009.53,32.1,10.00,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,2.60,09-11-2019,16:00:00,080,29.01,3.7,23.5,1012.73,90,1008.48,25.3,5.00,2.60
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,09-11-2019,16:00:00,000,30.61,0.0,24.4,1009.94,68,1008.34,31.0,12.00,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,20.50,09-11-2019,16:00:00,000,35.37,0.0,26.9,1010.16,73,1006.73,32.4,12.00,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,4.20,09-11-2019,16:00:00,050,31.97,5.6,25.2,1009.72,68,1008.39,31.8,8.00,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-11-2019,16:00:00,300,31.11,5.6,24.7,1010.39,72,1009.52,30.4,10.00,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,09-11-2019,16:00:00,190,30.49,5.6,24.4,1010.60,66,1007.08,31.5,10.00,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,09-11-2019,16:00:00,330,27.94,5.6,22.9,1010.38,69,1009.95,29.2,10.00,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1.20,09-11-2019,16:00:00,000,31.53,0.0,24.9,1010.99,78,1010.00,29.2,10.00,1.20
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-11-2019,16:00:00,160,32.26,9.3,25.3,1010.61,71,1009.81,31.1,10.00,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-11-2019,16:00:00,230,30.04,11.1,24.1,1010.11,64,1008.32,31.7,7.00,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,09-11-2019,16:00:00,040,33.26,9.3,25.8,1010.30,76,1009.56,30.6,10.00,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1.40,09-11-2019,16:00:00,080,32.67,16.7,25.5,1009.90,74,1005.94,30.6,10.00,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-11-2019,16:00:00,270,28.24,7.4,23.1,1009.98,56,1009.31,33.2,8.00,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,2.40,09-11-2019,16:00:00,020,32.10,9.3,25.2,1010.40,83,1009.28,28.5,10.00,2.40
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1.60,09-11-2019,16:00:00,240,29.54,7.4,23.8,1009.61,56,1006.75,33.7,10.00,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.30,09-11-2019,16:00:00,000,32.99,0.0,25.7,1009.27,69,1008.59,32.0,8.00,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,2.90,09-11-2019,16:00:00,060,29.62,11.1,23.9,1009.81,57,1005.77,33.6,6.00,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,09-11-2019,16:00:00,060,29.07,13.0,23.6,1009.66,63,1009.08,31.5,10.00,0.00
