WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindSpeed,Rainfall24Hr,MeanSeaLevelPressure,VaporPressure,WindDirection,LandVisibility,AirTemperature,DewPoint,RelativeHumidity,StationPressure
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,09-28-2019,13:00:00,11.1,4.50,1012.90,30.04,360,8.00,31.7,24.1,64,1011.65
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,09-28-2019,13:00:00,14.8,3.20,1012.35,30.28,350,11.00,33.5,24.2,59,1011.93
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-28-2019,13:00:00,7.4,1.00,1005.77,28.78,030,10.00,30.5,23.4,66,993.67
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-28-2019,13:00:00,9.3,0.00,1012.72,30.82,040,7.00,32.5,24.5,63,1012.02
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,09-28-2019,13:00:00,5.6,3.10,1012.34,27.64,360,6.00,35.3,22.7,48,1009.96
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,09-28-2019,13:00:00,11.1,0.00,1011.84,26.60,100,8.00,34.5,22.1,49,1011.33
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,09-28-2019,13:00:00,9.3,1.40,1011.41,23.81,330,12.00,33.9,20.3,45,1006.35
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,09-28-2019,13:00:00,0.0,0.00,1011.42,30.85,000,9.00,34.6,24.6,56,1011.01
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,09-28-2019,13:00:00,3.7,0.00,1011.42,34.05,040,10.00,31.8,26.2,72,1008.68
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-28-2019,13:00:00,22.2,1.20,1012.50,33.66,070,10.00,33.0,26.0,67,1011.72
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.01,09-28-2019,13:00:00,5.6,0.01,1011.89,33.88,260,6.00,30.2,26.1,79,1011.44
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,09-28-2019,13:00:00,11.1,0.00,1012.19,29.54,100,10.00,33.0,23.8,59,1011.51
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,09-28-2019,13:00:00,7.4,0.20,1011.71,30.94,050,10.00,32.0,24.6,65,1010.20
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,09-28-2019,13:00:00,7.4,0.00,1011.39,31.46,050,10.00,33.5,24.9,61,1010.49
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,09-28-2019,13:00:00,16.7,0.00,1011.35,33.37,080,9.00,28.7,25.9,85,1010.67
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,8.90,09-28-2019,13:00:00,5.6,8.90,1012.58,31.22,060,8.00,27.2,24.8,87,1011.78
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,35.30,09-28-2019,13:00:00,0.0,37.70,1012.09,31.79,000,7.00,25.5,25.1,97,1011.45
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,13.90,09-28-2019,13:00:00,0.0,17.50,1012.23,31.79,000,10.00,25.5,25.1,97,1011.82
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,8.20,09-28-2019,13:00:00,0.0,8.20,1014.75,32.02,000,5.00,26.9,25.2,90,1010.51
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,09-28-2019,13:00:00,0.0,3.20,1010.17,27.84,000,10.00,33.0,22.9,55,1008.59
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1.10,09-28-2019,13:00:00,0.0,1.10,1012.12,31.66,000,8.00,27.0,25.0,89,1008.63
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.30,09-28-2019,13:00:00,0.0,1.00,1012.56,31.38,000,10.00,27.0,24.8,88,1011.20
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-28-2019,13:00:00,9.3,25.90,1011.70,32.18,240,10.00,31.2,25.3,71,1010.82
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.01,09-28-2019,13:00:00,22.2,0.01,1011.95,25.05,120,10.00,27.0,21.1,70,1008.37
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,09-28-2019,13:00:00,0.0,8.00,1010.89,30.69,000,10.00,33.0,24.5,61,1010.46
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,09-28-2019,13:00:00,11.1,0.01,1011.14,29.54,060,10.00,33.0,23.8,59,1010.17
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.40,09-28-2019,13:00:00,18.5,0.40,1011.61,31.19,350,10.00,30.3,24.7,72,1010.80
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.70,09-28-2019,13:00:00,14.8,0.70,1011.55,31.05,040,10.00,29.1,24.7,77,1009.74
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.50,09-28-2019,13:00:00,13.0,6.90,1011.72,30.82,070,12.00,28.7,24.5,78,1010.97
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.60,09-28-2019,13:00:00,14.8,1.20,1011.60,29.30,050,10.00,30.2,23.7,68,1007.63
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-28-2019,13:00:00,0.0,0.00,1011.99,29.42,000,10.00,32.8,23.8,59,1011.32
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,09-28-2019,13:00:00,11.1,0.60,1011.54,31.13,030,12.00,29.0,24.7,78,1010.43
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.60,09-28-2019,13:00:00,3.7,2.20,1012.01,33.25,050,8.00,29.9,25.8,79,1009.10
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,09-28-2019,13:00:00,0.0,0.70,1011.65,32.39,000,9.00,28.5,25.4,83,1010.97
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1.50,09-28-2019,13:00:00,0.0,1.50,1012.28,31.41,000,8.00,29.0,24.9,78,1008.17
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,09-28-2019,13:00:00,0.0,1.00,1011.57,30.14,000,10.00,30.2,24.2,70,1010.99
