WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindSpeed,StationPressure,Rainfall24Hr,DewPoint,RelativeHumidity,WindDirection,Rainfall,AirTemperature,LandVisibility,MeanSeaLevelPressure,VaporPressure
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-24-2019,01:00:00,0.0,980.86,0.00,23.5,92,000,0.00,25.0,10.00,1014.80,29.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-24-2019,01:00:00,0.0,995.87,0.00,23.0,91,000,0.00,24.5,6.00,1014.64,28.11
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-24-2019,01:00:00,0.0,992.19,3.40,23.3,92,000,0.00,24.6,10.00,1015.34,28.55
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-24-2019,01:00:00,0.0,985.17,0.20,22.4,94,000,0.00,23.5,6.00,1015.59,27.16
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-24-2019,01:00:00,0.0,979.08,0.00,21.0,91,000,0.00,22.5,7.00,1015.31,24.80
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-24-2019,01:00:00,0.0,984.55,0.00,20.5,94,000,0.00,21.4,3.00,1014.99,24.05
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-24-2019,01:00:00,0.0,1006.79,0.00,22.3,80,000,0.00,26.0,8.00,1014.17,26.88
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-24-2019,01:00:00,3.7,994.91,0.00,20.2,74,120,0.00,25.3,5.00,1015.06,23.71
48353,LOEI,เลย,เลย,17.45000,101.73333,09-24-2019,01:00:00,0.0,985.77,0.00,20.7,87,000,0.00,23.0,7.00,1014.99,24.39
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-24-2019,01:00:00,3.7,994.82,0.00,21.4,79,070,0.00,25.3,6.00,1015.25,25.44
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-24-2019,01:00:00,0.0,993.37,0.00,21.4,91,000,0.00,22.9,6.00,1015.56,25.44
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-24-2019,01:00:00,3.7,995.40,0.00,20.3,80,120,0.00,24.0,11.00,1015.22,23.82
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,09-24-2019,01:00:00,0.0,998.30,0.00,18.2,74,000,0.00,23.0,10.00,1015.40,20.91
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-24-2019,01:00:00,0.0,998.07,0.00,19.9,91,000,0.00,21.5,8.00,1015.95,23.28
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-24-2019,01:00:00,7.4,987.74,0.00,22.8,84,150,0.00,25.8,8.00,1013.77,27.82
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,09-24-2019,01:00:00,0.0,1007.52,0.00,24.6,84,000,0.00,27.5,10.00,1013.34,30.97
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,09-24-2019,01:00:00,0.0,1007.58,0.00,24.5,87,000,0.00,27.0,10.00,1013.81,30.83
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-24-2019,01:00:00,0.0,998.17,0.00,21.7,82,000,0.00,25.0,10.00,1014.84,25.93
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-24-2019,01:00:00,5.6,989.46,0.00,22.5,84,030,0.00,25.5,8.00,1011.99,27.29
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-24-2019,01:00:00,0.0,1000.18,0.00,23.4,85,000,0.00,26.2,6.00,1014.71,28.80
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-24-2019,01:00:00,0.0,997.73,0.00,24.0,94,000,0.00,25.0,8.00,1014.34,29.79
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-24-2019,01:00:00,0.0,1009.00,0.00,24.5,88,000,0.00,26.7,10.00,1014.27,30.81
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-24-2019,01:00:00,0.0,999.29,0.00,20.5,72,000,0.00,26.0,10.00,1012.60,24.12
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-24-2019,01:00:00,0.0,1004.52,0.00,22.8,78,000,0.00,26.9,10.00,1013.91,27.70
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-24-2019,01:00:00,5.6,991.79,0.00,22.0,81,090,0.00,25.6,8.00,1013.72,26.45
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,09-24-2019,01:00:00,3.7,997.17,0.00,20.7,77,100,0.00,25.1,10.00,1014.92,24.37
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-24-2019,01:00:00,7.4,998.36,0.00,21.5,83,030,0.00,24.5,10.00,1014.45,25.60
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-24-2019,01:00:00,5.6,994.56,0.00,21.9,85,020,0.00,24.6,8.00,1013.72,26.26
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-24-2019,01:00:00,0.0,962.61,0.00,20.8,89,000,0.00,22.8,6.00,1014.71,24.56
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-24-2019,01:00:00,0.0,1009.36,0.00,24.4,84,000,0.00,27.3,5.00,1013.34,30.59
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-24-2019,01:00:00,0.0,918.70,0.01,18.3,83,000,0.00,21.3,5.00,1014.56,20.95
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-24-2019,01:00:00,0.0,998.69,0.00,23.2,90,000,0.00,25.0,6.00,1014.91,28.48
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-24-2019,01:00:00,0.0,1009.37,0.00,23.7,86,000,0.00,26.3,8.00,1013.44,29.25
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-24-2019,01:00:00,0.0,1003.72,0.80,22.4,84,000,0.00,25.2,7.00,1014.53,27.03
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-24-2019,01:00:00,0.0,1011.96,0.80,23.7,90,000,0.00,25.5,7.00,1013.91,29.38
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-24-2019,01:00:00,3.7,992.18,0.00,21.2,75,030,0.00,25.9,8.00,1013.24,25.19
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-24-2019,01:00:00,11.1,996.41,0.00,20.7,79,060,0.00,24.5,10.00,1014.35,24.37
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-24-2019,01:00:00,3.7,997.73,0.00,21.4,80,060,0.00,25.0,10.00,1014.11,25.43
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-24-2019,01:00:00,5.6,999.18,5.70,19.7,75,030,0.00,24.5,8.00,1013.42,22.93
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-24-2019,01:00:00,0.0,999.16,10.60,19.4,73,000,0.00,24.5,7.00,1014.22,22.45
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-24-2019,01:00:00,14.8,998.96,4.30,20.6,73,050,0.00,25.8,6.00,1013.79,24.28
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-24-2019,01:00:00,0.0,1010.43,0.40,24.3,89,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,26.2,7.00,1013.48,30.40
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-24-2019,01:00:00,0.0,1005.08,0.00,23.1,84,000,0.00,26.0,8.00,1013.10,28.18
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-24-2019,01:00:00,3.7,1011.97,6.80,24.2,94,050,0.00,25.2,6.00,1013.09,30.15
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-24-2019,01:00:00,7.4,998.53,0.00,23.4,85,090,0.00,26.0,8.00,1013.36,28.70
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,09-24-2019,01:00:00,7.4,878.17,31.30,18.5,99,120,0.00,18.7,2.00,1014.50,21.33
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-24-2019,01:00:00,0.0,1007.17,0.00,23.9,91,000,0.00,25.5,7.00,1013.12,29.64
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,09-24-2019,01:00:00,0.0,1012.32,25.70,24.3,97,000,0.00,24.7,8.00,1013.13,30.30
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,09-24-2019,01:00:00,5.6,1012.15,21.90,23.9,92,120,0.00,25.2,8.00,1012.60,29.62
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,09-24-2019,01:00:00,0.0,1001.63,0.00,22.2,86,000,0.00,24.7,4.00,1013.09,26.68
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,09-24-2019,01:00:00,0.0,1012.14,1.60,24.9,98,000,0.01,25.2,6.00,1013.16,31.49
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,09-24-2019,01:00:00,0.0,1011.62,3.40,23.8,93,000,0.60,25.0,7.00,1013.47,29.52
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,09-24-2019,01:00:00,0.0,{'@attributes': {'unit': 'hPa'}},10.10,23.9,95,000,0.00,24.8,5.00,{'@attributes': {'Unit': 'hPa'}},29.69
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,09-24-2019,01:00:00,3.7,1012.05,8.40,23.6,93,120,0.00,24.8,10.00,1012.77,29.16
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,09-24-2019,01:00:00,0.0,1012.23,3.40,24.5,94,000,0.00,25.5,7.00,1012.94,30.71
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,09-24-2019,01:00:00,0.0,992.67,7.50,23.3,91,000,0.00,24.9,8.00,1014.11,28.56
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,09-24-2019,01:00:00,5.6,996.69,22.90,21.9,80,040,0.00,25.6,7.00,1013.59,26.19
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,09-24-2019,01:00:00,7.4,997.35,19.50,22.1,85,010,0.00,24.8,6.00,1014.01,26.60
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,09-24-2019,01:00:00,0.0,991.64,37.50,23.8,96,000,0.00,24.5,6.00,1013.82,29.41
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,09-24-2019,01:00:00,14.8,969.75,21.90,22.0,96,070,8.50,22.8,4.00,1013.89,26.50
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,09-24-2019,01:00:00,0.0,992.57,39.30,23.5,96,000,0.00,24.2,10.00,1013.45,28.88
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,09-24-2019,01:00:00,11.1,994.22,0.60,22.9,94,040,0.00,23.9,8.00,1015.42,27.84
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,09-24-2019,01:00:00,5.6,1012.53,25.30,24.6,97,050,0.60,25.2,10.00,1012.97,30.96
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,09-24-2019,01:00:00,0.0,1011.67,5.90,23.6,97,000,0.00,24.2,6.00,1013.11,29.13
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,09-24-2019,01:00:00,0.0,1008.47,13.20,24.3,98,000,0.00,24.6,7.00,1013.47,30.38
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,09-24-2019,01:00:00,0.0,1010.10,30.30,24.0,96,000,0.00,24.7,7.00,1013.44,29.77
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,09-24-2019,01:00:00,0.0,1012.14,26.50,24.5,100,000,0.00,24.5,10.00,1013.26,30.73
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,09-24-2019,01:00:00,0.0,1012.82,6.40,24.2,94,000,0.00,25.2,10.00,1013.12,30.15
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,09-24-2019,01:00:00,1.9,1012.61,17.10,24.1,97,110,0.00,24.5,10.00,1013.11,29.93
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,09-24-2019,01:00:00,0.0,1011.70,8.60,24.5,100,000,0.00,24.5,9.00,1013.13,30.73
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,09-24-2019,01:00:00,0.0,1006.68,9.20,23.0,97,000,0.00,23.5,10.00,1014.84,28.17
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,09-24-2019,01:00:00,0.0,1012.38,31.20,24.3,96,000,0.00,25.0,6.00,1012.67,30.32
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,09-24-2019,01:00:00,0.0,1008.35,8.60,24.3,87,000,0.00,26.6,10.00,1011.50,30.34
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,09-24-2019,01:00:00,0.0,1005.63,20.30,24.0,96,000,0.00,24.7,10.00,1012.67,29.77
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,09-24-2019,01:00:00,0.0,1007.31,2.10,24.8,97,000,0.00,25.4,8.00,1012.97,31.33
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,09-24-2019,01:00:00,3.7,1007.36,104.90,24.1,97,200,42.10,24.5,5.00,1008.63,29.93
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,09-24-2019,01:00:00,3.7,1011.96,4.20,24.6,84,120,0.00,27.5,11.00,1012.39,30.97
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,09-24-2019,01:00:00,0.0,1000.16,6.30,23.8,96,000,0.00,24.5,10.00,1012.59,29.41
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,09-24-2019,01:00:00,0.0,1011.76,8.30,24.6,92,000,0.00,26.0,10.00,1012.48,30.84
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,09-24-2019,01:00:00,0.0,1010.32,3.90,23.8,92,000,0.00,25.1,10.00,1012.78,29.44
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,09-24-2019,01:00:00,0.0,1012.63,0.30,24.0,94,000,0.00,25.0,7.00,1013.16,29.79
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,09-24-2019,01:00:00,0.0,1006.84,9.50,23.4,93,000,0.00,24.6,8.00,1012.06,28.81
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,09-24-2019,01:00:00,5.6,1011.64,1.90,23.6,93,040,0.00,24.8,7.00,1012.05,29.16
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-24-2019,01:00:00,5.6,1009.31,1.70,23.8,96,040,0.00,24.5,8.00,1012.12,29.41
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-24-2019,01:00:00,0.0,1012.13,2.50,24.2,97,000,0.40,24.6,10.00,1012.93,30.12
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-24-2019,01:00:00,3.7,1011.41,0.70,23.8,96,090,0.00,24.5,6.00,1011.88,29.41
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-24-2019,01:00:00,0.0,1011.18,0.00,24.8,93,000,0.00,26.0,7.00,1011.87,31.38
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-24-2019,01:00:00,0.0,1010.21,0.40,24.6,93,000,0.00,25.8,6.00,1011.75,31.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-24-2019,01:00:00,3.7,1010.19,0.00,22.7,82,060,0.00,26.1,10.00,1011.11,27.58
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-24-2019,01:00:00,0.0,1011.13,4.90,24.5,87,000,0.00,27.0,9.00,1011.82,30.83
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-24-2019,01:00:00,0.0,1010.77,1.60,24.6,95,000,0.10,25.5,7.00,1011.58,30.98
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-24-2019,01:00:00,0.0,1010.51,6.30,23.8,96,000,0.00,24.5,6.00,1011.15,29.41
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-24-2019,01:00:00,0.0,1010.87,9.20,24.3,96,000,0.00,25.0,8.00,1011.28,30.32
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-24-2019,01:00:00,0.0,1009.08,3.50,24.2,93,000,0.20,25.4,5.00,1013.34,30.25
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-24-2019,01:00:00,0.0,1009.80,1.00,23.6,93,000,0.00,24.8,6.00,1011.43,29.16
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,09-24-2019,01:00:00,0.0,1007.80,2.50,24.3,96,000,0.00,25.0,5.00,1011.32,30.32
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,09-24-2019,01:00:00,0.0,1009.84,20.50,24.3,98,000,0.00,24.6,1.00,1011.21,30.38
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,09-24-2019,01:00:00,0.0,1010.25,0.00,24.2,92,000,0.00,25.7,8.00,1011.14,30.28
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,09-24-2019,01:00:00,5.6,1007.76,0.00,23.8,92,080,0.00,25.3,10.00,1011.35,29.54
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,09-24-2019,01:00:00,0.0,1010.42,0.00,24.0,80,000,0.00,27.8,8.00,1010.85,29.90
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,09-24-2019,01:00:00,3.7,1009.47,0.00,23.8,79,050,0.00,27.7,5.00,1010.46,29.44
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,09-24-2019,01:00:00,11.1,1009.69,0.00,23.5,81,050,0.00,27.0,8.00,1010.51,28.94
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,09-24-2019,01:00:00,0.0,1009.39,1.20,24.0,92,000,0.00,25.3,6.00,1011.22,29.80
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,09-24-2019,01:00:00,3.7,1010.40,0.30,23.4,77,100,0.00,27.8,6.00,1011.15,28.82
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,09-24-2019,01:00:00,7.4,1007.48,0.01,23.4,93,270,0.00,24.6,3.00,1011.52,28.81
48570,SATUN,สตูล,สตูล,6.65000,100.08333,09-24-2019,01:00:00,5.6,1009.92,0.00,24.1,84,030,0.00,27.1,7.00,1010.60,29.93
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,09-24-2019,01:00:00,0.0,1010.06,0.00,23.5,83,000,0.00,26.6,8.00,1011.18,29.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,09-24-2019,01:00:00,0.0,1008.74,0.00,24.3,94,000,0.00,25.3,8.00,1011.69,30.34
