WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall,WindDirection,LandVisibility,AirTemperature,VaporPressure,StationPressure,WindSpeed,MeanSeaLevelPressure,DewPoint,Rainfall24Hr
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,99,09-02-2019,04:00:00,2.00,000,6.00,24.0,29.56,974.92,0.0,1004.79,23.8,2.40
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,96,09-02-2019,04:00:00,0.00,000,7.00,25.2,30.69,998.60,0.0,1005.94,24.5,48.90
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,94,09-02-2019,04:00:00,0.00,320,10.00,26.5,32.63,984.78,5.6,1004.65,25.5,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,94,09-02-2019,04:00:00,2.30,000,6.00,24.4,28.71,976.38,0.0,1005.19,23.4,3.50
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,95,09-02-2019,04:00:00,7.10,250,5.00,24.3,28.79,984.91,18.5,1005.21,23.4,22.60
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,93,09-02-2019,04:00:00,0.20,000,10.00,25.2,29.89,982.82,0.0,1004.61,24.0,5.10
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,96,09-02-2019,04:00:00,0.00,250,10.00,25.5,31.25,984.50,5.6,1004.01,24.8,0.01
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,93,09-02-2019,04:00:00,0.01,320,10.00,25.3,30.07,987.23,1.9,1004.01,24.1,0.10
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,96,09-02-2019,04:00:00,0.00,000,10.00,25.0,30.32,986.79,0.0,1004.25,24.3,0.01
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,99,09-02-2019,04:00:00,0.00,000,8.00,25.0,31.39,979.11,0.0,1004.99,24.8,32.70
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,100,09-02-2019,04:00:00,0.00,000,10.00,25.2,32.04,999.64,0.0,1005.45,25.2,12.00
