WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,LandVisibility,StationPressure,VaporPressure,WindSpeed,WindDirection,RelativeHumidity,Rainfall,Rainfall24Hr,AirTemperature,MeanSeaLevelPressure
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.9,08-04-2019,16:00:00,7.00,976.83,29.57,0.0,000,97,17.70,47.30,24.3,999.64
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.1,08-04-2019,16:00:00,7.00,969.29,28.27,9.3,210,95,12.40,44.10,24.0,999.17
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.5,08-04-2019,16:00:00,5.00,965.35,30.71,0.0,000,94,5.00,10.00,25.5,1000.71
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.7,08-04-2019,16:00:00,16.00,970.02,31.14,3.7,100,86,0.10,20.30,27.3,999.42
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,24.3,08-04-2019,16:00:00,8.00,993.50,30.43,0.0,000,88,0.30,7.20,26.5,1000.77
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.0,08-04-2019,16:00:00,12.00,980.31,31.70,5.6,250,82,0.40,11.80,28.3,999.97
48353,LOEI,เลย,เลย,17.45000,101.73333,23.2,08-04-2019,16:00:00,13.00,971.75,28.39,3.7,320,75,0.01,11.80,28.0,1000.07
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,22.2,08-04-2019,16:00:00,15.00,980.15,26.70,9.3,230,60,0.00,0.60,30.7,999.92
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,23.5,08-04-2019,16:00:00,12.00,979.05,28.91,7.4,180,72,1.40,3.60,29.0,1000.48
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,25.3,08-04-2019,16:00:00,15.00,980.80,32.22,9.3,230,79,2.40,4.00,29.4,999.98
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,24.8,08-04-2019,16:00:00,10.00,984.16,31.33,1.9,060,86,0.80,4.90,27.4,1000.77
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.3,08-04-2019,16:00:00,7.00,984.23,30.32,0.0,000,96,12.40,16.60,25.0,1001.65
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,21.6,08-04-2019,16:00:00,14.00,973.04,25.71,5.6,230,64,0.00,1.30,29.0,998.41
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,24.1,08-04-2019,16:00:00,10.00,994.65,29.93,9.3,270,74,0.00,0.20,29.1,1000.36
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.8,08-04-2019,16:00:00,8.00,994.58,31.39,7.4,270,83,0.01,0.20,28.0,1000.71
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,22.9,08-04-2019,16:00:00,10.00,984.94,27.83,0.0,000,70,0.10,0.60,29.0,1001.17
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.5,08-04-2019,16:00:00,7.00,978.31,29.00,0.0,000,92,9.30,41.10,25.0,1000.63
48376,TAK,ตาก,ตาก,16.87833,99.14333,22.3,08-04-2019,16:00:00,6.00,987.10,26.90,9.3,270,70,0.40,0.40,28.2,1001.35
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.1,08-04-2019,16:00:00,7.00,984.37,28.26,0.0,000,77,0.30,0.30,27.5,1000.61
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,23.9,08-04-2019,16:00:00,10.00,995.72,29.70,5.6,210,68,0.00,0.70,30.4,1000.85
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,23.3,08-04-2019,16:00:00,12.00,986.34,28.67,0.0,000,66,0.00,0.00,30.3,999.29
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,23.8,08-04-2019,16:00:00,12.00,991.71,29.42,0.0,000,68,0.00,0.00,30.4,1000.87
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,20.9,08-04-2019,16:00:00,10.00,979.36,24.65,5.6,230,57,0.01,2.20,30.3,1000.67
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,23.7,08-04-2019,16:00:00,12.00,983.68,29.24,22.2,250,64,0.01,0.50,31.3,1000.83
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,22.4,08-04-2019,16:00:00,11.00,984.76,27.03,7.4,230,68,0.00,0.00,29.0,1000.38
