WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall24Hr,DewPoint,Rainfall,MaximumTemperature,LandVisibility,StationPressure,WindSpeed,AirTemperature,VaporPressure,WindDirection,MeanSeaLevelPressure
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,77,08-06-2019,19:00:00,10.00,25.7,0.00,33.2,7.00,1004.55,0.0,30.2,33.00,000,1005.25
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,68,08-06-2019,19:00:00,0.00,24.0,0.00,35.6,10.00,983.89,3.7,30.5,29.89,250,1004.75
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,81,08-06-2019,19:00:00,0.50,24.3,0.10,34.2,9.00,987.19,0.0,27.9,30.37,000,1003.80
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,80,08-06-2019,19:00:00,1.70,24.0,0.70,34.7,8.00,987.55,0.0,27.8,29.90,000,1003.88
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,61,08-06-2019,19:00:00,0.01,21.9,0.00,35.1,10.00,983.23,5.6,30.3,26.23,290,1004.80
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,80,08-06-2019,19:00:00,3.20,22.8,0.01,29.6,10.00,962.06,7.4,26.6,27.69,210,1005.27
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,56,08-06-2019,19:00:00,0.00,21.2,0.00,36.8,12.00,983.86,14.8,31.2,25.22,240,1004.08
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,83,08-06-2019,19:00:00,0.00,25.4,0.00,35.6,9.00,984.43,9.3,28.5,32.39,020,1005.10
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,83,08-06-2019,19:00:00,7.50,25.8,0.01,30.0,10.00,1005.14,5.6,29.0,33.12,170,1005.57
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,83,08-06-2019,19:00:00,1.10,25.1,0.00,32.8,8.00,1003.18,0.0,28.2,31.79,000,1004.59
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,84,08-06-2019,19:00:00,1.30,24.8,0.00,32.4,7.00,1000.72,1.9,27.8,31.28,230,1005.63
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,80,08-06-2019,19:00:00,4.80,24.6,0.00,30.3,10.00,1002.09,3.7,28.3,30.87,200,1005.36
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,78,08-06-2019,19:00:00,2.50,25.6,0.00,32.0,10.00,1005.07,0.0,29.8,32.75,000,1006.17
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,78,08-06-2019,19:00:00,1.20,24.8,0.01,33.5,10.00,1005.46,5.6,28.9,31.21,190,1005.76
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,77,08-06-2019,19:00:00,5.60,24.9,0.00,32.4,10.00,1004.87,0.0,29.3,31.45,000,1005.55
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,80,08-06-2019,19:00:00,5.30,25.1,0.00,33.2,10.00,1005.85,0.0,28.8,31.86,000,1006.34
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,85,08-06-2019,19:00:00,1.20,25.7,0.80,31.6,10.00,1004.75,0.0,28.5,32.96,000,1006.15
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,88,08-06-2019,19:00:00,19.00,25.4,0.00,30.0,10.00,1004.29,18.5,27.5,32.36,190,1005.97
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,86,08-06-2019,19:00:00,1.70,25.3,0.00,32.7,10.00,999.46,0.0,27.9,32.32,000,1007.44
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,75,08-06-2019,19:00:00,12.90,25.6,0.00,33.0,10.00,1005.38,0.0,30.5,32.75,000,1005.66
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,78,08-06-2019,19:00:00,3.50,24.7,0.00,31.0,10.00,1002.28,9.3,29.0,31.13,270,1005.39
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,86,08-06-2019,19:00:00,11.70,25.3,0.00,30.4,10.00,999.40,0.0,27.9,32.32,000,1006.31
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,81,08-06-2019,19:00:00,0.20,24.9,0.00,34.0,8.00,1000.20,3.7,28.5,31.54,200,1005.76
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,84,08-06-2019,19:00:00,1.60,24.9,0.00,32.7,10.00,997.83,16.7,27.8,31.56,220,1007.11
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,83,08-06-2019,19:00:00,17.20,25.5,0.00,31.5,10.00,1005.14,0.0,28.8,32.71,000,1006.40
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,84,08-06-2019,19:00:00,5.40,26.1,0.00,31.7,11.00,1005.03,0.0,29.1,33.91,000,1005.46
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,93,08-06-2019,19:00:00,17.20,25.3,3.60,28.9,10.00,993.90,3.7,26.4,32.15,150,1006.17
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,94,08-06-2019,19:00:00,4.30,25.9,0.80,30.5,10.00,1005.24,0.0,27.0,33.34,000,1005.96
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,82,08-06-2019,19:00:00,2.70,24.7,0.01,33.5,7.00,1004.01,3.7,28.0,31.11,190,1006.44
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,88,08-06-2019,19:00:00,0.20,25.9,0.00,29.5,8.00,1005.97,5.6,28.0,33.37,150,1006.49
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,84,08-06-2019,19:00:00,0.40,24.8,0.00,31.2,10.00,1001.30,5.6,27.8,31.28,220,1006.43
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,91,08-06-2019,19:00:00,103.60,25.5,1.20,31.9,7.00,1006.49,0.0,27.1,32.69,000,1006.90
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,79,08-06-2019,19:00:00,67.40,24.3,0.40,29.8,8.00,1004.33,0.0,28.3,30.31,000,1007.09
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,84,08-06-2019,19:00:00,4.60,24.6,4.50,31.7,6.00,1006.62,0.0,27.5,30.97,000,1007.41
48501,TRAD,ตราด,ตราด,11.76667,102.88333,96,08-06-2019,19:00:00,132.20,25.5,0.01,26.9,7.00,1007.03,0.0,26.2,32.59,000,1007.49
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,78,08-06-2019,19:00:00,5.00,24.7,1.80,33.1,7.00,1006.27,0.0,29.0,31.13,000,1006.94
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,85,08-06-2019,19:00:00,2.60,25.7,0.20,32.8,6.00,1005.29,3.7,28.5,32.96,220,1006.81
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,84,08-06-2019,19:00:00,11.00,25.0,0.00,32.0,10.00,1007.20,3.7,28.0,31.67,240,1008.11
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,57,08-06-2019,19:00:00,0.00,22.0,0.00,34.2,12.00,1006.07,5.6,31.4,26.40,270,1006.75
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,68,08-06-2019,19:00:00,0.10,23.1,0.00,34.9,10.00,1007.13,3.7,29.5,28.23,250,1007.93
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,62,08-06-2019,19:00:00,0.00,22.7,0.00,35.7,10.00,1006.34,5.6,30.7,27.52,240,1006.97
