WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,RelativeHumidity,WindDirection,StationPressure,MeanSeaLevelPressure,Rainfall,LandVisibility,VaporPressure,Rainfall24Hr,DewPoint,AirTemperature
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,10-12-2019,22:00:00,89,000,980.79,1010.66,0.00,12.00,29.66,0.00,23.9,25.8
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,10-12-2019,22:00:00,78,000,1002.23,1009.51,0.00,9.00,30.15,0.00,24.2,28.5
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.0,10-12-2019,22:00:00,77,000,990.17,1009.95,0.00,6.00,31.36,0.00,24.8,29.4
48353,LOEI,เลย,เลย,17.45000,101.73333,0.0,10-12-2019,22:00:00,80,000,982.14,1010.86,0.00,12.00,28.41,0.00,23.2,27.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.0,10-12-2019,22:00:00,76,000,990.45,1010.58,0.00,10.00,29.60,0.00,23.9,28.5
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.0,10-12-2019,22:00:00,88,000,989.77,1011.70,0.00,10.00,28.49,0.00,23.2,25.3
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.0,10-12-2019,22:00:00,82,000,990.97,1010.51,0.00,10.00,29.21,0.00,23.6,27.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,3.7,10-12-2019,22:00:00,73,090,992.95,1009.70,0.00,10.00,26.95,0.00,22.3,27.5
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,10-12-2019,22:00:00,80,000,992.58,1010.06,0.00,{'@attributes': {'Unit': 'km'}},27.77,0.00,22.8,26.5
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,10-12-2019,22:00:00,75,000,983.57,1009.37,0.00,11.00,27.19,0.00,22.5,27.2
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.0,10-12-2019,22:00:00,86,000,1003.46,1009.22,0.00,10.00,34.58,0.00,26.5,29.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,10-12-2019,22:00:00,86,000,1003.61,1009.79,0.00,7.00,33.12,0.00,25.8,28.3
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,10-12-2019,22:00:00,86,000,995.05,1011.58,0.00,10.00,29.89,0.00,24.0,26.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.0,10-12-2019,22:00:00,82,000,986.56,1008.94,0.00,10.00,28.84,0.00,23.4,26.8
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.0,10-12-2019,22:00:00,87,000,995.90,1010.28,0.00,7.00,32.80,0.00,25.6,28.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,10-12-2019,22:00:00,92,000,993.60,1010.09,0.00,10.00,30.84,0.00,24.6,26.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,9.3,10-12-2019,22:00:00,83,140,1004.63,1009.84,0.00,10.00,33.00,0.00,25.7,28.8
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,10-12-2019,22:00:00,92,000,996.43,1009.74,0.00,10.00,29.80,22.10,24.0,25.3
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.0,10-12-2019,22:00:00,88,000,999.85,1009.15,0.00,11.00,33.70,0.00,26.0,28.3
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.0,10-12-2019,22:00:00,84,000,988.85,1010.63,0.00,9.00,29.64,0.00,23.9,26.8
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,10-12-2019,22:00:00,86,000,993.16,1010.68,0.00,10.00,32.12,0.00,25.2,27.8
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.0,10-12-2019,22:00:00,81,000,994.02,1009.85,0.00,10.00,30.56,0.00,24.4,28.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,10-12-2019,22:00:00,87,000,990.91,1009.89,0.00,8.00,29.78,2.00,24.0,26.3
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,10-12-2019,22:00:00,89,000,958.57,1010.63,0.00,6.00,23.26,15.00,19.9,21.8
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,11.1,10-12-2019,22:00:00,89,100,1005.68,1009.65,0.20,4.00,32.05,0.20,25.2,27.2
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.0,10-12-2019,22:00:00,97,000,916.04,1011.93,0.00,7.00,23.26,0.20,19.9,20.4
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,10-12-2019,22:00:00,90,000,995.12,1011.13,0.00,8.00,33.33,0.00,25.9,27.7
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,3.7,10-12-2019,22:00:00,81,200,1006.05,1010.09,0.00,6.00,29.88,0.01,24.0,27.5
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,10-12-2019,22:00:00,90,000,1000.10,1010.86,0.00,8.00,29.93,0.00,24.1,25.8
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.0,10-12-2019,22:00:00,84,000,1008.92,1010.86,0.00,8.00,30.02,0.00,24.1,27.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.0,10-12-2019,22:00:00,94,000,989.97,1011.03,0.00,10.00,30.15,11.40,24.2,25.2
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,5.6,10-12-2019,22:00:00,86,210,992.70,1010.46,0.00,10.00,29.25,0.00,23.7,26.3
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,9.3,10-12-2019,22:00:00,81,230,993.97,1010.15,0.00,10.00,29.60,0.00,23.9,27.5
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.0,10-12-2019,22:00:00,79,000,996.52,1010.53,0.00,10.00,30.51,0.00,24.4,28.4
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,10-12-2019,22:00:00,90,000,996.10,1011.02,0.00,8.00,30.67,0.00,24.5,26.2
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.0,10-12-2019,22:00:00,95,000,996.26,1010.96,0.00,8.00,35.14,0.20,26.8,27.6
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,10-12-2019,22:00:00,80,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1006.92,1009.93,0.00,8.00,30.67,0.00,24.5,28.2
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,10-12-2019,22:00:00,92,000,1002.26,1010.29,0.00,7.00,28.90,4.60,23.5,24.8
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.0,10-12-2019,22:00:00,89,000,1008.82,1009.93,0.00,8.00,30.22,0.00,24.2,26.1
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,3.7,10-12-2019,22:00:00,82,100,994.89,1009.57,0.00,8.00,30.64,0.00,24.4,27.9
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1.9,10-12-2019,22:00:00,99,030,876.94,1013.62,0.00,8.00,19.90,26.60,17.4,17.6
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,10-12-2019,22:00:00,96,000,1004.63,1010.57,0.00,10.00,29.41,15.00,23.8,24.5
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.0,10-12-2019,22:00:00,88,000,1009.30,1010.10,0.00,7.00,32.36,0.00,25.4,27.5
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.0,10-12-2019,22:00:00,79,000,1010.01,1010.45,0.00,7.00,31.09,1.10,24.7,28.7
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,10-12-2019,22:00:00,88,000,998.86,1010.20,0.00,5.00,31.38,0.00,24.8,27.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.0,10-12-2019,22:00:00,82,000,1008.98,1009.99,0.00,7.00,29.58,2.80,23.9,27.2
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.0,10-12-2019,22:00:00,86,000,1008.41,1010.24,0.00,7.00,29.89,0.40,24.0,26.5
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,10-12-2019,22:00:00,89,000,1008.91,1009.68,0.00,8.00,34.48,0.00,26.4,28.4
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,7.4,10-12-2019,22:00:00,85,100,1009.49,1010.20,0.20,10.00,30.48,1.80,24.4,27.1
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.0,10-12-2019,22:00:00,88,000,1009.39,1010.09,0.00,8.00,31.38,0.40,24.8,27.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.0,10-12-2019,22:00:00,92,000,989.61,1010.96,0.00,10.00,29.99,0.01,24.1,25.4
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,10-12-2019,22:00:00,94,000,993.96,1010.82,0.00,7.00,30.71,6.30,24.5,25.5
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.0,10-12-2019,22:00:00,92,000,994.91,1011.51,0.00,6.00,29.62,9.30,23.9,25.2
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,10-12-2019,22:00:00,95,000,988.81,1010.90,0.00,10.00,30.05,0.01,24.1,25.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,13.0,10-12-2019,22:00:00,94,060,967.14,1011.24,0.00,6.00,25.05,4.30,21.1,22.2
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.0,10-12-2019,22:00:00,98,000,989.95,1010.73,0.00,7.00,30.93,0.01,24.6,24.9
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,7.4,10-12-2019,22:00:00,100,250,991.32,1012.45,0.00,8.00,30.00,29.80,24.1,24.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.0,10-12-2019,22:00:00,73,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1009.41,1009.84,0.00,10.00,32.09,0.00,25.2,30.6
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,10-12-2019,22:00:00,95,000,1008.98,1010.41,0.00,8.00,32.12,0.80,25.2,26.1
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,10-12-2019,22:00:00,97,000,1005.50,1010.46,0.00,7.00,33.27,0.90,25.8,26.4
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.0,10-12-2019,22:00:00,85,000,1006.34,1009.62,0.00,10.00,33.99,0.01,26.2,29.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,10-12-2019,22:00:00,83,000,1008.70,1009.80,0.00,10.00,33.41,0.00,25.9,29.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.0,10-12-2019,22:00:00,85,000,1009.91,1010.21,0.01,10.00,33.37,0.01,25.9,28.7
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.0,10-12-2019,22:00:00,83,000,1009.26,1009.75,0.00,10.00,32.71,0.00,25.5,28.8
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,3.7,10-12-2019,22:00:00,78,140,1008.75,1010.16,0.00,10.00,29.09,0.01,23.6,27.8
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,10-12-2019,22:00:00,96,000,1004.26,1012.36,0.01,10.00,30.32,5.40,24.3,25.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,10-12-2019,22:00:00,90,000,1009.75,1010.04,0.00,4.00,33.21,4.50,25.8,27.5
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.0,10-12-2019,22:00:00,82,000,1006.99,1010.12,0.00,10.00,30.84,15.90,24.6,28.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.0,10-12-2019,22:00:00,91,000,1003.31,1010.28,0.40,10.00,32.10,24.70,25.2,26.8
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,10-12-2019,22:00:00,92,000,1005.20,1010.82,0.00,10.00,32.77,0.00,25.6,27.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.0,10-12-2019,22:00:00,86,000,1009.30,1010.56,0.00,10.00,33.33,0.00,25.9,28.4
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,9.3,10-12-2019,22:00:00,78,160,1009.19,1009.62,0.00,11.00,33.72,0.10,26.1,30.4
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,10-12-2019,22:00:00,90,000,997.81,1010.12,0.00,8.00,31.55,0.00,24.9,26.8
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,3.7,10-12-2019,22:00:00,83,190,1009.22,1009.93,0.00,7.00,33.20,0.00,25.8,28.9
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.0,10-12-2019,22:00:00,90,000,1007.87,1010.31,1.10,7.00,32.61,1.10,25.5,27.2
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,3.7,10-12-2019,22:00:00,90,070,1009.83,1010.35,0.01,10.00,32.53,0.20,25.4,27.3
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.0,10-12-2019,22:00:00,85,000,1005.32,1010.50,0.00,7.00,29.91,1.50,24.0,26.8
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,10-12-2019,22:00:00,90,000,1010.47,1010.89,0.00,7.00,30.11,0.00,24.2,25.9
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,10-12-2019,22:00:00,93,000,1008.34,1011.14,0.00,8.00,31.00,0.00,24.6,25.8
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,10-12-2019,22:00:00,79,000,1009.68,1010.47,0.00,10.00,29.63,0.00,23.9,27.8
48501,TRAD,ตราด,ตราด,11.76667,102.88333,5.6,10-12-2019,22:00:00,92,080,1009.92,1010.38,0.00,7.00,31.22,0.90,24.8,26.2
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.0,10-12-2019,22:00:00,82,000,1009.64,1010.33,0.00,8.00,28.29,0.00,23.1,26.5
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.0,10-12-2019,22:00:00,95,000,1008.78,1010.32,0.00,8.00,30.79,0.00,24.5,25.4
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.0,10-12-2019,22:00:00,90,000,1010.10,1011.02,0.01,10.00,29.74,10.30,23.9,25.7
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,10-12-2019,22:00:00,84,000,1010.03,1010.72,0.00,10.00,31.56,0.00,24.9,27.8
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,10-12-2019,22:00:00,92,000,1010.03,1010.83,0.00,8.00,30.84,0.00,24.6,26.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.0,10-12-2019,22:00:00,90,000,1009.61,1010.25,0.00,10.00,31.55,0.00,24.9,26.8
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,10-12-2019,22:00:00,94,000,1010.12,1010.53,0.00,10.00,32.94,0.30,25.7,26.8
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,10-12-2019,22:00:00,94,000,1007.89,1012.14,0.00,6.00,31.08,0.00,24.7,25.7
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,10-12-2019,22:00:00,92,000,1009.21,1010.83,0.00,7.00,29.44,0.00,23.8,25.1
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,10-12-2019,22:00:00,96,000,1007.16,1010.67,0.00,7.00,30.32,1.40,24.3,25.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,10-12-2019,22:00:00,94,000,1009.08,1010.44,0.01,7.00,33.02,0.01,25.7,26.7
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,10-12-2019,22:00:00,97,000,1009.10,1010.00,7.10,10.00,32.09,7.10,25.2,25.8
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,10-12-2019,22:00:00,92,000,1006.96,1010.55,0.00,10.00,30.09,0.00,24.1,25.6
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,10-12-2019,22:00:00,81,000,1009.92,1010.36,0.00,10.00,31.54,0.80,24.9,28.5
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.0,10-12-2019,22:00:00,79,000,1009.04,1010.02,0.00,10.00,32.01,1.00,25.2,29.3
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,9.3,10-12-2019,22:00:00,89,090,1010.03,1010.85,0.00,10.00,29.76,0.00,24.0,26.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,10-12-2019,22:00:00,95,000,1009.10,1010.93,0.00,10.00,31.55,4.10,24.9,25.8
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.0,10-12-2019,22:00:00,79,000,1010.02,1010.77,0.00,10.00,30.51,0.00,24.4,28.4
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,5.6,10-12-2019,22:00:00,95,280,1007.17,1011.19,0.00,10.00,32.12,1.60,25.2,26.1
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,10-12-2019,22:00:00,94,000,1010.50,1011.19,0.00,10.00,32.63,0.00,25.5,26.5
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,10-12-2019,22:00:00,90,000,1009.47,1010.59,0.00,10.00,31.05,3.40,24.7,26.4
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,10-12-2019,22:00:00,92,000,1008.33,1011.26,0.00,10.00,31.41,0.00,24.9,26.3
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.0,10-12-2019,22:00:00,86,000,1009.45,1010.14,0.00,10.00,30.26,0.00,24.2,26.7
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.0,10-12-2019,22:00:00,94,000,1007.55,1011.72,0.00,7.00,29.61,0.00,23.9,24.9
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,11.1,10-12-2019,22:00:00,77,250,1009.75,1010.34,0.00,10.00,28.26,0.00,23.1,27.5
