WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,WindDirection,AirTemperature,LandVisibility,Rainfall,Rainfall24Hr,RelativeHumidity,MeanSeaLevelPressure,StationPressure,VaporPressure,DewPoint
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,07-14-2019,10:00:00,000,32.5,10.00,0.00,0.00,50,1006.13,979.18,24.42,20.7
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,07-14-2019,10:00:00,000,32.0,15.00,0.00,0.00,54,1006.14,973.25,25.91,21.7
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,5.6,07-14-2019,10:00:00,270,33.0,15.00,0.00,0.00,54,1005.72,987.62,27.00,22.4
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,07-14-2019,10:00:00,000,32.9,10.00,0.00,0.00,51,1005.40,983.09,25.71,21.5
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,07-14-2019,10:00:00,000,31.2,12.00,0.00,0.00,57,1005.79,976.41,25.76,21.6
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,07-14-2019,10:00:00,000,32.8,7.00,0.00,0.00,54,1005.26,970.57,26.61,22.1
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,11.1,07-14-2019,10:00:00,290,34.8,15.00,0.00,0.00,49,1004.10,975.27,27.20,22.5
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,13.0,07-14-2019,10:00:00,200,32.0,12.00,0.00,4.40,61,1007.75,1000.56,29.22,23.7
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,5.6,07-14-2019,10:00:00,230,32.4,15.00,0.00,0.00,64,1004.55,985.06,31.19,24.7
48353,LOEI,เลย,เลย,17.45000,101.73333,11.1,07-14-2019,10:00:00,250,34.0,15.00,0.00,0.00,48,1004.57,976.66,25.63,21.5
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,9.3,07-14-2019,10:00:00,240,30.7,15.00,0.00,0.00,67,1005.02,985.15,29.73,23.9
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,3.7,07-14-2019,10:00:00,240,32.0,12.00,0.00,0.00,66,1005.69,984.36,31.23,24.8
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,3.7,07-14-2019,10:00:00,240,31.8,15.00,0.00,0.00,63,1004.73,985.61,29.67,23.9
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,3.7,07-14-2019,10:00:00,290,30.7,11.00,0.00,0.00,74,1005.78,989.27,32.59,25.5
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,07-14-2019,10:00:00,000,30.5,10.00,0.00,0.30,75,1005.72,988.54,32.75,25.6
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,07-14-2019,10:00:00,000,30.5,12.00,0.00,0.00,65,1004.37,978.97,28.50,23.2
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,9.3,07-14-2019,10:00:00,260,31.9,10.00,0.00,0.00,62,1006.63,1000.93,29.31,23.7
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,13.0,07-14-2019,10:00:00,320,32.5,12.00,0.00,0.00,59,1007.20,1001.12,29.09,23.6
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,07-14-2019,10:00:00,000,31.3,10.00,0.00,0.00,61,1006.93,990.73,27.85,22.9
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.0,07-14-2019,10:00:00,000,25.5,8.00,2.40,37.70,91,1007.99,985.54,29.64,23.9
48376,TAK,ตาก,ตาก,16.87833,99.14333,16.7,07-14-2019,10:00:00,270,31.8,8.00,0.00,0.00,59,1007.94,993.77,27.71,22.8
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,07-14-2019,10:00:00,000,29.5,10.00,0.00,0.00,65,1006.94,990.70,26.89,22.3
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,5.6,07-14-2019,10:00:00,160,32.1,12.00,0.00,0.00,63,1007.22,1002.08,29.99,24.1
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,07-14-2019,10:00:00,000,30.3,12.00,0.00,0.00,70,1005.75,992.71,30.06,24.1
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,5.6,07-14-2019,10:00:00,350,31.5,12.00,0.00,0.00,60,1007.51,998.32,27.96,22.9
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,7.4,07-14-2019,10:00:00,210,31.0,10.00,0.00,0.00,63,1005.65,984.28,28.09,23.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,5.6,07-14-2019,10:00:00,270,33.0,10.00,0.00,0.00,57,1005.81,988.68,28.68,23.3
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,5.6,07-14-2019,10:00:00,250,32.2,12.00,0.00,0.00,65,1005.23,989.70,31.35,24.8
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,5.6,07-14-2019,10:00:00,240,32.8,10.00,0.00,0.00,63,1004.65,986.16,31.15,24.7
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,07-14-2019,10:00:00,000,27.3,11.00,0.00,10.70,75,1007.56,956.58,27.11,22.4
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,3.7,07-14-2019,10:00:00,160,30.5,8.00,0.00,0.70,70,1007.26,1003.35,30.74,24.5
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,25.9,07-14-2019,10:00:00,220,21.8,6.00,0.70,4.50,93,1008.46,913.33,24.19,20.6
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,3.7,07-14-2019,10:00:00,220,32.2,10.00,0.00,0.00,62,1005.56,989.87,29.91,24.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.0,07-14-2019,10:00:00,000,31.0,12.00,0.00,0.01,69,1007.51,1003.53,31.19,24.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,7.4,07-14-2019,10:00:00,290,30.5,9.00,0.00,0.00,63,1008.44,997.88,27.68,22.8
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,3.7,07-14-2019,10:00:00,250,30.7,10.00,0.00,0.00,61,1008.13,1006.22,26.97,22.3
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,9.3,07-14-2019,10:00:00,290,31.4,12.00,0.00,0.00,55,1006.54,985.99,25.33,21.3
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,9.3,07-14-2019,10:00:00,190,31.0,10.00,0.00,7.50,66,1005.38,987.98,29.76,24.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.0,07-14-2019,10:00:00,000,31.6,10.00,0.00,7.50,66,1005.42,989.53,30.69,24.5
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,3.7,07-14-2019,10:00:00,250,31.7,10.00,0.00,0.00,59,1006.81,993.00,27.79,22.8
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,07-14-2019,10:00:00,000,31.5,10.00,0.00,0.00,65,1007.67,993.05,29.92,24.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,7.4,07-14-2019,10:00:00,270,31.5,10.00,0.00,1.60,65,1006.93,992.48,30.20,24.2
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,07-14-2019,10:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",32.8,10.00,0.00,0.00,52,1007.00,1004.04,25.79,21.6
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,07-14-2019,10:00:00,000,29.8,10.00,0.00,0.00,75,1007.68,999.79,31.60,25.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,11.1,07-14-2019,10:00:00,230,30.6,9.00,0.00,0.00,62,1008.92,1007.82,27.33,22.5
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,07-14-2019,10:00:00,000,31.1,8.00,0.00,0.00,68,1007.72,993.22,30.82,24.5
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,7.4,07-14-2019,10:00:00,290,21.0,6.00,0.00,0.80,92,1007.61,873.17,22.77,19.6
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,07-14-2019,10:00:00,000,29.2,10.00,0.00,0.00,77,1007.95,1002.11,31.25,24.8
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,11.1,07-14-2019,10:00:00,240,32.5,9.00,0.00,0.00,68,1008.02,1007.23,33.47,25.9
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,11.1,07-14-2019,10:00:00,230,31.7,10.00,0.00,0.00,68,1008.55,1008.10,31.77,25.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,07-14-2019,10:00:00,000,27.7,5.00,0.00,8.60,81,1010.23,998.92,29.98,24.1
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,3.7,07-14-2019,10:00:00,310,30.9,12.00,0.00,0.00,58,1008.14,1007.14,25.74,21.6
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.0,07-14-2019,10:00:00,000,30.0,9.00,0.00,0.00,68,1008.25,1006.44,28.91,23.5
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,3.7,07-14-2019,10:00:00,220,31.4,8.00,0.00,0.00,55,1007.97,1007.21,25.33,21.3
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,14.8,07-14-2019,10:00:00,300,32.3,10.00,0.00,0.40,54,1008.26,1007.57,25.93,21.7
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,5.6,07-14-2019,10:00:00,270,31.8,10.00,0.00,0.10,63,1008.03,1007.34,29.67,23.9
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,9.3,07-14-2019,10:00:00,310,31.8,10.00,0.00,0.00,59,1006.75,985.93,27.71,22.8
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,11.1,07-14-2019,10:00:00,240,30.1,8.00,0.00,15.50,64,1007.27,990.72,27.47,22.6
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,11.1,07-14-2019,10:00:00,230,30.7,10.00,0.00,7.30,65,1007.84,991.59,28.89,23.5
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,9.3,07-14-2019,10:00:00,270,31.6,10.00,0.00,0.00,56,1006.93,985.40,26.23,21.9
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,22.2,07-14-2019,10:00:00,230,28.0,14.00,0.00,0.00,66,1007.92,964.79,24.99,21.1
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,18.5,07-14-2019,10:00:00,240,31.6,12.00,0.00,0.00,56,1007.29,987.04,26.23,21.9
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,11.1,07-14-2019,10:00:00,250,32.7,9.00,0.00,0.00,62,1008.35,987.89,30.65,24.5
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,9.3,07-14-2019,10:00:00,270,32.0,10.00,0.00,0.00,56,1008.37,1007.94,26.45,22.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,07-14-2019,10:00:00,000,30.0,10.00,0.00,8.40,75,1007.87,1006.47,31.72,25.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,3.7,07-14-2019,10:00:00,240,31.3,10.00,0.00,0.00,67,1008.08,1003.21,30.65,24.5
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,5.6,07-14-2019,10:00:00,320,31.8,12.00,0.00,0.00,53,1008.70,1005.45,24.73,20.9
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,14.8,07-14-2019,10:00:00,270,32.0,10.00,0.00,0.00,53,1008.27,1007.18,25.10,21.2
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,9.3,07-14-2019,10:00:00,200,32.0,10.00,0.00,0.01,54,1008.57,1008.28,25.91,21.7
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,5.6,07-14-2019,10:00:00,300,31.9,10.00,0.00,0.00,57,1008.29,1007.61,26.80,22.2
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,5.6,07-14-2019,10:00:00,270,31.7,10.00,0.00,0.00,59,1008.02,1007.54,27.52,22.7
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,22.2,07-14-2019,10:00:00,260,30.9,10.00,0.00,0.00,62,1008.48,1007.09,27.63,22.7
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,14.8,07-14-2019,10:00:00,240,30.5,10.00,0.00,0.40,65,1008.72,1007.06,28.23,23.1
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,11.1,07-14-2019,10:00:00,270,31.0,12.00,0.00,0.00,59,1009.75,1001.83,26.46,22.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,11.1,07-14-2019,10:00:00,270,31.0,10.00,0.00,1.30,67,1008.41,1008.13,30.05,24.1
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,9.3,07-14-2019,10:00:00,240,31.5,10.00,0.00,0.00,63,1007.45,1004.36,29.07,23.6
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,13.0,07-14-2019,10:00:00,300,31.2,12.00,0.00,0.00,62,1008.89,1002.04,28.20,23.1
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,13.0,07-14-2019,10:00:00,300,31.5,8.00,0.00,0.00,62,1007.84,1002.32,28.51,23.2
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,7.4,07-14-2019,10:00:00,230,32.5,10.00,0.00,0.00,58,1010.43,1001.26,28.25,23.1
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,9.3,07-14-2019,10:00:00,300,31.3,15.00,0.00,2.10,65,1009.24,1007.99,29.52,23.8
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,14.8,07-14-2019,10:00:00,330,32.1,11.00,0.00,0.00,50,1008.45,1008.02,23.69,20.2
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,07-14-2019,10:00:00,000,31.6,9.00,0.00,0.00,54,1008.81,996.72,25.16,21.2
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,7.4,07-14-2019,10:00:00,260,33.2,10.00,0.00,0.00,50,1008.55,1007.85,25.46,21.4
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,18.5,07-14-2019,10:00:00,180,33.5,10.00,0.00,0.00,54,1008.51,1006.12,27.99,22.9
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,9.3,07-14-2019,10:00:00,260,31.0,12.00,0.00,0.00,64,1009.23,1008.72,28.65,23.3
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,3.7,07-14-2019,10:00:00,260,33.1,12.00,0.00,0.00,49,1008.48,1003.42,25.00,21.1
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,9.3,07-14-2019,10:00:00,210,32.0,8.00,0.00,0.00,60,1008.68,1008.28,28.66,23.3
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,7.4,07-14-2019,10:00:00,250,31.0,10.00,0.00,0.00,72,1008.61,1005.88,32.34,25.4
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,9.3,07-14-2019,10:00:00,330,32.5,10.00,0.00,0.00,55,1009.74,1008.97,26.86,22.3
48501,TRAD,ตราด,ตราด,11.76667,102.88333,3.7,07-14-2019,10:00:00,310,30.6,8.00,0.00,1.60,76,1009.08,1008.62,33.26,25.8
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,5.6,07-14-2019,10:00:00,290,31.7,9.00,0.00,0.00,62,1010.43,1009.76,28.91,23.5
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.0,07-14-2019,10:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",{'@attributes': {'Unit': 'celcius'}},{'@attributes': {'Unit': 'km'}},0.00,0.00,{'@attributes': {'Unit': '%'}},{'@attributes': {'Unit': 'hPa'}},{'@attributes': {'unit': 'hPa'}},{'@attributes': {'Unit': 'mb'}},{'@attributes': {'Unit': 'celcius'}}
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,7.4,07-14-2019,10:00:00,220,31.2,10.00,0.00,0.20,66,1011.38,1010.47,29.88,24.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,11.1,07-14-2019,10:00:00,250,31.7,12.00,0.00,0.00,68,1010.56,1009.88,31.77,25.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,7.4,07-14-2019,10:00:00,310,31.2,12.00,0.00,0.70,71,1011.07,1010.28,32.18,25.3
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,5.6,07-14-2019,10:00:00,220,31.1,10.00,0.00,8.60,66,1010.19,1009.56,29.68,23.9
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,07-14-2019,10:00:00,000,30.5,10.00,0.00,0.01,74,1010.35,1009.95,32.17,25.3
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,5.6,07-14-2019,10:00:00,240,31.0,7.00,0.00,15.90,66,1012.62,1008.44,29.48,23.8
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,07-14-2019,10:00:00,000,30.0,10.00,0.00,14.60,71,1011.69,1010.09,30.31,24.3
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,07-14-2019,10:00:00,000,29.7,10.00,0.00,0.00,77,1012.30,1008.84,31.97,25.2
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,7.4,07-14-2019,10:00:00,330,31.1,12.00,0.00,2.90,65,1010.25,1008.91,29.40,23.8
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,9.3,07-14-2019,10:00:00,300,29.5,10.00,0.00,0.60,75,1010.88,1010.00,30.72,24.5
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,11.1,07-14-2019,10:00:00,270,31.2,10.00,0.00,4.80,66,1010.67,1007.15,29.88,24.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,9.3,07-14-2019,10:00:00,300,32.1,10.00,0.00,15.00,62,1010.87,1010.44,29.42,23.8
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,3.7,07-14-2019,10:00:00,260,31.7,10.00,0.00,15.60,62,1010.57,1009.59,29.19,23.6
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,22.2,07-14-2019,10:00:00,290,30.3,10.00,0.00,4.00,72,1011.26,1010.45,30.91,24.6
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,7.4,07-14-2019,10:00:00,290,31.0,12.00,0.00,0.40,72,1011.11,1009.31,32.34,25.4
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,13.0,07-14-2019,10:00:00,240,31.1,11.00,0.00,7.60,63,1010.84,1010.09,28.56,23.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,3.7,07-14-2019,10:00:00,990,30.9,10.00,0.00,1.60,62,1011.26,1007.30,27.90,22.9
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,07-14-2019,10:00:00,000,30.0,10.00,0.00,1.50,71,1012.31,1011.63,30.31,24.3
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,7.4,07-14-2019,10:00:00,250,31.3,10.00,0.00,0.00,61,1010.87,1009.77,27.85,22.9
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,07-14-2019,10:00:00,000,30.5,12.00,0.00,0.00,68,1011.31,1008.42,29.89,24.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,5.6,07-14-2019,10:00:00,280,30.5,10.00,0.00,4.20,72,1010.83,1010.15,31.31,24.8
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.0,07-14-2019,10:00:00,000,28.7,10.00,0.00,49.70,69,1011.00,1006.89,27.28,22.5
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,9.3,07-14-2019,10:00:00,230,30.3,12.00,0.00,0.00,66,1010.77,1010.18,28.67,23.3
