WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,StationPressure,Rainfall24Hr,DewPoint,VaporPressure,WindSpeed,Rainfall,MinimumTemperature,LandVisibility,WindDirection,AirTemperature,RelativeHumidity
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1013.92,10-07-2019,07:00:00,983.40,0.00,21.2,25.21,0.0,0.00,21.3,8.00,000,22.0,95
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1013.64,10-07-2019,07:00:00,977.36,0.00,20.7,24.44,0.0,0.00,21.0,.20,000,21.5,95
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1012.85,10-07-2019,07:00:00,982.64,0.00,21.9,26.33,0.0,0.00,21.6,4.00,000,23.0,94
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1012.19,10-07-2019,07:00:00,1004.79,0.00,22.4,27.10,0.0,0.00,24.4,8.00,000,24.5,88
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1012.87,10-07-2019,07:00:00,992.74,5.80,23.5,29.00,0.0,0.00,24.2,6.00,000,25.0,92
48353,LOEI,เลย,เลย,17.45000,101.73333,1013.56,10-07-2019,07:00:00,984.43,0.00,21.7,25.92,3.7,0.00,23.0,8.00,300,23.5,90
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1012.93,10-07-2019,07:00:00,992.53,0.00,23.4,28.74,3.7,0.00,24.0,12.00,360,25.0,91
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1012.83,10-07-2019,07:00:00,990.71,1.20,21.8,26.09,0.0,0.00,22.1,8.00,000,23.0,93
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1012.63,10-07-2019,07:00:00,992.90,0.01,22.4,27.01,0.0,0.00,22.5,10.00,000,24.6,87
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1013.15,10-07-2019,07:00:00,996.11,9.00,22.3,26.91,0.0,0.00,22.3,9.00,000,23.5,93
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1013.00,10-07-2019,07:00:00,995.30,0.00,22.8,27.75,0.0,0.00,20.4,5.00,000,23.7,95
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1011.56,10-07-2019,07:00:00,985.38,0.00,22.8,27.66,0.0,0.00,22.2,9.00,000,23.5,96
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1011.69,10-07-2019,07:00:00,1005.84,0.00,24.5,30.67,5.6,0.00,23.7,8.00,320,24.9,97
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1012.25,10-07-2019,07:00:00,1005.97,0.00,23.3,28.63,0.0,0.00,23.9,8.00,000,24.5,93
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1013.02,10-07-2019,07:00:00,996.27,0.00,20.7,24.39,0.0,0.00,22.2,9.00,000,23.0,87
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1010.60,10-07-2019,07:00:00,987.93,0.00,22.2,26.83,5.6,0.00,22.5,8.00,140,23.3,94
48376,TAK,ตาก,ตาก,16.87833,99.14333,1011.82,10-07-2019,07:00:00,997.24,0.00,22.7,27.51,0.0,0.00,23.6,6.00,000,24.3,91
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1012.80,10-07-2019,07:00:00,996.16,0.00,23.3,28.53,0.0,0.00,23.0,7.00,000,24.0,96
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1011.86,10-07-2019,07:00:00,1006.56,0.00,22.6,27.43,7.4,0.00,23.8,10.00,030,24.4,90
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1011.10,10-07-2019,07:00:00,997.69,0.00,22.0,26.50,0.0,0.00,22.8,10.00,000,23.4,92
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1012.14,10-07-2019,07:00:00,1002.70,8.70,24.4,30.56,0.0,0.00,24.0,10.00,000,24.7,98
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1012.63,10-07-2019,07:00:00,990.61,0.00,23.1,28.27,5.6,0.00,23.4,8.00,330,24.0,95
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1012.56,10-07-2019,07:00:00,994.77,0.00,22.3,27.00,3.7,0.00,22.8,8.00,040,23.7,92
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1011.68,10-07-2019,07:00:00,995.67,0.00,22.0,26.43,0.0,0.00,23.9,10.00,000,25.0,83
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1011.79,10-07-2019,07:00:00,992.61,0.01,23.0,28.01,0.0,0.01,22.8,5.00,000,23.7,96
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1014.07,10-07-2019,07:00:00,961.52,0.00,18.7,21.57,0.0,0.00,19.6,.10,000,20.0,92
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1011.73,10-07-2019,07:00:00,1007.74,0.00,25.2,32.12,0.0,0.00,25.7,.80,000,26.1,95
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1012.70,10-07-2019,07:00:00,916.95,1.70,20.5,24.07,13.0,0.00,18.9,.80,060,21.1,96
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1011.58,10-07-2019,07:00:00,995.40,0.00,22.5,27.19,0.0,0.00,23.2,8.00,000,24.7,87
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1011.94,10-07-2019,07:00:00,1007.85,0.30,24.4,30.48,0.0,0.30,24.5,5.00,000,24.8,97
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1012.82,10-07-2019,07:00:00,1002.00,0.00,21.7,25.93,0.0,0.00,23.6,8.00,000,24.7,83
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1011.88,10-07-2019,07:00:00,1009.92,0.30,23.4,28.81,3.7,0.30,24.2,4.00,330,24.6,93
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1012.49,10-07-2019,07:00:00,991.27,4.40,22.0,26.42,0.0,0.00,22.7,10.00,000,23.5,91
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1011.70,10-07-2019,07:00:00,993.80,33.80,22.3,26.93,5.6,0.00,22.5,10.00,030,24.4,88
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1011.49,10-07-2019,07:00:00,995.10,13.70,23.0,28.01,5.6,0.00,23.8,10.00,020,24.0,94
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1011.27,10-07-2019,07:00:00,997.05,0.00,22.6,27.34,0.0,0.00,23.8,9.00,000,24.2,91
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1011.73,10-07-2019,07:00:00,996.68,0.00,23.0,28.01,0.0,0.00,23.3,8.00,000,24.0,94
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1012.09,10-07-2019,07:00:00,997.25,0.00,23.2,28.48,3.7,0.00,23.8,7.00,010,25.0,90
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1011.48,10-07-2019,07:00:00,1008.43,0.80,24.3,30.32,0.0,0.00,24.0,5.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",25.0,96
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1012.55,10-07-2019,07:00:00,1004.50,0.00,22.1,26.60,0.0,0.00,24.6,8.00,000,24.8,85
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1011.43,10-07-2019,07:00:00,1010.31,0.60,23.3,28.54,3.7,0.00,23.0,8.00,300,24.3,94
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1011.92,10-07-2019,07:00:00,997.04,14.50,23.5,28.89,0.0,0.00,23.9,8.00,000,24.5,94
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1012.62,10-07-2019,07:00:00,876.79,3.20,17.7,20.19,3.7,0.00,18.0,8.00,110,19.3,90
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1012.36,10-07-2019,07:00:00,1006.39,0.00,22.5,27.17,5.6,0.00,23.0,10.00,050,24.1,91
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1011.68,10-07-2019,07:00:00,1010.87,0.00,24.2,30.23,5.6,0.00,23.9,9.00,020,25.1,95
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1010.99,10-07-2019,07:00:00,1010.54,6.10,24.0,29.91,0.0,0.00,25.3,10.00,000,25.5,92
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1011.68,10-07-2019,07:00:00,1000.23,0.60,23.8,29.49,0.0,0.00,24.2,4.00,000,24.4,97
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1011.74,10-07-2019,07:00:00,1010.71,0.80,23.8,29.44,0.0,0.00,24.5,8.00,000,25.1,92
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1011.81,10-07-2019,07:00:00,1009.96,5.20,23.6,29.05,0.0,0.00,23.8,5.00,000,24.3,96
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1011.55,10-07-2019,07:00:00,1010.77,3.80,24.6,30.87,0.0,0.00,24.5,8.00,000,25.3,96
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1011.28,10-07-2019,07:00:00,1010.57,13.40,23.9,29.74,7.4,0.00,23.8,10.00,060,25.7,90
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1011.32,10-07-2019,07:00:00,1010.61,0.00,24.1,30.09,0.0,0.00,24.6,7.00,000,25.6,92
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1012.48,10-07-2019,07:00:00,990.96,0.00,22.0,26.50,5.6,0.00,22.5,7.00,090,23.4,92
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1011.83,10-07-2019,07:00:00,994.88,5.60,23.8,29.39,0.0,0.00,22.8,6.00,000,24.2,97
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1012.35,10-07-2019,07:00:00,995.70,11.80,23.7,29.33,0.0,0.00,22.8,8.00,000,24.6,95
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1012.45,10-07-2019,07:00:00,990.22,21.50,22.8,27.66,0.0,0.00,22.9,2.00,000,23.5,96
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1012.54,10-07-2019,07:00:00,968.38,0.01,21.6,25.77,3.7,0.00,21.3,9.00,110,22.2,96
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1011.96,10-07-2019,07:00:00,991.11,11.40,22.8,27.77,3.7,0.00,23.8,10.00,030,24.3,91
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1013.47,10-07-2019,07:00:00,992.30,44.70,23.7,29.29,1.9,0.00,22.6,2.00,350,23.7,100
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1011.07,10-07-2019,07:00:00,1010.64,0.30,24.6,30.84,0.0,0.00,24.3,8.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",26.0,92
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1011.15,10-07-2019,07:00:00,1009.72,0.00,23.3,28.63,0.0,0.00,24.0,8.00,000,24.5,93
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1011.16,10-07-2019,07:00:00,1006.17,7.30,24.1,30.05,0.0,0.00,24.1,8.00,000,25.0,95
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1011.49,10-07-2019,07:00:00,1008.17,0.00,23.9,29.58,0.0,0.00,23.4,8.00,000,25.9,89
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1011.49,10-07-2019,07:00:00,1010.38,0.01,24.5,30.77,0.0,0.00,24.5,8.00,000,25.1,97
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1011.43,10-07-2019,07:00:00,1011.13,11.70,23.9,29.72,3.7,0.00,24.8,10.00,100,25.4,92
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1011.80,10-07-2019,07:00:00,1011.10,11.50,24.6,31.00,0.0,0.00,25.2,10.00,000,25.8,93
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1010.82,10-07-2019,07:00:00,1010.32,16.40,24.2,30.17,3.7,0.00,25.0,10.00,100,25.5,93
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1011.59,10-07-2019,07:00:00,1010.17,15.00,24.7,31.08,5.6,0.00,24.7,10.00,350,25.7,94
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1011.20,10-07-2019,07:00:00,1009.51,22.80,26.0,33.59,14.8,0.00,25.8,7.00,020,26.7,96
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1012.69,10-07-2019,07:00:00,1004.56,23.70,23.6,29.12,0.0,0.00,23.5,8.00,000,23.9,98
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1011.08,10-07-2019,07:00:00,1010.79,2.00,24.5,30.75,3.7,0.00,24.1,4.00,080,24.8,98
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1010.84,10-07-2019,07:00:00,1007.68,0.20,24.6,30.84,0.0,0.00,24.0,12.00,000,26.0,92
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1010.88,10-07-2019,07:00:00,1003.87,0.00,24.0,29.79,0.0,0.00,24.4,10.00,000,25.0,94
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1011.88,10-07-2019,07:00:00,1006.22,0.00,23.9,29.62,0.0,0.00,23.8,8.00,000,25.2,92
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1011.71,10-07-2019,07:00:00,1002.34,0.00,24.6,30.97,0.0,0.00,24.5,8.00,000,26.5,89
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1011.98,10-07-2019,07:00:00,1010.70,0.30,24.6,30.96,7.4,0.00,25.0,2.00,280,25.2,97
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1010.82,10-07-2019,07:00:00,1010.39,4.30,23.7,29.34,0.0,3.00,24.3,8.00,000,24.9,93
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1011.58,10-07-2019,07:00:00,999.13,15.30,23.4,28.69,0.0,0.00,22.9,8.00,000,23.8,97
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1010.73,10-07-2019,07:00:00,1010.01,0.00,23.4,28.85,0.0,0.00,25.0,10.00,000,25.5,88
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1011.45,10-07-2019,07:00:00,1008.98,0.00,23.0,28.11,3.7,0.00,23.8,7.00,350,24.5,91
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1010.97,10-07-2019,07:00:00,1010.44,0.30,23.8,29.41,0.0,0.00,24.3,10.00,000,24.5,96
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1011.24,10-07-2019,07:00:00,1006.02,1.50,23.2,28.47,7.4,0.00,23.9,11.00,030,24.7,92
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1010.86,10-07-2019,07:00:00,1010.44,0.20,23.7,29.25,3.7,0.00,23.9,10.00,020,24.7,94
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1010.88,10-07-2019,07:00:00,1008.07,0.70,23.4,28.69,0.0,0.00,23.5,8.00,000,23.8,97
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1010.96,10-07-2019,07:00:00,1010.16,0.00,23.5,29.00,0.0,0.00,24.3,10.00,000,25.0,92
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1011.18,10-07-2019,07:00:00,1010.72,0.40,22.6,27.35,5.6,0.00,23.6,8.00,090,24.5,89
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.68,10-07-2019,07:00:00,1010.00,2.00,23.7,29.33,0.0,0.00,24.4,6.00,000,24.6,95
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1010.84,10-07-2019,07:00:00,1009.29,1.00,23.4,28.78,0.0,0.00,23.6,8.00,000,24.0,97
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1011.29,10-07-2019,07:00:00,1010.36,12.60,22.1,26.58,0.0,0.00,23.5,10.00,000,23.6,91
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.97,10-07-2019,07:00:00,1010.28,0.00,24.4,30.48,0.0,0.00,23.7,10.00,000,24.8,97
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1011.10,10-07-2019,07:00:00,1010.29,13.90,23.6,29.13,0.0,13.90,24.0,10.00,000,24.2,97
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.72,10-07-2019,07:00:00,1010.08,0.00,23.8,29.49,0.0,0.00,23.5,10.00,000,24.4,97
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.86,10-07-2019,07:00:00,1010.45,0.80,23.9,29.59,0.0,0.00,23.8,8.00,000,24.6,96
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1013.10,10-07-2019,07:00:00,1008.81,0.10,23.1,28.25,0.0,0.00,22.6,5.00,000,23.4,98
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1010.35,10-07-2019,07:00:00,1008.72,0.00,23.8,29.41,0.0,0.00,22.2,6.00,000,24.5,96
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1010.80,10-07-2019,07:00:00,1007.28,0.01,23.0,28.01,0.0,0.00,23.2,.80,000,23.7,96
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1010.32,10-07-2019,07:00:00,1008.95,0.00,23.3,28.61,0.0,0.00,23.7,8.00,000,23.9,97
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.24,10-07-2019,07:00:00,1009.35,0.00,23.7,29.33,0.0,0.00,24.3,10.00,000,24.6,95
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1010.83,10-07-2019,07:00:00,1007.22,3.00,23.4,28.69,0.0,0.00,23.0,10.00,000,23.8,97
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1010.44,10-07-2019,07:00:00,1010.00,10.20,23.5,28.98,0.0,0.20,24.4,9.00,000,24.7,93
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1010.07,10-07-2019,07:00:00,1009.07,5.10,24.3,30.42,0.0,3.20,23.5,10.00,000,25.2,95
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1010.35,10-07-2019,07:00:00,1009.53,0.00,24.2,30.28,0.0,0.00,24.0,10.00,000,25.7,92
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1010.87,10-07-2019,07:00:00,1009.03,36.00,23.4,28.69,0.0,0.00,23.5,.80,000,23.8,97
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1010.79,10-07-2019,07:00:00,1010.04,0.00,23.3,28.59,3.7,0.00,24.4,9.00,230,25.5,88
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1010.91,10-07-2019,07:00:00,1006.84,24.60,23.2,28.42,3.7,0.00,22.1,9.00,300,23.2,100
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1011.18,10-07-2019,07:00:00,1010.49,0.00,22.8,27.76,0.0,0.00,23.7,10.00,000,24.0,93
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1010.55,10-07-2019,07:00:00,1009.42,14.00,22.9,28.00,0.0,0.00,22.8,10.00,000,23.4,97
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1010.62,10-07-2019,07:00:00,1007.65,3.60,22.9,27.91,0.0,0.00,21.4,.50,000,23.2,98
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1010.36,10-07-2019,07:00:00,1009.66,1.70,23.0,28.08,0.0,0.00,22.9,7.00,000,23.3,98
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1011.41,10-07-2019,07:00:00,1007.22,4.00,22.4,27.07,0.0,0.00,22.6,.80,000,23.0,96
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1010.04,10-07-2019,07:00:00,1009.45,0.00,22.5,27.25,0.0,0.00,.0,8.00,000,24.0,91
