WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,StationPressure,DewPoint,RelativeHumidity,Rainfall,AirTemperature,MeanSeaLevelPressure,Rainfall24Hr,WindDirection,WindSpeed,LandVisibility,VaporPressure
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-01-2019,01:00:00,993.20,24.3,96,0.01,25.0,1008.15,8.40,000,0.0,7.00,30.32
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-01-2019,01:00:00,993.69,24.8,99,0.00,25.0,1008.48,8.10,000,0.0,6.00,31.39
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-01-2019,01:00:00,1002.16,24.5,87,0.00,27.0,1005.17,9.30,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,10.00,30.83
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-01-2019,01:00:00,998.29,24.9,93,0.00,26.1,1006.26,17.40,000,0.0,7.00,31.57
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-01-2019,01:00:00,1005.34,24.3,85,0.00,27.0,1006.45,1.20,130,7.4,8.00,30.29
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-01-2019,01:00:00,987.32,24.4,89,0.00,26.3,1001.97,7.10,000,0.0,8.00,30.59
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-01-2019,01:00:00,1001.03,25.4,94,0.00,26.4,1006.92,13.60,260,3.7,10.00,32.43
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,09-01-2019,01:00:00,1005.68,25.1,88,0.00,27.2,1006.48,0.01,180,3.7,7.00,31.77
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,09-01-2019,01:00:00,1004.23,24.4,80,0.00,28.3,1004.67,0.00,230,11.1,10.00,30.59
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,09-01-2019,01:00:00,995.04,24.2,97,6.00,24.8,1006.41,24.70,000,0.0,3.00,30.22
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,09-01-2019,01:00:00,1005.20,25.3,90,0.00,27.0,1006.21,0.01,000,0.0,10.00,32.21
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,09-01-2019,01:00:00,1004.94,24.6,89,0.00,26.5,1006.77,2.20,140,3.7,7.00,30.97
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,09-01-2019,01:00:00,1005.32,23.2,85,0.00,25.8,1006.09,0.01,000,0.0,7.00,28.34
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,09-01-2019,01:00:00,1005.93,24.4,85,0.00,27.1,1006.63,2.20,180,5.6,10.00,30.48
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,09-01-2019,01:00:00,1006.40,24.7,94,0.50,25.7,1007.11,6.10,000,0.0,7.00,31.08
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,09-01-2019,01:00:00,986.06,23.1,85,0.00,25.9,1007.30,0.30,200,1.9,10.00,28.26
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,09-01-2019,01:00:00,990.67,24.2,93,0.00,25.5,1007.47,26.00,000,0.0,6.00,30.17
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,09-01-2019,01:00:00,991.65,24.0,92,0.00,25.5,1008.18,11.90,230,13.0,6.00,29.91
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,09-01-2019,01:00:00,985.29,23.5,92,0.60,25.0,1007.30,1.90,000,0.0,10.00,29.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,09-01-2019,01:00:00,963.69,21.9,90,0.00,23.6,1007.43,0.80,000,0.0,10.00,26.33
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,09-01-2019,01:00:00,986.81,23.4,86,0.00,25.9,1007.45,1.60,220,11.1,7.00,28.78
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,09-01-2019,01:00:00,987.88,25.1,98,0.00,25.4,1008.84,2.80,200,14.8,8.00,31.87
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,09-01-2019,01:00:00,1005.93,23.3,78,0.00,27.5,1006.36,0.30,210,11.1,10.00,28.53
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,09-01-2019,01:00:00,1005.84,24.7,98,1.00,25.0,1007.27,1.50,000,0.0,6.00,31.12
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,09-01-2019,01:00:00,1002.65,24.5,90,0.00,26.2,1007.60,0.00,000,0.0,7.00,30.67
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,09-01-2019,01:00:00,1002.89,23.3,80,0.00,27.0,1006.18,0.40,220,3.7,10.00,28.67
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,09-01-2019,01:00:00,1005.19,24.9,91,0.00,26.5,1006.30,0.01,000,0.0,10.00,31.52
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,09-01-2019,01:00:00,1006.14,24.7,82,0.00,28.0,1006.44,0.01,000,0.0,10.00,31.11
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,09-01-2019,01:00:00,1005.81,25.6,89,0.00,27.6,1006.30,1.70,000,0.0,10.00,32.84
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,09-01-2019,01:00:00,1004.85,25.6,94,0.00,26.7,1006.25,6.60,140,3.7,10.00,32.74
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,09-01-2019,01:00:00,1001.11,23.8,93,0.00,25.0,1009.19,0.00,000,0.0,10.00,29.52
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,09-01-2019,01:00:00,1006.23,23.4,78,0.00,27.6,1006.51,0.00,120,3.7,10.00,28.71
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,09-01-2019,01:00:00,1003.37,23.2,75,0.00,28.0,1006.49,0.00,000,0.0,10.00,28.39
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,09-01-2019,01:00:00,1000.27,22.7,76,0.00,27.3,1007.20,3.10,270,5.6,10.00,27.63
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,09-01-2019,01:00:00,1002.36,24.3,87,0.00,26.6,1007.97,0.00,000,0.0,10.00,30.34
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,09-01-2019,01:00:00,1006.02,24.4,93,0.00,25.6,1007.29,1.40,000,0.0,8.00,30.63
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,09-01-2019,01:00:00,1005.86,23.5,85,0.00,26.3,1006.30,0.01,230,20.4,11.00,28.98
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,09-01-2019,01:00:00,994.68,22.7,83,0.00,25.8,1006.98,5.80,000,0.0,10.00,27.56
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,09-01-2019,01:00:00,1006.06,23.2,84,0.00,26.1,1006.77,1.60,000,0.0,10.00,28.36
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,09-01-2019,01:00:00,1004.94,22.9,74,0.00,28.0,1007.37,3.10,230,11.1,10.00,27.85
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,09-01-2019,01:00:00,1007.30,23.6,77,0.00,28.0,1007.82,1.40,270,14.8,10.00,29.19
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,09-01-2019,01:00:00,1002.28,22.6,77,0.00,26.9,1007.44,0.60,190,1.9,9.00,27.44
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,09-01-2019,01:00:00,1007.65,25.0,93,0.00,26.3,1008.06,35.00,000,0.0,7.00,31.68
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-01-2019,01:00:00,1005.73,24.8,97,0.00,25.4,1008.52,10.30,000,0.0,8.00,31.33
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-01-2019,01:00:00,1006.26,22.3,87,0.00,24.5,1007.05,5.60,000,0.0,10.00,26.84
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-01-2019,01:00:00,1008.96,23.7,95,4.40,24.6,1009.43,17.40,020,5.6,4.00,29.33
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-01-2019,01:00:00,1007.37,23.5,97,0.00,24.1,1008.06,3.70,000,0.0,7.00,28.96
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-01-2019,01:00:00,1006.54,23.0,93,0.00,24.2,1008.08,2.60,000,0.0,8.00,28.10
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-01-2019,01:00:00,1007.94,22.8,84,0.00,25.8,1008.87,28.90,200,7.4,10.00,27.82
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-01-2019,01:00:00,1007.77,21.8,76,0.00,26.3,1008.46,0.60,000,0.0,10.00,26.13
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-01-2019,01:00:00,1008.26,23.5,100,0.00,23.5,1009.07,0.60,240,1.9,8.00,28.94
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-01-2019,01:00:00,1007.24,23.2,90,0.00,25.0,1007.88,0.00,000,0.0,10.00,28.48
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-01-2019,01:00:00,1008.09,23.3,93,0.00,24.5,1008.50,0.00,000,0.0,10.00,28.63
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-01-2019,01:00:00,1006.33,22.8,96,0.00,23.5,1010.60,5.60,000,0.0,5.00,27.66
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-01-2019,01:00:00,1007.98,22.9,98,0.00,23.2,1009.62,6.40,000,0.0,6.00,27.91
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,09-01-2019,01:00:00,1004.99,22.8,96,0.00,23.5,1008.51,0.20,000,0.0,7.00,27.66
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,09-01-2019,01:00:00,1007.32,23.5,93,0.00,24.7,1008.69,2.10,000,0.0,7.00,28.98
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,09-01-2019,01:00:00,1008.61,24.1,97,3.00,24.5,1009.50,11.60,000,0.0,10.00,29.93
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,09-01-2019,01:00:00,1005.86,23.1,96,2.00,23.7,1009.46,4.80,000,0.0,10.00,28.26
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,09-01-2019,01:00:00,1009.52,23.5,96,29.00,24.2,1009.96,40.20,000,0.0,8.00,28.88
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,09-01-2019,01:00:00,1007.51,22.9,90,14.90,24.7,1008.52,18.80,000,0.0,8.00,27.95
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,09-01-2019,01:00:00,1007.36,24.7,95,15.40,25.6,1008.18,24.00,290,44.4,5.00,31.17
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,09-01-2019,01:00:00,1007.17,23.3,96,0.00,24.0,1009.00,2.80,000,0.0,10.00,28.53
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,09-01-2019,01:00:00,1007.68,24.0,85,0.00,26.8,1008.43,0.01,150,3.7,10.00,29.91
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,09-01-2019,01:00:00,1004.51,24.4,94,0.00,25.4,1008.54,0.00,250,5.6,8.00,30.52
48570,SATUN,สตูล,สตูล,6.65000,100.08333,09-01-2019,01:00:00,1008.76,25.4,95,0.00,26.3,1009.44,0.00,000,0.0,10.00,32.51
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,09-01-2019,01:00:00,1007.57,24.4,90,0.00,26.1,1008.69,0.00,000,0.0,10.00,30.48
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,09-01-2019,01:00:00,1005.66,24.4,93,0.00,25.7,1008.60,0.00,210,3.7,10.00,30.54
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,09-01-2019,01:00:00,1008.13,22.9,90,0.00,24.7,1008.73,11.40,000,0.0,8.00,27.95
