WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall,LandVisibility,VaporPressure,AirTemperature,Rainfall24Hr,WindSpeed,MeanSeaLevelPressure,DewPoint,RelativeHumidity,WindDirection
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1004.98,09-23-2019,13:00:00,0.90,10.00,31.91,26.7,23.70,0.0,1011.96,25.1,91,000
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1006.68,09-23-2019,13:00:00,0.00,8.00,31.36,29.4,84.30,3.7,1012.27,24.8,77,100
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1004.02,09-23-2019,13:00:00,8.80,8.00,30.84,26.0,25.60,7.4,1013.43,24.6,92,280
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1011.27,09-23-2019,13:00:00,7.70,3.00,30.12,24.6,44.60,0.0,1012.55,24.2,97,000
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1010.54,09-23-2019,13:00:00,0.50,11.00,33.37,29.4,5.90,14.8,1010.97,25.9,81,150
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,999.23,09-23-2019,13:00:00,0.00,10.00,31.13,29.0,15.90,14.8,1011.46,24.7,78,180
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1010.64,09-23-2019,13:00:00,0.00,10.00,31.28,27.8,42.60,13.0,1011.35,24.8,84,120
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1009.71,09-23-2019,13:00:00,1.00,9.00,30.15,28.5,48.20,3.7,1012.15,24.2,78,180
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1011.33,09-23-2019,13:00:00,0.01,12.00,31.28,29.5,17.50,7.4,1011.85,24.8,76,170
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1006.39,09-23-2019,13:00:00,1.40,10.00,30.67,27.2,23.40,3.7,1011.56,24.5,85,090
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1010.84,09-23-2019,13:00:00,0.00,8.00,28.50,32.2,17.00,11.1,1011.24,23.2,59,190
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1008.58,09-23-2019,13:00:00,0.00,8.00,33.57,31.3,16.80,7.4,1011.32,26.0,73,170
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1011.23,09-23-2019,13:00:00,0.50,6.00,29.70,26.4,30.60,5.6,1012.03,23.9,86,120
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1010.94,09-23-2019,13:00:00,0.00,10.00,32.75,30.5,0.60,5.6,1011.40,25.6,75,290
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.38,09-23-2019,13:00:00,0.00,7.00,32.01,30.0,19.80,0.0,1011.05,25.2,75,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1009.20,09-23-2019,13:00:00,0.20,6.00,29.90,28.8,10.40,3.7,1010.73,24.0,76,030
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.46,09-23-2019,13:00:00,0.00,9.00,29.03,30.2,0.00,3.7,1011.37,23.5,68,090
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.77,09-23-2019,13:00:00,0.01,9.00,33.21,27.5,4.90,5.6,1011.46,25.8,90,090
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1010.33,09-23-2019,13:00:00,0.00,7.00,29.77,29.3,22.80,7.4,1011.12,24.0,73,010
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.22,09-23-2019,13:00:00,0.20,7.00,32.64,27.5,59.20,0.0,1010.85,25.5,89,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.61,09-23-2019,13:00:00,0.01,10.00,32.73,27.4,7.20,0.0,1011.02,25.5,90,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1008.45,09-23-2019,13:00:00,0.00,6.00,29.85,29.2,17.30,3.7,1012.65,24.0,74,120
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1009.43,09-23-2019,13:00:00,0.01,8.00,28.62,28.7,11.40,0.0,1011.04,23.3,73,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1007.64,09-23-2019,13:00:00,0.00,10.00,32.10,28.5,4.20,0.0,1011.11,25.2,83,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1009.32,09-23-2019,13:00:00,0.00,4.00,33.24,29.2,21.10,3.7,1010.66,25.8,82,080
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1009.67,09-23-2019,13:00:00,0.00,5.00,31.03,30.5,0.00,0.0,1010.55,24.7,71,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1006.78,09-23-2019,13:00:00,0.00,7.00,31.86,28.8,3.60,7.4,1010.33,25.1,80,040
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1009.76,09-23-2019,13:00:00,0.00,8.00,29.80,31.3,2.00,5.6,1010.19,24.0,65,080
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.04,09-23-2019,13:00:00,0.00,5.00,31.31,30.5,17.60,7.4,1010.02,24.8,72,060
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1009.21,09-23-2019,13:00:00,0.00,9.00,33.43,31.1,0.00,14.8,1010.01,25.9,74,060
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1008.01,09-23-2019,13:00:00,0.00,5.00,31.51,30.6,33.20,13.0,1009.80,24.9,72,020
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1009.76,09-23-2019,13:00:00,0.00,5.00,31.31,30.5,9.30,11.1,1010.50,24.8,72,070
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1006.50,09-23-2019,13:00:00,0.00,5.00,31.23,30.6,0.01,16.7,1010.46,24.8,71,050
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1008.68,09-23-2019,13:00:00,0.00,2.00,28.59,31.4,3.10,5.6,1009.36,23.3,62,080
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1009.48,09-23-2019,13:00:00,0.00,7.00,32.09,30.6,0.80,5.6,1010.59,25.2,73,310
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1006.98,09-23-2019,13:00:00,0.00,8.00,33.09,32.6,4.80,3.7,1009.85,25.7,67,060
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1008.64,09-23-2019,13:00:00,0.00,6.00,32.38,33.1,0.00,0.0,1009.32,25.4,64,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1006.35,09-23-2019,13:00:00,0.00,3.00,28.07,33.4,20.20,16.7,1010.40,23.0,55,120
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1009.75,09-23-2019,13:00:00,0.00,8.00,29.48,31.0,0.00,18.5,1010.33,23.8,66,090
