WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,VaporPressure,WindSpeed,MeanSeaLevelPressure,Rainfall24Hr,StationPressure,WindDirection,RelativeHumidity,DewPoint,Rainfall,LandVisibility
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,26.0,08-20-2019,01:00:00,25.61,0.0,641.93,0.00,624.37,000,76,21.5,0.00,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,26.0,08-20-2019,01:00:00,26.37,0.0,1006.26,0.00,972.72,000,78,22.0,0.00,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,26.5,08-20-2019,01:00:00,32.35,0.0,1005.71,1.00,987.23,000,93,25.4,0.00,10.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,26.4,08-20-2019,01:00:00,31.60,0.0,1005.55,0.70,982.77,000,92,25.0,0.00,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,25.4,08-20-2019,01:00:00,30.25,0.0,1005.82,2.00,975.88,000,93,24.2,0.00,7.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,25.2,08-20-2019,01:00:00,30.96,0.0,1006.60,0.60,971.01,000,97,24.6,0.00,6.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,25.9,08-20-2019,01:00:00,30.92,0.0,1004.63,0.00,974.95,000,93,24.6,0.00,12.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,27.8,08-20-2019,01:00:00,30.17,0.0,1006.57,0.90,999.29,000,81,24.2,0.00,8.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,28.4,08-20-2019,01:00:00,33.04,9.3,1004.21,0.00,984.48,270,85,25.7,0.00,12.00
48353,LOEI,เลย,เลย,17.45000,101.73333,26.5,08-20-2019,01:00:00,29.08,3.7,1005.10,0.00,976.49,010,84,23.6,0.00,12.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,27.5,08-20-2019,01:00:00,28.80,7.4,1004.52,0.00,984.44,260,78,23.4,0.00,12.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,26.1,08-20-2019,01:00:00,31.03,0.0,1005.38,11.20,983.64,000,92,24.7,0.00,10.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,26.8,08-20-2019,01:00:00,31.27,0.0,1004.36,0.01,984.92,000,89,24.8,0.00,10.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,26.4,08-20-2019,01:00:00,29.70,5.6,1005.74,0.00,988.99,120,86,23.9,0.00,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,25.7,08-20-2019,01:00:00,31.08,0.0,1006.21,0.00,988.75,000,94,24.7,0.00,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,26.7,08-20-2019,01:00:00,30.26,0.0,1003.97,0.00,978.27,000,86,24.2,0.00,10.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,28.3,08-20-2019,01:00:00,29.22,7.4,1005.98,0.00,1000.22,240,76,23.7,0.00,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,28.5,08-20-2019,01:00:00,30.70,0.0,1005.64,0.00,999.49,000,79,24.5,0.00,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,25.0,08-20-2019,01:00:00,28.48,5.6,1007.49,1.50,990.94,180,90,23.2,0.00,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,25.0,08-20-2019,01:00:00,29.52,0.0,1006.55,9.40,984.10,000,93,23.8,0.00,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,28.0,08-20-2019,01:00:00,27.85,11.1,1007.40,0.20,993.06,260,74,22.9,0.00,6.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,28.4,08-20-2019,01:00:00,28.06,0.0,1006.06,0.00,989.77,000,73,23.0,0.00,8.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,25.7,08-20-2019,01:00:00,30.81,5.6,1007.17,1.10,1001.92,200,93,24.5,0.00,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.8,08-20-2019,01:00:00,28.13,0.0,1005.77,1.50,992.49,000,90,23.0,0.00,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,26.7,08-20-2019,01:00:00,32.18,0.0,1006.58,0.60,997.25,000,92,25.3,0.00,10.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,28.3,08-20-2019,01:00:00,28.14,7.4,1004.84,0.00,983.29,230,73,23.0,0.00,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,28.5,08-20-2019,01:00:00,26.13,7.4,1005.60,0.00,988.22,210,67,21.8,0.00,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,25.8,08-20-2019,01:00:00,31.00,0.0,1004.73,5.50,988.87,000,93,24.6,0.00,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,27.3,08-20-2019,01:00:00,25.82,9.3,1004.06,0.00,985.25,200,71,21.6,0.00,8.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.6,08-20-2019,01:00:00,26.58,0.0,1007.69,2.90,956.09,000,91,22.1,0.00,5.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.1,08-20-2019,01:00:00,30.23,7.4,1006.96,15.00,1002.98,100,95,24.2,0.00,5.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.3,08-20-2019,01:00:00,24.84,11.1,1007.79,2.20,912.57,250,98,21.0,0.20,.05
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,28.1,08-20-2019,01:00:00,31.31,0.0,1005.14,0.00,989.24,000,82,24.8,0.00,7.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.7,08-20-2019,01:00:00,31.08,0.0,1006.94,13.50,1002.89,000,94,24.7,0.70,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.5,08-20-2019,01:00:00,29.41,0.0,1007.85,45.90,997.07,000,96,23.8,0.50,7.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,25.2,08-20-2019,01:00:00,31.22,3.7,1007.42,29.90,1005.47,150,97,24.8,3.20,4.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,24.2,08-20-2019,01:00:00,28.36,5.6,1006.18,9.80,985.15,270,94,23.2,3.80,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,28.6,08-20-2019,01:00:00,30.07,20.4,1004.66,0.01,987.14,240,77,24.1,0.01,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,29.5,08-20-2019,01:00:00,29.60,13.0,1004.73,0.00,988.74,250,72,23.9,0.00,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,25.5,08-20-2019,01:00:00,30.17,11.1,1007.17,5.90,993.07,230,93,24.2,5.90,2.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,25.8,08-20-2019,01:00:00,30.46,9.3,1006.33,4.00,991.45,260,92,24.3,4.00,5.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,25.0,08-20-2019,01:00:00,30.32,0.0,1007.20,2.20,992.43,000,96,24.3,2.20,4.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,25.8,08-20-2019,01:00:00,31.55,0.0,1006.71,39.50,1003.68,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",95,24.9,1.60,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,24.3,08-20-2019,01:00:00,29.05,0.0,1007.12,6.30,999.10,000,96,23.6,2.20,7.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,25.9,08-20-2019,01:00:00,30.92,5.6,1007.75,0.50,1006.63,180,93,24.6,0.50,7.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,28.2,08-20-2019,01:00:00,34.65,0.0,1007.16,0.00,992.53,000,91,26.5,0.00,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.8,08-20-2019,01:00:00,22.85,5.6,1009.08,16.60,873.94,250,99,19.6,4.20,.10
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,24.7,08-20-2019,01:00:00,30.30,0.0,1007.24,16.30,1001.32,000,97,24.3,0.30,7.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,27.7,08-20-2019,01:00:00,31.36,7.4,1008.97,0.60,1008.17,240,84,24.8,0.00,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,28.5,08-20-2019,01:00:00,33.53,13.0,1006.95,15.70,1006.51,210,86,26.0,15.70,4.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,25.0,08-20-2019,01:00:00,30.32,0.0,1008.88,4.00,997.48,000,96,24.3,0.00,3.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,27.9,08-20-2019,01:00:00,30.37,0.0,1007.75,0.00,1006.74,000,81,24.3,0.00,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,25.3,08-20-2019,01:00:00,30.87,3.7,1007.29,11.40,1005.46,170,96,24.6,0.80,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,27.5,08-20-2019,01:00:00,28.53,0.0,1007.44,0.00,1006.67,000,78,23.3,0.00,5.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,28.5,08-20-2019,01:00:00,32.39,7.4,1008.11,0.01,1007.41,230,83,25.4,0.01,9.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,27.5,08-20-2019,01:00:00,32.36,0.0,1007.91,0.01,1007.20,000,88,25.4,0.01,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,25.3,08-20-2019,01:00:00,27.46,3.7,1007.37,0.00,986.09,290,85,22.6,0.00,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,26.2,08-20-2019,01:00:00,26.21,9.3,1006.99,0.20,990.24,220,77,21.9,0.20,6.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,26.7,08-20-2019,01:00:00,26.82,7.4,1007.68,0.00,991.23,270,77,22.2,0.00,7.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,25.5,08-20-2019,01:00:00,27.29,0.0,1007.46,0.80,985.49,000,84,22.5,0.40,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,23.1,08-20-2019,01:00:00,26.74,7.4,1007.02,13.60,963.23,210,95,22.2,2.60,8.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,25.8,08-20-2019,01:00:00,26.54,11.1,1007.36,0.00,986.72,210,80,22.1,0.00,8.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,26.5,08-20-2019,01:00:00,27.25,14.8,1008.20,0.00,987.33,240,79,22.5,0.00,8.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,28.5,08-20-2019,01:00:00,30.98,7.4,1008.02,0.00,1007.59,330,80,24.6,0.00,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,26.5,08-20-2019,01:00:00,31.79,0.0,1007.94,0.00,1006.52,000,92,25.1,0.00,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,26.2,08-20-2019,01:00:00,30.67,0.0,1008.39,0.00,1003.44,000,90,24.5,0.00,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,27.4,08-20-2019,01:00:00,29.69,0.0,1008.21,0.40,1004.92,000,81,23.9,0.00,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,27.1,08-20-2019,01:00:00,30.48,0.0,1007.93,0.00,1006.83,000,85,24.4,0.00,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,29.6,08-20-2019,01:00:00,33.50,7.4,1008.00,0.01,1007.71,290,81,25.9,0.00,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,28.7,08-20-2019,01:00:00,34.24,0.0,1008.12,0.00,1007.63,000,87,26.3,0.00,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,28.1,08-20-2019,01:00:00,31.87,11.1,1007.68,4.60,1006.27,210,84,25.1,0.01,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,26.5,08-20-2019,01:00:00,32.63,0.0,1009.75,0.20,1001.71,000,94,25.5,0.20,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,28.3,08-20-2019,01:00:00,34.28,0.0,1007.71,2.00,1007.43,000,89,26.3,2.00,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,28.5,08-20-2019,01:00:00,32.96,9.3,1007.55,0.00,1004.44,300,85,25.7,0.00,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,28.2,08-20-2019,01:00:00,34.07,11.1,1007.80,1.50,1000.88,270,89,26.2,1.50,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.6,08-20-2019,01:00:00,29.82,3.7,1007.92,0.50,1002.29,270,91,24.0,0.50,6.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,27.1,08-20-2019,01:00:00,30.75,3.7,1009.12,0.00,1007.85,280,86,24.5,0.00,10.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,28.5,08-20-2019,01:00:00,29.87,14.8,1007.85,0.00,1007.42,320,77,24.0,0.00,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,25.5,08-20-2019,01:00:00,28.85,0.0,1008.93,0.00,996.59,000,88,23.4,0.00,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,27.8,08-20-2019,01:00:00,30.17,0.0,1008.34,0.00,1007.63,000,81,24.2,0.00,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,29.4,08-20-2019,01:00:00,29.68,5.6,1008.08,0.00,1005.67,240,72,23.9,0.00,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.5,08-20-2019,01:00:00,33.58,9.3,1008.62,0.00,1008.11,260,81,26.0,0.00,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,27.8,08-20-2019,01:00:00,32.12,0.0,1007.86,7.50,1002.72,000,86,25.2,7.50,8.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,28.0,08-20-2019,01:00:00,33.94,0.0,1008.53,0.50,1008.12,000,90,26.2,0.50,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,26.8,08-20-2019,01:00:00,32.94,0.0,1008.44,0.00,1005.66,000,94,25.7,0.00,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,26.5,08-20-2019,01:00:00,29.89,11.1,1008.63,0.30,1007.84,270,86,24.0,0.00,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.5,08-20-2019,01:00:00,31.25,5.6,1008.01,0.00,1007.55,120,96,24.8,0.00,7.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,26.7,08-20-2019,01:00:00,31.08,5.6,1009.45,0.00,1008.77,260,89,24.7,0.00,10.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,25.8,08-20-2019,01:00:00,29.93,0.0,1009.74,0.00,1008.20,000,90,24.1,0.00,8.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,26.4,08-20-2019,01:00:00,29.17,0.0,1011.28,0.00,1010.36,000,85,23.6,0.00,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,28.7,08-20-2019,01:00:00,29.98,5.6,1009.70,0.00,1009.01,270,76,24.1,0.00,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.0,08-20-2019,01:00:00,27.25,0.0,1010.22,0.00,1009.42,000,91,22.5,0.00,9.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,26.0,08-20-2019,01:00:00,28.70,0.0,1009.80,0.00,1009.17,000,85,23.4,0.00,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,26.1,08-20-2019,01:00:00,29.68,0.0,1009.78,0.00,1009.37,000,88,23.9,0.00,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.5,08-20-2019,01:00:00,28.89,0.0,1012.04,0.00,1007.77,000,94,23.5,0.00,5.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,25.6,08-20-2019,01:00:00,30.63,0.0,1009.53,0.00,1007.91,000,93,24.4,0.00,8.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,25.7,08-20-2019,01:00:00,31.08,0.0,1010.23,0.00,1006.73,000,94,24.7,0.00,8.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,27.2,08-20-2019,01:00:00,30.39,0.0,1009.40,0.00,1008.04,000,84,24.3,0.00,8.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,25.2,08-20-2019,01:00:00,28.83,0.0,1010.45,0.00,1009.56,000,90,23.4,0.00,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.4,08-20-2019,01:00:00,28.97,0.0,1010.15,0.00,1006.55,000,95,23.5,0.00,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,27.0,08-20-2019,01:00:00,30.83,0.0,1009.95,0.00,1009.52,000,87,24.5,0.00,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,26.4,08-20-2019,01:00:00,29.70,0.0,1009.72,0.00,1008.73,000,86,23.9,0.00,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.5,08-20-2019,01:00:00,28.33,5.6,1009.66,0.00,1008.84,120,87,23.1,0.00,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,26.0,08-20-2019,01:00:00,31.38,0.0,1010.16,0.00,1008.34,000,93,24.8,0.00,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,27.5,08-20-2019,01:00:00,30.15,3.7,1009.87,0.00,1009.12,230,82,24.2,0.00,7.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,25.9,08-20-2019,01:00:00,31.46,3.7,1010.34,0.00,1006.32,110,94,24.9,0.00,7.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,26.5,08-20-2019,01:00:00,31.79,0.0,1010.21,0.00,1009.52,000,92,25.1,0.00,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,25.9,08-20-2019,01:00:00,31.19,0.0,1010.11,0.00,1008.99,000,93,24.7,0.00,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,26.2,08-20-2019,01:00:00,31.76,0.0,1010.44,0.00,1007.50,000,93,25.0,0.00,10.00
