WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,Rainfall24Hr,WindSpeed,VaporPressure,LandVisibility,AirTemperature,DewPoint,MeanSeaLevelPressure,WindDirection,RelativeHumidity,MinimumTemperature,StationPressure
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,07-22-2019,07:00:00,0.00,0.0,27.85,10.00,28.0,22.9,1007.81,000,74,27.1,999.88
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-22-2019,07:00:00,0.00,3.7,30.02,7.00,27.0,24.1,1008.34,180,84,25.5,1007.23
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,07-22-2019,07:00:00,4.90,0.0,30.64,9.00,26.9,24.4,1006.89,000,86,25.6,992.20
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.20,07-22-2019,07:00:00,0.40,13.0,22.71,.05,19.7,19.5,1008.80,300,99,18.3,873.66
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-22-2019,07:00:00,0.00,7.4,30.02,10.00,27.0,24.1,1008.07,180,84,26.3,1002.19
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,07-22-2019,07:00:00,8.60,0.0,35.39,8.00,27.3,26.9,1008.27,000,98,26.5,1007.47
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,07-22-2019,07:00:00,0.00,5.6,31.54,10.00,28.5,24.9,1008.00,210,81,27.2,1007.55
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,07-22-2019,07:00:00,1.60,0.0,30.32,5.00,25.0,24.3,1008.98,000,96,24.7,997.58
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,07-22-2019,07:00:00,6.90,0.0,29.79,10.00,27.6,24.0,1008.41,000,81,26.8,1007.39
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,07-22-2019,07:00:00,0.00,3.7,29.02,7.00,26.9,23.5,1007.99,180,82,26.5,1006.17
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,07-22-2019,07:00:00,0.01,0.0,30.91,8.00,26.9,24.6,1008.28,000,87,26.1,1007.51
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,07-22-2019,07:00:00,0.01,0.0,31.34,10.00,28.4,24.8,1008.89,000,81,26.4,1008.19
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,07-22-2019,07:00:00,0.00,0.0,29.98,7.00,27.7,24.1,1008.43,000,81,26.9,1007.73
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,07-22-2019,07:00:00,0.00,0.0,28.06,10.00,28.4,23.0,1007.91,000,73,26.8,986.84
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,07-22-2019,07:00:00,0.10,0.0,29.13,8.00,27.1,23.6,1008.09,000,81,25.8,991.37
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,07-22-2019,07:00:00,0.70,5.6,29.45,6.00,26.7,23.8,1008.27,260,84,25.3,991.81
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,07-22-2019,07:00:00,0.00,0.0,27.36,10.00,27.0,22.6,1008.11,000,77,26.1,986.23
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,07-22-2019,07:00:00,0.00,3.7,24.94,15.00,25.6,21.1,1008.60,140,76,25.5,965.10
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,07-22-2019,07:00:00,0.00,5.6,26.06,10.00,27.0,21.8,1007.74,230,73,26.5,987.17
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,07-22-2019,07:00:00,6.00,11.1,32.45,8.00,25.7,25.4,1009.78,230,98,24.8,988.82
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,07-22-2019,07:00:00,6.70,1.9,33.38,10.00,27.3,25.9,1007.74,310,92,25.6,1007.31
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,07-22-2019,07:00:00,0.00,0.0,31.38,11.00,26.0,24.8,1007.90,000,93,25.5,1006.48
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,07-22-2019,07:00:00,0.00,0.0,31.65,7.00,26.0,25.0,1008.05,000,94,25.6,1003.10
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,07-22-2019,07:00:00,3.70,0.0,28.84,12.00,26.8,23.4,1008.36,000,82,24.7,1005.06
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,07-22-2019,07:00:00,0.01,0.0,31.05,10.00,26.4,24.7,1008.47,000,90,25.8,1007.36
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,07-22-2019,07:00:00,0.01,0.0,31.77,10.00,27.2,25.1,1008.61,000,88,26.4,1008.31
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,07-22-2019,07:00:00,0.00,0.0,31.14,10.00,27.3,24.7,1008.18,000,86,26.8,1007.49
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,07-22-2019,07:00:00,0.00,0.0,30.15,10.00,27.5,24.2,1008.06,000,82,27.5,1007.57
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,07-22-2019,07:00:00,0.20,5.6,28.76,10.00,28.2,23.4,1008.41,040,75,26.4,1007.01
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,07-22-2019,07:00:00,1.50,7.4,32.05,10.00,29.6,25.2,1008.41,210,77,26.7,1006.74
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,07-22-2019,07:00:00,0.00,0.0,31.17,10.00,25.6,24.7,1009.96,000,95,25.2,1001.90
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,07-22-2019,07:00:00,3.20,0.0,33.37,10.00,28.0,25.9,1008.18,000,88,26.2,1007.90
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,07-22-2019,07:00:00,0.00,0.0,29.74,12.00,29.0,23.9,1008.08,000,74,27.0,1004.96
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,07-22-2019,07:00:00,0.00,0.0,30.23,12.00,28.4,24.2,1008.20,000,78,27.9,1001.28
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,07-22-2019,07:00:00,0.00,7.4,31.00,8.00,26.8,24.6,1008.29,270,88,26.1,1002.69
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,07-22-2019,07:00:00,0.00,11.1,29.71,8.00,28.7,23.9,1009.41,230,75,26.9,1000.13
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,07-22-2019,07:00:00,5.00,0.0,31.19,10.00,25.9,24.7,1008.77,000,93,25.3,1007.50
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,07-22-2019,07:00:00,8.30,3.7,31.52,11.00,26.5,24.9,1008.05,300,91,26.0,1007.62
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,07-22-2019,07:00:00,2.40,0.0,29.77,8.00,24.7,24.0,1007.93,000,96,24.2,995.57
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,07-22-2019,07:00:00,0.60,0.0,30.70,10.00,28.5,24.5,1007.81,000,79,27.7,1007.10
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,07-22-2019,07:00:00,0.00,0.0,30.75,10.00,27.1,24.5,1008.52,000,86,26.5,1006.08
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,07-22-2019,07:00:00,0.01,7.4,31.00,10.00,29.5,24.6,1008.15,250,75,29.2,1007.63
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,07-22-2019,07:00:00,0.00,0.0,31.33,12.00,27.4,24.8,1008.14,000,86,27.1,1002.99
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,07-22-2019,07:00:00,12.80,0.0,34.60,7.00,27.2,26.5,1008.82,000,96,26.7,1008.41
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1.00,07-22-2019,07:00:00,7.80,0.0,33.75,8.00,26.5,26.1,1008.99,000,98,24.2,1006.21
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,07-22-2019,07:00:00,0.00,0.0,30.15,10.00,27.5,24.2,1008.57,000,82,26.6,1007.78
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,07-22-2019,07:00:00,1.00,3.7,30.96,7.00,25.2,24.6,1008.80,080,97,24.3,1008.33
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,07-22-2019,07:00:00,0.00,0.0,30.84,8.00,26.0,24.6,1008.11,000,92,25.2,1007.42
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,07-22-2019,07:00:00,0.00,0.0,29.52,10.00,25.0,23.8,1008.14,000,93,24.6,1006.60
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,07-22-2019,07:00:00,2.10,0.0,29.91,10.00,25.5,24.0,1011.10,000,92,25.4,1010.18
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,07-22-2019,07:00:00,0.00,0.0,30.43,12.00,26.5,24.3,1008.54,000,88,25.7,1007.85
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,07-22-2019,07:00:00,0.00,0.0,28.53,8.00,24.0,23.3,1008.80,000,96,24.0,1007.99
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,07-22-2019,07:00:00,0.00,0.0,31.25,8.00,25.5,24.8,1007.83,000,96,24.7,1007.20
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,07-22-2019,07:00:00,0.00,0.0,30.32,10.00,25.0,24.3,1008.40,000,96,24.2,1008.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,07-22-2019,07:00:00,0.00,0.0,28.28,5.00,24.3,23.1,1010.66,000,93,23.8,1006.40
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,07-22-2019,07:00:00,0.20,0.0,29.66,4.00,24.2,23.9,1008.61,000,98,23.5,1006.99
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,07-22-2019,07:00:00,0.00,0.0,29.25,8.00,24.7,23.7,1008.73,000,94,24.2,1005.22
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,07-22-2019,07:00:00,0.00,0.0,30.12,9.00,24.6,24.2,1008.87,000,97,24.6,1007.50
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,07-22-2019,07:00:00,1.20,0.0,30.77,10.00,25.1,24.5,1008.06,000,97,24.8,1007.17
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,07-22-2019,07:00:00,0.00,0.0,28.78,10.00,24.0,23.4,1008.35,000,97,23.2,1004.75
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,07-22-2019,07:00:00,0.00,0.0,30.84,10.00,26.0,24.6,1008.19,000,92,25.0,1007.76
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,07-22-2019,07:00:00,2.50,0.0,31.33,10.00,25.4,24.8,1007.74,000,97,23.9,1006.74
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,07-22-2019,07:00:00,0.00,5.6,31.30,10.00,26.1,24.8,1008.45,060,93,24.6,1007.63
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,07-22-2019,07:00:00,0.00,0.0,30.56,6.00,24.7,24.4,1008.89,000,98,24.3,1007.06
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,07-22-2019,07:00:00,0.30,0.0,30.43,8.00,26.5,24.3,1009.24,000,88,25.5,1008.49
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,07-22-2019,07:00:00,0.20,3.7,30.48,3.00,24.8,24.4,1009.10,230,97,23.3,1005.07
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,07-22-2019,07:00:00,0.00,0.0,29.80,10.00,25.3,24.0,1009.30,000,92,24.7,1008.61
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,07-22-2019,07:00:00,4.00,0.0,31.33,8.00,25.4,24.8,1009.29,000,97,24.3,1008.17
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,07-22-2019,07:00:00,0.00,0.0,30.03,10.00,24.7,24.1,1009.43,000,97,23.6,1006.48
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,07-22-2019,07:00:00,0.00,0.0,30.12,7.00,24.6,24.2,1008.67,000,97,24.0,1007.98
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,07-22-2019,07:00:00,0.00,0.0,29.41,4.00,24.5,23.8,1009.70,000,96,24.1,1005.53
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,07-22-2019,07:00:00,2.20,0.0,27.70,9.00,25.0,22.8,1009.27,000,88,.0,1008.67
