WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MinimumTemperature,Date,Time,Rainfall,MeanSeaLevelPressure,LandVisibility,StationPressure,WindDirection,AirTemperature,RelativeHumidity,WindSpeed,DewPoint,Rainfall24Hr,VaporPressure
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,22.4,07-24-2019,07:00:00,0.00,1008.92,10.00,1007.91,000,24.8,97,0.0,24.4,18.20,30.48
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.0,07-24-2019,07:00:00,0.00,1009.51,10.00,1008.69,090,26.0,91,5.6,24.4,0.00,30.57
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.2,07-24-2019,07:00:00,0.00,1009.90,10.00,1008.06,000,24.4,94,0.0,23.4,6.80,28.71
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,25.0,07-24-2019,07:00:00,0.00,1009.45,10.00,1008.69,110,26.9,77,1.9,22.6,0.00,27.44
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.0,07-24-2019,07:00:00,0.00,1009.79,10.00,1005.76,230,25.0,91,7.4,23.4,0.40,28.74
48570,SATUN,สตูล,สตูล,6.65000,100.08333,22.8,07-24-2019,07:00:00,0.00,1009.46,10.00,1008.77,000,24.5,93,0.0,23.3,3.90,28.63
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,22.5,07-24-2019,07:00:00,0.00,1009.49,10.00,1008.37,000,25.3,89,0.0,23.4,1.00,28.75
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,22.7,07-24-2019,07:00:00,0.00,1009.97,10.00,1007.02,000,24.0,98,0.0,23.7,14.90,29.30
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,24.5,07-24-2019,07:00:00,0.00,1009.11,8.00,1008.42,000,24.8,95,0.0,23.9,0.00,29.69
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,23.8,07-24-2019,07:00:00,0.00,1010.11,10.00,1005.95,200,24.8,90,14.8,23.0,22.10,28.13
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,.0,07-24-2019,07:00:00,0.00,1009.27,9.00,1008.68,240,25.0,89,5.6,23.1,0.00,28.22
