WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,LandVisibility,WindDirection,AirTemperature,VaporPressure,StationPressure,Rainfall24Hr,RelativeHumidity,MeanSeaLevelPressure,Rainfall
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,21.1,08-20-2019,13:00:00,7.4,4.00,300,22.3,24.97,872.79,16.80,93,1006.54,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,25.5,08-20-2019,13:00:00,3.7,10.00,220,31.3,32.68,999.66,16.50,72,1005.44,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,23.9,08-20-2019,13:00:00,18.5,8.00,230,33.2,29.66,1005.49,0.60,58,1006.27,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,25.6,08-20-2019,13:00:00,18.5,10.00,230,31.5,32.81,1005.64,19.50,71,1006.08,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.7,08-20-2019,13:00:00,0.0,3.00,000,26.3,29.25,997.05,8.30,86,1008.39,5.60
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,25.1,08-20-2019,13:00:00,0.0,12.00,000,33.1,31.79,1005.22,0.00,63,1006.21,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,24.1,08-20-2019,13:00:00,3.7,8.00,180,32.0,30.08,1004.21,11.40,63,1006.00,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,23.4,08-20-2019,13:00:00,3.7,9.00,230,31.5,28.79,1005.62,0.00,62,1006.38,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.8,08-20-2019,13:00:00,13.0,10.00,200,31.6,31.27,1005.72,2.20,67,1006.41,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,24.9,08-20-2019,13:00:00,7.4,7.00,300,33.0,31.57,1005.27,0.01,63,1005.96,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,23.6,08-20-2019,13:00:00,7.4,10.00,260,32.2,29.06,984.48,0.00,60,1005.24,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,23.6,08-20-2019,13:00:00,0.0,10.00,000,29.0,29.19,989.20,0.20,73,1005.78,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,24.9,08-20-2019,13:00:00,1.9,10.00,040,30.0,31.44,989.61,0.00,74,1005.85,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,24.1,08-20-2019,13:00:00,0.0,10.00,000,32.0,30.08,983.71,0.80,63,1005.17,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,23.2,08-20-2019,13:00:00,18.5,14.00,250,28.9,28.45,963.06,14.80,71,1005.99,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,23.0,08-20-2019,13:00:00,9.3,10.00,260,32.8,28.00,984.91,0.00,56,1005.05,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.0,08-20-2019,13:00:00,7.4,10.00,300,30.1,31.64,986.53,0.01,74,1007.14,0.01
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,23.9,08-20-2019,13:00:00,7.4,10.00,210,31.2,29.60,1006.36,0.00,65,1006.79,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,27.5,08-20-2019,13:00:00,0.0,8.00,000,32.0,36.63,1004.84,0.60,77,1006.24,0.01
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,26.3,08-20-2019,13:00:00,0.0,8.00,000,32.3,34.24,1001.12,0.00,71,1005.96,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,24.8,08-20-2019,13:00:00,9.3,9.00,210,31.9,31.31,1003.29,0.40,66,1006.53,0.01
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.9,08-20-2019,13:00:00,0.0,10.00,000,32.0,31.52,1005.43,0.00,66,1006.52,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,24.9,08-20-2019,13:00:00,7.4,10.00,190,32.0,31.52,1006.31,0.01,66,1006.60,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,25.3,08-20-2019,13:00:00,7.4,10.00,260,33.0,32.16,1005.62,0.00,64,1006.30,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,25.1,08-20-2019,13:00:00,7.4,10.00,140,32.3,31.86,1005.98,0.00,66,1006.46,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,23.9,08-20-2019,13:00:00,18.5,10.00,210,32.5,29.66,1004.65,4.60,61,1006.03,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,26.3,08-20-2019,13:00:00,18.5,10.00,220,29.7,34.29,1005.09,0.00,82,1006.75,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,23.9,08-20-2019,13:00:00,3.7,10.00,180,32.5,29.66,999.97,0.20,61,1007.84,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.3,08-20-2019,13:00:00,0.0,12.00,000,33.0,32.16,1005.97,9.30,64,1006.25,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,24.4,08-20-2019,13:00:00,0.0,12.00,000,31.5,30.49,1003.40,0.00,66,1006.48,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,25.2,08-20-2019,13:00:00,7.4,12.00,260,30.9,32.13,999.77,1.50,72,1006.62,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,24.6,08-20-2019,13:00:00,14.8,8.00,260,34.5,30.93,1000.91,0.50,57,1006.36,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,24.8,08-20-2019,13:00:00,14.8,12.00,230,31.3,31.23,997.37,0.00,68,1006.55,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,26.3,08-20-2019,13:00:00,3.7,12.00,150,30.5,34.22,1006.83,0.01,78,1008.08,0.01
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,26.7,08-20-2019,13:00:00,7.4,11.00,150,34.3,35.04,1006.11,0.00,65,1006.53,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.2,08-20-2019,13:00:00,11.1,8.00,230,32.3,28.41,994.91,0.00,59,1006.96,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,26.6,08-20-2019,13:00:00,11.1,10.00,090,31.5,34.90,1005.78,0.00,76,1006.48,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,24.3,08-20-2019,13:00:00,11.1,10.00,220,34.4,30.42,1005.01,0.00,56,1007.38,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,25.4,08-20-2019,13:00:00,14.8,10.00,260,31.0,32.34,1006.73,0.00,72,1007.25,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,23.5,08-20-2019,13:00:00,1.9,14.00,190,32.6,29.01,1001.54,6.80,59,1006.60,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.4,08-20-2019,13:00:00,7.4,7.00,210,30.2,32.42,1006.70,27.80,76,1007.11,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.9,08-20-2019,13:00:00,0.0,8.00,000,29.8,33.33,1004.78,21.60,79,1007.53,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,23.7,08-20-2019,13:00:00,18.5,10.00,310,29.9,29.27,1007.38,0.50,69,1008.16,0.20
48501,TRAD,ตราด,ตราด,11.76667,102.88333,26.9,08-20-2019,13:00:00,3.7,8.00,330,29.8,35.40,1007.10,5.10,84,1007.56,0.80
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,22.7,08-20-2019,13:00:00,5.6,10.00,300,33.3,27.59,1007.27,0.00,54,1007.94,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,23.2,08-20-2019,13:00:00,3.7,10.00,270,33.0,28.40,1006.50,0.00,56,1007.99,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.0,08-20-2019,13:00:00,14.8,10.00,270,32.2,29.91,1007.28,0.00,62,1008.18,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,22.4,08-20-2019,13:00:00,11.1,12.00,270,35.0,27.04,1007.34,0.00,48,1008.01,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.2,08-20-2019,13:00:00,9.3,10.00,250,35.1,30.14,1007.52,0.00,53,1008.30,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,21.0,08-20-2019,13:00:00,11.1,10.00,210,35.6,24.86,1006.51,0.00,43,1007.13,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,22.6,08-20-2019,13:00:00,18.5,12.00,210,37.6,27.49,1006.87,0.00,42,1007.26,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,22.1,08-20-2019,13:00:00,13.0,10.00,230,34.5,26.60,1005.93,0.00,49,1010.05,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,21.2,08-20-2019,13:00:00,9.3,12.00,230,33.6,25.13,1006.92,0.00,48,1008.49,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,21.8,08-20-2019,13:00:00,5.6,12.00,200,34.0,26.18,1005.26,0.00,49,1008.66,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,22.0,08-20-2019,13:00:00,7.4,10.00,300,34.8,26.36,1006.28,0.00,47,1007.60,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,25.7,08-20-2019,13:00:00,13.0,12.00,270,31.0,32.93,1008.47,0.00,73,1009.35,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.7,08-20-2019,13:00:00,9.3,10.00,240,32.9,29.33,1005.26,0.00,59,1008.76,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,22.2,08-20-2019,13:00:00,7.4,10.00,280,33.0,26.72,1008.37,0.00,53,1008.80,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.9,08-20-2019,13:00:00,9.3,10.00,300,31.3,31.51,1008.53,0.00,69,1009.51,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,26.1,08-20-2019,13:00:00,5.6,10.00,250,31.4,33.78,1008.21,0.00,74,1009.02,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.1,08-20-2019,13:00:00,11.1,10.00,210,32.0,30.08,1006.63,0.01,63,1008.41,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,23.1,08-20-2019,13:00:00,18.5,11.00,230,34.5,28.30,1006.60,0.00,52,1007.33,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,22.9,08-20-2019,13:00:00,14.8,10.00,230,33.5,27.99,1003.72,0.00,54,1007.63,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.2,08-20-2019,13:00:00,0.0,10.00,000,33.0,30.11,1007.82,1.60,60,1008.49,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.1,08-20-2019,13:00:00,7.4,12.00,140,34.2,28.26,1006.80,0.00,53,1007.89,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.2,08-20-2019,13:00:00,11.1,12.00,250,34.0,30.16,1005.14,0.00,57,1008.00,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,24.7,08-20-2019,13:00:00,7.4,10.00,210,34.3,31.09,1006.56,0.00,57,1007.24,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,22.8,08-20-2019,13:00:00,7.4,8.00,250,34.4,27.81,1004.23,0.00,51,1008.26,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,23.9,08-20-2019,13:00:00,11.1,12.00,060,32.5,29.66,1007.27,0.00,61,1007.85,0.00
