WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,VaporPressure,Rainfall,AirTemperature,LandVisibility,WindSpeed,WindDirection,DewPoint,MeanSeaLevelPressure,Rainfall24Hr,StationPressure
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,74,09-19-2019,13:00:00,31.44,0.00,30.0,10.00,7.4,040,24.9,1008.67,22.30,1008.37
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,71,09-19-2019,13:00:00,31.76,0.00,31.0,10.00,9.3,010,25.0,1008.55,30.20,1007.87
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,66,09-19-2019,13:00:00,33.28,0.00,33.1,10.00,3.7,120,25.8,1009.19,33.90,1008.71
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,81,09-19-2019,13:00:00,32.75,0.00,29.1,10.00,14.8,350,25.6,1009.11,24.60,1007.71
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,94,09-19-2019,13:00:00,36.25,0.01,28.4,2.00,5.6,030,27.3,1008.81,2.20,1007.13
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,80,09-19-2019,13:00:00,30.40,0.40,28.2,10.00,0.0,000,24.3,1010.95,28.20,1002.95
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,76,09-19-2019,13:00:00,32.30,0.20,30.0,8.00,0.0,000,25.3,1008.75,6.70,1008.47
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,76,09-19-2019,13:00:00,31.28,0.00,29.5,10.00,5.6,270,24.8,1008.80,1.00,1005.68
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,76,09-19-2019,13:00:00,31.08,0.00,29.4,10.00,5.6,330,24.7,1008.84,0.00,1001.95
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,83,09-19-2019,13:00:00,32.30,0.01,28.6,10.00,7.4,230,25.3,1009.28,64.70,1003.70
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,71,09-19-2019,13:00:00,31.23,0.00,30.6,9.00,13.0,020,24.8,1010.72,0.00,1001.49
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,73,09-19-2019,13:00:00,32.22,0.00,30.8,8.00,11.1,350,25.3,1009.47,2.00,1008.22
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,71,09-19-2019,13:00:00,31.76,0.00,31.0,11.00,11.1,330,25.0,1008.47,0.30,1008.04
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,64,09-19-2019,13:00:00,30.65,0.00,32.0,10.00,7.4,230,24.5,1008.34,0.00,996.27
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,74,09-19-2019,13:00:00,31.97,0.00,30.4,10.00,7.4,120,25.2,1008.89,0.00,1008.18
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,81,09-19-2019,13:00:00,32.67,0.20,29.2,8.00,5.6,060,25.5,1008.82,37.20,1006.40
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,78,09-19-2019,13:00:00,32.13,0.00,29.5,10.00,5.6,010,25.2,1009.14,40.60,1008.62
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,93,09-19-2019,13:00:00,30.17,17.20,25.5,6.00,0.0,000,24.2,1008.66,57.70,1003.47
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,86,09-19-2019,13:00:00,35.13,1.20,29.4,7.00,0.0,000,26.7,1008.84,2.80,1008.43
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,81,09-19-2019,13:00:00,32.55,0.60,29.0,8.00,7.4,210,25.5,1008.64,7.30,1005.89
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,70,09-19-2019,13:00:00,32.01,0.00,31.4,10.00,11.1,130,25.2,1009.36,0.00,1008.58
48501,TRAD,ตราด,ตราด,11.76667,102.88333,95,09-19-2019,13:00:00,31.36,10.70,25.7,5.00,5.6,070,24.8,1009.96,67.50,1009.50
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,71,09-19-2019,13:00:00,30.31,0.00,30.0,7.00,7.4,300,24.3,1009.73,0.10,1009.05
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,65,09-19-2019,13:00:00,28.70,0.00,30.6,9.00,3.7,270,23.4,1009.80,0.00,1008.29
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,61,09-19-2019,13:00:00,28.23,0.00,31.5,10.00,9.3,260,23.1,1010.66,7.90,1009.76
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,63,09-19-2019,13:00:00,29.07,0.00,31.5,12.00,13.0,270,23.6,1010.03,3.70,1009.35
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,59,09-19-2019,13:00:00,30.70,0.00,33.7,10.00,3.7,270,24.5,1009.92,0.00,1009.14
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,60,09-19-2019,13:00:00,29.70,0.00,32.8,10.00,0.0,000,23.9,1009.39,9.80,1008.77
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,70,09-19-2019,13:00:00,32.52,0.00,31.5,10.00,7.4,050,25.4,1009.34,0.00,1008.94
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,58,09-19-2019,13:00:00,27.66,0.00,32.2,10.00,9.3,270,22.7,1012.30,48.20,1008.14
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,72,09-19-2019,13:00:00,29.99,0.00,29.7,12.00,0.0,000,24.1,1010.80,0.40,1009.20
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,62,09-19-2019,13:00:00,30.24,0.00,32.5,10.00,7.4,270,24.2,1009.76,1.70,1006.34
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,65,09-19-2019,13:00:00,30.32,0.00,31.7,9.00,11.1,110,24.3,1009.32,0.00,1007.98
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,71,09-19-2019,13:00:00,28.37,0.00,29.0,10.00,11.1,240,23.2,1011.02,4.50,1010.14
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,61,09-19-2019,13:00:00,28.94,0.00,32.0,10.00,0.0,000,23.5,1009.96,0.00,1006.45
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,81,09-19-2019,13:00:00,30.75,0.20,28.1,9.00,3.7,330,24.5,1010.52,0.20,1010.08
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,66,09-19-2019,13:00:00,28.67,0.00,30.3,10.00,9.3,310,23.3,1011.01,5.70,1010.02
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,76,09-19-2019,13:00:00,32.21,0.00,30.1,10.00,5.6,230,25.3,1010.32,0.80,1009.51
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,65,09-19-2019,13:00:00,30.86,0.00,32.1,5.00,16.7,190,24.6,1009.60,0.00,1007.82
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,72,09-19-2019,13:00:00,30.70,0.00,30.2,3.00,9.3,130,24.5,1009.58,3.50,1008.83
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,60,09-19-2019,13:00:00,27.87,0.00,31.6,5.00,11.1,240,22.9,1009.67,0.80,1005.72
48570,SATUN,สตูล,สตูล,6.65000,100.08333,72,09-19-2019,13:00:00,30.99,0.00,30.2,6.00,0.0,000,24.6,1009.96,11.90,1009.29
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,61,09-19-2019,13:00:00,29.26,0.00,32.3,10.00,7.4,200,23.7,1010.68,0.20,1009.58
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,65,09-19-2019,13:00:00,30.61,0.00,31.7,8.00,9.3,270,24.4,1009.81,0.50,1006.93
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,72,09-19-2019,13:00:00,34.05,0.00,31.8,5.00,0.0,000,26.2,1009.57,10.50,1008.90
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,59,09-19-2019,13:00:00,29.83,0.00,33.0,1.00,5.6,250,24.0,1010.08,0.00,1006.03
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,75,09-19-2019,13:00:00,31.72,0.00,30.0,6.00,11.1,020,25.0,1009.54,3.30,1008.95
