WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall24Hr,LandVisibility,VaporPressure,StationPressure,WindSpeed,Rainfall,RelativeHumidity,MeanSeaLevelPressure,DewPoint,WindDirection
48376,TAK,ตาก,ตาก,16.87833,99.14333,28.0,07-22-2019,04:00:00,30.30,10.00,29.19,992.98,3.7,0.00,77,1007.32,23.6,280
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,27.8,07-22-2019,04:00:00,1.50,8.00,28.55,989.82,0.0,0.20,76,1006.14,23.3,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,25.8,07-22-2019,04:00:00,9.50,10.00,30.46,1001.34,0.0,0.00,92,1006.59,24.3,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,27.5,07-22-2019,04:00:00,0.00,10.00,28.80,992.00,0.0,0.00,78,1005.15,23.4,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,27.0,07-22-2019,04:00:00,6.70,10.00,33.62,997.42,0.0,0.00,94,1006.74,26.0,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,26.6,07-22-2019,04:00:00,0.00,8.00,31.16,984.37,3.7,0.00,90,1006.06,24.7,160
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,26.5,07-22-2019,04:00:00,24.30,10.00,30.43,987.22,0.0,4.60,88,1004.71,24.3,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,27.0,07-22-2019,04:00:00,0.00,10.00,30.02,989.68,0.0,0.00,84,1005.49,24.1,000
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,26.3,07-22-2019,04:00:00,0.40,8.00,32.51,986.43,0.0,0.01,95,1005.32,25.4,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.7,07-22-2019,04:00:00,6.30,6.00,26.75,957.41,0.0,0.00,91,1009.07,22.2,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,26.7,07-22-2019,04:00:00,10.30,5.00,33.02,1002.81,0.0,0.00,94,1006.77,25.7,000
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.5,07-22-2019,04:00:00,13.90,4.00,24.67,912.47,11.1,0.00,96,1007.62,20.9,240
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.7,07-22-2019,04:00:00,17.40,6.00,29.74,990.07,0.0,1.30,90,1006.11,23.9,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,27.3,07-22-2019,04:00:00,0.00,10.00,33.95,1002.81,0.0,0.00,94,1006.84,26.2,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,26.5,07-22-2019,04:00:00,0.00,7.00,29.08,997.18,0.0,0.00,84,1007.88,23.6,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,27.5,07-22-2019,04:00:00,0.00,9.00,29.60,1005.47,3.7,0.00,81,1007.40,23.9,210
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,28.3,07-22-2019,04:00:00,0.00,10.00,27.61,985.24,5.6,0.00,72,1005.99,22.7,200
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,25.5,07-22-2019,04:00:00,22.40,10.00,31.52,988.01,3.7,3.50,97,1005.73,24.9,180
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,25.7,07-22-2019,04:00:00,22.70,10.00,32.73,989.48,7.4,4.00,99,1005.69,25.5,190
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,25.2,07-22-2019,04:00:00,14.40,10.00,30.15,993.21,3.7,5.50,94,1007.33,24.2,150
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.6,07-22-2019,04:00:00,15.40,6.00,30.65,993.36,0.0,7.00,99,1008.32,24.4,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,25.2,07-22-2019,04:00:00,16.60,5.00,31.22,993.59,0.0,0.40,97,1008.37,24.8,000
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,29.3,07-22-2019,04:00:00,0.00,10.00,28.40,1003.84,0.0,0.00,70,1006.83,23.2,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,27.7,07-22-2019,04:00:00,0.00,7.00,28.37,998.93,0.0,0.00,76,1006.86,23.2,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,26.5,07-22-2019,04:00:00,0.00,8.00,28.55,1006.31,0.0,0.00,83,1007.42,23.3,000
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,26.4,07-22-2019,04:00:00,4.90,8.00,28.37,992.47,0.0,0.00,82,1007.19,23.2,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.0,07-22-2019,04:00:00,1.60,.05,21.73,872.86,7.4,0.00,99,1008.22,18.8,230
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,27.1,07-22-2019,04:00:00,0.00,10.00,29.93,1001.14,0.0,0.00,84,1007.01,24.1,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,27.0,07-22-2019,04:00:00,8.60,8.00,33.34,1006.67,0.0,0.00,94,1007.48,25.9,000
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,27.5,07-22-2019,04:00:00,0.00,10.00,30.97,1006.66,0.0,0.00,84,1007.10,24.6,000
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,25.0,07-22-2019,04:00:00,1.60,4.00,30.32,996.88,0.0,0.00,96,1008.27,24.3,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,27.5,07-22-2019,04:00:00,6.90,10.00,30.15,1006.50,0.0,0.00,82,1007.51,24.2,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,26.6,07-22-2019,04:00:00,0.00,7.00,29.00,1005.53,3.7,0.00,83,1007.35,23.5,160
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,26.5,07-22-2019,04:00:00,0.01,3.00,30.43,1006.56,0.0,0.00,88,1007.32,24.3,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,27.4,07-22-2019,04:00:00,0.01,10.00,28.61,1007.03,3.7,0.00,78,1007.73,23.3,190
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,27.9,07-22-2019,04:00:00,0.00,7.00,30.64,1006.68,0.0,0.00,82,1007.38,24.4,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,28.3,07-22-2019,04:00:00,0.00,10.00,28.95,985.68,0.0,0.00,75,1006.73,23.5,000
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,26.5,07-22-2019,04:00:00,0.10,6.00,31.24,990.11,0.0,0.00,90,1006.85,24.8,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,26.5,07-22-2019,04:00:00,0.70,7.00,31.79,991.08,7.4,0.00,92,1007.55,25.1,270
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,27.5,07-22-2019,04:00:00,0.00,10.00,26.95,984.92,0.0,0.00,73,1006.73,22.3,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.0,07-22-2019,04:00:00,0.00,10.00,26.37,963.84,11.1,0.00,78,1007.23,22.0,260
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,27.0,07-22-2019,04:00:00,0.00,10.00,27.36,986.25,0.0,0.00,77,1006.81,22.6,000
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.0,07-22-2019,04:00:00,6.00,6.00,31.66,987.28,7.4,0.00,100,1008.26,25.0,170
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,28.0,07-22-2019,04:00:00,6.70,10.00,29.74,1006.82,0.0,0.00,79,1007.25,23.9,000
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,26.6,07-22-2019,04:00:00,0.00,6.00,31.44,1005.74,0.0,0.00,90,1007.16,24.9,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.8,07-22-2019,04:00:00,0.00,7.00,30.73,1002.65,0.0,0.00,93,1007.60,24.5,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,26.7,07-22-2019,04:00:00,3.70,10.00,29.99,1004.14,0.0,0.00,86,1007.44,24.1,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,26.4,07-22-2019,04:00:00,0.01,10.00,29.97,1006.36,0.0,0.01,87,1007.47,24.1,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,27.9,07-22-2019,04:00:00,0.01,10.00,29.28,1007.06,0.0,0.00,78,1007.36,23.7,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,27.6,07-22-2019,04:00:00,0.00,10.00,31.16,1006.92,0.0,0.00,84,1007.41,24.7,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,27.7,07-22-2019,04:00:00,0.20,10.00,26.78,1006.21,9.3,0.00,72,1007.62,22.2,200
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,26.0,07-22-2019,04:00:00,0.00,10.00,30.84,1001.37,0.0,0.00,92,1009.42,24.6,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,27.9,07-22-2019,04:00:00,3.20,10.00,33.45,1007.33,0.0,0.00,89,1007.62,25.9,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,28.5,07-22-2019,04:00:00,0.00,10.00,30.15,1004.19,0.0,0.00,78,1007.31,24.2,000
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,28.9,07-22-2019,04:00:00,0.00,10.00,29.00,1000.32,5.6,0.00,73,1007.22,23.5,240
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,27.3,07-22-2019,04:00:00,0.00,8.00,31.14,1002.42,3.7,0.00,86,1008.02,24.7,300
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,25.5,07-22-2019,04:00:00,5.00,8.00,30.71,1007.12,3.7,0.00,94,1008.39,24.5,190
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,27.0,07-22-2019,04:00:00,8.30,11.00,32.21,1006.85,0.0,0.00,90,1007.29,25.3,000
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,24.7,07-22-2019,04:00:00,2.40,10.00,29.77,995.39,0.0,0.00,96,1007.75,24.0,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,28.0,07-22-2019,04:00:00,0.60,10.00,29.74,1006.83,5.6,0.00,79,1007.55,23.9,220
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,27.2,07-22-2019,04:00:00,0.00,10.00,31.22,1005.49,0.0,0.00,87,1007.93,24.8,000
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.5,07-22-2019,04:00:00,0.01,10.00,32.13,1006.92,7.4,0.01,78,1007.43,25.2,260
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,27.5,07-22-2019,04:00:00,0.00,8.00,30.15,1002.23,0.0,0.00,82,1007.37,24.2,000
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,27.1,07-22-2019,04:00:00,69.30,7.00,34.68,1007.46,0.0,1.20,97,1007.87,26.5,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,26.3,07-22-2019,04:00:00,49.30,8.00,33.35,1005.24,0.0,0.00,98,1008.02,25.9,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,27.1,07-22-2019,04:00:00,0.00,10.00,28.06,1007.11,0.0,0.00,78,1007.89,23.0,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.0,07-22-2019,04:00:00,10.10,6.00,30.05,1007.50,9.3,0.00,95,1007.96,24.1,070
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,26.2,07-22-2019,04:00:00,0.00,8.00,30.67,1007.36,0.0,0.00,90,1008.04,24.5,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,26.0,07-22-2019,04:00:00,0.00,10.00,30.84,1004.88,0.0,0.00,92,1006.41,24.6,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,26.5,07-22-2019,04:00:00,5.40,10.00,30.97,1007.22,0.0,0.00,89,1008.14,24.6,000
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,27.3,07-22-2019,04:00:00,0.00,12.00,28.96,1007.37,0.0,0.00,80,1008.05,23.5,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,25.0,07-22-2019,04:00:00,0.00,7.00,30.32,1007.72,0.0,0.00,96,1008.53,24.3,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,25.8,07-22-2019,04:00:00,0.00,8.00,31.00,1007.06,0.0,0.00,93,1007.70,24.6,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,25.0,07-22-2019,04:00:00,0.00,10.00,30.05,1007.69,0.0,0.00,95,1008.10,24.1,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.0,07-22-2019,04:00:00,0.00,5.00,28.27,1006.60,0.0,0.00,95,1010.87,23.1,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.7,07-22-2019,04:00:00,0.20,5.00,28.77,1006.40,0.0,0.00,98,1008.02,23.4,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.2,07-22-2019,04:00:00,0.00,6.00,28.88,1004.74,0.0,0.00,96,1008.25,23.5,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,25.2,07-22-2019,04:00:00,0.00,8.00,30.15,1007.50,0.0,0.00,94,1008.87,24.2,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,25.5,07-22-2019,04:00:00,27.90,10.00,31.25,1006.62,0.0,0.20,96,1007.51,24.8,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.5,07-22-2019,04:00:00,0.00,10.00,29.41,1004.42,0.0,0.00,96,1008.01,23.8,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,25.0,07-22-2019,04:00:00,0.00,10.00,29.79,1007.09,0.0,0.00,94,1007.53,24.0,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,26.1,07-22-2019,04:00:00,2.50,10.00,32.40,1006.48,0.0,0.00,96,1007.47,25.4,000
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.7,07-22-2019,04:00:00,0.00,10.00,30.81,1007.28,7.4,0.00,93,1008.09,24.5,270
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,25.2,07-22-2019,04:00:00,0.00,8.00,30.69,1006.62,0.0,0.00,96,1008.44,24.5,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,25.9,07-22-2019,04:00:00,0.30,8.00,30.11,1007.30,1.9,0.00,90,1008.05,24.2,240
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.7,07-22-2019,04:00:00,0.20,7.00,29.77,1004.39,0.0,0.00,96,1008.42,24.0,000
48570,SATUN,สตูล,สตูล,6.65000,100.08333,25.3,07-22-2019,04:00:00,0.00,10.00,28.75,1007.69,0.0,0.00,89,1008.38,23.4,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.6,07-22-2019,04:00:00,4.00,10.00,30.12,1007.30,0.0,0.00,97,1008.43,24.2,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,25.2,07-22-2019,04:00:00,0.00,10.00,30.15,1005.57,0.0,0.00,94,1008.51,24.2,000
