WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,MeanSeaLevelPressure,AirTemperature,VaporPressure,Rainfall,RelativeHumidity,WindSpeed,LandVisibility,WindDirection,Rainfall24Hr
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1001.97,08-13-2019,22:00:00,25.0,1009.31,26.2,31.76,2.40,93,0.0,8.00,000,2.70
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,988.02,08-13-2019,22:00:00,26.4,1007.89,27.5,34.36,0.20,94,3.7,6.00,180,8.40
48353,LOEI,เลย,เลย,17.45000,101.73333,979.48,08-13-2019,22:00:00,24.7,1008.07,27.6,31.16,0.00,84,3.7,13.00,180,2.10
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,988.20,08-13-2019,22:00:00,25.0,1008.35,27.6,31.72,0.01,86,5.6,12.00,170,5.70
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,987.26,08-13-2019,22:00:00,24.8,1009.08,26.0,31.38,0.00,93,3.7,10.00,200,14.20
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,988.50,08-13-2019,22:00:00,25.1,1008.02,26.5,31.79,0.00,92,0.0,10.00,000,9.70
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,992.05,08-13-2019,22:00:00,24.5,1008.90,25.5,30.71,0.10,94,0.0,10.00,000,29.80
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,991.56,08-13-2019,22:00:00,24.7,1009.08,25.4,31.06,0.20,96,0.0,10.00,000,30.80
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,982.49,08-13-2019,22:00:00,26.2,1008.25,27.3,33.95,0.00,94,3.7,8.00,130,4.60
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1002.86,08-13-2019,22:00:00,25.9,1008.67,26.2,33.43,0.00,98,0.0,10.00,000,5.80
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1002.77,08-13-2019,22:00:00,25.6,1009.00,26.0,32.76,0.00,98,0.0,10.00,000,3.50
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,993.25,08-13-2019,22:00:00,23.1,1009.75,26.5,28.29,0.00,82,0.0,8.00,000,3.40
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,986.88,08-13-2019,22:00:00,23.3,1009.36,25.5,28.59,4.00,88,7.4,6.00,240,8.40
48376,TAK,ตาก,ตาก,16.87833,99.14333,995.67,08-13-2019,22:00:00,23.6,1010.05,28.0,29.19,0.00,77,11.1,6.00,260,8.20
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,992.82,08-13-2019,22:00:00,23.4,1009.15,28.5,28.78,0.00,74,0.0,7.00,000,1.50
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1004.40,08-13-2019,22:00:00,24.6,1009.66,25.9,30.92,0.90,93,0.0,7.00,000,11.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,995.41,08-13-2019,22:00:00,23.1,1008.67,26.0,28.18,0.00,84,0.0,10.00,000,8.80
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1000.40,08-13-2019,22:00:00,25.7,1009.78,26.1,32.95,0.00,98,0.0,10.00,000,36.90
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,987.02,08-13-2019,22:00:00,24.7,1008.71,27.4,31.05,0.01,85,3.7,8.00,200,1.70
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,989.31,08-13-2019,22:00:00,23.9,1006.77,27.5,29.60,0.00,81,9.3,7.00,220,0.30
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,992.00,08-13-2019,22:00:00,25.4,1007.89,26.3,32.51,0.00,95,3.7,10.00,250,4.20
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,988.95,08-13-2019,22:00:00,24.8,1007.79,27.8,31.28,0.00,84,3.7,8.00,160,1.40
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,958.87,08-13-2019,22:00:00,22.6,1010.59,23.8,27.42,3.20,93,0.0,7.00,000,23.90
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1005.71,08-13-2019,22:00:00,25.8,1009.68,26.8,33.22,0.00,94,3.7,5.00,090,3.70
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,915.29,08-13-2019,22:00:00,21.1,1010.70,21.6,25.07,0.00,97,9.3,.80,240,2.70
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,992.55,08-13-2019,22:00:00,25.7,1008.53,27.5,32.93,0.00,90,0.0,6.00,000,3.10
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1005.99,08-13-2019,22:00:00,25.9,1010.02,28.0,33.37,0.10,88,0.0,10.00,000,0.70
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1000.55,08-13-2019,22:00:00,26.0,1011.27,27.0,33.62,2.70,94,0.0,8.00,000,2.70
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1008.33,08-13-2019,22:00:00,25.5,1010.26,27.9,32.60,0.50,87,0.0,6.00,000,1.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,989.39,08-13-2019,22:00:00,23.3,1010.35,26.5,28.55,0.01,83,0.0,10.00,000,1.80
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,990.92,08-13-2019,22:00:00,25.8,1008.64,26.5,33.19,0.00,96,9.3,10.00,220,1.40
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,992.30,08-13-2019,22:00:00,26.1,1008.45,27.7,33.90,0.00,91,0.0,10.00,000,1.60
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,994.73,08-13-2019,22:00:00,24.9,1008.79,27.1,31.58,0.20,88,3.7,10.00,240,0.60
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,994.55,08-13-2019,22:00:00,24.6,1009.46,26.0,30.84,0.00,92,0.0,7.00,000,0.60
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,995.05,08-13-2019,22:00:00,23.0,1009.89,24.5,28.11,0.01,91,0.0,5.00,000,2.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1006.44,08-13-2019,22:00:00,26.8,1009.46,27.9,35.19,0.60,94,0.0,8.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.80
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1002.01,08-13-2019,22:00:00,25.4,1009.99,26.7,32.46,3.50,93,0.0,7.00,000,5.90
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1008.92,08-13-2019,22:00:00,26.6,1010.03,28.0,34.81,1.10,92,7.4,5.00,110,1.10
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,990.97,08-13-2019,22:00:00,23.4,1005.54,28.9,28.72,0.00,72,3.7,8.00,120,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,876.54,08-13-2019,22:00:00,20.2,1011.78,20.4,23.72,0.00,99,7.4,.05,280,12.40
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1004.68,08-13-2019,22:00:00,24.6,1010.59,26.5,30.97,0.01,89,0.0,8.00,000,1.60
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1009.54,08-13-2019,22:00:00,25.2,1010.34,29.5,32.13,0.00,78,0.0,8.00,000,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1008.77,08-13-2019,22:00:00,25.5,1009.21,29.6,32.63,0.00,79,9.3,10.00,210,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,999.87,08-13-2019,22:00:00,25.3,1011.25,26.0,32.20,0.80,96,0.0,3.00,000,12.40
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1009.19,08-13-2019,22:00:00,25.1,1010.20,28.4,31.90,0.30,82,3.7,8.00,300,0.30
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1008.36,08-13-2019,22:00:00,26.0,1010.19,27.1,33.54,7.00,94,3.7,7.00,100,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1009.44,08-13-2019,22:00:00,25.3,1010.21,27.6,32.28,0.00,87,0.0,7.00,000,0.60
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1009.72,08-13-2019,22:00:00,25.3,1010.43,28.4,32.19,0.00,83,5.6,10.00,210,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1009.51,08-13-2019,22:00:00,26.3,1010.21,28.4,34.19,0.00,88,0.0,7.00,000,0.10
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,988.76,08-13-2019,22:00:00,24.7,1009.94,27.4,31.05,0.01,85,3.7,7.00,260,1.40
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,992.62,08-13-2019,22:00:00,23.7,1009.52,24.4,29.23,1.30,96,0.0,7.00,000,34.50
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,993.78,08-13-2019,22:00:00,23.7,1010.40,24.6,29.33,1.00,95,0.0,5.00,000,41.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,988.29,08-13-2019,22:00:00,24.5,1010.28,26.1,30.76,0.01,91,0.0,10.00,000,14.30
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,967.18,08-13-2019,22:00:00,24.2,1010.85,25.1,30.23,0.40,95,5.6,7.00,240,1.30
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,989.27,08-13-2019,22:00:00,25.5,1009.97,25.8,32.65,0.80,98,5.6,7.00,160,18.20
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,990.03,08-13-2019,22:00:00,24.9,1011.08,24.9,31.47,0.20,100,0.0,8.00,000,0.20
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1009.78,08-13-2019,22:00:00,25.2,1010.21,28.9,32.06,0.00,81,7.4,10.00,250,5.60
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1008.85,08-13-2019,22:00:00,26.3,1010.27,27.0,34.19,0.00,96,0.0,8.00,000,6.80
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1005.38,08-13-2019,22:00:00,25.8,1010.34,26.4,33.27,0.00,97,0.0,7.00,000,0.80
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1007.22,08-13-2019,22:00:00,24.4,1010.51,28.0,30.56,0.00,81,3.7,10.00,320,1.20
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1009.17,08-13-2019,22:00:00,24.4,1010.27,28.1,30.48,0.00,80,3.7,10.00,270,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1010.01,08-13-2019,22:00:00,26.0,1010.31,28.8,33.57,0.00,85,5.6,10.00,200,0.01
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1009.96,08-13-2019,22:00:00,26.2,1010.45,27.3,33.95,0.00,94,0.0,10.00,000,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1009.04,08-13-2019,22:00:00,25.1,1010.45,28.2,31.79,0.00,83,0.0,10.00,000,0.01
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1003.51,08-13-2019,22:00:00,25.2,1011.57,26.5,32.07,0.00,93,0.0,10.00,000,0.90
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1009.96,08-13-2019,22:00:00,25.9,1010.25,29.1,33.33,0.00,83,3.7,10.00,180,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1006.57,08-13-2019,22:00:00,25.5,1009.70,29.0,32.55,0.00,81,5.6,10.00,300,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1003.18,08-13-2019,22:00:00,24.4,1010.11,28.6,30.62,0.00,78,9.3,10.00,260,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1004.93,08-13-2019,22:00:00,25.6,1010.55,27.0,32.77,0.00,92,0.0,7.00,000,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1009.81,08-13-2019,22:00:00,26.0,1011.08,27.6,33.70,0.00,91,0.0,10.00,000,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1009.89,08-13-2019,22:00:00,25.4,1010.32,27.3,32.53,0.00,90,0.0,11.00,000,9.10
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,998.18,08-13-2019,22:00:00,24.1,1010.51,26.1,29.95,0.00,89,0.0,8.00,000,0.70
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1009.36,08-13-2019,22:00:00,23.7,1010.07,27.8,29.36,0.00,79,0.0,10.00,000,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1007.65,08-13-2019,22:00:00,24.5,1010.08,29.2,30.68,0.00,76,7.4,10.00,220,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1009.60,08-13-2019,22:00:00,26.1,1010.12,29.2,33.83,0.00,83,14.8,10.00,250,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1005.23,08-13-2019,22:00:00,25.0,1010.38,28.3,31.70,0.00,82,0.0,11.00,000,0.01
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1010.06,08-13-2019,22:00:00,25.9,1010.47,27.9,33.45,0.00,89,3.7,7.00,180,5.50
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1007.89,08-13-2019,22:00:00,25.8,1010.67,26.5,33.19,0.00,96,0.0,8.00,000,3.60
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1009.93,08-13-2019,22:00:00,23.0,1010.72,26.7,28.13,0.00,80,9.3,10.00,300,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1010.61,08-13-2019,22:00:00,24.5,1011.08,25.2,30.69,4.60,96,3.7,7.00,080,18.80
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.54,08-13-2019,22:00:00,23.8,1011.23,25.6,29.56,0.00,90,0.0,7.00,000,6.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1009.51,08-13-2019,22:00:00,24.1,1011.05,25.8,29.93,0.00,90,1.9,7.00,250,12.60
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.97,08-13-2019,22:00:00,24.2,1011.89,25.1,30.23,0.10,95,0.0,10.00,000,24.40
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.68,08-13-2019,22:00:00,25.1,1011.37,28.0,31.95,0.00,85,0.0,10.00,000,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1011.01,08-13-2019,22:00:00,24.8,1011.81,25.5,31.25,0.00,96,0.0,10.00,000,15.60
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.88,08-13-2019,22:00:00,24.9,1011.52,27.2,31.49,0.00,87,0.0,10.00,000,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1011.44,08-13-2019,22:00:00,25.9,1011.85,28.3,33.41,0.00,87,0.0,10.00,000,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1009.14,08-13-2019,22:00:00,25.0,1013.38,26.6,31.71,0.00,91,0.0,5.00,000,0.01
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1009.38,08-13-2019,22:00:00,25.4,1011.00,26.5,32.35,0.00,93,0.0,7.00,000,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1008.06,08-13-2019,22:00:00,25.1,1011.56,26.5,31.79,0.00,92,0.0,8.00,000,0.20
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1009.79,08-13-2019,22:00:00,24.9,1011.14,28.6,31.46,0.00,80,0.0,8.00,000,1.80
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1009.67,08-13-2019,22:00:00,25.2,1010.55,26.8,32.10,0.00,91,0.0,10.00,000,5.50
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1007.23,08-13-2019,22:00:00,25.0,1010.80,27.0,31.66,0.00,89,0.0,10.00,000,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1011.39,08-13-2019,22:00:00,25.5,1011.82,29.0,32.55,0.00,81,0.0,10.00,000,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1010.38,08-13-2019,22:00:00,25.1,1011.37,29.4,31.93,0.00,78,0.0,10.00,000,30.60
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1010.94,08-13-2019,22:00:00,25.1,1011.75,29.4,31.93,0.00,78,18.5,10.00,270,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1009.95,08-13-2019,22:00:00,25.9,1011.77,28.0,33.37,0.00,88,0.0,10.00,000,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1010.67,08-13-2019,22:00:00,25.0,1011.42,29.3,31.73,0.00,78,0.0,10.00,000,0.01
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1007.82,08-13-2019,22:00:00,24.6,1011.84,26.5,30.97,0.01,89,3.7,10.00,080,0.01
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.53,08-13-2019,22:00:00,24.6,1011.21,27.5,30.97,0.00,84,0.0,10.00,000,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1011.07,08-13-2019,22:00:00,24.2,1012.20,26.8,30.18,0.00,86,0.0,10.00,000,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.62,08-13-2019,22:00:00,24.8,1011.55,27.0,31.38,0.00,88,0.0,10.00,000,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1010.34,08-13-2019,22:00:00,25.8,1011.03,27.6,33.13,0.00,90,0.0,8.00,000,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1007.77,08-13-2019,22:00:00,23.8,1011.95,24.7,29.51,24.50,95,0.0,6.00,000,62.90
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1011.15,08-13-2019,22:00:00,24.0,1011.74,27.2,29.85,0.00,83,0.0,10.00,000,0.00
