WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindDirection,DewPoint,VaporPressure,AirTemperature,Rainfall,LandVisibility,Rainfall24Hr,RelativeHumidity,StationPressure,WindSpeed
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1002.12,08-04-2019,10:00:00,220,22.8,27.72,27.2,0.00,11.00,2.20,77,980.53,5.6
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1001.87,08-04-2019,10:00:00,230,23.0,28.10,27.7,0.00,15.00,1.60,76,982.54,7.4
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1002.71,08-04-2019,10:00:00,110,23.8,29.45,26.7,0.01,9.00,3.60,84,986.03,1.9
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1003.17,08-04-2019,10:00:00,000,23.9,29.60,27.5,0.00,10.00,3.90,81,985.87,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1000.12,08-04-2019,10:00:00,000,23.8,29.48,27.0,0.30,10.00,1.30,83,974.54,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1002.73,08-04-2019,10:00:00,260,24.2,30.20,28.1,0.01,9.00,0.01,79,996.99,5.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1003.33,08-04-2019,10:00:00,240,23.9,29.69,27.4,0.10,8.00,0.10,81,997.17,5.6
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1003.69,08-04-2019,10:00:00,000,23.4,28.70,26.0,0.00,10.00,0.50,85,987.26,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1003.76,08-04-2019,10:00:00,270,23.2,28.34,25.8,0.30,10.00,38.80,85,981.43,9.3
48376,TAK,ตาก,ตาก,16.87833,99.14333,1004.00,08-04-2019,10:00:00,270,21.6,25.77,28.3,0.00,7.00,0.00,67,989.72,18.5
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1003.40,08-04-2019,10:00:00,000,22.3,26.91,28.5,0.00,8.00,0.00,69,987.16,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1003.70,08-04-2019,10:00:00,190,24.8,31.35,26.7,0.00,10.00,0.70,90,998.48,3.7
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1001.79,08-04-2019,10:00:00,000,24.3,30.31,28.3,0.00,12.00,0.00,79,988.72,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1003.29,08-04-2019,10:00:00,050,23.1,28.29,29.1,0.00,12.00,0.00,70,994.06,1.9
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1002.19,08-04-2019,10:00:00,230,21.8,26.13,28.5,0.01,10.00,2.20,67,980.71,14.8
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1002.99,08-04-2019,10:00:00,200,23.7,29.33,29.5,0.00,12.00,0.50,71,985.71,22.2
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1002.31,08-04-2019,10:00:00,080,22.5,27.32,28.0,0.00,11.00,0.00,72,986.60,5.6
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1001.24,08-04-2019,10:00:00,200,24.5,30.73,28.8,0.00,10.00,0.50,78,982.58,7.4
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1006.78,08-04-2019,10:00:00,000,22.1,26.58,23.6,1.00,7.00,15.70,91,955.22,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1003.33,08-04-2019,10:00:00,000,24.2,30.13,29.2,0.00,8.00,0.00,74,999.42,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1003.62,08-04-2019,10:00:00,270,20.3,23.75,21.2,0.10,2.00,7.80,94,908.76,14.8
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1002.79,08-04-2019,10:00:00,200,23.2,28.35,27.4,0.00,8.00,0.01,78,986.89,3.7
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1003.38,08-04-2019,10:00:00,190,23.9,29.73,30.7,0.00,12.00,0.00,67,999.41,5.6
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1004.87,08-04-2019,10:00:00,180,22.4,27.06,28.0,0.00,9.00,0.00,72,994.25,5.6
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1004.69,08-04-2019,10:00:00,180,22.7,27.59,28.0,0.00,8.00,0.01,73,1002.77,13.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1003.43,08-04-2019,10:00:00,250,21.4,25.55,29.2,0.00,12.00,0.00,63,982.80,18.5
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1002.62,08-04-2019,10:00:00,240,22.9,27.85,28.0,0.00,10.00,0.01,74,985.09,11.1
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1002.76,08-04-2019,10:00:00,250,22.4,27.08,28.3,0.00,10.00,0.00,70,986.74,9.3
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1004.00,08-04-2019,10:00:00,210,22.3,26.91,28.5,0.00,10.00,0.00,69,990.08,9.3
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1005.02,08-04-2019,10:00:00,170,22.3,26.95,27.5,0.00,10.00,0.00,73,990.25,11.1
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1004.77,08-04-2019,10:00:00,230,23.4,28.78,28.5,0.00,9.00,0.70,74,990.20,11.1
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1003.27,08-04-2019,10:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",22.0,26.44,29.4,0.00,10.00,0.00,65,1000.29,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1003.56,08-04-2019,10:00:00,180,21.4,25.55,29.2,0.00,10.00,0.00,63,995.70,3.7
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1005.65,08-04-2019,10:00:00,230,22.2,26.80,28.0,0.00,8.00,0.40,71,1004.55,18.5
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1003.23,08-04-2019,10:00:00,100,24.8,31.31,28.1,0.00,9.00,0.00,82,988.65,5.6
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1006.61,08-04-2019,10:00:00,280,18.7,21.52,19.0,0.00,2.00,1.50,98,871.47,13.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1004.15,08-04-2019,10:00:00,170,22.6,27.48,29.1,0.00,10.00,0.00,68,998.33,9.3
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1006.39,08-04-2019,10:00:00,240,22.4,27.03,29.0,0.00,9.00,1.20,68,1005.59,27.8
