WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,StationPressure,RelativeHumidity,WindDirection,Rainfall,DewPoint,MeanSeaLevelPressure,VaporPressure,LandVisibility,WindSpeed,AirTemperature
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,3.30,09-12-2019,04:00:00,989.74,96,340,0.00,24.8,1011.63,31.25,5.00,5.6,25.5
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1.40,09-12-2019,04:00:00,992.91,84,000,0.00,23.1,1010.53,28.18,10.00,0.0,26.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,6.50,09-12-2019,04:00:00,994.52,96,000,0.00,24.3,1010.51,30.32,10.00,0.0,25.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1.80,09-12-2019,04:00:00,991.80,95,000,0.00,24.5,1010.85,30.79,8.00,0.0,25.4
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,8.90,09-12-2019,04:00:00,961.60,94,000,0.00,20.1,1013.94,23.52,6.00,0.0,21.2
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,27.40,09-12-2019,04:00:00,1007.52,97,000,0.00,24.3,1011.52,30.40,5.00,0.0,24.9
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,6.10,09-12-2019,04:00:00,916.29,96,220,0.01,18.8,1012.55,21.63,3.00,7.4,19.4
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1.20,09-12-2019,04:00:00,995.57,95,000,0.00,24.6,1011.71,30.98,5.00,0.0,25.5
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-12-2019,04:00:00,1007.85,92,000,0.00,23.6,1011.94,29.08,9.00,0.0,24.9
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1.80,09-12-2019,04:00:00,1001.95,96,000,0.00,23.3,1012.80,28.53,6.00,0.0,24.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.20,09-12-2019,04:00:00,1010.18,92,000,0.00,23.7,1012.13,29.26,7.00,0.0,25.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.80,09-12-2019,04:00:00,989.02,91,000,0.00,22.9,1010.12,27.86,10.00,0.0,24.5
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,2.10,09-12-2019,04:00:00,993.46,96,000,0.00,25.3,1011.26,32.20,10.00,0.0,26.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,2.90,09-12-2019,04:00:00,994.72,98,000,0.00,25.7,1010.99,32.95,10.00,0.0,26.1
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1.50,09-12-2019,04:00:00,997.09,85,260,0.00,22.7,1011.25,27.63,10.00,3.7,25.4
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-12-2019,04:00:00,997.01,93,000,0.00,23.6,1012.02,29.16,7.00,0.0,24.8
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1.00,09-12-2019,04:00:00,997.25,94,290,0.00,23.5,1012.12,28.89,6.00,3.7,24.5
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.40,09-12-2019,04:00:00,1008.68,94,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,24.8,1011.72,31.27,10.00,0.0,25.8
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.70,09-12-2019,04:00:00,1003.40,91,000,0.00,23.0,1011.45,28.03,7.00,0.0,24.6
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,23.00,09-12-2019,04:00:00,1010.98,95,000,0.00,24.1,1012.10,30.05,5.00,0.0,25.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-12-2019,04:00:00,997.21,88,000,0.00,22.8,1012.07,27.70,8.00,0.0,25.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,7.20,09-12-2019,04:00:00,877.49,88,270,0.20,15.9,1014.11,18.01,2.00,7.4,17.9
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,20.10,09-12-2019,04:00:00,1006.12,97,000,0.30,23.8,1012.08,29.49,10.00,0.0,24.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,09-12-2019,04:00:00,1011.31,94,000,0.00,24.2,1012.12,30.15,8.00,0.0,25.2
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-12-2019,04:00:00,1011.41,88,000,0.00,24.3,1011.86,30.43,10.00,0.0,26.5
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,3.00,09-12-2019,04:00:00,1001.11,96,000,0.00,22.4,1012.62,27.16,4.00,0.0,23.2
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1.40,09-12-2019,04:00:00,1011.30,95,000,0.00,24.7,1012.32,31.17,10.00,0.0,25.6
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,8.50,09-12-2019,04:00:00,1010.13,95,000,0.00,23.7,1011.98,29.33,7.00,0.0,24.6
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.10,09-12-2019,04:00:00,1011.23,82,000,0.00,22.0,1012.00,26.44,5.00,0.0,25.3
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.60,09-12-2019,04:00:00,1011.35,92,000,0.00,23.4,1012.06,28.72,10.00,0.0,24.7
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,20.60,09-12-2019,04:00:00,1011.04,95,000,1.60,24.2,1011.75,30.23,7.00,0.0,25.1
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,9.00,09-12-2019,04:00:00,990.68,94,000,3.90,22.3,1012.19,26.99,10.00,0.0,23.4
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,4.50,09-12-2019,04:00:00,995.31,95,270,0.20,23.6,1012.25,29.15,6.00,11.1,24.5
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,24.90,09-12-2019,04:00:00,995.94,94,280,1.90,23.2,1012.61,28.36,3.00,5.6,24.2
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.01,09-12-2019,04:00:00,990.00,86,000,0.00,21.6,1012.17,25.84,10.00,0.0,24.2
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,17.40,09-12-2019,04:00:00,968.68,95,000,0.00,20.9,1012.93,24.75,10.00,0.0,21.7
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,5.20,09-12-2019,04:00:00,991.38,97,000,4.00,23.0,1012.29,28.17,4.00,0.0,23.5
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1.40,09-12-2019,04:00:00,992.27,100,240,1.20,23.0,1013.50,28.07,6.00,9.3,23.0
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.50,09-12-2019,04:00:00,1011.78,88,360,0.00,24.1,1012.21,30.05,10.00,3.7,26.3
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,40.10,09-12-2019,04:00:00,1010.85,97,000,0.50,23.4,1012.29,28.78,6.00,0.0,24.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,4.50,09-12-2019,04:00:00,1006.88,97,000,0.30,23.4,1011.89,28.69,7.00,0.0,23.8
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,09-12-2019,04:00:00,1009.12,78,000,0.00,21.8,1012.45,26.12,10.00,0.0,26.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,16.40,09-12-2019,04:00:00,1011.24,98,000,0.00,23.8,1012.36,29.48,10.00,0.0,24.1
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,7.60,09-12-2019,04:00:00,1011.59,93,000,0.00,24.8,1011.90,31.38,10.00,0.0,26.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1.80,09-12-2019,04:00:00,1011.06,93,000,0.00,23.8,1011.56,29.52,10.00,0.0,25.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1.20,09-12-2019,04:00:00,1010.81,94,000,0.00,24.2,1012.24,30.15,10.00,0.0,25.2
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.20,09-12-2019,04:00:00,1005.60,98,000,0.00,22.9,1013.76,27.91,10.00,0.0,23.2
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-12-2019,04:00:00,1011.73,84,260,0.00,23.1,1012.02,28.18,10.00,5.6,26.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-12-2019,04:00:00,1008.55,81,000,0.00,24.7,1011.68,31.14,10.00,0.0,28.3
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,09-12-2019,04:00:00,1005.05,87,000,0.00,24.8,1012.02,31.22,10.00,0.0,27.2
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.50,09-12-2019,04:00:00,1006.03,94,000,0.00,24.7,1011.67,31.08,10.00,0.0,25.7
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.01,09-12-2019,04:00:00,1011.59,91,320,0.00,22.5,1012.87,27.25,10.00,3.7,24.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,09-12-2019,04:00:00,1011.43,85,000,0.00,23.3,1011.86,28.62,11.00,0.0,26.1
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-12-2019,04:00:00,999.90,90,000,0.00,21.4,1012.38,25.52,10.00,0.0,23.1
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-12-2019,04:00:00,1011.55,83,000,0.00,22.9,1012.27,27.92,10.00,0.0,26.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,09-12-2019,04:00:00,1009.79,76,230,0.00,23.8,1012.23,29.41,10.00,7.4,28.4
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,09-12-2019,04:00:00,1011.20,87,000,0.00,24.5,1011.72,30.83,10.00,0.0,27.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,09-12-2019,04:00:00,1006.61,88,000,0.00,24.3,1011.80,30.43,7.00,0.0,26.5
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,16.00,09-12-2019,04:00:00,1011.39,94,000,16.00,23.2,1011.81,28.36,4.00,0.0,24.2
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,09-12-2019,04:00:00,1008.86,96,360,0.00,25.1,1011.66,31.82,8.00,7.4,25.8
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-12-2019,04:00:00,1011.66,89,000,0.00,23.4,1012.46,28.75,10.00,0.0,25.3
48501,TRAD,ตราด,ตราด,11.76667,102.88333,2.50,09-12-2019,04:00:00,1011.35,96,090,0.00,23.0,1011.81,28.01,7.00,5.6,23.7
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,2.80,09-12-2019,04:00:00,1011.20,96,000,0.00,23.8,1011.90,29.41,7.00,0.0,24.5
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,09-12-2019,04:00:00,1011.35,93,000,0.00,23.4,1012.28,28.81,10.00,0.0,24.6
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,09-12-2019,04:00:00,1011.59,95,000,0.00,24.8,1012.28,31.36,10.00,0.0,25.7
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,9.00,09-12-2019,04:00:00,1011.75,98,000,0.00,22.9,1012.56,27.91,7.00,0.0,23.2
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,2.20,09-12-2019,04:00:00,1010.80,97,000,0.00,24.0,1011.45,29.85,10.00,0.0,24.6
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.01,09-12-2019,04:00:00,1011.67,96,000,0.00,24.6,1012.08,30.87,10.00,0.0,25.3
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,3.10,09-12-2019,04:00:00,1009.77,98,000,0.00,23.7,1014.05,29.30,6.00,0.0,24.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,4.20,09-12-2019,04:00:00,1010.46,98,000,0.00,23.5,1012.10,28.95,10.00,0.0,23.8
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,09-12-2019,04:00:00,1008.80,96,000,0.00,22.8,1012.33,27.66,10.00,0.0,23.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,2.50,09-12-2019,04:00:00,1010.59,97,000,0.00,23.2,1011.96,28.34,7.00,0.0,23.6
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-12-2019,04:00:00,1010.41,94,000,0.00,24.2,1011.30,30.15,10.00,0.0,25.2
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,09-12-2019,04:00:00,1008.42,92,000,0.00,23.2,1012.02,28.37,10.00,0.0,24.5
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,09-12-2019,04:00:00,1011.08,91,000,0.00,24.8,1011.52,31.33,10.00,0.0,26.4
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1.20,09-12-2019,04:00:00,1010.35,93,000,0.00,24.1,1011.35,30.07,10.00,0.0,25.3
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-12-2019,04:00:00,1010.06,93,000,0.00,24.4,1010.88,30.63,10.00,0.0,25.6
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-12-2019,04:00:00,1010.28,97,000,0.00,24.2,1012.11,30.22,5.00,0.0,24.8
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,09-12-2019,04:00:00,1012.23,89,210,0.00,23.2,1013.00,28.40,8.00,3.7,25.1
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1.40,09-12-2019,04:00:00,1008.43,96,000,0.00,23.9,1012.47,29.59,6.00,0.0,24.6
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-12-2019,04:00:00,1010.74,92,000,0.00,23.5,1011.43,29.00,10.00,0.0,25.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,2.40,09-12-2019,04:00:00,1011.55,96,000,0.00,23.2,1012.68,28.35,10.00,0.0,23.9
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1.60,09-12-2019,04:00:00,1009.49,96,000,0.00,23.5,1012.45,28.88,10.00,0.0,24.2
