WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MeanSeaLevelPressure,MinimumTemperature,RelativeHumidity,Rainfall24Hr,StationPressure,WindDirection,AirTemperature,WindSpeed,LandVisibility,DewPoint,VaporPressure
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,07-18-2019,07:00:00,1003.17,26.1,86,0.00,980.55,000,28.0,0.0,10.00,25.4,32.52
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,07-18-2019,07:00:00,1003.43,25.0,89,0.00,973.66,000,26.4,0.0,9.00,24.4,30.51
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,07-18-2019,07:00:00,1003.41,25.0,84,0.00,968.02,000,26.0,0.0,8.00,23.1,28.18
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,07-18-2019,07:00:00,1002.87,25.0,93,0.00,973.26,000,26.1,0.0,4.00,24.8,31.30
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,07-18-2019,07:00:00,1002.94,27.4,81,0.00,995.68,000,27.5,0.0,10.00,23.9,29.60
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,07-18-2019,07:00:00,1002.78,28.1,86,0.00,983.11,060,29.0,5.6,11.00,26.3,34.28
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,07-18-2019,07:00:00,1003.09,25.5,89,0.01,974.54,000,26.5,0.0,12.00,24.6,30.97
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,07-18-2019,07:00:00,1002.91,26.3,85,0.00,982.94,000,28.6,0.0,12.00,25.8,33.16
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,07-18-2019,07:00:00,1003.73,24.5,87,37.20,982.09,120,27.0,3.7,12.00,24.7,31.11
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,07-18-2019,07:00:00,1003.11,25.4,89,46.00,983.71,160,27.0,3.7,14.00,25.0,31.66
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,07-18-2019,07:00:00,1004.16,27.7,83,0.00,987.54,120,28.2,1.9,10.00,25.1,31.79
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,07-18-2019,07:00:00,1004.38,26.1,88,0.00,987.06,000,27.5,0.0,12.00,25.4,32.36
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,07-18-2019,07:00:00,1002.77,25.9,95,0.00,977.08,000,26.5,0.0,10.00,25.6,32.91
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,07-18-2019,07:00:00,1002.99,24.6,83,0.00,997.23,000,27.2,0.0,10.00,24.0,29.85
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,07-18-2019,07:00:00,1002.90,25.6,87,0.00,996.72,000,26.3,0.0,12.00,24.0,29.78
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,07-18-2019,07:00:00,1004.21,26.3,84,0.00,987.84,000,27.3,0.0,10.00,24.3,30.31
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,07-18-2019,07:00:00,1003.38,24.7,92,0.00,981.01,000,25.2,0.0,10.00,23.9,29.62
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,07-18-2019,07:00:00,1003.85,27.2,69,0.00,989.57,260,28.2,11.1,9.00,22.0,26.37
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,07-18-2019,07:00:00,1003.45,27.2,69,0.00,987.17,000,27.8,0.0,10.00,21.7,25.92
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,07-18-2019,07:00:00,1003.27,27.0,82,0.00,998.08,130,28.0,3.7,10.00,24.7,31.11
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,07-18-2019,07:00:00,1002.24,25.7,87,0.00,989.09,000,26.6,0.0,12.00,24.3,30.34
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,07-18-2019,07:00:00,1003.20,26.0,80,0.00,993.90,280,26.6,3.7,12.00,22.9,27.95
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,07-18-2019,07:00:00,1003.50,26.4,81,0.00,981.94,210,27.6,5.6,10.00,24.0,29.79
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,07-18-2019,07:00:00,1004.51,26.4,79,0.00,987.06,150,27.0,9.3,10.00,23.0,28.14
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,07-18-2019,07:00:00,1003.43,26.2,85,0.00,987.65,200,27.0,3.7,10.00,24.3,30.29
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,07-18-2019,07:00:00,1002.45,27.4,85,0.00,983.73,180,28.3,3.7,10.00,25.5,32.55
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,07-18-2019,07:00:00,1006.17,22.5,91,0.00,954.63,000,23.5,0.0,7.00,22.0,26.42
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,07-18-2019,07:00:00,1002.85,26.3,85,0.00,998.91,160,27.5,7.4,8.00,24.8,31.25
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,07-18-2019,07:00:00,1004.99,20.4,95,2.50,909.94,200,21.0,13.0,6.00,20.2,23.69
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,07-18-2019,07:00:00,1003.81,26.6,86,0.00,987.93,000,28.0,0.0,8.00,25.4,32.52
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,07-18-2019,07:00:00,1002.91,26.0,92,0.00,998.88,000,26.5,0.0,10.00,25.1,31.79
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,07-18-2019,07:00:00,1004.62,25.5,84,0.00,993.95,000,26.5,0.0,10.00,23.6,29.08
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,07-18-2019,07:00:00,1003.56,25.9,89,0.00,1001.63,150,26.3,3.7,9.00,24.4,30.59
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,07-18-2019,07:00:00,1003.60,27.6,77,0.00,982.88,230,28.1,7.4,10.00,23.6,29.11
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,07-18-2019,07:00:00,1003.69,25.5,86,0.00,986.08,210,26.9,13.0,10.00,24.3,30.37
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,07-18-2019,07:00:00,1003.72,26.5,91,0.00,987.59,180,26.7,11.1,10.00,25.1,31.91
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,07-18-2019,07:00:00,1004.69,25.1,92,1.90,990.63,160,25.5,3.7,10.00,24.0,29.91
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,07-18-2019,07:00:00,1005.65,24.5,92,2.20,990.75,000,25.1,0.0,10.00,23.6,29.18
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,07-18-2019,07:00:00,997.88,25.0,91,0.50,983.32,270,26.5,3.7,8.00,24.9,31.52
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,07-18-2019,07:00:00,1002.97,25.4,85,0.00,999.97,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",27.4,0.0,10.00,24.7,31.05
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,07-18-2019,07:00:00,1003.80,27.0,85,0.00,995.91,000,28.0,0.0,10.00,25.1,31.95
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-18-2019,07:00:00,1004.96,26.0,87,0.00,1003.85,160,27.0,5.6,9.00,24.5,30.83
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,07-18-2019,07:00:00,1004.94,25.3,90,0.00,990.25,000,26.2,0.0,8.00,24.5,30.67
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,07-18-2019,07:00:00,1004.99,18.5,99,0.20,870.15,270,19.2,5.6,8.00,19.0,22.01
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-18-2019,07:00:00,1004.02,26.2,92,0.00,998.17,000,27.7,0.0,10.00,26.3,34.19
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,07-18-2019,07:00:00,1004.47,27.1,84,0.00,1003.67,230,28.1,9.3,9.00,25.1,31.87
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,07-18-2019,07:00:00,1004.13,28.2,85,0.00,1003.69,230,29.0,9.3,10.00,26.2,33.99
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,07-18-2019,07:00:00,1005.22,24.8,94,0.00,993.87,000,25.0,0.0,4.00,24.0,29.79
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,07-18-2019,07:00:00,1004.07,26.0,79,0.00,1003.06,210,27.5,3.7,10.00,23.6,29.06
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,07-18-2019,07:00:00,1004.08,26.6,79,0.00,1002.27,170,27.6,3.7,9.00,23.5,28.98
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,07-18-2019,07:00:00,1003.78,26.3,77,0.00,1003.02,000,27.0,0.0,9.00,22.6,27.36
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,07-18-2019,07:00:00,1004.23,26.8,69,0.00,1003.53,150,29.5,3.7,10.00,23.2,28.50
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,07-18-2019,07:00:00,1004.47,26.7,86,0.00,1003.78,000,27.9,0.0,10.00,25.3,32.32
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,07-18-2019,07:00:00,1004.08,25.2,84,0.00,983.03,000,27.5,0.0,10.00,24.6,30.97
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,07-18-2019,07:00:00,1004.74,25.0,93,0.00,988.01,180,26.0,5.6,7.00,24.8,31.38
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,07-18-2019,07:00:00,1005.06,26.0,91,0.00,988.64,180,26.5,7.4,9.00,24.9,31.52
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,07-18-2019,07:00:00,1005.44,26.2,84,0.00,983.62,000,27.0,0.0,10.00,24.1,30.02
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,07-18-2019,07:00:00,1004.14,23.7,78,0.00,960.95,000,26.4,0.0,15.00,22.2,26.81
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,07-18-2019,07:00:00,1004.28,25.7,88,0.00,983.73,130,26.3,5.6,10.00,24.1,30.05
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,07-18-2019,07:00:00,1005.64,25.2,94,0.00,984.83,200,26.6,16.7,7.00,25.6,32.82
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,07-18-2019,07:00:00,1003.88,27.2,76,0.80,1003.45,210,28.5,9.3,10.00,23.9,29.60
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,07-18-2019,07:00:00,1004.54,26.2,93,0.00,1003.12,000,26.3,0.0,8.00,25.0,31.68
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,07-18-2019,07:00:00,1004.92,25.9,93,0.00,999.99,000,26.3,0.0,8.00,25.1,31.96
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,07-18-2019,07:00:00,1004.18,26.2,78,0.00,1000.90,000,27.4,0.0,12.00,23.2,28.35
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,07-18-2019,07:00:00,1004.23,25.1,88,0.00,1003.12,000,25.9,0.0,10.00,23.7,29.31
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,07-18-2019,07:00:00,1004.31,27.0,84,0.00,1004.01,000,27.6,0.0,10.00,24.6,30.89
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,07-18-2019,07:00:00,1004.18,28.0,75,0.00,1003.50,000,28.7,0.0,10.00,23.8,29.43
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,07-18-2019,07:00:00,1004.09,27.0,81,0.00,1003.60,000,27.2,0.0,10.00,23.6,29.04
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,07-18-2019,07:00:00,1004.43,26.8,71,0.00,1003.03,000,29.2,0.0,10.00,23.4,28.75
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,07-18-2019,07:00:00,1004.42,29.0,70,0.00,1002.76,210,29.5,13.0,12.00,23.6,29.05
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,07-18-2019,07:00:00,1006.01,25.1,91,0.00,997.99,180,26.1,3.7,10.00,24.5,30.76
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,07-18-2019,07:00:00,1004.27,28.5,78,0.00,1003.99,270,29.5,5.6,10.00,25.2,32.13
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,07-18-2019,07:00:00,1004.41,28.1,74,0.00,1001.30,000,29.0,0.0,12.00,23.9,29.74
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,07-18-2019,07:00:00,1004.99,28.0,74,0.00,998.11,210,29.0,5.6,12.00,23.9,29.74
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,07-18-2019,07:00:00,1005.72,25.3,88,2.10,1000.12,000,26.5,0.0,8.00,24.3,30.43
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,07-18-2019,07:00:00,1006.88,28.0,78,0.00,997.62,000,28.5,0.0,10.00,24.2,30.15
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,07-18-2019,07:00:00,1005.22,24.9,93,0.10,1003.96,000,25.5,0.0,14.00,24.3,30.44
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,07-18-2019,07:00:00,1004.14,27.5,77,0.01,1003.71,000,27.9,0.0,11.00,23.5,29.01
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,07-18-2019,07:00:00,1004.64,23.7,91,0.00,992.31,000,24.6,0.0,9.00,23.0,28.03
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,07-18-2019,07:00:00,1004.50,25.9,81,1.70,1003.79,000,27.5,0.0,10.00,23.9,29.60
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,07-18-2019,07:00:00,1004.94,28.1,74,0.00,1002.52,330,28.8,5.6,10.00,23.7,29.35
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,07-18-2019,07:00:00,1004.56,29.1,75,0.00,1004.04,250,29.4,18.5,12.00,24.5,30.80
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,07-18-2019,07:00:00,1004.57,27.4,81,0.00,999.44,270,27.9,1.9,12.00,24.3,30.37
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,5.00,07-18-2019,07:00:00,1004.70,26.4,95,10.50,1004.28,000,26.6,0.0,7.00,25.7,33.10
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,4.20,07-18-2019,07:00:00,1004.04,25.6,93,25.00,1001.27,000,26.3,0.0,8.00,25.1,31.96
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,07-18-2019,07:00:00,1005.02,25.2,80,0.90,1004.24,000,27.0,0.0,12.00,23.3,28.67
48501,TRAD,ตราด,ตราด,11.76667,102.88333,9.80,07-18-2019,07:00:00,1006.34,24.2,97,90.10,1005.88,000,24.8,0.0,3.00,24.2,30.22
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.10,07-18-2019,07:00:00,1006.41,24.8,96,5.20,1005.72,000,24.8,0.0,7.00,24.1,29.95
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.80,07-18-2019,07:00:00,1006.45,24.3,96,4.60,1004.91,000,24.5,0.0,8.00,23.8,29.41
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1.30,07-18-2019,07:00:00,1006.25,24.8,93,70.30,1005.33,000,25.5,0.0,10.00,24.2,30.17
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,07-18-2019,07:00:00,1005.85,24.7,89,22.00,1005.16,000,26.1,0.0,12.00,24.1,29.95
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,07-18-2019,07:00:00,1006.46,22.8,96,1.80,1005.65,000,23.0,0.0,8.00,22.2,26.83
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,07-18-2019,07:00:00,1005.65,23.7,94,7.00,1005.01,000,24.5,0.0,10.00,23.5,28.89
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,07-18-2019,07:00:00,1005.99,22.8,96,2.20,1005.59,000,23.6,0.0,10.00,23.0,28.09
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,07-18-2019,07:00:00,1007.89,22.5,97,9.20,1003.62,000,23.3,0.0,6.00,22.8,27.83
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.20,07-18-2019,07:00:00,1006.93,22.3,98,25.00,1005.30,000,22.7,0.0,12.00,22.4,27.07
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,07-18-2019,07:00:00,1007.13,22.5,98,4.50,1003.60,000,22.7,0.0,7.00,22.4,27.07
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,07-18-2019,07:00:00,1006.53,23.6,90,1.10,1005.16,000,24.0,0.0,8.00,22.2,26.75
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,5.80,07-18-2019,07:00:00,1006.17,22.4,98,31.30,1005.28,000,25.0,0.0,9.00,24.7,31.12
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,07-18-2019,07:00:00,1006.90,21.7,99,20.30,1003.30,000,22.8,0.0,10.00,22.6,27.49
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,07-18-2019,07:00:00,1005.95,23.2,97,43.00,1005.51,000,24.6,0.0,10.00,24.0,29.85
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,07-18-2019,07:00:00,1005.55,20.9,98,34.40,1004.55,000,24.3,0.0,10.00,24.0,29.84
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.20,07-18-2019,07:00:00,1006.37,23.8,93,14.80,1005.55,080,25.5,5.6,10.00,24.2,30.17
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,07-18-2019,07:00:00,1006.66,22.9,97,39.70,1004.83,000,23.3,0.0,10.00,22.8,27.83
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,07-18-2019,07:00:00,1006.59,24.9,77,0.30,1005.84,220,26.5,3.7,10.00,22.2,26.73
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,07-18-2019,07:00:00,1006.76,23.1,93,1.60,1002.73,000,24.1,0.0,10.00,22.9,27.93
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,07-18-2019,07:00:00,1007.69,23.5,92,0.40,1007.00,000,24.0,0.0,10.00,22.7,27.51
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,07-18-2019,07:00:00,1006.04,24.3,84,0.00,1004.92,000,25.5,0.0,10.00,22.5,27.29
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,07-18-2019,07:00:00,1006.70,22.5,97,0.00,1003.75,000,23.9,0.0,10.00,23.3,28.61
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,07-18-2019,07:00:00,1005.80,25.4,95,0.00,1005.11,000,25.7,0.0,7.00,24.8,31.36
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,07-18-2019,07:00:00,1007.30,23.8,93,0.00,1003.15,000,25.1,0.0,5.00,23.9,29.70
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,07-18-2019,07:00:00,1007.11,.0,92,0.00,1006.52,000,25.5,0.0,9.00,24.0,29.91
