WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,StationPressure,VaporPressure,DewPoint,MeanSeaLevelPressure,Rainfall,WindDirection,WindSpeed,RelativeHumidity,AirTemperature,Rainfall24Hr
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,8.00,08-27-2019,10:00:00,1007.09,28.55,23.3,1007.86,0.01,000,0.0,76,27.8,0.20
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,08-27-2019,10:00:00,1007.41,27.42,22.6,1008.11,0.00,300,9.3,67,29.5,0.01
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.00,08-27-2019,10:00:00,1007.35,31.81,25.1,1008.05,0.00,000,0.0,79,29.2,0.30
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10.00,08-27-2019,10:00:00,986.32,28.16,23.0,1007.37,0.00,280,7.4,72,28.6,0.01
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,10.00,08-27-2019,10:00:00,990.63,29.65,23.9,1007.24,0.00,240,7.4,74,29.1,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,9.00,08-27-2019,10:00:00,991.12,29.30,23.7,1007.38,0.00,270,9.3,68,30.2,0.70
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,08-27-2019,10:00:00,985.68,27.77,22.8,1007.37,0.00,250,14.8,68,29.4,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,12.00,08-27-2019,10:00:00,964.77,26.29,21.9,1008.18,0.00,230,11.1,78,26.1,0.01
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,12.00,08-27-2019,10:00:00,986.91,29.81,24.0,1007.23,0.00,120,5.6,68,30.6,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,9.00,08-27-2019,10:00:00,988.27,31.95,25.1,1009.06,0.00,230,11.1,85,28.0,0.40
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,08-27-2019,10:00:00,1007.59,29.41,23.8,1008.02,0.00,230,9.3,76,28.4,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,11.00,08-27-2019,10:00:00,1006.41,32.26,25.3,1007.82,0.00,000,0.0,81,29.0,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,8.00,08-27-2019,10:00:00,1003.30,31.69,25.0,1008.21,0.00,000,0.0,79,29.0,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,12.00,08-27-2019,10:00:00,1004.87,30.15,24.2,1008.15,0.90,000,0.0,78,28.5,2.80
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,08-27-2019,10:00:00,1007.40,30.40,24.3,1008.50,0.01,260,3.7,80,28.2,0.40
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,08-27-2019,10:00:00,1007.99,28.67,23.3,1008.28,0.00,170,7.4,66,30.3,1.20
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10.00,08-27-2019,10:00:00,1007.25,30.47,24.4,1007.94,0.00,220,5.6,73,29.8,5.30
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,08-27-2019,10:00:00,1007.17,29.60,23.9,1007.66,0.00,000,0.0,72,29.5,6.50
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,08-27-2019,10:00:00,1006.88,29.19,23.6,1008.28,0.01,200,11.1,73,29.0,13.80
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,12.00,08-27-2019,10:00:00,1006.57,33.12,25.8,1008.24,0.00,220,22.2,83,29.0,0.10
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,08-27-2019,10:00:00,1002.50,29.73,23.9,1010.44,0.00,240,5.6,67,30.7,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,08-27-2019,10:00:00,1007.55,27.54,22.7,1007.83,0.00,000,0.0,61,31.0,0.20
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,08-27-2019,10:00:00,1004.27,27.55,22.7,1007.37,0.00,180,9.3,65,30.0,0.30
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,12.00,08-27-2019,10:00:00,1001.32,30.13,24.2,1008.22,0.00,210,9.3,74,29.2,0.10
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,8.00,08-27-2019,10:00:00,1002.75,30.72,24.5,1008.31,0.00,230,5.6,75,29.5,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,10.00,08-27-2019,10:00:00,999.97,28.76,23.4,1009.17,0.00,270,16.7,63,31.2,0.01
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,14.00,08-27-2019,10:00:00,1007.56,30.67,24.5,1008.81,0.00,180,3.7,73,29.9,3.30
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,08-27-2019,10:00:00,1007.68,28.55,23.3,1008.11,0.20,240,11.1,76,27.8,0.30
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10.00,08-27-2019,10:00:00,996.45,29.50,23.8,1008.77,1.70,270,3.7,88,26.0,10.20
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,08-27-2019,10:00:00,1007.64,32.12,25.2,1008.35,0.10,000,0.0,86,27.8,3.30
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,08-27-2019,10:00:00,1005.57,28.37,23.2,1007.98,0.30,300,11.1,67,30.0,0.40
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10.00,08-27-2019,10:00:00,1007.83,29.91,24.0,1008.34,0.00,300,9.3,71,29.8,0.01
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,13.00,08-27-2019,10:00:00,1003.05,29.11,23.6,1008.16,0.01,190,1.9,68,30.1,0.50
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,8.00,08-27-2019,10:00:00,1007.97,30.79,24.5,1008.37,0.40,000,0.0,72,30.1,2.10
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,08-27-2019,10:00:00,1005.70,32.96,25.7,1008.46,0.20,260,7.4,85,28.5,0.60
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,08-27-2019,10:00:00,1008.30,27.36,22.6,1009.09,1.20,270,16.7,77,27.0,9.70
48501,TRAD,ตราด,ตราด,11.76667,102.88333,5.00,08-27-2019,10:00:00,1008.29,33.53,26.0,1008.75,2.00,260,3.7,90,27.8,2.60
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,10.00,08-27-2019,10:00:00,1010.15,27.23,22.5,1010.84,0.70,270,3.7,80,26.2,5.60
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,8.00,08-27-2019,10:00:00,1008.99,27.03,22.4,1010.52,0.80,270,3.7,74,27.4,2.40
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,6.00,08-27-2019,10:00:00,1011.69,26.83,22.2,1012.62,16.80,070,9.3,92,23.6,37.30
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,12.00,08-27-2019,10:00:00,1009.83,31.80,25.1,1010.52,0.30,290,7.4,87,27.5,3.90
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,9.00,08-27-2019,10:00:00,1010.41,30.84,24.6,1011.21,0.10,000,0.0,92,26.0,3.60
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,08-27-2019,10:00:00,1010.08,29.85,24.0,1010.71,0.00,180,3.7,74,29.2,1.50
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,08-27-2019,10:00:00,1010.48,32.87,25.6,1010.89,0.20,240,7.4,97,26.2,5.60
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,8.00,08-27-2019,10:00:00,1008.06,27.36,22.6,1012.27,0.00,260,5.6,70,28.6,1.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10.00,08-27-2019,10:00:00,1009.71,31.11,24.7,1011.33,0.00,000,0.0,87,27.0,21.40
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,8.00,08-27-2019,10:00:00,1007.67,29.36,23.7,1011.15,0.00,000,0.0,79,27.8,9.70
