WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,DewPoint,StationPressure,WindSpeed,LandVisibility,MaximumTemperature,WindDirection,Rainfall,AirTemperature,Rainfall24Hr,RelativeHumidity,MeanSeaLevelPressure
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,33.78,09-30-2019,19:00:00,26.1,1008.45,11.1,11.00,36.0,170,0.00,31.4,0.00,74,1008.88
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,31.74,09-30-2019,19:00:00,25.0,997.29,0.0,8.00,34.2,000,0.00,28.6,0.00,81,1009.51
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,31.23,09-30-2019,19:00:00,24.8,1008.53,5.6,6.00,32.2,200,0.00,29.9,0.00,74,1009.24
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,31.00,09-30-2019,19:00:00,24.6,1007.30,7.4,5.00,34.1,180,0.00,29.5,0.00,75,1009.72
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,32.13,09-30-2019,19:00:00,25.2,1008.89,11.1,7.00,32.0,210,0.00,29.5,0.00,78,1009.40
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,30.85,09-30-2019,19:00:00,24.6,1004.07,1.9,6.00,34.0,210,0.10,29.0,0.10,77,1009.20
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,31.23,09-30-2019,19:00:00,24.8,1009.31,0.0,7.00,34.4,000,0.00,29.9,0.01,74,1009.72
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,32.04,09-30-2019,19:00:00,25.2,1007.46,0.0,8.00,31.5,000,4.10,26.2,4.10,94,1010.25
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.52,09-30-2019,19:00:00,23.8,1009.18,5.6,6.00,34.2,240,0.00,29.6,0.00,71,1009.96
48501,TRAD,ตราด,ตราด,11.76667,102.88333,31.88,09-30-2019,19:00:00,25.1,1009.61,5.6,6.00,33.2,070,15.20,26.4,15.20,93,1010.07
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,30.72,09-30-2019,19:00:00,24.5,1009.41,0.0,10.00,34.7,000,0.00,29.5,0.00,75,1010.09
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,29.91,09-30-2019,19:00:00,24.0,1008.24,0.0,7.00,34.6,000,0.00,29.8,0.00,71,1009.76
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,31.30,09-30-2019,19:00:00,24.8,1009.57,3.7,10.00,33.2,050,0.60,27.1,3.60,87,1010.49
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,32.46,09-30-2019,19:00:00,25.4,1008.88,0.0,10.00,31.2,000,0.00,29.8,0.00,77,1009.56
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,28.18,09-30-2019,19:00:00,23.1,1010.14,3.7,10.00,34.3,220,0.00,26.0,0.00,84,1010.94
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,28.94,09-30-2019,19:00:00,23.5,1009.75,0.0,10.00,32.4,000,0.00,27.0,0.00,81,1010.39
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,31.22,09-30-2019,19:00:00,24.8,1010.30,0.0,10.00,33.2,000,0.00,27.2,0.00,87,1010.70
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,32.05,09-30-2019,19:00:00,25.2,1008.14,0.0,5.00,33.0,000,0.00,27.2,1.20,89,1012.37
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,28.01,09-30-2019,19:00:00,23.0,1008.82,0.0,8.00,33.3,000,27.00,24.0,27.20,94,1010.46
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,28.01,09-30-2019,19:00:00,23.0,1007.04,5.6,6.00,34.7,050,21.40,23.7,53.40,96,1010.56
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,29.33,09-30-2019,19:00:00,23.7,1008.83,0.0,8.00,32.2,000,0.00,26.2,1.40,86,1010.19
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,32.96,09-30-2019,19:00:00,25.7,1008.75,0.0,10.00,32.0,000,0.00,28.5,2.50,85,1009.63
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,28.62,09-30-2019,19:00:00,23.3,1006.37,0.0,9.00,33.5,000,1.20,24.2,1.40,95,1009.97
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,30.42,09-30-2019,19:00:00,24.3,1009.58,0.0,10.00,33.2,000,0.00,28.5,0.00,78,1010.01
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,30.56,09-30-2019,19:00:00,24.4,1008.50,0.0,9.00,32.5,000,0.00,27.0,0.40,86,1009.50
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,29.60,09-30-2019,19:00:00,23.9,1009.80,0.0,10.00,33.0,000,0.40,26.2,0.40,87,1010.62
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,29.41,09-30-2019,19:00:00,23.8,1008.98,0.0,10.00,33.7,000,0.00,24.5,92.90,96,1010.81
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,27.98,09-30-2019,19:00:00,22.9,1009.63,1.9,12.00,31.7,210,0.00,27.2,0.00,78,1010.38
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,29.22,09-30-2019,19:00:00,23.7,1006.90,3.7,10.00,34.8,990,2.00,24.1,35.80,97,1010.95
48570,SATUN,สตูล,สตูล,6.65000,100.08333,29.52,09-30-2019,19:00:00,23.8,1010.33,0.0,10.00,32.0,000,0.50,25.0,37.20,93,1011.02
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,29.69,09-30-2019,19:00:00,23.9,1009.19,0.0,10.00,33.1,000,11.00,24.8,11.00,95,1010.32
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,30.40,09-30-2019,19:00:00,24.3,1008.19,0.0,10.00,34.0,000,0.60,24.9,6.10,97,1011.14
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,27.97,09-30-2019,19:00:00,22.9,1009.59,5.6,8.00,33.7,180,0.00,25.3,0.00,87,1010.28
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,29.36,09-30-2019,19:00:00,23.7,1007.33,0.0,6.00,34.1,000,4.10,25.2,4.10,92,1011.49
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,30.15,09-30-2019,19:00:00,24.2,1009.48,0.0,10.00,31.8,000,0.00,28.5,0.80,78,1010.07
