WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,AirTemperature,StationPressure,WindDirection,RelativeHumidity,LandVisibility,DewPoint,MeanSeaLevelPressure,VaporPressure,Rainfall,Rainfall24Hr
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,09-18-2019,01:00:00,25.8,994.52,000,93,7.00,24.6,1007.77,31.00,5.00,5.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,7.4,09-18-2019,01:00:00,26.8,998.63,210,86,11.00,24.2,1007.96,30.18,0.01,0.01
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.0,09-18-2019,01:00:00,26.8,986.51,000,94,8.00,25.7,1008.23,32.94,0.00,0.01
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,09-18-2019,01:00:00,27.7,990.02,000,79,10.00,23.8,1007.49,29.44,0.00,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.0,09-18-2019,01:00:00,26.5,991.97,000,84,10.00,23.6,1007.84,29.08,0.00,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,09-18-2019,01:00:00,26.3,988.18,000,97,8.00,25.7,1007.11,33.07,0.00,14.80
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,09-18-2019,01:00:00,22.5,958.36,000,91,6.00,21.0,1010.28,24.80,0.00,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,7.4,09-18-2019,01:00:00,26.6,1004.12,100,94,6.00,25.6,1008.09,32.82,0.00,0.10
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.0,09-18-2019,01:00:00,21.0,914.54,000,95,.80,20.2,1010.07,23.69,0.00,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,09-18-2019,01:00:00,28.0,992.20,000,87,6.00,25.6,1008.15,32.80,0.00,0.00
