WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,Rainfall24Hr,AirTemperature,WindDirection,VaporPressure,DewPoint,WindSpeed,Rainfall,RelativeHumidity,StationPressure,MeanSeaLevelPressure
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,12.00,08-28-2019,16:00:00,0.00,34.6,180,28.80,23.4,3.7,0.00,52,1002.03,1003.02
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,9.00,08-28-2019,16:00:00,0.00,33.8,180,28.59,23.3,3.7,0.00,54,1001.55,1003.33
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,9.00,08-28-2019,16:00:00,0.00,35.5,270,25.22,21.2,7.4,0.00,44,1002.01,1002.76
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,08-28-2019,16:00:00,0.01,32.0,200,30.08,24.1,13.0,0.00,63,1003.11,1003.80
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,10.00,08-28-2019,16:00:00,0.00,34.9,000,31.19,24.7,0.0,0.00,56,1002.75,1003.44
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,12.00,08-28-2019,16:00:00,0.00,32.4,270,28.33,23.1,9.3,0.00,58,982.07,1002.76
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,14.00,08-28-2019,16:00:00,50.90,33.0,000,28.68,23.3,0.0,0.00,57,986.59,1002.92
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,14.00,08-28-2019,16:00:00,45.20,33.5,330,29.70,23.9,5.6,0.00,57,987.76,1003.79
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,08-28-2019,16:00:00,0.01,33.5,000,29.70,23.9,0.0,0.00,57,981.33,1002.63
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,15.00,08-28-2019,16:00:00,0.10,30.1,240,26.13,21.8,18.5,0.00,61,961.16,1003.83
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10.00,08-28-2019,16:00:00,1.40,34.2,270,28.26,23.1,7.4,0.00,53,982.06,1002.04
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,10.00,08-28-2019,16:00:00,0.60,33.7,320,32.48,25.4,3.7,0.00,62,984.17,1004.48
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,7.00,08-28-2019,16:00:00,0.30,29.0,320,31.69,25.0,7.4,0.30,79,1004.52,1004.95
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,11.00,08-28-2019,16:00:00,0.00,33.2,000,32.89,25.6,0.0,0.00,65,1002.12,1003.51
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,10.00,08-28-2019,16:00:00,0.00,32.5,000,31.98,25.2,0.0,0.00,65,998.65,1003.48
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,12.00,08-28-2019,16:00:00,0.00,34.5,220,28.59,23.3,5.6,0.00,52,1000.29,1003.49
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,08-28-2019,16:00:00,0.00,35.0,290,28.18,23.1,7.4,0.00,50,1002.23,1003.30
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,08-28-2019,16:00:00,0.00,32.8,230,29.99,24.1,9.3,0.00,60,1003.73,1004.02
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10.00,08-28-2019,16:00:00,0.00,32.6,220,29.87,24.0,3.7,0.00,61,1003.40,1004.08
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,08-28-2019,16:00:00,0.00,32.5,240,30.53,24.4,5.6,0.00,62,1003.49,1003.97
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,08-28-2019,16:00:00,0.01,34.3,320,27.05,22.4,11.1,0.00,50,1002.08,1003.45
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,15.00,08-28-2019,16:00:00,0.00,29.8,210,35.70,27.0,25.9,0.00,85,1002.66,1004.32
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,08-28-2019,16:00:00,0.10,33.0,250,27.84,22.9,3.7,0.00,55,997.68,1005.52
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,08-28-2019,16:00:00,0.00,33.5,270,28.27,23.1,3.7,0.00,55,1003.49,1003.76
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,12.00,08-28-2019,16:00:00,0.00,30.3,100,28.67,23.3,5.6,0.00,66,1001.38,1004.47
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,12.00,08-28-2019,16:00:00,0.00,31.0,270,29.48,23.8,5.6,0.00,66,998.12,1004.96
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,8.00,08-28-2019,16:00:00,0.00,33.8,240,31.80,25.1,9.3,0.00,60,997.90,1003.35
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,10.00,08-28-2019,16:00:00,0.00,32.1,230,28.86,23.4,16.7,0.00,60,996.28,1005.42
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10.00,08-28-2019,16:00:00,5.00,29.5,140,35.05,26.7,3.7,5.00,85,1004.23,1005.48
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,08-28-2019,16:00:00,0.70,31.3,170,34.46,26.4,9.3,0.70,75,1004.00,1004.43
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,9.00,08-28-2019,16:00:00,0.00,32.5,000,29.66,23.9,0.0,0.00,61,992.91,1004.93
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,12.00,08-28-2019,16:00:00,0.00,33.8,280,27.74,22.8,18.5,0.00,53,1003.72,1004.42
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,08-28-2019,16:00:00,0.00,33.5,200,28.56,23.3,11.1,0.00,55,1002.66,1005.04
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,12.00,08-28-2019,16:00:00,0.00,30.7,270,31.72,25.0,14.8,0.00,72,1004.12,1004.63
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,15.00,08-28-2019,16:00:00,0.00,32.0,250,27.55,22.7,3.7,0.00,58,999.29,1004.35
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,10.00,08-28-2019,16:00:00,0.00,32.0,180,29.79,24.0,7.4,0.00,63,1004.41,1004.81
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,08-28-2019,16:00:00,0.00,31.3,200,33.57,26.0,7.4,0.00,73,1002.24,1004.97
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,6.00,08-28-2019,16:00:00,3.20,28.2,000,32.35,25.4,0.0,3.20,85,1005.71,1006.50
48501,TRAD,ตราด,ตราด,11.76667,102.88333,8.00,08-28-2019,16:00:00,0.00,30.2,320,33.00,25.7,5.6,0.00,77,1005.03,1005.48
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,10.00,08-28-2019,16:00:00,0.60,29.7,260,29.71,23.9,11.1,0.01,71,1005.47,1006.15
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,9.00,08-28-2019,16:00:00,2.60,29.4,260,28.04,23.0,3.7,0.00,68,1005.04,1006.55
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,08-28-2019,16:00:00,17.60,28.6,240,30.07,24.1,7.4,0.00,77,1006.83,1007.74
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,08-28-2019,16:00:00,1.90,30.5,000,31.31,24.8,0.0,0.00,72,1006.17,1006.85
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10.00,08-28-2019,16:00:00,1.50,28.5,280,32.39,25.4,5.6,0.01,83,1006.80,1007.59
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,7.00,08-28-2019,16:00:00,5.40,25.6,330,29.29,23.7,11.1,2.50,89,1006.24,1006.88
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,08-28-2019,16:00:00,11.10,29.4,000,33.66,26.0,0.0,6.90,82,1006.97,1007.37
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,7.00,08-28-2019,16:00:00,3.50,30.0,230,28.91,23.5,14.8,0.00,68,1005.39,1009.57
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,8.00,08-28-2019,16:00:00,8.00,24.2,000,28.88,23.5,0.0,6.20,96,1006.76,1008.38
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,6.00,08-28-2019,16:00:00,9.90,25.5,000,29.91,24.0,0.0,6.50,92,1005.49,1008.98
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10.00,08-28-2019,16:00:00,1.20,29.4,300,29.96,24.1,9.3,0.01,73,1005.74,1007.08
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,8.00,08-28-2019,16:00:00,26.10,25.5,270,32.07,25.2,11.1,25.50,98,1007.70,1008.59
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,08-28-2019,16:00:00,15.90,26.9,000,28.76,23.4,0.0,5.00,81,1004.57,1008.13
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,08-28-2019,16:00:00,9.00,29.6,260,31.20,24.7,7.4,1.60,75,1007.49,1007.92
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.00,08-28-2019,16:00:00,0.60,29.5,270,29.88,24.0,18.5,0.01,72,1006.95,1007.93
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,08-28-2019,16:00:00,3.20,29.4,260,32.79,25.6,25.9,0.00,80,1006.94,1007.75
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10.00,08-28-2019,16:00:00,1.60,30.0,250,31.15,24.7,11.1,0.20,73,1005.62,1007.42
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,12.00,08-28-2019,16:00:00,0.00,32.3,300,28.98,23.5,9.3,0.00,60,1006.02,1006.76
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,08-28-2019,16:00:00,0.80,31.5,240,29.07,23.6,16.7,0.00,63,1003.06,1007.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,08-28-2019,16:00:00,22.00,31.7,290,30.90,24.6,7.4,0.00,66,1006.76,1007.44
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,08-28-2019,16:00:00,0.00,32.3,270,30.12,24.2,13.0,0.00,62,1005.52,1006.62
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,12.00,08-28-2019,16:00:00,0.01,33.0,280,30.69,24.5,14.8,0.00,61,1004.30,1007.16
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,12.00,08-28-2019,16:00:00,0.00,33.0,270,33.06,25.7,14.8,0.00,66,1005.27,1005.94
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,10.00,08-28-2019,16:00:00,0.10,31.9,190,28.18,23.1,5.6,0.00,60,1003.21,1007.27
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10.00,08-28-2019,16:00:00,0.00,32.0,320,26.45,22.0,9.3,0.00,56,1005.78,1006.36
