WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MinimumTemperature,Date,Time,LandVisibility,MeanSeaLevelPressure,RelativeHumidity,Rainfall24Hr,Rainfall,StationPressure,VaporPressure,WindDirection,DewPoint,AirTemperature,WindSpeed
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.1,09-21-2019,07:00:00,7.00,1011.29,97,0.00,0.00,1007.01,27.83,000,22.8,23.3,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,22.8,09-21-2019,07:00:00,5.00,1009.16,97,7.60,0.00,1007.53,28.78,000,23.4,24.0,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.5,09-21-2019,07:00:00,8.00,1009.90,97,0.00,0.00,1006.38,28.52,000,23.3,23.7,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,23.5,09-21-2019,07:00:00,8.00,1009.43,99,1.10,0.00,1008.06,29.20,000,23.6,23.8,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,23.9,09-21-2019,07:00:00,10.00,1008.90,98,0.00,0.00,1008.01,29.66,000,23.9,24.2,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.1,09-21-2019,07:00:00,10.00,1009.32,97,0.00,0.00,1005.72,28.78,000,23.4,24.0,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,25.1,09-21-2019,07:00:00,10.00,1009.16,93,0.00,0.00,1008.72,30.25,000,24.2,25.4,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,22.2,09-21-2019,07:00:00,10.00,1008.84,97,0.00,0.00,1007.84,31.98,000,25.2,25.6,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.5,09-21-2019,07:00:00,10.00,1009.55,94,0.00,0.00,1008.73,30.15,070,24.2,25.2,5.6
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,23.5,09-21-2019,07:00:00,4.00,1009.53,96,2.60,0.00,1007.70,29.05,000,23.6,24.3,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,24.8,09-21-2019,07:00:00,4.00,1009.75,90,0.00,0.00,1009.00,29.56,000,23.8,25.6,0.0
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,22.3,09-21-2019,07:00:00,.25,1010.06,98,0.20,0.00,1006.01,28.77,270,23.4,23.7,5.6
48570,SATUN,สตูล,สตูล,6.65000,100.08333,23.6,09-21-2019,07:00:00,4.00,1009.46,95,0.20,0.00,1008.77,28.97,000,23.5,24.4,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.8,09-21-2019,07:00:00,7.00,1009.63,97,0.00,0.00,1008.50,29.39,000,23.8,24.2,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,21.8,09-21-2019,07:00:00,.60,1010.01,98,0.00,0.00,1007.05,28.95,000,23.5,23.8,0.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,24.0,09-21-2019,07:00:00,3.00,1009.47,98,0.00,0.00,1008.77,30.02,000,24.1,24.4,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,23.6,09-21-2019,07:00:00,.80,1010.31,97,0.00,0.00,1006.13,29.13,000,23.6,24.2,0.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,.0,09-21-2019,07:00:00,8.00,1009.34,91,30.70,0.00,1008.75,27.25,000,22.5,24.0,0.0
