WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,RelativeHumidity,LandVisibility,AirTemperature,VaporPressure,MaximumTemperature,Rainfall,WindDirection,Rainfall24Hr,StationPressure,MeanSeaLevelPressure,DewPoint
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,10-16-2019,19:00:00,88,7.00,26.0,29.50,32.6,2.40,000,2.40,982.41,1012.48,23.8
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,10-16-2019,19:00:00,90,6.00,24.7,27.95,31.5,3.00,000,3.00,976.69,1012.56,22.9
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,3.7,10-16-2019,19:00:00,85,12.00,25.8,28.34,32.6,0.00,150,0.00,981.91,1011.81,23.2
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,10-16-2019,19:00:00,78,9.00,30.0,33.17,35.5,2.70,000,2.80,1003.30,1010.55,25.8
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,5.6,10-16-2019,19:00:00,68,12.00,29.0,27.03,33.5,0.00,080,0.00,992.07,1011.92,22.4
48353,LOEI,เลย,เลย,17.45000,101.73333,5.6,10-16-2019,19:00:00,77,12.00,27.7,28.63,32.5,0.00,160,0.10,983.48,1012.18,23.3
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.0,10-16-2019,19:00:00,92,12.00,25.8,30.46,32.7,8.00,000,8.00,992.32,1012.67,24.3
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.0,10-16-2019,19:00:00,84,12.00,27.0,30.02,31.0,0.00,000,0.40,990.38,1012.20,24.1
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,3.7,10-16-2019,19:00:00,70,13.00,28.6,27.36,31.8,0.00,090,2.00,992.60,1012.07,22.6
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1.9,10-16-2019,19:00:00,64,10.00,28.3,24.74,32.7,0.00,080,0.00,996.19,1012.96,20.9
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,10-16-2019,19:00:00,72,10.00,27.1,25.73,31.5,0.00,000,0.00,995.51,1013.00,21.6
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,5.6,10-16-2019,19:00:00,73,12.00,27.5,26.95,33.3,0.01,110,0.01,984.94,1010.75,22.3
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,5.6,10-16-2019,19:00:00,76,10.00,30.3,32.92,35.0,0.00,290,0.00,1004.53,1010.27,25.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,10-16-2019,19:00:00,78,8.00,29.6,32.34,34.8,0.00,000,0.00,1004.89,1011.05,25.3
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,10-16-2019,19:00:00,83,10.00,27.2,29.85,33.0,0.00,000,17.00,995.32,1011.82,24.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,11.1,10-16-2019,19:00:00,73,10.00,27.0,26.06,33.5,0.00,060,0.00,987.14,1009.51,21.8
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.0,10-16-2019,19:00:00,87,6.00,27.3,31.41,33.0,0.00,000,0.00,997.44,1011.88,24.9
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,10-16-2019,19:00:00,84,7.00,27.0,30.02,33.5,0.00,000,0.00,995.02,1011.47,24.1
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,3.7,10-16-2019,19:00:00,69,10.00,30.0,29.19,34.9,0.00,050,0.00,1005.75,1010.94,23.6
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,10-16-2019,19:00:00,72,10.00,28.8,28.54,34.1,0.00,000,1.40,996.60,1009.76,23.3
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1.9,10-16-2019,19:00:00,83,12.00,27.7,30.81,33.5,0.00,250,0.00,1001.04,1010.37,24.5
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,3.7,10-16-2019,19:00:00,84,9.00,27.0,30.02,32.6,0.60,060,0.60,991.17,1012.98,24.1
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,10-16-2019,19:00:00,68,10.00,30.0,28.91,33.5,0.00,000,3.00,994.25,1011.66,23.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.0,10-16-2019,19:00:00,68,10.00,30.0,28.91,33.2,0.00,000,0.00,994.69,1010.42,23.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,10-16-2019,19:00:00,89,8.00,25.3,28.75,32.5,2.00,000,2.10,991.84,1010.90,23.4
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,10-16-2019,19:00:00,83,9.00,25.0,26.43,29.8,0.00,000,0.00,959.04,1010.55,22.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.0,10-16-2019,19:00:00,78,9.00,28.0,29.46,35.2,0.40,000,0.40,1006.37,1010.32,23.8
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.0,10-16-2019,19:00:00,94,5.00,21.6,24.12,25.5,0.20,000,19.50,916.87,1012.45,20.5
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,7.4,10-16-2019,19:00:00,79,8.00,27.3,28.69,32.4,0.00,030,0.01,995.26,1011.30,23.4
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.0,10-16-2019,19:00:00,77,10.00,29.5,31.56,33.9,0.00,000,0.00,1006.44,1010.46,24.9
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,10-16-2019,19:00:00,77,8.00,28.9,30.65,33.7,0.00,000,0.00,999.52,1010.16,24.5
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.0,10-16-2019,19:00:00,81,8.00,29.0,32.55,34.0,0.00,000,2.10,1008.70,1010.62,25.5
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.0,10-16-2019,19:00:00,78,10.00,27.3,28.16,32.6,0.00,000,0.00,989.69,1010.60,23.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,9.3,10-16-2019,19:00:00,79,10.00,27.2,28.51,32.5,0.00,020,0.00,993.58,1011.30,23.2
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,7.4,10-16-2019,19:00:00,76,10.00,28.0,28.65,34.4,0.00,010,0.00,994.53,1010.70,23.3
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,5.6,10-16-2019,19:00:00,65,10.00,29.7,27.26,34.5,0.00,020,0.00,996.13,1010.08,22.5
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,10-16-2019,19:00:00,66,8.00,29.3,26.78,34.0,0.00,000,0.00,995.22,1009.97,22.2
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,9.3,10-16-2019,19:00:00,74,10.00,30.0,31.44,33.1,0.00,050,0.00,995.70,1010.27,24.9
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,10-16-2019,19:00:00,72,10.00,30.7,31.72,33.5,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,1007.35,1010.34,25.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,10-16-2019,19:00:00,67,10.00,29.1,26.95,33.8,0.00,000,0.00,1003.03,1010.96,22.3
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.0,10-16-2019,19:00:00,74,8.00,30.4,32.26,34.4,0.00,000,0.00,1009.91,1011.01,25.3
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,10-16-2019,19:00:00,80,8.00,29.2,32.38,32.8,0.20,000,0.20,995.84,1010.47,25.4
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,5.6,10-16-2019,19:00:00,98,4.00,19.8,22.62,25.0,0.00,040,0.00,876.52,1012.06,19.5
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,10-16-2019,19:00:00,77,10.00,28.6,30.07,33.3,0.00,000,0.00,1004.54,1010.41,24.1
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.0,10-16-2019,19:00:00,69,10.00,31.0,31.19,35.7,0.00,000,0.00,1008.96,1009.75,24.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,7.4,10-16-2019,19:00:00,71,7.00,30.1,30.22,33.1,0.00,120,0.00,1009.18,1009.63,24.2
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,10-16-2019,19:00:00,78,10.00,28.5,30.15,34.2,0.00,000,0.00,998.92,1010.20,24.2
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.0,10-16-2019,19:00:00,71,8.00,30.7,31.43,33.7,0.00,000,0.00,1009.44,1010.45,24.9
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.0,10-16-2019,19:00:00,67,8.00,30.2,28.75,34.1,0.00,000,0.00,1007.80,1009.61,23.4
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,10-16-2019,19:00:00,86,6.00,28.9,34.07,33.1,0.00,000,0.00,1009.37,1010.13,26.2
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,11.1,10-16-2019,19:00:00,65,9.00,30.4,28.31,33.6,0.00,060,0.01,1009.26,1009.96,23.1
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,3.7,10-16-2019,19:00:00,66,10.00,31.1,29.96,34.6,0.00,100,0.00,1008.88,1009.57,24.1
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.0,10-16-2019,19:00:00,67,10.00,29.5,27.69,32.1,0.00,000,0.00,989.76,1010.81,22.8
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,10-16-2019,19:00:00,68,10.00,29.0,27.03,33.0,0.00,000,0.00,993.86,1010.53,22.4
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.0,10-16-2019,19:00:00,77,9.00,28.0,29.19,33.2,0.00,000,0.01,994.22,1010.65,23.6
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,10-16-2019,19:00:00,71,10.00,29.0,28.37,32.1,0.00,000,0.00,988.78,1010.56,23.2
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,7.4,10-16-2019,19:00:00,79,10.00,26.2,26.72,30.3,0.00,060,0.00,967.28,1010.79,22.2
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.0,10-16-2019,19:00:00,81,9.00,27.5,29.60,33.1,0.00,000,1.30,989.91,1010.50,23.9
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1.9,10-16-2019,19:00:00,98,10.00,25.2,31.49,32.0,0.00,030,0.00,992.13,1013.19,24.9
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.0,10-16-2019,19:00:00,85,10.00,27.5,31.25,32.1,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.10,1009.69,1010.13,24.8
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,10-16-2019,19:00:00,76,8.00,29.2,30.96,32.7,0.00,000,0.00,1007.95,1009.36,24.6
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,10-16-2019,19:00:00,83,8.00,28.7,32.51,32.4,0.00,000,0.00,1004.81,1009.73,25.4
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,5.6,10-16-2019,19:00:00,77,10.00,28.4,29.96,33.1,0.00,220,0.00,1007.00,1010.28,24.1
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,10-16-2019,19:00:00,84,10.00,28.5,32.67,33.3,0.00,000,0.00,1008.92,1010.02,25.5
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,11.1,10-16-2019,19:00:00,67,10.00,31.0,30.05,33.5,0.00,030,3.30,1009.40,1009.70,24.1
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.0,10-16-2019,19:00:00,64,10.00,31.8,30.24,34.4,0.00,000,0.50,1008.86,1009.54,24.2
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1.9,10-16-2019,19:00:00,68,10.00,30.5,29.89,35.3,0.00,100,1.60,1009.19,1009.67,24.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,7.4,10-16-2019,19:00:00,66,10.00,31.1,29.68,32.6,0.00,080,2.20,1008.68,1010.07,23.9
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,14.8,10-16-2019,19:00:00,69,10.00,30.8,30.49,32.3,0.00,050,0.00,1007.88,1009.54,24.4
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,10-16-2019,19:00:00,82,10.00,28.8,32.42,33.7,0.00,000,0.50,1003.42,1011.41,25.4
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,3.7,10-16-2019,19:00:00,77,10.00,30.4,33.42,34.6,0.00,040,0.00,1009.35,1009.63,25.9
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.0,10-16-2019,19:00:00,78,10.00,29.0,31.13,33.8,0.00,000,0.00,1006.75,1009.87,24.7
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.0,10-16-2019,19:00:00,81,10.00,28.5,31.54,32.5,0.00,000,0.00,1002.43,1009.35,24.9
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,10-16-2019,19:00:00,81,8.00,28.9,32.06,33.6,4.50,000,4.80,1005.02,1010.60,25.2
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,11.1,10-16-2019,19:00:00,68,10.00,30.2,29.30,33.3,0.00,090,0.00,1001.24,1010.49,23.7
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,11.1,10-16-2019,19:00:00,94,8.00,25.7,31.08,31.6,0.01,270,1.20,1009.64,1010.91,24.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,14.8,10-16-2019,19:00:00,76,11.00,30.5,33.34,34.1,0.00,330,0.01,1009.39,1009.82,25.9
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,10-16-2019,19:00:00,84,8.00,27.3,30.59,32.0,0.00,000,1.80,998.19,1010.48,24.4
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.0,10-16-2019,19:00:00,67,8.00,29.9,28.17,31.5,0.00,000,9.20,1009.09,1009.80,23.1
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,3.7,10-16-2019,19:00:00,87,9.00,27.5,31.80,34.4,0.00,360,1.00,1007.07,1009.51,25.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,5.6,10-16-2019,19:00:00,77,10.00,30.0,32.59,34.2,0.01,250,0.01,1008.64,1009.16,25.5
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1.9,10-16-2019,19:00:00,88,8.00,27.2,31.77,33.2,0.40,310,0.40,1003.96,1009.12,25.1
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,3.7,10-16-2019,19:00:00,68,10.00,30.5,29.89,35.0,0.00,020,0.00,1008.88,1009.29,24.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,10-16-2019,19:00:00,78,10.00,28.4,30.23,34.8,0.00,000,0.00,1006.87,1009.64,24.2
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,10-16-2019,19:00:00,82,10.00,28.1,31.03,30.0,0.00,000,26.40,1009.07,1009.86,24.7
48501,TRAD,ตราด,ตราด,11.76667,102.88333,5.6,10-16-2019,19:00:00,88,7.00,27.5,32.36,33.0,5.80,070,6.70,1008.62,1009.07,25.4
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,5.6,10-16-2019,19:00:00,90,8.00,27.5,33.21,32.8,0.00,050,0.20,1009.62,1010.31,25.8
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.0,10-16-2019,19:00:00,84,7.00,28.5,32.67,32.8,0.00,000,0.80,1007.28,1008.80,25.5
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.0,10-16-2019,19:00:00,91,10.00,26.7,31.91,33.9,0.00,000,0.00,1008.67,1009.58,25.1
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,5.6,10-16-2019,19:00:00,85,10.00,28.7,33.37,31.4,0.00,050,0.00,1009.36,1010.04,25.9
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,10-16-2019,19:00:00,93,8.00,26.0,31.38,31.0,0.00,000,8.30,1008.42,1009.22,24.8
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.0,10-16-2019,19:00:00,91,10.00,26.7,31.91,31.5,0.40,000,11.20,1008.59,1009.23,25.1
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,10-16-2019,19:00:00,95,10.00,26.4,32.71,30.8,0.00,000,3.30,1009.08,1009.49,25.5
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,10-16-2019,19:00:00,97,6.00,25.7,31.90,29.7,0.01,000,12.20,1006.95,1011.19,25.1
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,10-16-2019,19:00:00,93,12.00,25.8,31.00,31.9,0.00,000,0.40,1007.19,1008.81,24.6
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,10-16-2019,19:00:00,92,8.00,27.0,32.77,32.7,0.00,000,1.00,1005.51,1009.00,25.6
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,10-16-2019,19:00:00,96,10.00,26.0,32.20,33.0,15.50,000,28.70,1007.73,1009.09,25.3
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,10-16-2019,19:00:00,96,12.00,25.5,31.25,32.0,0.00,000,11.70,1008.19,1009.08,24.8
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,10-16-2019,19:00:00,94,10.00,25.5,30.71,31.3,0.20,000,2.00,1005.38,1008.96,24.5
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,10-16-2019,19:00:00,88,10.00,27.5,32.36,33.0,0.40,000,0.40,1008.26,1008.69,25.4
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.0,10-16-2019,19:00:00,84,10.00,27.0,30.02,33.5,0.00,000,0.00,1008.05,1009.04,24.1
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.0,10-16-2019,19:00:00,83,10.00,26.7,28.92,33.0,0.00,000,0.00,1008.11,1008.93,23.5
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,5.6,10-16-2019,19:00:00,82,10.00,27.5,30.15,32.5,0.00,050,0.00,1006.87,1008.69,24.2
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,9.3,10-16-2019,19:00:00,78,10.00,29.0,31.41,31.4,0.00,020,0.70,1008.06,1008.80,24.9
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,11.1,10-16-2019,19:00:00,83,10.00,28.3,31.99,33.4,0.00,060,2.80,1004.65,1008.63,25.2
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,10-16-2019,19:00:00,88,10.00,28.3,33.70,32.7,0.00,000,0.00,1007.66,1008.34,26.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,5.6,10-16-2019,19:00:00,81,10.00,28.5,31.54,32.7,0.00,080,0.00,1007.57,1008.69,24.9
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,3.7,10-16-2019,19:00:00,85,10.00,28.1,32.15,32.4,0.00,050,0.30,1005.75,1008.66,25.3
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.0,10-16-2019,19:00:00,89,10.00,28.0,33.66,33.6,0.00,000,0.00,1007.73,1008.42,26.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.0,10-16-2019,19:00:00,78,8.00,28.5,30.42,33.4,0.00,000,0.00,1004.77,1008.88,24.3
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,9.3,10-16-2019,19:00:00,74,10.00,29.2,29.85,33.2,0.00,040,0.00,1007.68,1008.26,24.0
