WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,DewPoint,AirTemperature,VaporPressure,WindDirection,MeanSeaLevelPressure,LandVisibility,Rainfall24Hr,Rainfall,WindSpeed,MaximumTemperature,StationPressure
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,92,07-12-2019,19:00:00,23.9,25.4,29.72,000,1010.50,10.00,12.00,12.00,0.0,33.4,1009.81
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,94,07-12-2019,19:00:00,24.4,25.4,30.52,000,1010.20,10.00,6.30,0.01,0.0,35.0,1009.40
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,88,07-12-2019,19:00:00,23.3,25.5,28.59,150,1009.83,10.00,0.30,0.00,5.6,35.7,1009.19
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,97,07-12-2019,19:00:00,23.8,24.4,29.49,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1010.15,10.00,44.90,2.10,0.0,35.4,1009.74
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,96,07-12-2019,19:00:00,23.3,24.0,28.53,000,1012.22,4.00,37.50,8.50,0.0,34.3,1007.94
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,92,07-12-2019,19:00:00,23.7,25.2,29.36,000,1010.21,8.00,0.20,0.20,0.0,34.5,1008.59
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,88,07-12-2019,19:00:00,22.8,25.0,27.70,000,1010.81,10.00,0.10,0.10,0.0,33.5,1007.30
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,82,07-12-2019,19:00:00,24.0,27.3,29.77,000,1010.31,9.00,0.50,0.00,0.0,33.8,1008.96
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,83,07-12-2019,19:00:00,25.9,29.0,33.41,000,1010.06,10.00,0.10,0.00,0.0,32.5,1009.18
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,85,07-12-2019,19:00:00,25.0,27.7,31.64,000,1009.94,10.00,0.00,0.00,0.0,33.9,1006.39
