WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall,WindDirection,LandVisibility,DewPoint,Rainfall24Hr,MeanSeaLevelPressure,WindSpeed,RelativeHumidity,StationPressure,VaporPressure,AirTemperature
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,10-08-2019,16:00:00,0.00,000,8.00,21.5,0.00,1009.17,0.0,58,974.12,25.63,30.7
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,10-08-2019,16:00:00,0.00,050,12.00,24.9,0.00,1007.33,3.7,62,978.26,31.49,33.1
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10-08-2019,16:00:00,0.00,000,9.00,21.7,0.00,1007.49,0.0,46,1000.38,26.03,35.2
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,10-08-2019,16:00:00,0.00,080,8.00,23.0,0.00,1007.84,5.6,51,988.42,28.02,34.5
48353,LOEI,เลย,เลย,17.45000,101.73333,10-08-2019,16:00:00,0.00,030,12.00,22.3,0.00,1008.11,3.7,55,979.98,26.86,32.5
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,10-08-2019,16:00:00,0.00,040,12.00,21.5,0.00,1008.55,5.6,49,988.80,25.60,33.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10-08-2019,16:00:00,0.00,000,12.00,22.4,0.00,1008.85,0.0,54,987.52,27.00,33.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10-08-2019,16:00:00,0.00,040,12.00,22.3,0.10,1008.30,7.4,52,989.21,26.87,33.5
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10-08-2019,16:00:00,10.40,000,8.00,15.7,10.90,1009.91,0.0,47,993.19,17.80,28.2
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10-08-2019,16:00:00,7.50,090,10.00,23.3,27.50,1010.03,3.7,80,992.58,28.67,27.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10-08-2019,16:00:00,0.00,070,10.00,18.2,0.00,1007.18,11.1,44,981.81,20.86,31.8
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10-08-2019,16:00:00,0.00,120,8.00,25.0,0.00,1007.95,3.7,64,1002.27,31.61,32.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10-08-2019,16:00:00,0.00,000,8.00,24.7,0.00,1007.92,0.0,63,1001.84,31.15,32.8
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10-08-2019,16:00:00,0.00,030,12.00,22.9,0.00,1009.16,9.3,68,992.83,27.96,29.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10-08-2019,16:00:00,0.00,180,10.00,23.2,0.00,1006.78,5.6,65,984.73,28.50,30.5
48376,TAK,ตาก,ตาก,16.87833,99.14333,10-08-2019,16:00:00,0.00,240,10.00,23.2,0.60,1009.56,3.7,65,995.31,28.42,30.6
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,10-08-2019,16:00:00,3.10,000,8.00,24.3,3.10,1008.63,0.0,70,992.41,30.46,30.5
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10-08-2019,16:00:00,1.90,260,10.00,24.6,2.90,1007.85,3.7,69,1002.68,30.98,30.9
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10-08-2019,16:00:00,0.00,000,12.00,22.8,0.00,1007.18,0.0,64,994.13,27.76,30.4
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10-08-2019,16:00:00,0.00,320,12.00,24.2,4.70,1008.37,3.7,61,999.21,30.28,32.8
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10-08-2019,16:00:00,0.00,020,9.00,22.6,0.00,1008.23,7.4,54,986.95,27.47,33.1
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10-08-2019,16:00:00,0.00,000,10.00,23.8,0.00,1009.10,0.0,64,991.82,29.55,31.6
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10-08-2019,16:00:00,0.10,000,12.00,24.3,0.70,1007.96,0.0,72,992.26,30.39,29.9
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10-08-2019,16:00:00,0.00,030,10.00,23.4,0.00,1007.34,1.9,55,988.85,28.76,33.6
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,10-08-2019,16:00:00,0.00,000,11.00,19.9,0.00,1006.79,0.0,54,956.32,23.18,30.2
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,10-08-2019,16:00:00,0.00,340,8.00,23.3,0.90,1008.02,7.4,57,1004.14,28.68,33.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,10-08-2019,16:00:00,0.00,080,6.00,19.5,1.70,1009.37,5.6,74,914.90,22.62,24.3
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10-08-2019,16:00:00,0.00,030,10.00,24.5,1.10,1008.39,3.7,61,992.70,30.82,33.2
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,10-08-2019,16:00:00,0.00,000,10.00,24.2,6.60,1007.73,0.0,59,1003.78,30.28,33.5
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10-08-2019,16:00:00,0.00,000,8.00,24.2,0.00,1008.57,0.0,64,998.05,30.24,31.8
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,10-08-2019,16:00:00,0.00,330,12.00,23.2,0.00,1008.27,9.3,62,1006.37,28.51,31.5
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10-08-2019,16:00:00,0.00,030,10.00,22.1,0.00,1007.22,11.1,53,986.77,26.64,33.1
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10-08-2019,16:00:00,0.00,020,10.00,23.0,0.00,1008.27,7.4,57,990.91,28.17,32.6
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10-08-2019,16:00:00,0.00,000,10.00,22.0,0.00,1007.97,0.0,53,992.11,26.45,33.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10-08-2019,16:00:00,0.00,100,10.00,23.0,0.00,1008.42,3.7,57,994.62,28.17,32.6
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10-08-2019,16:00:00,0.00,000,10.00,24.6,0.00,1009.14,0.0,62,994.56,30.86,32.8
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10-08-2019,16:00:00,0.00,000,8.00,26.8,0.40,1008.73,0.0,77,994.24,35.15,31.2
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10-08-2019,16:00:00,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,24.8,2.50,1008.24,0.0,65,1005.27,31.35,32.2
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10-08-2019,16:00:00,0.00,260,10.00,24.1,5.50,1007.63,7.4,60,999.82,29.99,32.8
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,10-08-2019,16:00:00,1.40,230,7.00,23.7,1.80,1009.02,5.6,92,1007.90,29.26,25.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,10-08-2019,16:00:00,0.00,000,8.00,20.8,0.00,1008.40,0.0,55,993.89,24.60,31.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,10-08-2019,16:00:00,9.00,020,.10,20.4,11.20,1009.64,3.7,98,874.80,23.93,20.7
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10-08-2019,16:00:00,1.20,300,10.00,26.7,1.20,1007.59,5.6,85,1001.76,35.05,29.5
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,10-08-2019,16:00:00,0.00,080,12.00,24.9,1.00,1008.23,11.1,66,1007.44,31.52,32.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10-08-2019,16:00:00,0.00,120,10.00,22.8,0.00,1007.23,5.6,55,1006.79,27.75,33.1
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,10-08-2019,16:00:00,5.30,000,10.00,24.6,14.70,1009.11,0.0,84,997.80,30.97,27.5
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10-08-2019,16:00:00,0.00,000,12.00,23.2,0.00,1008.17,0.0,53,1007.18,28.43,34.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,10-08-2019,16:00:00,0.00,090,5.00,23.0,4.50,1008.70,9.3,66,1006.89,28.09,30.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,10-08-2019,16:00:00,0.00,000,12.00,23.8,0.00,1007.87,0.0,60,1007.12,29.50,32.7
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10-08-2019,16:00:00,0.00,080,10.00,22.4,1.70,1007.92,11.1,54,1007.22,27.08,32.9
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,10-08-2019,16:00:00,0.00,060,9.00,23.0,0.40,1008.55,3.7,68,1007.85,28.04,29.4
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10-08-2019,16:00:00,0.00,060,10.00,22.5,0.01,1008.35,11.1,63,987.41,27.22,30.4
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,10-08-2019,16:00:00,0.00,000,11.00,24.0,0.00,1008.86,0.0,68,992.30,29.89,30.5
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,10-08-2019,16:00:00,0.00,000,10.00,25.0,0.00,1009.37,0.0,71,993.11,31.64,30.8
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10-08-2019,16:00:00,0.00,000,10.00,24.0,0.01,1009.07,0.0,75,987.31,29.82,28.9
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10-08-2019,16:00:00,0.01,100,6.00,23.1,0.01,1009.16,11.1,84,965.70,28.18,26.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10-08-2019,16:00:00,0.00,040,12.00,23.1,5.70,1008.27,9.3,58,988.05,28.25,32.5
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,10-08-2019,16:00:00,0.00,060,10.00,25.2,0.40,1010.43,13.0,72,989.81,32.13,30.9
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10-08-2019,16:00:00,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,25.0,13.50,1007.99,0.0,67,1007.56,31.60,31.9
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,10-08-2019,16:00:00,23.20,000,10.00,23.2,30.50,1008.70,0.0,89,1007.28,28.40,25.1
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,10-08-2019,16:00:00,0.00,000,12.00,25.6,26.00,1008.22,0.0,69,1003.36,32.77,31.9
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10-08-2019,16:00:00,0.00,050,8.00,23.1,10.90,1007.99,3.7,54,1004.77,28.19,33.6
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10-08-2019,16:00:00,0.00,000,10.00,23.6,2.50,1008.07,0.0,57,1006.98,29.09,33.2
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10-08-2019,16:00:00,0.00,000,10.00,25.4,4.90,1007.83,0.0,68,1007.54,32.40,32.0
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10-08-2019,16:00:00,0.00,140,10.00,23.3,20.40,1008.84,5.6,60,1008.16,28.66,32.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10-08-2019,16:00:00,0.00,140,8.00,24.2,1.30,1007.44,3.7,63,1006.96,30.28,32.1
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10-08-2019,16:00:00,0.00,060,10.00,23.3,1.60,1007.83,27.8,57,1006.45,28.56,32.8
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,10-08-2019,16:00:00,0.00,240,10.00,24.6,0.00,1007.93,5.6,63,1006.28,30.94,32.7
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10-08-2019,16:00:00,0.00,000,10.00,24.2,45.90,1009.85,0.0,62,1001.97,30.24,32.5
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10-08-2019,16:00:00,0.00,000,10.00,23.4,0.00,1007.41,0.0,53,1007.14,28.76,34.3
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10-08-2019,16:00:00,0.00,300,10.00,25.2,0.00,1007.97,5.6,68,1004.89,32.10,32.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10-08-2019,16:00:00,0.00,290,10.00,24.2,0.00,1008.17,9.3,69,1001.30,30.18,30.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,10-08-2019,16:00:00,0.00,090,10.00,25.3,0.00,1008.40,5.6,66,1002.90,32.28,32.5
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,10-08-2019,16:00:00,0.00,350,10.00,25.8,0.00,1008.69,3.7,69,999.52,33.20,32.1
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10-08-2019,16:00:00,0.00,000,8.00,24.1,14.30,1009.06,0.0,61,1007.81,30.07,32.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,10-08-2019,16:00:00,0.00,130,11.00,23.9,1.70,1007.84,5.6,58,1007.41,29.66,33.2
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10-08-2019,16:00:00,0.00,050,8.00,22.8,0.00,1008.17,9.3,60,996.08,27.76,31.4
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10-08-2019,16:00:00,0.00,060,7.00,26.2,0.00,1008.47,7.4,78,1007.77,33.93,30.5
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10-08-2019,16:00:00,35.00,350,8.00,24.8,35.00,1009.83,5.6,87,1007.39,31.22,27.2
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10-08-2019,16:00:00,0.00,000,10.00,24.7,0.00,1008.22,0.0,66,1007.71,31.10,31.8
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,10-08-2019,16:00:00,4.40,260,11.00,25.0,4.40,1008.08,5.6,87,1002.92,31.61,27.4
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,10-08-2019,16:00:00,0.80,000,8.00,24.8,18.10,1008.38,0.0,83,1007.97,31.39,28.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,10-08-2019,16:00:00,6.10,000,8.00,25.1,6.80,1008.82,0.0,92,1006.04,31.79,26.5
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10-08-2019,16:00:00,0.00,110,10.00,25.5,0.20,1008.64,3.7,70,1007.86,32.64,31.7
48501,TRAD,ตราด,ตราด,11.76667,102.88333,10-08-2019,16:00:00,1.40,090,7.00,22.4,6.90,1009.68,13.0,72,1009.22,27.06,28.0
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,10-08-2019,16:00:00,0.00,080,10.00,25.2,10.90,1008.28,5.6,71,1007.61,31.97,31.1
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,10-08-2019,16:00:00,0.00,090,10.00,23.4,0.20,1008.60,3.7,61,1007.10,28.82,31.8
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10-08-2019,16:00:00,0.00,210,10.00,24.5,0.40,1008.15,5.6,75,1007.24,30.72,29.5
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10-08-2019,16:00:00,0.00,090,12.00,26.1,1.40,1008.74,13.0,74,1008.06,33.86,31.3
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10-08-2019,16:00:00,0.00,030,10.00,24.1,0.00,1007.90,7.4,67,1007.12,30.05,31.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10-08-2019,16:00:00,0.00,100,10.00,24.6,2.50,1008.06,11.1,69,1007.44,30.90,31.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10-08-2019,16:00:00,0.00,090,12.00,24.3,0.00,1007.72,7.4,67,1007.32,30.45,31.2
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,10-08-2019,16:00:00,7.40,100,7.00,25.0,12.00,1009.51,5.6,72,1005.34,31.72,30.7
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10-08-2019,16:00:00,0.20,140,8.00,23.5,0.20,1008.10,11.1,83,1006.49,28.92,26.7
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,10-08-2019,16:00:00,8.20,120,7.00,24.9,8.20,1008.21,7.4,91,1004.72,31.52,26.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10-08-2019,16:00:00,0.00,080,10.00,23.6,0.00,1007.73,9.3,63,1006.39,29.07,31.5
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10-08-2019,16:00:00,0.00,230,8.00,24.8,0.40,1007.68,5.6,72,1006.80,31.31,30.5
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10-08-2019,16:00:00,0.00,140,10.00,24.2,19.60,1007.16,5.6,68,1003.65,30.21,30.8
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10-08-2019,16:00:00,0.00,000,10.00,23.1,0.00,1007.22,0.0,55,1006.79,28.27,33.5
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10-08-2019,16:00:00,0.00,280,10.00,24.5,3.50,1007.16,5.6,63,1006.19,30.82,32.5
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10-08-2019,16:00:00,0.00,260,10.00,24.0,0.00,1007.77,5.6,68,1006.96,29.81,30.6
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10-08-2019,16:00:00,0.00,310,12.00,24.1,0.00,1007.79,5.6,78,1005.98,30.04,28.3
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10-08-2019,16:00:00,0.00,050,11.00,24.7,0.01,1007.67,5.6,69,1006.92,31.19,31.0
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10-08-2019,16:00:00,0.00,040,10.00,22.9,0.20,1006.86,20.4,57,1002.94,27.97,32.5
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10-08-2019,16:00:00,9.50,000,10.00,25.0,11.50,1008.60,0.0,94,1007.92,31.65,26.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10-08-2019,16:00:00,0.00,040,12.00,23.6,0.00,1007.08,16.7,63,1005.98,29.15,31.4
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10-08-2019,16:00:00,0.00,060,12.00,24.1,0.00,1008.22,11.1,64,1005.35,30.04,31.7
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,10-08-2019,16:00:00,17.90,040,8.00,25.2,28.30,1006.97,5.6,78,1006.29,32.13,29.5
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,10-08-2019,16:00:00,4.60,000,10.00,24.1,4.60,1007.60,0.0,70,1003.52,30.06,30.3
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10-08-2019,16:00:00,0.00,030,12.00,23.4,0.00,1007.54,14.8,64,1006.96,28.73,30.9
