WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,Rainfall,VaporPressure,WindSpeed,StationPressure,AirTemperature,DewPoint,RelativeHumidity,WindDirection,MeanSeaLevelPressure,MaximumTemperature,LandVisibility
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.50,07-25-2019,19:00:00,0.00,30.57,11.1,1007.26,29.0,24.4,76,170,1009.07,33.2,10.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.01,07-25-2019,19:00:00,0.01,26.12,7.4,1008.27,26.0,21.8,78,290,1009.04,34.5,7.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,2.00,07-25-2019,19:00:00,1.80,28.57,9.3,1005.41,25.2,23.3,89,290,1006.11,32.3,7.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,8.70,07-25-2019,19:00:00,1.50,30.54,3.7,1008.11,25.7,24.4,93,120,1008.82,31.9,6.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1.60,07-25-2019,19:00:00,0.00,29.19,7.4,986.70,29.0,23.6,73,220,1007.73,35.0,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,15.00,07-25-2019,19:00:00,0.00,27.03,11.1,991.02,29.0,22.4,68,210,1007.63,32.3,9.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,24.20,07-25-2019,19:00:00,0.00,27.20,1.9,991.78,28.8,22.5,69,190,1008.13,32.8,8.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,3.10,07-25-2019,19:00:00,0.00,26.54,14.8,986.16,28.0,22.1,70,240,1007.96,34.0,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,2.30,07-25-2019,19:00:00,0.00,26.06,7.4,965.07,27.0,21.8,73,270,1008.36,29.4,10.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,8.00,07-25-2019,19:00:00,0.00,25.24,5.6,987.37,28.0,21.3,67,210,1007.88,32.0,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,3.00,07-25-2019,19:00:00,0.40,33.35,0.0,988.29,26.3,25.9,98,000,1009.20,33.0,9.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,07-25-2019,19:00:00,0.00,30.20,3.7,1008.38,28.1,24.2,79,320,1008.82,32.3,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,10.00,07-25-2019,19:00:00,0.10,31.88,0.0,1007.31,26.4,25.1,93,000,1008.73,29.5,8.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,10.50,07-25-2019,19:00:00,0.00,31.76,0.0,1004.20,26.2,25.0,93,000,1009.15,29.9,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.01,07-25-2019,19:00:00,0.00,26.29,7.4,1005.72,28.3,21.9,68,300,1009.01,34.7,12.00
