WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,WindSpeed,RelativeHumidity,Rainfall,WindDirection,LandVisibility,VaporPressure,DewPoint,StationPressure,MeanSeaLevelPressure,Rainfall24Hr
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,33.5,07-10-2019,16:00:00,3.7,61,0.00,220,10.00,31.46,24.9,991.52,1005.87,6.40
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,34.8,07-10-2019,16:00:00,0.0,46,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,25.52,21.4,1002.86,1005.79,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,32.4,07-10-2019,16:00:00,0.0,60,0.00,000,10.00,29.18,23.6,998.10,1005.90,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,33.5,07-10-2019,16:00:00,14.8,55,0.00,220,8.00,28.56,23.3,1005.23,1006.31,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,34.2,07-10-2019,16:00:00,0.0,46,0.00,000,8.00,24.64,20.9,990.84,1005.16,0.50
48417,NAKORNNAYOK,นครนายก,นครนายก,{'@attributes': {'Unit': 'decimal degree'}},{'@attributes': {'Unit': 'decimal degree'}},22.4,07-10-2019,16:00:00,0.0,90,0.00,000,8.00,24.41,20.7,872.57,1006.25,0.20
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,34.5,07-10-2019,16:00:00,0.0,52,0.00,000,10.00,28.59,23.3,1000.16,1005.89,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,34.3,07-10-2019,16:00:00,9.3,66,0.00,230,12.00,35.67,27.0,1005.68,1006.46,11.10
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,30.9,07-10-2019,16:00:00,14.8,66,0.00,230,10.00,29.56,23.9,1006.51,1006.95,17.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,30.5,07-10-2019,16:00:00,7.4,68,0.00,330,7.00,29.89,24.0,996.33,1007.51,0.10
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,34.9,07-10-2019,16:00:00,3.7,47,0.00,300,12.00,26.27,21.9,1005.25,1006.23,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,34.2,07-10-2019,16:00:00,9.3,55,0.00,170,12.00,29.71,23.9,1004.39,1006.17,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,35.2,07-10-2019,16:00:00,0.0,47,0.00,000,8.00,26.59,22.1,1005.28,1006.03,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,31.0,07-10-2019,16:00:00,7.4,65,0.00,190,10.00,29.20,23.6,1006.18,1006.87,18.40
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,34.0,07-10-2019,16:00:00,5.6,59,0.00,270,8.00,31.34,24.8,1005.93,1006.62,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,34.0,07-10-2019,16:00:00,11.1,53,0.00,250,10.00,28.14,23.0,984.76,1005.40,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,34.4,07-10-2019,16:00:00,9.3,50,0.00,230,9.00,27.25,22.5,989.08,1005.37,6.70
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,34.7,07-10-2019,16:00:00,11.1,54,0.00,180,11.00,29.88,24.0,989.86,1005.87,10.60
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,34.0,07-10-2019,16:00:00,3.7,50,0.00,260,10.00,26.73,22.2,983.94,1005.27,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,30.0,07-10-2019,16:00:00,22.2,62,0.00,250,10.00,26.21,21.9,963.63,1006.42,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,34.1,07-10-2019,16:00:00,11.1,53,0.00,210,12.00,28.35,23.2,985.45,1005.51,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,33.9,07-10-2019,16:00:00,7.4,56,0.00,240,10.00,29.66,23.9,986.39,1006.74,1.60
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,31.1,07-10-2019,16:00:00,16.7,65,0.00,180,12.00,29.40,23.8,1006.40,1006.82,0.10
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,32.2,07-10-2019,16:00:00,3.7,70,0.00,250,10.00,33.42,25.9,1005.37,1006.76,3.50
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,32.4,07-10-2019,16:00:00,0.0,64,0.00,000,9.00,31.19,24.7,1001.90,1006.75,27.70
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,34.8,07-10-2019,16:00:00,7.4,50,0.00,300,12.00,27.77,22.8,1003.19,1006.39,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,34.5,07-10-2019,16:00:00,7.4,54,0.00,260,10.00,29.75,24.0,1005.28,1006.36,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,32.0,07-10-2019,16:00:00,11.1,64,0.00,230,10.00,30.36,24.3,1006.60,1006.90,20.10
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,32.5,07-10-2019,16:00:00,7.4,61,0.00,160,10.00,29.66,23.9,1005.80,1006.48,7.70
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,32.7,07-10-2019,16:00:00,1.9,60,0.00,150,10.00,29.50,23.8,1006.01,1006.49,10.20
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,33.4,07-10-2019,16:00:00,13.0,58,0.00,210,10.00,29.79,24.0,1005.15,1006.53,8.80
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,30.1,07-10-2019,16:00:00,18.5,66,0.00,180,10.00,28.01,23.0,1005.41,1007.07,0.90
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,32.4,07-10-2019,16:00:00,0.0,55,0.00,000,10.00,26.94,22.3,1000.71,1008.59,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,32.7,07-10-2019,16:00:00,0.0,58,0.00,000,12.00,28.93,23.5,1006.80,1007.08,2.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,31.5,07-10-2019,16:00:00,0.0,66,0.00,000,12.00,30.49,24.4,1003.88,1006.97,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,31.3,07-10-2019,16:00:00,7.4,66,0.00,210,12.00,30.08,24.1,1000.56,1007.40,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,33.0,07-10-2019,16:00:00,5.6,61,0.00,280,8.00,30.69,24.5,1001.57,1007.06,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,31.2,07-10-2019,16:00:00,13.0,68,0.00,210,10.00,30.73,24.5,998.43,1007.61,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,33.3,07-10-2019,16:00:00,7.4,57,0.00,270,14.00,29.29,23.7,1006.48,1007.72,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,33.0,07-10-2019,16:00:00,18.5,67,0.00,150,11.00,33.66,26.0,1006.36,1006.79,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,32.9,07-10-2019,16:00:00,7.4,51,0.00,300,10.00,25.44,21.4,995.13,1007.15,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,31.4,07-10-2019,16:00:00,13.0,74,0.00,090,10.00,34.08,26.2,1006.23,1006.94,0.30
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,32.3,07-10-2019,16:00:00,7.4,61,0.00,180,10.00,29.26,23.7,1005.47,1007.87,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,31.5,07-10-2019,16:00:00,9.3,67,0.00,240,10.00,31.06,24.7,1007.39,1007.90,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,31.5,07-10-2019,16:00:00,5.6,60,0.00,180,12.00,27.96,22.9,1002.37,1007.45,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,32.0,07-10-2019,16:00:00,0.0,65,0.00,000,10.00,30.94,24.6,1007.32,1007.72,13.10
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,31.7,07-10-2019,16:00:00,5.6,67,0.00,220,8.00,31.47,24.9,1005.52,1008.25,27.20
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,34.2,07-10-2019,16:00:00,3.7,50,0.00,360,10.00,26.85,22.3,1005.93,1006.70,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,31.4,07-10-2019,16:00:00,5.6,74,0.00,260,8.00,33.78,26.1,1006.55,1007.00,4.10
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,32.6,07-10-2019,16:00:00,0.0,57,0.00,000,10.00,28.17,23.0,1007.09,1007.76,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,32.2,07-10-2019,16:00:00,3.7,59,0.00,270,10.00,28.50,23.2,1006.41,1007.91,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,32.1,07-10-2019,16:00:00,9.3,63,0.00,280,10.00,29.99,24.1,1008.04,1008.95,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,31.7,07-10-2019,16:00:00,0.0,69,0.00,000,10.00,32.35,25.4,1008.25,1008.93,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,33.2,07-10-2019,16:00:00,0.0,69,0.00,000,10.00,35.33,26.8,1006.71,1007.49,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,32.2,07-10-2019,16:00:00,0.0,64,0.00,000,8.00,30.77,24.5,1006.97,1007.59,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,33.5,07-10-2019,16:00:00,7.4,55,0.00,130,10.00,28.56,23.3,1007.35,1007.75,0.01
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.0,07-10-2019,16:00:00,5.6,88,37.70,170,5.00,26.25,21.9,1006.16,1010.43,37.70
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,31.0,07-10-2019,16:00:00,0.0,65,0.00,000,12.00,29.20,23.6,1005.85,1007.44,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,34.4,07-10-2019,16:00:00,0.0,57,0.00,000,12.00,31.01,24.6,1004.58,1007.97,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,32.5,07-10-2019,16:00:00,5.6,57,0.00,290,10.00,27.69,22.8,1006.06,1007.39,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,31.5,07-10-2019,16:00:00,7.4,69,0.00,300,10.00,31.93,25.1,1007.28,1008.15,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,32.4,07-10-2019,16:00:00,9.3,63,0.00,210,10.00,30.61,24.4,1004.66,1008.16,1.50
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,30.9,07-10-2019,16:00:00,7.4,62,0.00,290,10.00,27.90,22.9,1007.83,1008.26,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,31.6,07-10-2019,16:00:00,5.6,69,6.40,260,10.00,32.14,25.2,1007.37,1008.35,6.40
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,32.2,07-10-2019,16:00:00,11.1,63,0.00,210,10.00,30.48,24.4,1007.32,1008.12,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,32.6,07-10-2019,16:00:00,13.0,57,0.00,220,13.00,27.89,22.9,1005.77,1007.55,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,31.7,07-10-2019,16:00:00,7.4,65,0.00,070,12.00,30.32,24.3,1006.90,1007.64,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,27.2,07-10-2019,16:00:00,22.2,87,0.60,050,9.00,31.49,24.9,1003.98,1007.97,0.60
48570,SATUN,สตูล,สตูล,6.65000,100.08333,33.3,07-10-2019,16:00:00,0.0,60,0.00,000,10.00,30.45,24.3,1006.92,1007.59,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,27.2,07-10-2019,16:00:00,7.4,84,4.20,250,10.00,30.39,24.3,1005.85,1006.97,4.20
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,33.2,07-10-2019,16:00:00,9.3,57,0.00,270,10.00,29.09,23.6,1004.42,1007.28,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,33.2,07-10-2019,16:00:00,18.5,65,0.00,010,10.00,32.89,25.6,1007.23,1007.90,1.80
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,34.5,07-10-2019,16:00:00,0.0,53,0.00,000,10.00,28.88,23.5,1003.46,1007.48,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,32.0,07-10-2019,16:00:00,0.0,60,0.00,000,12.00,28.66,23.3,1007.23,1007.81,0.00
