WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,WindDirection,VaporPressure,MaximumTemperature,WindSpeed,Rainfall,Rainfall24Hr,DewPoint,LandVisibility,RelativeHumidity,AirTemperature,MeanSeaLevelPressure
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1001.12,08-01-2019,19:00:00,190,26.39,32.1,1.9,0.00,16.80,22.0,10.00,68,28.5,1006.25
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1006.53,08-01-2019,19:00:00,000,27.24,31.7,0.0,0.00,27.30,22.5,7.00,72,28.1,1006.95
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1004.68,08-01-2019,19:00:00,000,32.36,32.0,0.0,0.00,34.10,25.4,8.00,88,27.5,1007.44
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1006.75,08-01-2019,19:00:00,000,26.58,30.0,0.0,0.20,9.20,22.1,6.00,75,27.0,1007.54
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1006.91,08-01-2019,19:00:00,310,29.25,30.6,3.7,0.00,35.00,23.7,6.00,79,27.6,1007.37
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1007.13,08-01-2019,19:00:00,280,30.56,31.8,3.7,0.00,0.80,24.4,8.00,81,28.0,1007.81
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1006.18,08-01-2019,19:00:00,310,29.03,32.2,3.7,0.00,4.20,23.5,6.00,76,28.2,1007.70
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.03,08-01-2019,19:00:00,240,31.85,32.0,3.7,1.60,9.80,25.1,7.00,89,27.1,1008.95
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1007.36,08-01-2019,19:00:00,300,30.31,34.0,9.3,0.00,0.00,24.3,10.00,71,30.0,1008.04
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1007.72,08-01-2019,19:00:00,340,29.43,34.8,3.7,0.00,0.00,23.8,10.00,75,28.7,1008.52
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.83,08-01-2019,19:00:00,000,32.36,35.1,0.0,2.10,5.70,25.4,10.00,88,27.5,1008.47
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.32,08-01-2019,19:00:00,000,32.07,34.4,0.0,0.00,1.10,25.2,10.00,84,28.2,1008.72
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1005.81,08-01-2019,19:00:00,240,26.93,34.0,9.3,0.00,0.00,22.3,5.00,63,30.1,1009.99
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1007.28,08-01-2019,19:00:00,000,28.68,33.5,0.0,0.00,1.40,23.3,8.00,75,28.3,1008.89
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1005.60,08-01-2019,19:00:00,000,31.62,33.5,0.0,0.90,0.90,25.0,10.00,82,28.4,1009.06
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1007.13,08-01-2019,19:00:00,000,33.58,33.3,0.0,0.00,6.50,26.0,8.00,92,27.4,1008.48
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.06,08-01-2019,19:00:00,270,31.65,32.5,14.8,0.00,7.90,25.0,10.00,77,29.4,1008.94
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1005.19,08-01-2019,19:00:00,190,28.35,32.7,5.6,0.00,0.00,23.2,10.00,72,28.7,1008.74
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.91,08-01-2019,19:00:00,000,29.89,34.5,0.0,0.00,0.00,24.0,10.00,68,30.5,1009.35
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1007.55,08-01-2019,19:00:00,230,31.97,32.9,11.1,0.00,0.00,25.2,10.00,74,30.4,1008.53
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.71,08-01-2019,19:00:00,260,30.63,31.7,25.9,0.00,0.00,24.4,10.00,74,29.6,1009.52
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1007.14,08-01-2019,19:00:00,230,33.99,33.5,9.3,0.00,0.00,26.2,10.00,85,29.0,1008.94
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.43,08-01-2019,19:00:00,160,29.41,33.5,3.7,0.00,0.70,23.8,10.00,72,29.4,1009.18
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1005.58,08-01-2019,19:00:00,230,28.97,32.5,5.6,0.00,2.00,23.5,10.00,74,28.6,1009.57
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1008.88,08-01-2019,19:00:00,000,31.29,31.0,0.0,0.00,5.40,24.8,10.00,79,28.8,1009.56
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.66,08-01-2019,19:00:00,000,29.91,32.5,0.0,0.00,0.20,24.0,10.00,71,29.8,1009.77
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1006.56,08-01-2019,19:00:00,260,32.26,31.2,3.7,0.00,0.00,25.3,10.00,81,29.0,1009.47
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1007.69,08-01-2019,19:00:00,190,34.46,34.4,5.6,0.00,0.00,26.4,10.00,84,29.5,1008.37
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1005.12,08-01-2019,19:00:00,240,27.32,34.0,7.4,3.40,3.40,22.5,8.00,72,28.0,1009.24
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1008.30,08-01-2019,19:00:00,000,30.56,33.8,0.0,0.10,0.10,24.4,8.00,81,28.0,1008.89
