WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,Rainfall,RelativeHumidity,Rainfall24Hr,DewPoint,AirTemperature,WindDirection,LandVisibility,MeanSeaLevelPressure,WindSpeed,StationPressure
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,29.07,07-17-2019,10:00:00,0.00,63,0.00,23.6,31.5,000,10.00,1003.77,0.0,996.60
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,33.40,07-17-2019,10:00:00,0.00,72,1.80,25.9,31.5,180,15.00,1003.49,3.7,983.96
48353,LOEI,เลย,เลย,17.45000,101.73333,31.13,07-17-2019,10:00:00,0.00,78,11.60,24.7,29.0,030,15.00,1004.18,5.6,975.84
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,30.36,07-17-2019,10:00:00,0.00,64,0.00,24.3,32.0,200,15.00,1003.99,3.7,984.22
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,31.44,07-17-2019,10:00:00,0.00,63,0.00,24.9,32.8,140,15.00,1004.17,3.7,982.92
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,31.15,07-17-2019,10:00:00,0.00,63,0.00,24.7,32.8,200,15.00,1004.01,9.3,984.96
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,32.28,07-17-2019,10:00:00,0.00,66,0.00,25.3,32.5,100,12.00,1004.64,7.4,988.24
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,35.41,07-17-2019,10:00:00,0.00,70,0.00,26.9,33.1,090,12.00,1004.55,3.7,987.54
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,30.90,07-17-2019,10:00:00,0.00,69,10.60,24.6,31.0,000,13.00,1003.30,0.0,977.97
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,27.22,07-17-2019,10:00:00,0.00,56,0.00,22.5,32.4,000,10.00,1004.62,0.0,998.95
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,30.08,07-17-2019,10:00:00,0.00,63,1.00,24.1,32.0,000,10.00,1006.56,0.0,1000.47
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,29.06,07-17-2019,10:00:00,0.00,60,0.00,23.6,32.2,000,10.00,1004.53,0.0,988.41
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,30.15,07-17-2019,10:00:00,0.00,78,8.50,24.2,28.5,000,10.00,1003.61,0.0,981.48
48376,TAK,ตาก,ตาก,16.87833,99.14333,26.65,07-17-2019,10:00:00,0.00,59,1.00,22.1,31.1,270,9.00,1004.80,14.8,990.64
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,27.15,07-17-2019,10:00:00,0.00,52,0.00,22.4,33.5,250,12.00,1003.92,7.4,987.93
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,30.24,07-17-2019,10:00:00,0.00,62,0.00,24.2,32.5,130,12.00,1004.33,5.6,999.21
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,31.11,07-17-2019,10:00:00,0.00,64,0.00,24.7,32.5,000,12.00,1003.20,0.0,990.29
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,26.51,07-17-2019,10:00:00,0.00,57,0.00,22.0,31.6,230,12.00,1004.57,3.7,995.41
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,29.88,07-17-2019,10:00:00,0.00,66,6.40,24.0,31.2,210,10.00,1004.20,5.6,982.87
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,29.26,07-17-2019,10:00:00,0.00,61,5.80,23.7,32.3,210,12.00,1004.29,9.3,987.14
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,31.35,07-17-2019,10:00:00,0.00,65,0.00,24.8,32.2,230,12.00,1003.83,5.6,988.32
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,34.54,07-17-2019,10:00:00,0.00,71,1.30,26.5,32.3,200,10.00,1003.24,7.4,984.76
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,25.71,07-17-2019,10:00:00,0.00,64,0.00,21.6,29.0,000,12.00,1005.91,0.0,955.29
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,29.91,07-17-2019,10:00:00,0.00,60,0.00,24.0,32.9,230,12.00,1004.13,3.7,1000.26
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,23.25,07-17-2019,10:00:00,0.00,76,5.80,19.9,24.4,220,8.00,1005.07,18.5,911.03
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,31.44,07-17-2019,10:00:00,0.00,63,0.00,24.9,32.8,160,10.00,1004.17,3.7,988.53
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,30.73,07-17-2019,10:00:00,0.00,68,17.40,24.5,31.2,000,12.00,1004.53,0.0,1000.57
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,28.26,07-17-2019,10:00:00,0.00,64,0.00,23.1,30.8,130,10.00,1005.83,5.6,995.30
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,28.76,07-17-2019,10:00:00,0.00,63,0.00,23.4,31.2,180,13.00,1005.34,5.6,1003.44
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,25.35,07-17-2019,10:00:00,0.00,48,0.00,21.3,34.0,240,12.00,1004.42,11.1,984.09
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,29.66,07-17-2019,10:00:00,0.00,61,0.00,23.9,32.5,190,10.00,1003.97,18.5,986.67
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,31.23,07-17-2019,10:00:00,0.00,63,0.00,24.8,32.7,180,10.00,1003.82,13.0,988.01
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,31.79,07-17-2019,10:00:00,1.90,92,1.90,25.1,26.5,170,10.00,1005.56,7.4,991.53
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,31.80,07-17-2019,10:00:00,2.20,87,2.20,25.1,27.5,150,10.00,1006.36,9.3,991.57
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,32.01,07-17-2019,10:00:00,0.00,75,0.00,25.2,30.0,250,10.00,1006.20,11.1,991.69
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,28.74,07-17-2019,10:00:00,0.00,61,3.70,23.4,31.9,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,1004.29,0.0,1001.33
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,29.67,07-17-2019,10:00:00,0.00,63,0.00,23.9,31.8,080,10.00,1004.71,7.4,996.90
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,28.53,07-17-2019,10:00:00,0.00,64,0.00,23.3,30.8,230,9.00,1005.44,11.1,1004.35
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,31.21,07-17-2019,10:00:00,0.00,78,0.00,24.8,28.9,100,9.00,1003.94,3.7,989.39
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,25.86,07-17-2019,10:00:00,0.00,99,2.80,21.6,21.8,160,8.00,1004.92,7.4,871.17
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,31.93,07-17-2019,10:00:00,0.00,69,0.00,25.1,31.5,190,10.00,1005.07,7.4,999.29
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,33.66,07-17-2019,10:00:00,0.00,67,0.00,26.0,33.0,240,9.00,1005.53,13.0,1004.75
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.93,07-17-2019,10:00:00,0.00,69,0.00,25.1,31.5,230,10.00,1005.50,14.8,1005.06
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,30.31,07-17-2019,10:00:00,0.00,71,0.00,24.3,30.0,000,8.00,1005.84,0.0,994.67
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,27.85,07-17-2019,10:00:00,0.00,58,0.00,22.9,32.3,190,12.00,1005.20,9.3,1004.20
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,27.46,07-17-2019,10:00:00,0.00,61,0.00,22.6,31.1,200,10.00,1005.32,3.7,1003.53
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,27.00,07-17-2019,10:00:00,0.00,57,0.00,22.3,32.0,000,10.00,1004.87,0.0,1004.12
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,27.74,07-17-2019,10:00:00,0.00,58,0.00,22.8,32.1,200,10.00,1005.28,13.0,1004.59
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,30.82,07-17-2019,10:00:00,0.00,61,0.00,24.5,33.2,000,12.00,1005.53,0.0,1004.84
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,28.24,07-17-2019,10:00:00,0.00,56,0.00,23.1,33.2,280,12.00,1004.65,9.3,983.97
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,32.96,07-17-2019,10:00:00,0.00,75,0.00,25.7,30.6,000,10.00,1005.37,0.0,988.88
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,31.47,07-17-2019,10:00:00,0.00,70,0.00,24.9,31.0,180,12.00,1005.95,5.6,989.75
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,30.69,07-17-2019,10:00:00,0.00,61,0.00,24.5,33.0,280,10.00,1004.51,3.7,983.13
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.32,07-17-2019,10:00:00,0.00,60,0.00,21.3,29.8,240,15.00,1005.20,14.8,962.44
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,27.28,07-17-2019,10:00:00,0.00,54,0.00,22.5,33.0,210,10.00,1004.74,9.3,984.62
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,34.55,07-17-2019,10:00:00,0.00,81,0.00,26.5,30.1,200,8.00,1006.59,7.4,985.99
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,29.24,07-17-2019,10:00:00,0.00,64,0.00,23.7,31.3,230,10.00,1005.26,14.8,1004.84
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,33.24,07-17-2019,10:00:00,0.00,71,0.00,25.8,31.7,000,11.00,1005.33,0.0,1003.94
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,33.04,07-17-2019,10:00:00,0.00,68,0.00,25.7,32.3,220,8.00,1005.30,5.6,1000.46
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,27.61,07-17-2019,10:00:00,0.00,56,0.00,22.7,32.6,230,12.00,1004.93,14.8,1001.70
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,30.49,07-17-2019,10:00:00,0.00,66,0.00,24.4,31.5,000,10.00,1005.54,0.0,1004.45
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,29.30,07-17-2019,10:00:00,0.00,60,0.00,23.7,32.6,210,10.00,1005.34,9.3,1005.04
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,29.46,07-17-2019,10:00:00,0.00,61,0.00,23.8,32.4,210,10.00,1005.02,5.6,1004.34
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,29.63,07-17-2019,10:00:00,0.00,64,0.00,23.9,31.5,120,10.00,1005.33,3.7,1004.85
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,28.59,07-17-2019,10:00:00,0.00,62,0.00,23.3,31.4,240,10.00,1005.21,16.7,1003.82
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,29.71,07-17-2019,10:00:00,0.00,71,0.00,23.9,29.7,220,12.00,1005.53,9.3,1003.87
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,29.87,07-17-2019,10:00:00,0.00,63,0.00,24.0,31.9,230,12.00,1007.18,11.1,999.30
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,32.16,07-17-2019,10:00:00,0.00,64,0.00,25.3,33.0,000,10.00,1005.58,0.0,1005.31
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,30.90,07-17-2019,10:00:00,0.00,69,0.00,24.6,31.0,000,12.00,1005.72,0.0,1002.64
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,28.09,07-17-2019,10:00:00,0.00,63,0.00,23.0,31.0,240,12.00,1005.93,14.8,999.09
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,31.19,07-17-2019,10:00:00,0.00,64,0.00,24.7,32.4,340,7.00,1006.00,7.4,1000.50
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,28.66,07-17-2019,10:00:00,0.00,60,0.00,23.3,32.0,230,10.00,1008.16,11.1,998.99
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,29.51,07-17-2019,10:00:00,0.00,62,0.00,23.8,32.0,180,15.00,1005.64,11.1,1004.40
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,29.41,07-17-2019,10:00:00,0.01,72,0.01,23.8,29.4,290,11.00,1005.45,13.0,1005.02
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,26.54,07-17-2019,10:00:00,0.00,64,0.00,22.1,29.6,000,10.00,1006.11,0.0,993.97
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,28.25,07-17-2019,10:00:00,0.00,58,0.00,23.1,32.5,250,10.00,1005.65,5.6,1004.95
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,28.79,07-17-2019,10:00:00,0.00,62,0.00,23.4,31.5,230,10.00,1006.01,14.8,1003.61
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,30.21,07-17-2019,10:00:00,0.00,68,0.00,24.2,30.8,260,12.00,1006.17,14.8,1005.66
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,27.43,07-17-2019,10:00:00,0.00,53,0.00,22.6,33.5,210,12.00,1005.82,5.6,1000.78
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,34.08,07-17-2019,10:00:00,0.60,82,3.70,26.2,29.6,230,8.00,1006.52,7.4,1006.11
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,33.17,07-17-2019,10:00:00,0.00,78,0.00,25.8,30.0,190,8.00,1006.67,3.7,1003.92
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.30,07-17-2019,10:00:00,0.00,68,0.00,23.7,30.2,270,10.00,1007.40,9.3,1006.63
48501,TRAD,ตราด,ตราด,11.76667,102.88333,33.82,07-17-2019,10:00:00,11.50,94,69.90,26.1,27.1,340,7.00,1006.80,5.6,1006.34
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,29.48,07-17-2019,10:00:00,0.00,66,0.00,23.8,31.0,000,8.00,1007.13,0.0,1006.45
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,31.48,07-17-2019,10:00:00,0.00,73,0.00,24.9,30.3,250,10.00,1006.84,3.7,1005.33
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,32.72,07-17-2019,10:00:00,2.10,86,41.50,25.5,28.1,200,9.00,1007.69,5.6,1006.78
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,30.65,07-17-2019,10:00:00,0.00,67,0.00,24.5,31.3,270,12.00,1007.34,5.6,1006.66
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,33.29,07-17-2019,10:00:00,0.00,78,13.20,25.8,30.2,240,10.00,1007.77,7.4,1006.99
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,29.87,07-17-2019,10:00:00,0.00,63,13.70,24.0,31.9,150,12.00,1007.27,5.6,1006.64
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,32.99,07-17-2019,10:00:00,0.00,69,10.10,25.7,32.0,230,10.00,1007.58,7.4,1007.19
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,30.03,07-17-2019,10:00:00,0.00,71,15.40,24.1,30.0,210,7.00,1009.34,9.3,1005.16
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,30.60,07-17-2019,10:00:00,0.00,75,4.60,24.4,29.3,000,12.00,1008.02,0.0,1006.43
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,32.01,07-17-2019,10:00:00,0.00,75,17.10,25.2,30.0,110,10.00,1008.23,9.3,1004.79
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,29.73,07-17-2019,10:00:00,0.00,67,0.40,23.9,30.7,000,10.00,1007.96,0.0,1006.62
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,34.80,07-17-2019,10:00:00,0.60,83,62.40,26.6,29.8,240,10.00,1007.55,11.1,1006.67
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,31.62,07-17-2019,10:00:00,0.00,82,35.00,25.0,28.4,160,10.00,1008.06,9.3,1004.51
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,32.75,07-17-2019,10:00:00,0.60,75,79.80,25.6,30.5,000,10.00,1007.44,0.0,1007.01
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,33.22,07-17-2019,10:00:00,0.00,74,40.60,25.8,31.0,000,10.00,1007.15,0.0,1006.17
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,32.16,07-17-2019,10:00:00,3.80,88,100.40,25.3,27.4,270,10.00,1008.26,16.7,1007.45
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,32.55,07-17-2019,10:00:00,0.00,81,28.10,25.5,29.0,170,10.00,1008.36,7.4,1006.56
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,29.22,07-17-2019,10:00:00,0.00,68,0.20,23.7,30.3,280,11.00,1008.76,9.3,1008.02
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,29.88,07-17-2019,10:00:00,0.00,72,23.80,24.0,29.5,230,10.00,1008.36,11.1,1004.39
48570,SATUN,สตูล,สตูล,6.65000,100.08333,32.75,07-17-2019,10:00:00,0.20,78,39.60,25.6,29.8,000,10.00,1009.68,0.0,1009.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,31.03,07-17-2019,10:00:00,0.00,71,0.60,24.7,30.5,000,12.00,1008.68,0.0,1007.57
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,32.26,07-17-2019,10:00:00,0.00,74,0.01,25.3,30.4,260,12.00,1008.45,9.3,1005.56
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,29.17,07-17-2019,10:00:00,0.00,66,13.70,23.6,30.7,190,14.00,1007.68,13.0,1007.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,28.37,07-17-2019,10:00:00,0.00,67,0.00,23.2,30.0,230,10.00,1008.59,13.0,1004.50
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,25.39,07-17-2019,10:00:00,0.00,57,0.00,21.3,31.0,180,12.00,1008.78,5.6,1008.19
