WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,DewPoint,MinimumTemperature,WindSpeed,VaporPressure,MeanSeaLevelPressure,WindDirection,AirTemperature,Rainfall,LandVisibility,RelativeHumidity,StationPressure
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,3.60,08-25-2019,07:00:00,23.8,24.4,0.0,29.41,1006.61,000,24.5,0.00,10.00,96,972.88
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,4.50,08-25-2019,07:00:00,24.7,24.6,0.0,31.12,1006.64,000,25.0,0.00,10.00,98,988.05
48331,NAN,น่าน,น่าน,18.77972,100.77778,3.40,08-25-2019,07:00:00,24.6,24.6,0.0,30.87,1007.35,000,25.3,0.00,10.00,96,984.44
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,17.90,08-25-2019,07:00:00,23.7,24.0,0.0,29.33,1007.13,000,24.6,0.00,7.00,95,977.08
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.40,08-25-2019,07:00:00,22.2,24.0,0.0,26.75,1006.61,000,24.0,0.00,6.00,90,970.87
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1.20,08-25-2019,07:00:00,24.0,24.2,0.0,29.92,1005.61,000,24.2,0.70,12.00,99,975.73
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1.60,08-25-2019,07:00:00,24.6,25.9,0.0,30.84,1006.55,000,26.0,1.60,6.00,92,999.23
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,2.80,08-25-2019,07:00:00,25.3,25.7,0.0,32.23,1006.02,000,26.3,0.00,10.00,94,986.11
48353,LOEI,เลย,เลย,17.45000,101.73333,1.20,08-25-2019,07:00:00,23.8,24.7,0.0,29.52,1006.22,000,25.0,0.50,10.00,93,977.44
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,44.70,08-25-2019,07:00:00,24.1,24.2,3.7,30.05,1006.06,310,25.0,0.10,12.00,95,985.79
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,4.10,08-25-2019,07:00:00,23.9,24.3,0.0,29.70,1006.68,000,25.1,0.00,10.00,93,984.84
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,11.10,08-25-2019,07:00:00,24.6,24.4,0.0,30.85,1006.38,000,25.0,1.30,10.00,97,986.79
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,51.90,08-25-2019,07:00:00,23.8,23.9,0.0,29.52,1006.39,000,25.0,0.00,12.00,93,989.55
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,29.90,08-25-2019,07:00:00,23.8,23.0,0.0,29.41,1006.65,000,24.5,0.00,10.00,96,989.11
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,26.00,08-25-2019,07:00:00,24.0,23.2,3.7,29.79,1005.34,250,25.0,2.00,12.00,94,979.46
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,3.30,08-25-2019,07:00:00,25.5,23.4,5.6,32.65,1007.03,150,25.8,0.00,8.00,98,1001.22
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,12.20,08-25-2019,07:00:00,25.0,24.9,0.0,31.77,1006.89,000,25.2,0.00,8.00,99,1000.66
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,20.40,08-25-2019,07:00:00,23.5,24.2,0.0,28.89,1007.04,000,24.5,0.00,10.00,94,990.47
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,15.60,08-25-2019,07:00:00,23.8,23.8,0.0,29.41,1005.57,000,24.5,0.00,10.00,96,983.11
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,08-25-2019,07:00:00,23.8,24.7,0.0,29.54,1007.14,000,25.3,0.00,8.00,92,992.67
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1.80,08-25-2019,07:00:00,23.8,24.0,0.0,29.41,1006.81,000,24.5,0.00,7.00,96,990.29
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,29.80,08-25-2019,07:00:00,24.3,24.0,0.0,30.40,1006.88,000,24.9,0.00,10.00,97,1001.61
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,14.80,08-25-2019,07:00:00,23.8,24.1,0.0,29.49,1005.48,000,24.4,0.00,10.00,97,992.19
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,26.50,08-25-2019,07:00:00,24.9,24.2,0.0,31.49,1006.85,000,25.2,0.00,10.00,98,997.48
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10.80,08-25-2019,07:00:00,23.8,24.4,3.7,29.41,1006.44,320,24.5,1.60,10.00,96,984.59
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,16.70,08-25-2019,07:00:00,24.3,24.6,0.0,30.32,1006.10,000,25.0,0.00,10.00,96,988.50
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,88.50,08-25-2019,07:00:00,23.9,23.5,0.0,29.67,1005.87,000,24.5,0.00,10.00,97,989.92
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,8.50,08-25-2019,07:00:00,24.2,24.9,0.0,30.23,1005.28,000,25.1,1.20,8.00,95,986.32
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1.50,08-25-2019,07:00:00,21.9,21.5,0.0,26.33,1006.99,000,23.0,0.00,7.00,94,955.32
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,17.70,08-25-2019,07:00:00,24.4,24.0,5.6,30.50,1006.55,100,25.1,0.00,9.00,96,1002.57
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,4.80,08-25-2019,07:00:00,20.0,20.1,7.4,23.33,1007.42,200,20.6,0.00,6.00,96,912.01
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,28.70,08-25-2019,07:00:00,24.9,24.3,0.0,31.49,1006.37,000,25.2,0.00,8.00,98,990.30
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,4.30,08-25-2019,07:00:00,25.3,25.4,0.0,32.20,1006.17,000,26.0,0.00,4.00,96,1002.13
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,18.60,08-25-2019,07:00:00,24.8,25.0,0.0,31.33,1007.81,000,25.4,0.00,7.00,97,997.07
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,3.40,08-25-2019,07:00:00,24.8,25.4,5.6,31.27,1005.59,150,25.8,0.00,6.00,94,1003.66
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,7.10,08-25-2019,07:00:00,23.4,23.4,0.0,28.79,1006.75,000,24.3,1.00,10.00,95,985.71
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,38.40,08-25-2019,07:00:00,24.3,23.5,9.3,30.32,1006.59,220,25.0,1.00,10.00,96,988.82
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,43.50,08-25-2019,07:00:00,24.6,24.3,0.0,31.02,1006.03,000,24.8,1.50,10.00,99,989.77
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,23.80,08-25-2019,07:00:00,24.1,24.4,0.0,30.05,1007.07,000,25.0,1.80,9.00,95,992.95
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,18.60,08-25-2019,07:00:00,24.1,23.9,0.0,30.03,1007.63,000,24.7,1.00,8.00,97,992.68
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,37.00,08-25-2019,07:00:00,24.2,23.5,7.4,30.28,1008.13,230,24.4,18.90,2.00,99,993.32
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,3.50,08-25-2019,07:00:00,25.8,25.7,0.0,33.27,1006.24,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",26.4,0.10,10.00,97,1003.22
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,161.00,08-25-2019,07:00:00,24.0,23.7,0.0,29.77,1006.94,000,24.7,0.00,10.00,96,998.93
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1.20,08-25-2019,07:00:00,24.1,25.0,3.7,29.93,1006.63,180,25.8,0.00,7.00,90,1005.51
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,39.00,08-25-2019,07:00:00,23.2,24.6,3.7,28.34,1005.12,100,25.8,1.20,7.00,85,990.41
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.20,08-25-2019,07:00:00,18.9,18.6,1.9,21.87,1008.84,230,19.1,0.00,.10,99,873.44
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,29.00,08-25-2019,07:00:00,25.1,24.4,0.0,31.79,1007.40,000,25.5,0.10,6.00,97,1001.49
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,08-25-2019,07:00:00,25.1,26.5,7.4,31.85,1007.10,230,27.1,0.00,8.00,89,1006.30
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.40,08-25-2019,07:00:00,23.6,28.1,14.8,29.05,1007.00,210,28.5,0.00,10.00,75,1006.56
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,7.40,08-25-2019,07:00:00,23.8,24.0,0.0,29.41,1007.73,000,24.5,0.00,3.00,96,996.33
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,08-25-2019,07:00:00,23.9,25.5,0.0,29.62,1007.18,000,26.5,0.00,12.00,86,1006.17
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1.90,08-25-2019,07:00:00,24.5,25.5,0.0,30.81,1007.12,000,25.7,0.00,7.00,93,1005.29
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,4.60,08-25-2019,07:00:00,24.0,24.6,0.0,29.82,1008.64,000,25.6,0.00,7.00,91,1007.87
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.10,08-25-2019,07:00:00,24.0,25.9,7.4,29.83,1007.71,220,26.9,0.00,10.00,84,1007.01
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,9.60,08-25-2019,07:00:00,25.6,25.7,0.0,32.77,1007.46,000,27.0,0.00,7.00,92,1006.75
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.90,08-25-2019,07:00:00,24.1,24.8,0.0,30.09,1007.34,000,25.6,0.10,10.00,92,986.08
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,51.90,08-25-2019,07:00:00,24.2,23.3,0.0,30.12,1007.31,000,24.6,8.70,6.00,97,990.45
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,58.70,08-25-2019,07:00:00,24.2,23.3,3.7,30.20,1007.40,190,24.5,8.80,5.00,98,990.83
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.01,08-25-2019,07:00:00,23.9,25.1,0.0,29.58,1006.92,000,25.9,0.00,10.00,89,984.99
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.60,08-25-2019,07:00:00,23.4,23.1,0.0,28.77,1007.88,000,23.7,0.01,8.00,98,964.14
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,14.00,08-25-2019,07:00:00,24.3,24.6,0.0,30.42,1006.95,000,25.2,0.20,8.00,95,986.27
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,8.40,08-25-2019,07:00:00,24.7,23.7,13.0,31.10,1008.38,210,24.7,1.20,7.00,100,987.38
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,08-25-2019,07:00:00,23.9,26.8,3.7,29.60,1007.60,220,27.5,0.00,10.00,81,1007.17
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,3.50,08-25-2019,07:00:00,25.3,25.2,0.0,32.20,1007.13,000,26.0,0.00,8.00,96,1005.70
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,37.90,08-25-2019,07:00:00,25.1,24.8,0.0,31.79,1007.17,000,25.5,0.00,7.00,97,1002.21
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.01,08-25-2019,07:00:00,23.6,24.1,3.7,29.13,1007.27,220,25.8,0.00,12.00,88,1003.97
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.01,08-25-2019,07:00:00,24.6,25.2,0.0,31.00,1007.36,000,25.8,0.00,10.00,93,1006.25
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1.10,08-25-2019,07:00:00,23.9,26.5,7.4,29.60,1007.38,220,27.5,0.00,10.00,81,1007.08
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,08-25-2019,07:00:00,23.9,27.4,5.6,29.71,1007.19,210,27.7,0.00,10.00,80,1006.50
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,08-25-2019,07:00:00,24.6,27.5,0.0,30.97,1007.10,000,27.5,0.00,10.00,84,1006.61
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,3.60,08-25-2019,07:00:00,24.6,26.5,9.3,30.97,1007.53,220,27.5,0.00,10.00,84,1006.12
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,08-25-2019,07:00:00,26.3,27.8,18.5,34.15,1007.48,210,28.8,0.00,10.00,86,1005.81
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,2.90,08-25-2019,07:00:00,23.6,24.7,0.0,29.16,1009.46,000,24.8,0.00,10.00,93,1001.37
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,6.50,08-25-2019,07:00:00,23.9,26.7,0.0,29.60,1007.52,000,27.5,0.00,10.00,81,1007.23
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-25-2019,07:00:00,24.2,27.5,5.6,30.15,1007.42,250,28.5,0.00,10.00,78,1004.31
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.20,08-25-2019,07:00:00,24.7,26.9,0.0,31.16,1007.63,000,27.6,0.00,10.00,84,1000.70
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,7.10,08-25-2019,07:00:00,25.2,24.9,3.7,32.04,1007.45,270,26.2,0.00,7.00,94,1001.84
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,08-25-2019,07:00:00,23.8,27.9,0.0,29.43,1007.90,000,28.7,0.00,10.00,75,998.63
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,08-25-2019,07:00:00,24.3,25.3,0.0,30.36,1008.33,000,25.6,0.00,14.00,93,1007.06
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.01,08-25-2019,07:00:00,23.2,26.2,18.5,28.49,1007.58,210,26.9,0.00,11.00,80,1007.15
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1.50,08-25-2019,07:00:00,23.5,23.7,0.0,28.88,1008.13,000,24.2,1.20,9.00,96,995.74
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,08-25-2019,07:00:00,24.1,26.1,3.7,30.07,1007.69,210,26.6,0.00,10.00,86,1006.97
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,3.50,08-25-2019,07:00:00,24.3,25.3,5.6,30.34,1008.75,220,26.6,0.00,10.00,87,1006.31
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.40,08-25-2019,07:00:00,24.3,28.0,9.3,30.31,1008.61,250,28.3,0.00,8.00,79,1008.09
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1.80,08-25-2019,07:00:00,24.4,25.6,0.0,30.51,1007.87,000,26.4,0.00,9.00,89,1002.70
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,47.50,08-25-2019,07:00:00,25.4,25.1,0.0,32.40,1008.30,000,26.1,0.00,7.00,96,1007.89
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,10.00,08-25-2019,07:00:00,25.2,24.7,0.0,32.07,1008.66,000,25.5,1.00,8.00,98,1005.87
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.40,08-25-2019,07:00:00,23.2,25.0,5.6,28.42,1009.66,270,25.7,0.20,10.00,86,1008.87
48501,TRAD,ตราด,ตราด,11.76667,102.88333,8.00,08-25-2019,07:00:00,24.9,25.6,7.4,31.52,1008.75,260,26.5,0.20,6.00,91,1008.29
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,5.10,08-25-2019,07:00:00,23.6,24.0,0.0,29.04,1010.40,000,24.0,5.00,7.00,97,1009.71
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,4.00,08-25-2019,07:00:00,23.5,24.4,0.0,28.97,1009.94,000,24.4,2.80,7.00,95,1008.40
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,59.20,08-25-2019,07:00:00,22.1,23.4,11.1,26.66,1011.34,180,23.5,20.40,6.00,92,1010.41
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-25-2019,07:00:00,23.1,25.5,9.3,28.23,1009.72,270,26.9,0.00,10.00,80,1009.03
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.80,08-25-2019,07:00:00,23.4,23.9,3.7,28.78,1010.68,190,24.0,0.10,8.00,97,1009.87
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.40,08-25-2019,07:00:00,23.8,25.0,0.0,29.50,1009.28,000,26.0,0.00,10.00,88,1008.65
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.90,08-25-2019,07:00:00,22.6,25.0,7.4,27.47,1009.83,230,25.6,0.00,10.00,84,1009.42
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.10,08-25-2019,07:00:00,22.2,23.8,0.0,26.78,1011.97,000,25.2,0.00,7.00,84,1007.72
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,6.60,08-25-2019,07:00:00,23.6,23.2,0.0,29.12,1010.67,000,23.9,5.50,4.00,98,1009.04
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,5.70,08-25-2019,07:00:00,23.3,23.8,0.0,28.53,1011.07,000,24.0,0.00,8.00,96,1007.54
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.20,08-25-2019,07:00:00,22.0,25.0,0.0,26.37,1010.38,000,25.7,0.00,8.00,80,1009.01
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,18.80,08-25-2019,07:00:00,24.0,22.8,18.5,29.85,1010.24,240,27.2,0.00,10.00,83,1009.35
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,12.40,08-25-2019,07:00:00,23.2,22.0,0.0,28.34,1011.01,000,23.6,0.40,10.00,97,1007.39
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,18.60,08-25-2019,07:00:00,23.4,25.0,0.0,28.83,1010.28,000,25.2,8.00,8.00,90,1009.84
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,17.50,08-25-2019,07:00:00,24.4,23.3,11.1,30.51,1010.08,240,26.4,4.80,5.00,89,1009.09
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.00,08-25-2019,07:00:00,22.5,24.6,40.7,27.19,1010.45,260,24.7,2.00,9.00,87,1009.63
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,12.90,08-25-2019,07:00:00,23.6,23.8,0.0,29.04,1010.38,000,24.0,5.70,8.00,97,1008.54
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,08-25-2019,07:00:00,23.4,25.2,7.4,28.78,1011.21,210,25.9,0.00,10.00,86,1010.46
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,3.40,08-25-2019,07:00:00,23.8,23.8,3.7,29.41,1011.49,990,24.5,0.80,10.00,96,1007.45
48570,SATUN,สตูล,สตูล,6.65000,100.08333,26.10,08-25-2019,07:00:00,23.3,23.0,0.0,28.53,1012.55,000,24.0,18.40,6.00,96,1011.86
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,3.20,08-25-2019,07:00:00,23.6,24.6,5.6,29.08,1010.87,230,24.9,0.20,9.00,92,1009.75
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,8.00,08-25-2019,07:00:00,23.8,23.1,0.0,29.41,1011.93,000,24.5,0.10,8.00,96,1008.97
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,08-25-2019,07:00:00,23.7,24.1,0.0,29.26,1010.42,000,25.0,0.00,10.00,92,1009.72
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,08-25-2019,07:00:00,22.7,24.0,0.0,27.60,1011.71,000,24.5,0.00,6.00,90,1007.54
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,5.60,08-25-2019,07:00:00,22.8,.0,0.0,27.78,1010.70,000,24.6,0.00,8.00,90,1010.11
