WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,MeanSeaLevelPressure,Rainfall,WindDirection,RelativeHumidity,StationPressure,LandVisibility,Rainfall24Hr,DewPoint,WindSpeed,VaporPressure
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,24.6,09-23-2019,04:00:00,1011.10,15.40,120,95,1010.65,8.00,58.10,23.7,5.6,29.33
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.3,09-23-2019,04:00:00,1011.59,0.00,000,96,1000.13,3.00,25.50,23.6,0.0,29.05
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,25.4,09-23-2019,04:00:00,1012.00,0.20,080,97,1010.98,10.00,5.40,24.8,3.7,31.33
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,26.1,09-23-2019,04:00:00,1011.74,0.00,070,79,1009.91,7.00,2.40,22.1,5.6,26.55
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,25.0,09-23-2019,04:00:00,1010.78,0.70,000,97,1010.01,3.00,33.50,24.4,0.0,30.58
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.4,09-23-2019,04:00:00,1011.56,5.80,080,94,1010.85,8.00,8.20,23.4,3.7,28.71
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.0,09-23-2019,04:00:00,1011.27,0.00,100,94,1010.56,7.00,37.20,24.0,3.7,29.79
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,23.8,09-23-2019,04:00:00,1012.82,3.20,000,98,991.32,6.00,29.70,23.5,0.0,28.95
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,23.4,09-23-2019,04:00:00,1012.97,18.80,000,96,995.95,5.00,35.00,22.8,0.0,27.75
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,23.5,09-23-2019,04:00:00,1013.28,14.30,090,94,996.56,4.00,36.90,22.4,3.7,27.16
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,23.3,09-23-2019,04:00:00,1012.77,25.40,000,97,990.52,4.00,26.80,22.8,0.0,27.83
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,22.5,09-23-2019,04:00:00,1012.53,0.10,070,96,968.41,6.00,0.60,21.9,11.1,26.25
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,23.2,09-23-2019,04:00:00,1012.58,16.40,060,96,991.65,3.00,38.80,22.4,7.4,27.16
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,23.6,09-23-2019,04:00:00,1014.63,0.00,110,100,993.43,7.00,3.40,23.6,5.6,29.11
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,24.1,09-23-2019,04:00:00,1010.66,10.70,250,97,1010.22,8.00,113.00,23.5,9.3,28.96
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,24.4,09-23-2019,04:00:00,1011.72,0.00,000,97,1010.29,6.00,21.80,23.8,0.0,29.49
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,24.2,09-23-2019,04:00:00,1011.77,0.00,000,98,1006.77,7.00,10.50,23.9,0.0,29.66
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,24.6,09-23-2019,04:00:00,1010.78,0.60,000,96,1007.45,2.00,19.50,23.9,0.0,29.59
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.7,09-23-2019,04:00:00,1010.60,5.00,120,99,1009.48,2.00,12.40,24.5,3.7,30.83
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,24.7,09-23-2019,04:00:00,1010.96,5.60,000,96,1010.66,8.00,13.60,24.0,0.0,29.77
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,24.7,09-23-2019,04:00:00,1010.97,0.20,000,97,1010.48,10.00,4.30,24.1,0.0,30.03
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,24.3,09-23-2019,04:00:00,1011.18,6.60,100,100,1009.75,6.00,22.20,24.3,9.3,30.36
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,23.8,09-23-2019,04:00:00,1012.75,1.20,000,98,1004.61,6.00,9.20,23.5,0.0,28.95
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.0,09-23-2019,04:00:00,1011.08,4.50,000,98,1010.79,8.00,54.10,24.7,0.0,31.12
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,27.0,09-23-2019,04:00:00,1010.97,0.00,000,92,1007.82,10.00,28.00,25.6,0.0,32.77
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,24.5,09-23-2019,04:00:00,1011.20,1.80,000,96,1004.17,10.00,5.20,23.8,0.0,29.41
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,24.5,09-23-2019,04:00:00,1012.09,0.40,000,97,1006.41,8.00,100.30,23.9,0.0,29.67
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,23.6,09-23-2019,04:00:00,1011.52,25.10,240,98,1010.24,3.00,108.20,23.3,14.8,28.60
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,24.8,09-23-2019,04:00:00,1010.97,1.70,000,96,1010.53,11.00,8.00,24.1,0.0,29.95
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,24.0,09-23-2019,04:00:00,1011.45,2.20,000,97,999.02,8.00,11.90,23.6,0.0,29.04
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,24.7,09-23-2019,04:00:00,1011.00,2.90,000,100,1010.28,8.00,37.70,24.7,0.0,31.10
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,25.3,09-23-2019,04:00:00,1011.46,1.40,000,93,1009.00,7.00,45.70,24.1,0.0,30.07
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,25.2,09-23-2019,04:00:00,1011.40,0.01,130,92,1010.88,10.00,17.20,23.9,3.7,29.62
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,24.5,09-23-2019,04:00:00,1011.17,3.20,000,96,1005.95,7.00,17.10,23.8,0.0,29.41
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,24.0,09-23-2019,04:00:00,1011.36,0.80,030,97,1010.94,7.00,16.40,23.6,5.6,29.04
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,23.8,09-23-2019,04:00:00,1011.61,0.50,000,97,1008.80,8.00,34.00,23.4,0.0,28.69
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,23.9,09-23-2019,04:00:00,1008.42,0.00,000,96,1007.63,10.00,33.10,23.2,0.0,28.35
48501,TRAD,ตราด,ตราด,11.76667,102.88333,24.1,09-23-2019,04:00:00,1011.55,0.00,110,95,1011.09,6.00,8.80,23.2,7.4,28.44
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,25.0,09-23-2019,04:00:00,1010.84,0.00,000,97,1010.15,5.00,19.80,24.4,0.0,30.58
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.2,09-23-2019,04:00:00,1011.00,0.20,000,94,1009.45,7.00,10.20,23.2,0.0,28.36
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,25.5,09-23-2019,04:00:00,1010.26,0.00,000,88,1009.34,10.00,0.00,23.3,0.0,28.59
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.0,09-23-2019,04:00:00,1011.30,0.30,000,96,1010.60,7.00,0.80,24.3,0.0,30.32
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,23.5,09-23-2019,04:00:00,1011.63,1.10,000,97,1010.82,5.00,22.40,23.0,0.0,28.17
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,24.5,09-23-2019,04:00:00,1010.71,0.80,000,97,1010.07,6.00,55.00,23.9,0.0,29.67
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.5,09-23-2019,04:00:00,1011.28,3.80,000,97,1010.87,6.00,3.80,23.9,0.0,29.67
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.5,09-23-2019,04:00:00,1013.34,0.00,000,96,1009.05,5.00,14.00,22.8,0.0,27.66
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.9,09-23-2019,04:00:00,1010.06,0.00,000,97,1008.43,7.00,10.40,23.3,0.0,28.61
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.7,09-23-2019,04:00:00,1010.92,0.01,000,96,1007.39,5.00,2.50,23.1,0.0,28.26
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.2,09-23-2019,04:00:00,1011.23,2.00,160,98,1009.86,5.00,6.00,23.9,3.7,29.66
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,25.0,09-23-2019,04:00:00,1009.91,0.00,000,92,1009.02,10.00,0.00,23.5,0.0,29.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,25.6,09-23-2019,04:00:00,1009.47,0.00,000,93,1009.04,8.00,2.60,24.4,0.0,30.63
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,25.5,09-23-2019,04:00:00,1010.24,0.00,000,91,1009.24,7.00,17.60,23.9,0.0,29.64
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.9,09-23-2019,04:00:00,1009.68,0.00,000,91,1008.86,8.00,5.40,24.3,0.0,30.38
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,25.3,09-23-2019,04:00:00,1010.55,0.80,050,94,1008.72,4.00,32.80,24.3,5.6,30.34
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,24.7,09-23-2019,04:00:00,1011.63,0.30,270,91,1010.87,6.00,9.30,23.1,1.9,28.21
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,25.3,09-23-2019,04:00:00,1011.23,0.01,290,92,1007.20,8.00,0.01,23.8,7.4,29.54
48570,SATUN,สตูล,สตูล,6.65000,100.08333,25.5,09-23-2019,04:00:00,1011.17,0.00,000,96,1010.48,4.00,3.10,24.8,0.0,31.25
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,25.3,09-23-2019,04:00:00,1010.91,0.00,000,93,1009.78,8.00,0.80,24.1,0.0,30.07
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.5,09-23-2019,04:00:00,1010.77,0.00,000,98,1007.82,10.00,8.00,24.2,0.0,30.20
