WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,MeanSeaLevelPressure,LandVisibility,WindSpeed,WindDirection,AirTemperature,VaporPressure,StationPressure,DewPoint,Rainfall,RelativeHumidity
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-08-2019,04:00:00,1006.29,12.00,3.7,210,26.5,30.43,984.56,24.3,0.00,88
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-08-2019,04:00:00,1006.10,11.00,3.7,140,26.5,30.43,986.61,24.3,0.00,88
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1.30,09-08-2019,04:00:00,1006.82,10.00,1.9,090,26.1,31.03,990.04,24.7,0.00,92
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.10,09-08-2019,04:00:00,1006.81,10.00,0.0,000,26.0,31.38,989.36,24.8,0.00,93
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-08-2019,04:00:00,1005.86,10.00,0.0,000,25.5,31.25,980.00,24.8,0.00,96
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-08-2019,04:00:00,1007.12,10.00,0.0,000,27.0,28.94,1001.33,23.5,0.00,81
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-08-2019,04:00:00,1006.50,10.00,0.0,000,27.8,29.90,1000.33,24.0,0.00,80
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-08-2019,04:00:00,1006.93,10.00,0.0,000,24.5,26.84,990.36,22.3,0.00,87
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,8.90,09-08-2019,04:00:00,1008.63,10.00,3.7,220,23.6,26.58,986.03,22.1,0.60,91
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-08-2019,04:00:00,1008.05,10.00,3.7,290,27.5,27.47,993.67,22.6,0.00,75
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-08-2019,04:00:00,1007.37,8.00,0.0,000,25.4,27.38,990.90,22.6,0.00,84
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,44.80,09-08-2019,04:00:00,1007.90,10.00,0.0,000,25.0,30.05,1002.63,24.1,0.00,95
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1.30,09-08-2019,04:00:00,1006.68,10.00,0.0,000,24.5,29.15,993.38,23.6,0.00,95
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,57.00,09-08-2019,04:00:00,1007.54,10.00,0.0,000,25.4,31.87,998.16,25.1,0.00,98
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,6.20,09-08-2019,04:00:00,1006.37,10.00,0.0,000,25.5,31.79,984.59,25.1,0.00,97
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,2.80,09-08-2019,04:00:00,1004.53,10.00,0.0,000,25.5,28.59,986.99,23.3,0.00,88
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1.40,09-08-2019,04:00:00,1005.93,10.00,0.0,000,25.6,31.17,990.04,24.7,0.00,95
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1.60,09-08-2019,04:00:00,1005.50,7.00,3.7,200,26.2,29.86,986.60,24.0,0.00,88
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,5.70,09-08-2019,04:00:00,1010.94,6.00,0.0,000,22.8,25.76,959.03,21.6,0.90,93
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,2.90,09-08-2019,04:00:00,1007.52,5.00,3.7,110,26.1,32.12,1003.54,25.2,0.00,95
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,4.20,09-08-2019,04:00:00,1009.05,1.20,14.8,270,20.7,23.24,913.52,19.9,0.40,95
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,8.40,09-08-2019,04:00:00,1006.51,6.00,5.6,240,26.4,30.24,990.50,24.2,0.00,88
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.01,09-08-2019,04:00:00,1007.98,10.00,0.0,000,26.5,30.43,1003.94,24.3,0.00,88
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,09-08-2019,04:00:00,1008.61,6.00,0.0,000,25.0,28.48,997.85,23.2,0.00,90
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,09-08-2019,04:00:00,1008.34,8.00,7.4,180,26.0,26.88,1006.40,22.3,0.00,80
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-08-2019,04:00:00,1007.35,10.00,14.8,210,25.6,27.99,986.39,22.9,0.00,85
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,5.30,09-08-2019,04:00:00,1006.30,10.00,1.9,260,26.7,29.19,988.63,23.6,0.00,83
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.20,09-08-2019,04:00:00,1006.32,10.00,7.4,230,27.0,29.75,990.18,24.0,0.00,83
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,09-08-2019,04:00:00,1007.57,10.00,0.0,000,26.6,31.44,993.52,24.9,0.00,90
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-08-2019,04:00:00,1007.92,9.00,0.0,000,26.0,31.38,993.03,24.8,0.00,93
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.01,09-08-2019,04:00:00,1007.61,10.00,5.6,240,26.7,32.18,992.92,25.3,0.00,92
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,09-08-2019,04:00:00,1007.50,10.00,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",26.1,29.95,1004.47,24.1,0.00,89
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,6.10,09-08-2019,04:00:00,1007.81,7.00,0.0,000,25.5,30.44,999.81,24.3,0.00,93
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-08-2019,04:00:00,1008.44,8.00,11.1,230,26.8,29.91,1007.33,24.0,0.00,85
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-08-2019,04:00:00,1007.37,8.00,0.0,000,26.6,33.10,992.66,25.7,0.00,95
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.20,09-08-2019,04:00:00,1010.37,.05,13.0,300,18.7,21.54,874.59,18.7,0.00,100
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-08-2019,04:00:00,1007.87,10.00,0.0,000,25.6,29.82,1001.96,24.0,0.00,91
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,09-08-2019,04:00:00,1008.94,9.00,5.6,200,26.2,29.07,1008.14,23.6,0.00,85
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-08-2019,04:00:00,1008.78,10.00,14.8,230,28.0,27.85,1008.33,22.9,0.00,74
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,7.20,09-08-2019,04:00:00,1009.97,4.00,0.0,000,24.6,29.85,998.54,24.0,0.40,97
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-08-2019,04:00:00,1008.95,10.00,3.7,210,26.5,29.08,1007.94,23.6,0.00,84
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,09-08-2019,04:00:00,1008.57,7.00,0.0,000,26.0,28.70,1006.74,23.4,0.00,85
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,09-08-2019,04:00:00,1008.46,7.00,0.0,000,25.5,27.29,1007.69,22.5,0.00,84
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,09-08-2019,04:00:00,1009.06,10.00,7.4,200,25.9,26.97,1008.35,22.3,0.00,81
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,09-08-2019,04:00:00,1008.73,7.00,0.0,000,27.0,31.11,1008.02,24.7,0.00,87
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,09-08-2019,04:00:00,1008.04,10.00,11.1,270,25.7,26.11,986.77,21.8,0.00,79
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1.20,09-08-2019,04:00:00,1007.54,6.00,5.6,240,26.5,29.62,990.79,23.9,0.00,86
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,3.30,09-08-2019,04:00:00,1008.24,6.00,0.0,000,25.8,29.66,991.73,23.9,0.00,89
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,09-08-2019,04:00:00,1008.05,10.00,0.0,000,25.3,27.20,986.05,22.5,0.00,84
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,09-08-2019,04:00:00,1009.00,10.00,11.1,240,25.5,23.55,965.46,20.1,0.00,72
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,09-08-2019,04:00:00,1007.61,10.00,3.7,250,25.8,27.82,986.96,22.8,0.00,84
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,09-08-2019,04:00:00,1009.06,9.00,11.1,230,25.3,27.20,988.09,22.5,0.00,84
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,09-08-2019,04:00:00,1008.68,10.00,5.6,260,27.0,27.88,1008.25,22.9,0.00,78
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,09-08-2019,04:00:00,1008.42,6.00,0.0,000,27.0,30.83,1007.00,24.5,0.00,87
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,09-08-2019,04:00:00,1008.89,7.00,0.0,000,25.8,32.37,1003.93,25.4,0.00,97
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.10,09-08-2019,04:00:00,1008.74,10.00,5.6,250,26.7,27.86,1005.44,22.9,0.00,80
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,09-08-2019,04:00:00,1008.77,10.00,0.0,000,25.2,29.36,1007.66,23.7,0.00,92
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,09-08-2019,04:00:00,1008.90,10.00,0.0,000,27.1,27.80,1008.60,22.8,0.00,78
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,09-08-2019,04:00:00,1009.13,10.00,0.0,000,26.8,31.55,1008.64,24.9,0.00,90
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,09-08-2019,04:00:00,1009.54,10.00,11.1,260,26.8,27.78,1008.13,22.8,0.00,79
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,09-08-2019,04:00:00,1010.32,10.00,0.0,000,25.2,30.96,1002.24,24.6,0.00,97
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-08-2019,04:00:00,1008.48,10.00,0.0,000,28.0,30.56,1008.20,24.4,0.00,81
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-08-2019,04:00:00,1008.62,10.00,5.6,270,28.5,29.33,1005.50,23.7,0.00,75
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,09-08-2019,04:00:00,1008.76,10.00,9.3,240,28.0,31.11,1001.83,24.7,0.00,82
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,09-08-2019,04:00:00,1008.85,10.00,0.0,000,26.0,30.84,1003.22,24.6,0.00,92
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,09-08-2019,04:00:00,1009.92,10.00,3.7,240,25.3,28.75,1008.65,23.4,0.00,89
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,4.20,09-08-2019,04:00:00,1008.79,11.00,0.0,000,26.8,28.04,1008.36,23.0,0.00,80
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-08-2019,04:00:00,1009.60,10.00,0.0,000,24.7,27.95,997.22,22.9,0.00,90
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.30,09-08-2019,04:00:00,1009.41,10.00,3.7,230,27.1,27.01,1008.69,22.4,0.00,75
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,09-08-2019,04:00:00,1009.29,10.00,3.7,240,28.5,27.44,1006.86,22.6,0.00,71
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,09-08-2019,04:00:00,1009.09,10.00,7.4,320,28.7,28.62,1008.57,23.3,0.00,73
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,09-08-2019,04:00:00,1008.73,6.00,1.9,260,26.9,31.19,1003.57,24.7,0.00,88
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,18.30,09-08-2019,04:00:00,1009.01,7.00,0.0,000,26.5,33.19,1008.60,25.8,0.50,96
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.60,09-08-2019,04:00:00,1009.22,8.00,7.4,030,25.8,32.37,1006.43,25.4,0.60,97
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-08-2019,04:00:00,1008.14,10.00,0.0,000,27.1,27.54,1007.36,22.7,0.00,77
48501,TRAD,ตราด,ตราด,11.76667,102.88333,6.80,09-08-2019,04:00:00,1009.53,5.00,9.3,020,26.2,31.76,1009.07,25.0,1.90,93
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,09-08-2019,04:00:00,1009.78,8.00,0.0,000,26.9,30.91,1009.10,24.6,0.00,87
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,09-08-2019,04:00:00,1009.16,8.00,0.0,000,26.0,31.65,1007.62,25.0,0.00,94
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,09-08-2019,04:00:00,1010.93,10.00,0.0,000,25.8,28.87,1010.01,23.5,0.00,87
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.10,09-08-2019,04:00:00,1010.44,10.00,0.0,000,26.5,30.43,1009.75,24.3,0.00,88
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,09-08-2019,04:00:00,1010.37,7.00,0.0,000,24.8,30.48,1009.56,24.4,0.00,97
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.50,09-08-2019,04:00:00,1010.06,10.00,0.0,000,25.2,29.36,1009.42,23.7,0.00,92
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.90,09-08-2019,04:00:00,1010.09,8.00,0.0,000,25.0,30.32,1009.68,24.3,0.00,96
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.30,09-08-2019,04:00:00,1012.48,5.00,0.0,000,24.5,29.93,1008.21,24.1,0.00,97
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,09-08-2019,04:00:00,1010.13,6.00,0.0,000,25.0,31.12,1008.50,24.7,0.00,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,09-08-2019,04:00:00,1010.27,6.00,0.0,000,25.2,30.69,1006.76,24.5,0.00,96
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,09-08-2019,04:00:00,1010.23,9.00,0.0,000,26.0,32.20,1008.86,25.3,0.00,96
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-08-2019,04:00:00,1010.40,10.00,0.0,000,26.0,32.20,1009.51,25.3,0.00,96
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,09-08-2019,04:00:00,1010.45,10.00,0.0,000,24.8,29.69,1006.85,23.9,0.00,95
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,09-08-2019,04:00:00,1010.16,10.00,0.0,000,27.0,31.94,1009.73,25.1,0.00,90
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,09-08-2019,04:00:00,1009.09,10.00,0.0,000,27.0,31.38,1008.10,24.8,0.00,88
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-08-2019,04:00:00,1010.11,10.00,0.0,000,25.6,29.56,1009.29,23.8,0.00,90
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1.30,09-08-2019,04:00:00,1009.84,10.00,0.0,000,26.8,32.94,1008.02,25.7,0.00,94
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,09-08-2019,04:00:00,1009.89,6.00,0.0,000,27.3,30.86,1009.14,24.6,0.00,85
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,12.80,09-08-2019,04:00:00,1010.17,5.00,3.7,230,25.8,31.82,1006.14,25.1,0.00,96
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-08-2019,04:00:00,1010.42,10.00,0.0,000,26.7,32.74,1009.73,25.6,0.00,94
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.40,09-08-2019,04:00:00,1010.53,10.00,0.0,000,25.9,31.46,1009.41,24.9,0.00,94
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,09-08-2019,04:00:00,1010.23,10.00,0.0,000,25.3,30.60,1007.28,24.4,0.00,95
