WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,Rainfall,VaporPressure,WindSpeed,MeanSeaLevelPressure,StationPressure,LandVisibility,DewPoint,Rainfall24Hr,RelativeHumidity,AirTemperature
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,330,07-16-2019,10:00:00,0.00,27.58,3.7,1006.79,1003.55,12.00,22.7,0.00,57,32.3
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,240,07-16-2019,10:00:00,0.00,28.66,7.4,1006.96,1005.87,11.00,23.3,0.00,60,32.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,220,07-16-2019,10:00:00,0.00,29.66,5.6,1006.60,1006.30,10.00,23.9,3.80,61,32.5
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,310,07-16-2019,10:00:00,0.00,29.13,3.7,1006.42,1005.75,15.00,23.6,2.10,59,32.8
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,270,07-16-2019,10:00:00,0.00,29.07,3.7,1006.46,1005.98,10.00,23.6,49.30,63,31.5
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,270,07-16-2019,10:00:00,0.00,27.05,14.8,1006.72,1005.33,12.00,22.4,0.01,58,31.6
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,230,07-16-2019,10:00:00,0.00,29.52,5.6,1006.75,1005.09,12.00,23.8,0.00,71,29.6
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,230,07-16-2019,10:00:00,0.00,27.33,3.7,1008.41,1000.49,10.00,22.5,0.00,62,30.6
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,300,07-16-2019,10:00:00,0.00,30.16,14.8,1006.54,1006.26,12.00,24.2,0.00,61,32.6
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,190,07-16-2019,10:00:00,0.00,30.33,5.6,1006.86,1003.77,12.00,24.3,0.00,68,31.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,270,07-16-2019,10:00:00,0.00,29.48,5.6,1006.88,1000.04,12.00,23.8,0.00,66,31.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,280,07-16-2019,10:00:00,0.00,33.62,13.0,1006.81,1001.30,10.00,26.0,0.00,72,31.6
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,270,07-16-2019,10:00:00,0.00,28.50,7.4,1008.87,999.70,10.00,23.2,0.00,59,32.2
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,060,07-16-2019,10:00:00,0.00,28.71,7.4,1007.20,1005.95,15.00,23.4,2.90,62,31.6
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,240,07-16-2019,10:00:00,0.00,31.15,18.5,1006.49,1006.07,11.00,24.7,0.00,65,32.1
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,300,07-16-2019,10:00:00,0.00,29.68,3.7,1006.91,994.82,10.00,23.9,0.00,66,31.1
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,230,07-16-2019,10:00:00,0.00,29.88,5.6,1006.99,1006.29,10.00,24.0,21.00,66,31.2
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,210,07-16-2019,10:00:00,0.00,30.45,14.8,1006.79,1004.40,10.00,24.3,0.00,60,33.3
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,260,07-16-2019,10:00:00,0.00,30.33,9.3,1007.37,1006.86,12.00,24.3,0.00,68,31.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,220,07-16-2019,10:00:00,0.00,29.33,3.7,1006.62,1001.57,12.00,23.7,0.00,59,32.9
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,270,07-16-2019,10:00:00,0.00,29.72,5.6,1007.18,1006.77,10.00,23.9,0.00,65,31.4
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,250,07-16-2019,10:00:00,0.00,31.31,9.3,1007.47,1004.74,8.00,24.8,0.00,72,30.5
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,320,07-16-2019,10:00:00,0.00,26.60,9.3,1008.27,1007.49,10.00,22.1,0.00,61,30.5
48501,TRAD,ตราด,ตราด,11.76667,102.88333,270,07-16-2019,10:00:00,1.00,34.49,7.4,1007.21,1006.75,8.00,26.4,1.00,86,29.1
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,320,07-16-2019,10:00:00,0.01,30.39,11.1,1008.48,1007.80,8.00,24.3,0.01,72,29.9
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,000,07-16-2019,10:00:00,0.20,29.03,0.0,1007.55,1006.03,9.00,23.5,6.80,76,28.2
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,000,07-16-2019,10:00:00,0.50,29.91,0.0,1009.55,1008.63,10.00,24.0,10.60,85,26.8
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,260,07-16-2019,10:00:00,0.00,34.05,7.4,1008.96,1008.27,12.00,26.2,1.60,80,30.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,270,07-16-2019,10:00:00,0.00,32.51,3.7,1009.26,1008.47,10.00,25.4,0.00,73,30.8
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,000,07-16-2019,10:00:00,0.00,27.52,0.0,1008.37,1007.75,12.00,22.7,0.00,56,32.7
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,240,07-16-2019,10:00:00,0.00,32.16,7.4,1008.47,1008.07,12.00,25.3,0.00,64,33.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,270,07-16-2019,10:00:00,0.00,30.14,5.6,1010.82,1006.64,8.00,24.2,0.00,70,30.2
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,07-16-2019,10:00:00,0.00,30.70,0.0,1009.18,1007.59,12.00,24.5,5.60,69,30.9
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,270,07-16-2019,10:00:00,0.00,32.52,3.7,1008.91,1005.48,10.00,25.4,10.50,70,31.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,180,07-16-2019,10:00:00,0.00,31.89,3.7,1008.80,1007.46,10.00,25.1,0.00,70,31.2
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,07-16-2019,10:00:00,6.60,32.77,0.0,1009.12,1008.24,10.00,25.6,10.30,92,27.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,270,07-16-2019,10:00:00,0.00,30.12,5.6,1009.12,1005.57,10.00,24.2,0.00,79,28.2
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,270,07-16-2019,10:00:00,0.00,30.81,9.3,1008.83,1008.40,10.00,24.5,1.60,66,31.8
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,290,07-16-2019,10:00:00,0.00,30.49,14.8,1008.54,1007.56,9.00,24.4,0.00,69,30.8
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,280,07-16-2019,10:00:00,3.60,28.57,14.8,1009.19,1008.37,9.00,23.3,4.20,81,26.8
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,07-16-2019,10:00:00,1.80,31.93,0.0,1009.49,1007.70,12.00,25.1,1.80,69,31.5
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,230,07-16-2019,10:00:00,0.00,28.91,11.1,1009.38,1008.64,12.00,23.5,0.00,62,31.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,170,07-16-2019,10:00:00,0.00,29.02,7.4,1009.54,1005.60,10.00,23.5,0.00,61,31.9
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,07-16-2019,10:00:00,4.50,29.50,0.0,1010.84,1010.16,6.00,23.8,4.50,88,26.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,250,07-16-2019,10:00:00,0.00,29.80,5.6,1009.16,1008.06,10.00,24.0,0.00,65,31.3
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,240,07-16-2019,10:00:00,0.00,34.14,7.4,1009.78,1006.88,10.00,26.3,0.00,78,30.6
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,210,07-16-2019,10:00:00,0.00,31.19,14.8,1009.75,1009.07,10.00,24.7,0.00,67,31.7
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,260,07-16-2019,10:00:00,0.00,29.19,5.6,1009.78,1005.69,10.00,23.6,0.00,69,30.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,270,07-16-2019,10:00:00,0.00,26.56,5.6,1009.49,1008.90,10.00,22.1,0.00,63,29.9
