WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,LandVisibility,MeanSeaLevelPressure,Rainfall24Hr,VaporPressure,RelativeHumidity,StationPressure,Rainfall,DewPoint,MinimumTemperature,WindDirection,AirTemperature
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,09-14-2019,07:00:00,5.00,1012.09,0.60,26.51,87,1007.82,0.00,22.0,24.0,000,24.3
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,09-14-2019,07:00:00,4.00,1010.47,11.80,29.30,98,1008.84,0.00,23.7,22.9,000,24.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,09-14-2019,07:00:00,7.00,1010.62,1.50,27.66,96,1007.09,0.00,22.8,23.3,000,23.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,3.7,09-14-2019,07:00:00,10.00,1010.24,0.00,28.07,86,1008.88,0.00,23.0,24.2,240,25.5
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,09-14-2019,07:00:00,10.00,1010.95,1.80,28.53,96,1010.05,0.00,23.3,23.8,000,24.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,09-14-2019,07:00:00,10.00,1010.91,10.20,28.27,95,1007.30,0.00,23.1,22.6,000,24.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,09-14-2019,07:00:00,10.00,1010.72,0.00,30.97,84,1010.28,0.00,24.6,26.8,000,27.5
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.0,09-14-2019,07:00:00,10.00,1009.90,0.01,30.07,77,1008.91,0.00,24.1,24.0,000,28.6
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,5.6,09-14-2019,07:00:00,10.00,1010.70,6.00,30.15,82,1009.89,0.00,24.2,25.2,320,27.5
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,09-14-2019,07:00:00,8.00,1010.81,0.30,29.07,94,1008.97,0.00,23.6,23.9,000,24.6
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,5.6,09-14-2019,07:00:00,10.00,1010.53,0.00,28.31,80,1009.77,0.00,23.1,26.0,230,26.8
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.0,09-14-2019,07:00:00,10.00,1010.91,0.00,30.07,93,1006.88,0.00,24.1,23.5,000,25.3
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,09-14-2019,07:00:00,8.00,1012.08,1.60,31.24,90,1011.39,0.20,24.8,25.2,000,26.5
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,09-14-2019,07:00:00,10.00,1010.39,0.00,30.23,95,1009.26,0.00,24.2,24.1,000,25.1
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,09-14-2019,07:00:00,10.00,1010.86,0.00,30.32,96,1007.92,0.00,24.3,23.6,000,25.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.0,09-14-2019,07:00:00,9.00,1010.84,2.40,30.34,94,1010.15,0.00,24.3,24.8,000,25.3
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.0,09-14-2019,07:00:00,8.00,1010.83,2.00,28.06,88,1006.66,0.00,23.0,24.3,000,25.2
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.0,09-14-2019,07:00:00,9.00,1010.04,0.60,27.70,88,1009.45,0.00,22.8,.0,000,25.0
