WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,VaporPressure,WindDirection,Rainfall,DewPoint,StationPressure,Rainfall24Hr,WindSpeed,MeanSeaLevelPressure,AirTemperature,LandVisibility
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,55,07-11-2019,16:00:00,26.86,220,0.00,22.3,1003.95,0.00,1.9,1009.02,32.5,12.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,57,07-11-2019,16:00:00,28.08,190,0.00,23.0,1009.08,0.00,5.6,1009.49,32.7,11.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,66,07-11-2019,16:00:00,31.52,190,0.00,24.9,1006.92,0.00,7.4,1009.65,32.0,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,65,07-11-2019,16:00:00,32.76,330,0.00,25.6,1007.45,0.00,13.0,1008.22,33.0,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,74,07-11-2019,16:00:00,33.65,270,0.00,26.0,1009.51,0.00,5.6,1009.96,31.2,8.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,62,07-11-2019,16:00:00,30.86,080,0.00,24.6,1008.33,0.00,5.6,1009.00,32.8,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,61,07-11-2019,16:00:00,31.11,000,0.00,24.7,1007.69,0.00,0.0,1009.19,33.2,10.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,56,07-11-2019,16:00:00,27.11,270,0.00,22.4,1008.90,0.00,9.3,1009.80,32.2,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,75,07-11-2019,16:00:00,34.60,080,0.00,26.5,1008.93,0.00,7.4,1009.61,31.5,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,64,07-11-2019,16:00:00,32.73,080,0.00,25.6,1008.26,8.40,7.4,1009.04,33.4,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,78,07-11-2019,16:00:00,25.02,210,0.80,21.1,1010.09,0.80,9.3,1010.73,25.2,6.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,95,07-11-2019,16:00:00,30.05,290,2.60,24.1,1008.94,2.60,18.5,1009.35,25.0,7.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,79,07-11-2019,16:00:00,32.83,060,1.20,25.6,1006.38,1.20,5.6,1010.56,29.7,7.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,60,07-11-2019,16:00:00,28.27,000,0.00,23.1,1005.02,0.00,0.0,1006.60,31.8,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,70,07-11-2019,16:00:00,33.85,150,0.00,26.1,1006.17,0.40,3.7,1009.59,32.4,8.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,65,07-11-2019,16:00:00,27.74,000,0.01,22.8,1007.49,4.50,0.0,1008.84,30.1,10.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,66,07-11-2019,16:00:00,30.49,000,0.00,24.4,1008.98,0.00,0.0,1009.85,31.5,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,58,07-11-2019,16:00:00,29.58,190,0.00,23.9,1006.22,0.00,9.3,1009.71,33.3,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,58,07-11-2019,16:00:00,32.18,090,0.00,25.3,1008.86,0.00,5.6,1009.29,34.8,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,67,07-11-2019,16:00:00,32.58,270,1.40,25.5,1008.45,8.30,3.7,1009.43,32.5,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,75,07-11-2019,16:00:00,29.24,130,0.00,23.7,1008.30,0.00,5.6,1009.11,28.6,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,89,07-11-2019,16:00:00,31.66,000,1.40,25.0,1007.68,1.40,0.0,1009.50,27.0,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,67,07-11-2019,16:00:00,30.65,330,4.80,24.5,1008.76,37.00,9.3,1009.50,31.3,11.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,58,07-11-2019,16:00:00,27.63,140,0.00,22.7,1005.45,4.60,7.4,1009.39,31.9,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,64,07-11-2019,16:00:00,28.84,000,0.00,23.4,1008.98,0.50,0.0,1009.66,31.1,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,59,07-11-2019,16:00:00,30.16,000,0.00,24.2,1007.91,1.20,0.0,1009.00,33.3,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,69,07-11-2019,16:00:00,31.85,240,0.00,25.1,1006.59,0.00,5.6,1009.47,31.6,12.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,63,07-11-2019,16:00:00,30.08,260,0.00,24.1,1008.02,0.00,9.3,1008.70,32.0,10.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,57,07-11-2019,16:00:00,30.46,000,0.00,24.3,1005.33,4.80,0.0,1009.36,34.0,10.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,66,07-11-2019,16:00:00,31.52,000,0.00,24.9,1008.42,23.20,0.0,1009.00,32.0,10.00
