WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MeanSeaLevelPressure,WindDirection,StationPressure,LandVisibility,AirTemperature,Rainfall,Rainfall24Hr,VaporPressure,DewPoint,RelativeHumidity,WindSpeed
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,08-24-2019,16:00:00,1005.45,270,1004.06,10.00,32.3,0.00,0.00,29.54,23.8,61,16.7
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,08-24-2019,16:00:00,1005.77,220,1004.11,12.00,29.5,0.00,0.00,35.05,26.7,85,20.4
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,08-24-2019,16:00:00,1007.28,000,999.42,10.00,32.4,0.00,4.00,29.75,24.0,61,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,08-24-2019,16:00:00,1005.27,270,1004.99,12.00,32.0,0.00,5.60,28.66,23.3,60,9.3
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,08-24-2019,16:00:00,1005.61,260,1002.52,12.00,31.0,0.00,0.00,30.33,24.3,68,5.6
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,08-24-2019,16:00:00,1006.08,000,999.23,10.00,30.5,0.00,0.20,31.03,24.7,71,0.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,08-24-2019,16:00:00,1005.07,290,999.56,7.00,31.5,0.00,3.00,31.93,25.1,69,3.7
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,08-24-2019,16:00:00,1006.34,000,997.13,10.00,30.1,0.00,0.00,31.07,24.7,73,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,08-24-2019,16:00:00,1006.92,180,1005.67,14.00,31.0,0.00,0.01,32.05,25.2,71,3.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,08-24-2019,16:00:00,1005.91,010,1005.49,11.00,30.6,0.00,0.01,32.96,25.7,75,3.7
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,08-24-2019,16:00:00,1006.62,280,994.48,10.00,29.8,0.00,0.00,28.53,23.3,68,7.4
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,08-24-2019,16:00:00,1006.16,240,1005.46,10.00,32.0,0.00,0.00,30.65,24.5,64,13.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,08-24-2019,16:00:00,1007.54,230,1005.14,10.00,31.4,0.00,1.30,30.57,24.4,67,18.5
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,08-24-2019,16:00:00,1006.10,260,1005.59,12.00,29.4,0.00,0.60,31.08,24.7,76,14.8
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,08-24-2019,16:00:00,1005.82,210,1000.72,11.00,29.9,0.00,0.40,29.83,24.0,71,7.4
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,08-24-2019,16:00:00,1006.41,000,1006.00,8.00,28.5,0.50,7.60,33.24,25.8,85,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,08-24-2019,16:00:00,1006.66,000,1003.90,8.00,28.0,0.20,11.70,33.37,25.9,88,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,08-24-2019,16:00:00,1006.73,190,1005.95,10.00,30.0,0.00,0.30,28.09,23.0,66,5.6
48501,TRAD,ตราด,ตราด,11.76667,102.88333,08-24-2019,16:00:00,1006.33,260,1005.87,6.00,28.8,0.00,62.60,33.28,25.8,84,5.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,08-24-2019,16:00:00,1007.88,280,1007.20,8.00,27.2,0.01,0.01,29.04,23.6,81,14.8
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,08-24-2019,16:00:00,1007.63,350,1006.11,8.00,27.4,0.00,1.00,26.51,22.0,73,1.9
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,08-24-2019,16:00:00,1009.15,190,1008.23,10.00,26.8,8.20,59.80,27.78,22.8,79,3.7
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,08-24-2019,16:00:00,1007.42,270,1006.75,12.00,33.2,0.00,0.20,31.41,24.9,62,13.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,08-24-2019,16:00:00,1008.32,280,1007.53,10.00,31.5,0.00,0.01,30.20,24.2,65,9.3
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,08-24-2019,16:00:00,1007.35,200,1006.71,10.00,27.2,0.40,0.40,28.24,23.1,78,7.4
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,08-24-2019,16:00:00,1008.26,290,1007.86,8.00,28.6,0.80,0.80,29.79,24.0,76,7.4
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,08-24-2019,16:00:00,1009.27,250,1005.11,8.00,31.6,0.00,0.20,24.37,20.7,52,11.1
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,08-24-2019,16:00:00,1008.79,270,1007.19,8.00,29.5,0.50,0.70,29.33,23.7,71,11.1
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,08-24-2019,16:00:00,1009.04,000,1005.61,12.00,31.7,0.00,0.00,26.15,21.8,56,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,08-24-2019,16:00:00,1008.79,250,1007.43,9.00,26.0,0.20,0.20,30.84,24.6,92,3.7
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,08-24-2019,16:00:00,1009.21,240,1008.33,10.00,28.0,2.20,4.90,30.01,24.1,79,13.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,08-24-2019,16:00:00,1009.07,000,1005.47,10.00,24.0,3.40,5.20,26.50,22.0,89,0.0
