WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,AirTemperature,Rainfall,WindDirection,MeanSeaLevelPressure,WindSpeed,MinimumTemperature,LandVisibility,VaporPressure,DewPoint,Rainfall24Hr,RelativeHumidity
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1008.53,07-26-2019,07:00:00,25.2,0.20,000,1009.96,0.0,24.5,6.00,31.49,24.9,10.80,98
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1005.53,07-26-2019,07:00:00,25.0,0.00,000,1010.51,0.0,24.1,7.00,30.58,24.4,11.30,97
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1006.42,07-26-2019,07:00:00,26.0,2.00,000,1009.73,0.0,24.5,12.00,28.70,23.4,2.00,85
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1008.85,07-26-2019,07:00:00,25.8,0.01,000,1009.96,0.0,24.0,8.00,28.34,23.2,0.01,85
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1009.87,07-26-2019,07:00:00,26.5,0.00,300,1010.17,5.6,25.8,8.00,30.43,24.3,1.10,88
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1009.45,07-26-2019,07:00:00,26.6,0.30,000,1010.14,0.0,25.8,10.00,30.62,24.4,15.60,88
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1009.56,07-26-2019,07:00:00,26.0,0.00,000,1010.05,0.0,25.5,10.00,28.97,23.5,11.70,86
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1009.40,07-26-2019,07:00:00,26.3,0.01,000,1010.82,0.0,26.1,8.00,32.51,25.4,0.01,95
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1008.19,07-26-2019,07:00:00,28.8,0.60,000,1009.87,0.0,28.2,10.00,31.86,25.1,0.60,80
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1003.96,07-26-2019,07:00:00,25.0,0.00,000,1012.06,0.0,24.7,8.00,30.85,24.6,13.80,97
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1009.48,07-26-2019,07:00:00,26.9,0.40,000,1009.77,0.0,26.0,8.00,34.56,26.5,8.30,98
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1005.72,07-26-2019,07:00:00,29.6,0.00,000,1008.84,0.0,28.5,10.00,33.50,25.9,2.00,81
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1003.14,07-26-2019,07:00:00,28.7,0.00,240,1010.06,5.6,28.0,12.00,28.62,23.3,0.01,73
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1004.92,07-26-2019,07:00:00,25.5,0.00,000,1010.57,0.0,24.6,8.00,30.98,24.6,10.40,95
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1001.60,07-26-2019,07:00:00,28.5,0.00,280,1010.90,14.8,27.0,8.00,28.78,23.4,0.00,74
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1009.46,07-26-2019,07:00:00,25.5,0.01,000,1010.73,0.0,24.9,10.00,29.91,24.0,5.90,92
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1009.67,07-26-2019,07:00:00,26.6,0.00,320,1010.11,5.6,26.2,11.00,27.42,22.6,0.00,79
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,998.12,07-26-2019,07:00:00,24.3,0.60,000,1010.53,0.0,23.9,8.00,28.79,23.4,2.30,95
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1009.24,07-26-2019,07:00:00,26.5,0.00,000,1009.95,0.0,26.1,10.00,30.70,24.5,12.20,89
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1007.57,07-26-2019,07:00:00,28.6,0.00,000,1010.00,0.0,27.9,10.00,28.16,23.0,0.01,72
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1009.67,07-26-2019,07:00:00,29.0,0.00,290,1010.18,7.4,28.7,9.00,29.74,23.9,0.90,74
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1004.94,07-26-2019,07:00:00,26.8,0.00,000,1010.12,0.0,26.6,11.00,29.37,23.7,0.10,83
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1009.92,07-26-2019,07:00:00,25.2,0.00,000,1010.33,0.0,24.5,8.00,30.96,24.6,20.70,97
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1007.40,07-26-2019,07:00:00,25.4,0.00,040,1010.19,7.4,24.5,8.00,30.79,24.5,87.30,95
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1009.39,07-26-2019,07:00:00,26.8,0.00,300,1010.18,3.7,26.2,10.00,28.84,23.4,0.00,82
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1009.88,07-26-2019,07:00:00,24.5,0.00,080,1010.34,9.3,23.6,7.00,29.41,23.8,3.50,96
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1009.70,07-26-2019,07:00:00,25.5,0.00,000,1010.39,0.0,24.2,7.00,30.98,24.6,4.10,95
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1008.75,07-26-2019,07:00:00,25.4,0.00,000,1010.29,0.0,25.2,6.00,31.33,24.8,4.20,97
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.13,07-26-2019,07:00:00,25.5,0.00,000,1011.06,0.0,25.4,10.00,30.17,24.2,0.00,93
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1009.61,07-26-2019,07:00:00,28.3,0.00,270,1010.30,5.6,26.6,10.00,31.14,24.7,0.00,81
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1010.16,07-26-2019,07:00:00,24.8,0.00,000,1010.97,0.0,24.7,6.00,30.48,24.4,0.00,97
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1009.79,07-26-2019,07:00:00,24.7,0.00,000,1010.43,0.0,23.7,10.00,30.03,24.1,0.00,97
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.22,07-26-2019,07:00:00,24.3,0.00,000,1010.63,0.0,23.8,8.00,28.79,23.4,0.00,95
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1007.99,07-26-2019,07:00:00,24.5,0.00,000,1012.26,0.0,24.2,6.00,29.93,24.1,0.00,97
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.95,07-26-2019,07:00:00,24.4,0.00,000,1010.58,0.0,23.6,12.00,30.02,24.1,0.00,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1007.41,07-26-2019,07:00:00,24.5,0.00,000,1010.92,0.0,24.0,8.00,29.41,23.8,0.00,96
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1008.65,07-26-2019,07:00:00,24.5,0.00,000,1010.02,0.0,24.4,8.00,30.20,24.2,0.00,98
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1009.20,07-26-2019,07:00:00,25.0,0.00,000,1010.09,0.0,24.8,10.00,29.79,24.0,0.00,94
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1006.75,07-26-2019,07:00:00,24.6,0.00,000,1010.35,0.0,22.5,9.00,29.85,24.0,0.00,97
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1009.92,07-26-2019,07:00:00,26.3,0.00,000,1010.36,0.0,25.8,10.00,31.96,25.1,0.00,93
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1008.87,07-26-2019,07:00:00,25.1,0.00,000,1009.87,0.0,22.6,10.00,31.31,24.8,0.00,98
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1009.40,07-26-2019,07:00:00,24.4,0.00,090,1010.23,5.6,24.0,10.00,28.71,23.4,0.00,94
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1008.73,07-26-2019,07:00:00,24.5,0.00,000,1010.56,0.0,24.2,.80,30.20,24.2,0.00,98
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1009.95,07-26-2019,07:00:00,26.3,0.00,160,1010.70,1.9,25.4,10.00,29.25,23.7,0.01,86
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1006.65,07-26-2019,07:00:00,24.5,0.00,000,1010.69,0.0,23.2,6.00,29.67,23.9,0.60,97
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.05,07-26-2019,07:00:00,24.7,0.00,000,1010.74,0.0,24.2,10.00,29.25,23.7,0.00,94
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1009.04,07-26-2019,07:00:00,24.2,0.00,000,1010.17,0.0,23.0,10.00,29.39,23.8,21.20,97
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1007.76,07-26-2019,07:00:00,24.5,0.00,000,1010.71,0.0,23.4,10.00,30.20,24.2,0.00,98
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1009.67,07-26-2019,07:00:00,26.0,0.00,000,1010.36,0.0,25.5,8.00,31.93,25.1,0.00,95
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1006.84,07-26-2019,07:00:00,25.3,0.00,000,1011.00,0.0,24.9,5.00,30.87,24.6,0.00,96
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1011.06,07-26-2019,07:00:00,25.5,0.00,000,1011.65,0.0,.0,9.00,29.38,23.7,0.30,90
