WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,LandVisibility,MinimumTemperature,MeanSeaLevelPressure,RelativeHumidity,Rainfall24Hr,DewPoint,StationPressure,VaporPressure,Rainfall,AirTemperature,WindDirection
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,10-10-2019,07:00:00,10.00,22.0,1012.61,95,0.00,21.2,982.14,25.13,0.00,22.1,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,10-10-2019,07:00:00,7.00,22.5,1012.91,96,0.00,22.2,976.83,26.83,0.00,23.0,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,10-10-2019,07:00:00,6.00,23.6,1012.13,98,0.00,23.7,982.04,29.30,0.00,24.0,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,10-10-2019,07:00:00,7.00,24.5,1011.89,92,0.00,23.2,1004.49,28.47,0.00,24.7,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,5.6,10-10-2019,07:00:00,3.00,25.7,1012.25,87,0.00,24.1,992.23,29.97,0.00,26.4,050
48353,LOEI,เลย,เลย,17.45000,101.73333,3.7,10-10-2019,07:00:00,5.00,24.4,1012.23,95,0.00,23.7,983.24,29.33,0.00,24.6,250
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.0,10-10-2019,07:00:00,12.00,25.3,1012.41,86,0.00,23.7,992.09,29.33,0.00,26.2,000
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.0,10-10-2019,07:00:00,12.00,22.5,1012.49,93,0.00,22.3,990.40,26.91,0.00,23.5,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.0,10-10-2019,07:00:00,12.00,23.2,1011.74,88,0.00,22.0,991.99,26.42,0.00,24.1,000
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,10-10-2019,07:00:00,10.00,22.9,1012.81,90,0.00,22.3,995.81,26.92,0.00,24.1,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,10-10-2019,07:00:00,8.00,21.2,1013.18,94,0.00,23.2,995.51,28.36,0.00,24.2,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,10-10-2019,07:00:00,9.00,24.2,1012.02,95,0.00,23.6,985.91,29.15,0.00,24.5,000
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.0,10-10-2019,07:00:00,4.00,24.5,1011.56,98,0.00,25.4,1005.72,32.45,0.00,25.7,000
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,10-10-2019,07:00:00,6.00,23.0,1011.82,97,0.00,24.6,1005.57,30.96,0.00,25.2,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,10-10-2019,07:00:00,10.00,23.5,1012.50,96,3.50,23.6,995.83,29.05,0.00,24.3,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.0,10-10-2019,07:00:00,8.00,23.5,1010.99,94,0.20,23.5,988.40,28.89,0.00,24.5,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.0,10-10-2019,07:00:00,6.00,24.5,1012.55,96,0.00,24.4,998.00,30.50,0.00,25.1,000
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,10-10-2019,07:00:00,7.00,23.9,1012.21,88,4.50,22.7,995.62,27.61,0.00,24.8,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,3.7,10-10-2019,07:00:00,10.00,24.5,1011.77,95,1.90,24.2,1006.48,30.23,0.00,25.1,030
