WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,MeanSeaLevelPressure,AirTemperature,WindSpeed,WindDirection,RelativeHumidity,DewPoint,Rainfall,LandVisibility,Rainfall24Hr,VaporPressure
48331,NAN,น่าน,น่าน,18.77972,100.77778,985.52,09-15-2019,22:00:00,1008.26,27.8,0.0,000,84,24.9,0.00,10.00,0.00,31.56
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,978.55,09-15-2019,22:00:00,1008.56,25.5,0.0,000,90,23.7,0.00,10.00,0.00,29.38
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,973.37,09-15-2019,22:00:00,1008.98,25.8,0.0,000,93,24.6,1.60,7.00,1.60,31.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,978.21,09-15-2019,22:00:00,1008.19,24.0,0.0,000,91,22.5,0.00,12.00,0.00,27.25
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1000.58,09-15-2019,22:00:00,1007.87,27.8,0.0,000,86,25.2,0.00,10.00,0.00,32.12
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,987.93,09-15-2019,22:00:00,1007.77,28.0,0.0,000,82,24.7,0.00,10.00,0.00,31.11
48353,LOEI,เลย,เลย,17.45000,101.73333,979.44,09-15-2019,22:00:00,1008.22,25.6,0.0,000,87,23.2,0.00,12.00,3.50,28.51
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,987.69,09-15-2019,22:00:00,1007.88,26.7,0.0,000,85,23.9,0.00,12.00,16.70,29.72
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,986.23,09-15-2019,22:00:00,1008.03,26.0,0.0,000,85,23.4,0.00,12.00,0.00,28.70
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,988.10,09-15-2019,22:00:00,1007.55,27.5,3.7,200,82,24.2,0.00,10.00,0.00,30.15
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,992.05,09-15-2019,22:00:00,1008.84,26.6,0.0,000,89,24.6,9.20,10.00,9.20,30.89
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,991.22,09-15-2019,22:00:00,1008.67,26.7,0.0,000,86,24.2,0.00,10.00,0.00,30.26
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,981.61,09-15-2019,22:00:00,1007.49,25.7,0.0,000,81,22.1,0.00,11.00,5.00,26.62
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1001.50,09-15-2019,22:00:00,1007.28,27.5,7.4,040,97,26.9,0.00,10.00,0.00,35.52
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1001.52,09-15-2019,22:00:00,1007.73,26.5,0.0,000,96,25.8,0.00,10.00,1.60,33.19
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,992.36,09-15-2019,22:00:00,1008.80,27.4,0.0,000,76,22.8,0.00,10.00,0.00,27.82
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,984.28,09-15-2019,22:00:00,1006.54,27.5,0.0,000,84,24.6,0.00,10.00,0.00,30.97
48376,TAK,ตาก,ตาก,16.87833,99.14333,994.20,09-15-2019,22:00:00,1008.65,26.0,0.0,000,92,24.6,0.00,6.00,11.40,30.84
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,991.26,09-15-2019,22:00:00,1007.68,26.5,0.0,000,80,22.8,0.00,7.00,0.00,27.77
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1002.94,09-15-2019,22:00:00,1008.16,27.6,0.0,000,92,26.2,0.00,10.00,29.80,33.99
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,993.51,09-15-2019,22:00:00,1006.76,25.7,0.0,000,90,23.9,1.40,10.00,1.40,29.74
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,998.54,09-15-2019,22:00:00,1007.82,28.5,0.0,000,85,25.7,0.00,10.00,0.00,32.96
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,986.21,09-15-2019,22:00:00,1007.89,27.2,0.0,000,83,24.0,0.00,10.00,0.00,29.85
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,989.80,09-15-2019,22:00:00,1007.28,27.4,0.0,000,89,25.4,0.00,{'@attributes': {'Unit': 'km'}},0.00,32.45
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,991.07,09-15-2019,22:00:00,1006.87,27.5,0.0,000,86,24.9,0.00,10.00,0.00,31.52
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,988.10,09-15-2019,22:00:00,1006.96,27.3,0.0,000,90,25.4,0.00,8.00,0.00,32.53
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,958.12,09-15-2019,22:00:00,1009.81,23.7,0.0,000,90,21.9,0.00,7.00,0.00,26.25
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1003.43,09-15-2019,22:00:00,1007.38,27.6,14.8,040,83,24.4,0.40,6.00,1.70,30.61
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,914.18,09-15-2019,22:00:00,1009.37,21.9,0.0,000,94,20.8,0.00,5.00,2.10,24.58
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,991.72,09-15-2019,22:00:00,1007.70,27.4,0.0,000,93,26.1,0.00,10.00,0.00,33.86
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1003.81,09-15-2019,22:00:00,1007.82,28.7,0.0,000,83,25.6,0.00,10.00,0.00,32.79
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,998.07,09-15-2019,22:00:00,1008.76,27.0,0.0,000,88,24.8,0.00,7.00,4.90,31.38
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1005.59,09-15-2019,22:00:00,1007.52,25.9,0.0,000,93,24.6,0.01,8.00,18.10,30.92
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,987.35,09-15-2019,22:00:00,1008.23,27.0,0.0,000,83,23.8,0.00,10.00,0.00,29.48
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,989.92,09-15-2019,22:00:00,1007.50,28.6,0.0,000,84,25.6,0.00,10.00,0.00,32.88
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,991.17,09-15-2019,22:00:00,1007.25,28.5,0.0,000,81,24.9,0.00,10.00,0.00,31.54
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,993.76,09-15-2019,22:00:00,1007.74,28.2,0.0,000,82,24.9,0.00,10.00,1.10,31.51
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,993.65,09-15-2019,22:00:00,1008.52,26.6,0.0,000,91,25.0,0.00,9.00,0.80,31.71
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,993.98,09-15-2019,22:00:00,1008.70,26.6,0.0,000,93,25.5,0.00,7.00,0.00,32.54
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1004.42,09-15-2019,22:00:00,1007.42,28.5,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",85,25.7,0.00,10.00,3.50,32.96
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,999.51,09-15-2019,22:00:00,1007.42,28.5,0.0,000,78,24.3,0.00,7.00,2.50,30.42
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1006.63,09-15-2019,22:00:00,1007.74,28.6,9.3,180,85,25.8,0.00,8.00,4.40,33.16
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,993.53,09-15-2019,22:00:00,1008.21,27.4,0.0,000,93,26.1,0.00,8.00,1.50,33.86
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,874.61,09-15-2019,22:00:00,1010.09,19.3,3.7,090,98,19.0,0.00,8.00,2.20,21.93
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1002.02,09-15-2019,22:00:00,1007.89,28.0,0.0,000,88,25.9,0.00,10.00,0.00,33.37
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1007.95,09-15-2019,22:00:00,1008.76,25.5,7.4,300,92,24.0,24.50,5.00,24.50,29.91
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1007.15,09-15-2019,22:00:00,1007.60,29.0,7.4,210,81,25.3,0.00,10.00,0.50,32.26
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,997.74,09-15-2019,22:00:00,1009.10,26.0,0.0,000,94,25.0,0.00,6.00,4.70,31.65
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1006.91,09-15-2019,22:00:00,1007.92,28.4,0.0,000,87,26.0,0.00,10.00,0.00,33.61
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1006.08,09-15-2019,22:00:00,1007.91,27.0,0.0,000,87,24.5,0.00,7.00,0.40,30.83
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1006.99,09-15-2019,22:00:00,1007.76,27.2,0.0,000,90,25.5,0.00,7.00,1.40,32.61
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1007.42,09-15-2019,22:00:00,1008.12,28.7,9.3,170,82,25.3,0.00,10.00,0.01,32.22
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1005.94,09-15-2019,22:00:00,1006.65,26.7,0.0,000,91,25.1,11.00,7.00,11.00,31.91
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,987.02,09-15-2019,22:00:00,1008.19,27.0,0.0,000,81,23.5,0.00,10.00,0.00,28.94
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,991.35,09-15-2019,22:00:00,1008.10,26.6,0.0,000,87,24.3,0.00,7.00,0.50,30.34
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,992.22,09-15-2019,22:00:00,1008.75,25.8,0.0,000,93,24.5,0.00,7.00,0.20,30.73
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,986.09,09-15-2019,22:00:00,1007.97,26.9,0.0,000,80,23.2,0.00,10.00,0.00,28.49
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,964.80,09-15-2019,22:00:00,1008.30,25.5,5.6,070,88,23.3,0.00,12.00,15.30,28.59
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,987.37,09-15-2019,22:00:00,1008.03,25.8,0.0,000,86,23.3,0.00,10.00,0.40,28.60
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,988.49,09-15-2019,22:00:00,1009.53,24.4,3.7,270,100,24.4,0.00,8.00,2.20,30.54
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1006.96,09-15-2019,22:00:00,1007.39,28.7,5.6,290,82,25.3,0.00,10.00,0.50,32.22
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1006.47,09-15-2019,22:00:00,1007.89,25.7,0.0,000,94,24.7,0.30,8.00,11.50,31.08
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1002.94,09-15-2019,22:00:00,1007.90,25.6,0.0,000,97,25.2,0.01,7.00,4.20,31.98
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1004.53,09-15-2019,22:00:00,1007.81,28.3,3.7,300,80,24.4,0.00,12.00,20.90,30.59
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1006.18,09-15-2019,22:00:00,1007.28,28.0,0.0,000,92,26.6,0.00,10.00,1.00,34.81
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1007.69,09-15-2019,22:00:00,1007.99,29.0,0.0,000,83,25.8,0.00,10.00,0.20,33.12
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1008.07,09-15-2019,22:00:00,1008.55,29.2,0.0,000,78,24.9,0.00,10.00,0.00,31.53
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1006.92,09-15-2019,22:00:00,1008.33,29.1,9.3,160,80,25.3,0.01,10.00,0.20,32.18
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1001.74,09-15-2019,22:00:00,1009.82,25.0,0.0,000,96,24.3,0.00,10.00,36.90,30.32
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1007.69,09-15-2019,22:00:00,1007.97,27.1,3.7,090,95,26.2,3.50,4.00,35.40,34.11
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1004.54,09-15-2019,22:00:00,1007.66,28.0,0.0,000,86,25.4,0.00,10.00,35.00,32.52
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1001.18,09-15-2019,22:00:00,1008.12,27.5,0.0,000,88,25.4,0.00,10.00,2.90,32.36
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1002.42,09-15-2019,22:00:00,1008.02,27.2,0.0,000,84,24.3,0.00,9.00,2.60,30.39
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1010.73,09-15-2019,22:00:00,1012.00,27.1,0.0,000,84,24.2,0.00,10.00,0.60,30.20
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1006.73,09-15-2019,22:00:00,1007.16,27.7,14.8,250,80,23.9,0.00,11.00,2.50,29.71
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,996.09,09-15-2019,22:00:00,1008.42,25.7,0.0,000,84,22.7,0.00,8.00,0.01,27.64
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1007.50,09-15-2019,22:00:00,1008.21,27.1,0.0,000,80,23.3,0.00,10.00,0.00,28.59
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1005.39,09-15-2019,22:00:00,1007.83,26.5,0.0,000,92,25.1,0.00,9.00,44.10,31.79
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1007.33,09-15-2019,22:00:00,1007.85,26.7,5.6,040,92,25.3,0.00,10.00,54.90,32.18
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1002.50,09-15-2019,22:00:00,1007.68,25.8,0.0,000,93,24.6,0.40,8.00,14.40,31.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1007.65,09-15-2019,22:00:00,1008.07,24.4,0.0,000,97,23.8,10.30,7.00,72.40,29.49
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1005.41,09-15-2019,22:00:00,1008.21,24.2,0.0,000,98,23.9,52.40,8.00,415.50,29.66
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1007.09,09-15-2019,22:00:00,1007.88,26.7,9.3,240,77,22.4,0.00,10.00,0.60,27.08
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.41,09-15-2019,22:00:00,1007.87,26.5,5.6,220,92,25.1,0.00,5.00,135.80,31.79
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1009.82,09-15-2019,22:00:00,1010.51,24.6,5.6,280,90,22.8,0.20,8.00,41.60,27.78
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1008.52,09-15-2019,22:00:00,1010.07,24.0,3.7,270,93,22.8,0.20,7.00,25.00,27.76
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1011.04,09-15-2019,22:00:00,1011.97,24.3,5.6,180,93,23.1,7.40,10.00,138.50,28.28
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1009.78,09-15-2019,22:00:00,1010.48,25.4,0.0,000,97,24.8,0.10,8.00,2.40,31.33
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1010.29,09-15-2019,22:00:00,1011.10,24.6,0.0,000,97,24.2,0.30,8.00,6.20,30.12
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1009.61,09-15-2019,22:00:00,1010.25,25.8,5.6,030,93,24.6,0.40,9.00,2.70,31.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1009.68,09-15-2019,22:00:00,1010.09,25.0,7.4,210,94,24.0,0.40,10.00,1.10,29.79
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1008.18,09-15-2019,22:00:00,1012.45,24.3,0.0,000,97,23.9,0.30,5.00,2.70,29.57
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1009.27,09-15-2019,22:00:00,1010.90,25.0,0.0,000,94,24.0,0.60,10.00,3.60,29.79
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1007.19,09-15-2019,22:00:00,1010.70,25.3,0.0,000,94,24.3,0.20,8.00,1.70,30.34
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1009.13,09-15-2019,22:00:00,1010.50,24.3,0.0,000,97,23.9,0.01,7.00,5.40,29.57
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.41,09-15-2019,22:00:00,1011.31,25.0,18.5,300,96,24.3,11.00,8.00,27.00,30.32
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1007.54,09-15-2019,22:00:00,1011.13,25.2,0.0,000,88,23.1,0.00,10.00,3.00,28.31
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1010.36,09-15-2019,22:00:00,1010.79,28.2,3.7,300,83,25.1,0.00,10.00,5.60,31.79
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1008.95,09-15-2019,22:00:00,1009.94,28.9,13.0,280,79,24.9,0.01,10.00,7.30,31.49
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1009.99,09-15-2019,22:00:00,1010.80,27.8,5.6,340,78,23.6,0.00,10.00,11.00,29.09
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1009.01,09-15-2019,22:00:00,1010.84,24.6,0.0,000,95,23.7,0.00,10.00,8.90,29.33
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1009.55,09-15-2019,22:00:00,1010.31,24.5,1.9,320,91,23.0,1.20,10.00,15.20,28.11
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1006.28,09-15-2019,22:00:00,1010.33,23.7,5.6,310,98,23.4,1.40,10.00,5.80,28.77
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.48,09-15-2019,22:00:00,1011.17,25.0,0.0,000,96,24.3,0.00,10.00,3.90,30.32
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1010.53,09-15-2019,22:00:00,1011.66,23.5,0.0,000,97,23.0,0.80,10.00,22.20,28.17
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1007.60,09-15-2019,22:00:00,1010.56,24.3,0.0,000,97,23.7,0.80,10.00,2.40,29.31
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1009.22,09-15-2019,22:00:00,1009.92,23.7,0.0,000,99,23.5,1.40,6.00,22.80,29.03
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1006.98,09-15-2019,22:00:00,1011.18,22.8,0.0,000,93,21.6,0.40,6.00,35.80,25.76
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1009.69,09-15-2019,22:00:00,1010.29,23.6,0.0,000,94,22.6,1.70,7.00,27.10,27.33
