WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall,RelativeHumidity,WindDirection,DewPoint,Rainfall24Hr,StationPressure,LandVisibility,VaporPressure,AirTemperature,WindSpeed
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1016.55,09-23-2019,10:00:00,0.00,62,090,20.9,0.00,999.11,10.00,24.68,29.0,3.7
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1015.72,09-23-2019,10:00:00,0.00,58,350,20.0,0.00,989.90,9.00,23.41,29.0,5.6
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1015.01,09-23-2019,10:00:00,0.00,80,350,26.1,4.50,1009.24,10.00,33.75,30.0,5.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1015.52,09-23-2019,10:00:00,0.00,76,090,25.3,0.00,1009.34,12.00,32.30,30.0,5.6
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1015.95,09-23-2019,10:00:00,0.00,46,030,17.5,0.00,999.56,12.00,20.02,30.4,9.3
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1012.46,09-23-2019,10:00:00,0.00,64,030,22.4,0.00,990.24,10.00,27.01,30.0,13.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,1016.06,09-23-2019,10:00:00,0.00,76,100,24.1,5.00,1001.63,6.00,29.98,28.7,3.7
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1015.36,09-23-2019,10:00:00,0.00,68,000,22.9,4.70,998.98,12.00,27.96,29.5,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1015.03,09-23-2019,10:00:00,0.00,64,030,22.9,0.00,1009.83,10.00,27.95,30.5,9.3
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1013.78,09-23-2019,10:00:00,0.00,49,030,19.0,0.00,1000.67,12.00,22.02,31.0,3.7
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1015.22,09-23-2019,10:00:00,0.00,77,330,25.0,10.00,1005.90,10.00,31.65,29.4,7.4
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1016.36,09-23-2019,10:00:00,0.00,66,120,20.3,0.00,994.49,8.00,23.88,27.2,13.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1016.67,09-23-2019,10:00:00,0.00,74,000,21.3,0.00,998.96,10.00,25.37,26.3,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1015.30,09-23-2019,10:00:00,0.00,59,050,21.3,0.00,999.50,12.00,25.25,30.2,5.6
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1015.80,09-23-2019,10:00:00,0.00,81,040,22.5,0.00,996.70,9.00,27.32,26.1,5.6
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1014.73,09-23-2019,10:00:00,0.00,72,000,21.7,0.00,963.37,9.00,25.90,27.2,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1014.78,09-23-2019,10:00:00,0.00,53,050,19.8,25.50,1010.83,5.00,23.11,30.6,13.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1015.43,09-23-2019,10:00:00,0.00,93,040,20.5,0.50,919.60,3.00,24.04,21.7,9.3
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1015.99,09-23-2019,10:00:00,0.00,77,100,22.5,0.00,999.85,10.00,27.26,26.8,5.6
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1015.19,09-23-2019,10:00:00,0.00,77,000,25.3,0.20,1011.16,8.00,32.17,29.8,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1015.77,09-23-2019,10:00:00,0.00,64,000,21.6,0.80,1005.07,7.00,25.71,29.0,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1015.17,09-23-2019,10:00:00,0.00,74,000,23.9,0.80,1013.24,10.00,29.74,29.0,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1015.92,09-23-2019,10:00:00,0.00,69,030,20.6,0.00,994.86,10.00,24.21,26.8,7.4
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1016.02,09-23-2019,10:00:00,0.00,63,050,19.8,0.00,998.23,10.00,23.14,27.5,7.4
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1015.65,09-23-2019,10:00:00,0.00,63,080,20.4,0.00,999.41,10.00,23.97,28.0,7.4
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1015.67,09-23-2019,10:00:00,0.00,78,090,23.0,25.10,1001.52,6.00,28.06,27.1,5.6
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1015.67,09-23-2019,10:00:00,0.00,86,000,23.2,12.80,1000.65,7.00,28.42,25.7,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1015.94,09-23-2019,10:00:00,1.80,82,000,23.4,10.70,1001.13,8.00,28.84,26.8,0.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1014.72,09-23-2019,10:00:00,0.00,75,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",24.2,0.90,1011.70,9.00,30.21,29.1,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1014.80,09-23-2019,10:00:00,0.00,52,040,19.7,0.01,1006.88,10.00,22.95,30.8,11.1
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1014.09,09-23-2019,10:00:00,0.00,73,050,21.8,1.70,1012.98,8.00,26.06,27.0,22.2
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1015.63,09-23-2019,10:00:00,0.00,77,090,22.3,4.40,1000.80,8.00,26.91,26.6,7.4
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1015.36,09-23-2019,10:00:00,0.00,99,120,18.6,1.60,878.95,.10,21.46,18.8,5.6
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1015.01,09-23-2019,10:00:00,0.00,69,050,21.6,0.00,1009.10,8.00,25.75,27.7,7.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1014.19,09-23-2019,10:00:00,0.50,87,080,25.4,14.40,1013.38,8.00,32.40,27.8,5.6
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1013.73,09-23-2019,10:00:00,0.00,85,120,24.6,60.90,1013.28,10.00,30.86,27.3,11.1
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1014.53,09-23-2019,10:00:00,0.00,78,000,22.5,0.00,1003.13,8.00,27.16,26.6,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1014.73,09-23-2019,10:00:00,0.00,68,050,22.4,3.90,1013.72,12.00,27.03,29.0,13.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1014.88,09-23-2019,10:00:00,0.00,65,090,20.6,2.40,1013.05,7.00,24.22,27.7,7.4
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1014.36,09-23-2019,10:00:00,3.70,77,040,22.6,17.00,1013.59,8.00,27.36,27.0,3.7
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1013.90,09-23-2019,10:00:00,0.00,84,100,24.1,7.80,1013.19,10.00,30.02,27.0,9.3
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1014.44,09-23-2019,10:00:00,0.80,90,120,23.9,11.50,1013.72,7.00,29.74,25.7,7.4
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1015.50,09-23-2019,10:00:00,0.40,77,000,20.8,33.90,994.04,8.00,24.53,25.2,0.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1015.51,09-23-2019,10:00:00,0.00,82,090,23.4,23.10,998.64,8.00,28.84,26.8,7.4
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1015.78,09-23-2019,10:00:00,0.00,80,090,23.3,21.50,999.21,8.00,28.67,27.0,13.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1015.40,09-23-2019,10:00:00,0.00,80,090,22.0,30.70,993.27,8.00,26.37,25.7,14.8
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1015.24,09-23-2019,10:00:00,0.00,89,090,20.9,6.10,971.06,4.00,24.72,22.9,22.2
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1015.07,09-23-2019,10:00:00,0.00,82,120,23.4,47.50,994.34,10.00,28.84,26.8,14.8
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1017.76,09-23-2019,10:00:00,0.00,83,090,23.0,4.00,996.67,7.00,28.10,26.1,20.4
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1013.66,09-23-2019,10:00:00,2.50,93,210,24.4,89.30,1013.22,9.00,30.63,25.6,7.4
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1014.01,09-23-2019,10:00:00,0.00,89,000,24.3,4.30,1012.58,11.00,30.40,26.2,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1014.80,09-23-2019,10:00:00,0.00,86,000,24.6,5.50,1009.83,7.00,30.94,27.2,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1014.13,09-23-2019,10:00:00,2.40,92,080,24.0,32.20,1010.80,8.00,29.91,25.5,3.7
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1014.42,09-23-2019,10:00:00,0.10,92,000,24.8,22.10,1013.30,5.00,31.22,26.2,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1014.11,09-23-2019,10:00:00,0.01,87,090,24.8,12.80,1013.81,8.00,31.22,27.2,7.4
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1013.88,09-23-2019,10:00:00,0.00,95,130,24.9,5.20,1013.18,10.00,31.55,25.8,5.6
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1013.68,09-23-2019,10:00:00,0.10,93,000,25.1,9.60,1013.18,10.00,31.96,26.3,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1014.22,09-23-2019,10:00:00,0.00,88,110,24.6,19.00,1012.80,10.00,31.00,26.8,14.8
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1013.77,09-23-2019,10:00:00,0.00,96,110,26.1,45.70,1012.08,10.00,33.79,26.8,16.7
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1016.41,09-23-2019,10:00:00,0.01,92,000,24.6,3.80,1008.30,10.00,30.84,26.0,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1013.72,09-23-2019,10:00:00,0.00,87,030,25.3,11.20,1013.43,6.00,32.28,27.6,5.6
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1013.49,09-23-2019,10:00:00,1.80,88,260,24.8,23.80,1010.34,10.00,31.38,27.0,5.6
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1013.94,09-23-2019,10:00:00,1.40,93,000,25.2,22.80,1006.94,10.00,32.07,26.5,0.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1014.99,09-23-2019,10:00:00,0.40,90,030,24.9,84.30,1009.34,7.00,31.44,26.6,5.6
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1014.64,09-23-2019,10:00:00,0.00,88,000,24.8,21.60,1005.26,9.00,31.38,27.0,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1013.88,09-23-2019,10:00:00,0.10,95,040,24.6,102.50,1012.61,1.00,30.98,25.5,7.4
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1013.87,09-23-2019,10:00:00,0.80,86,150,25.8,8.10,1013.44,11.00,33.12,28.3,7.4
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1014.00,09-23-2019,10:00:00,1.30,90,000,23.7,15.90,1001.60,10.00,29.38,25.5,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1013.84,09-23-2019,10:00:00,0.90,92,140,24.7,42.60,1013.12,7.00,31.03,26.1,3.7
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1013.92,09-23-2019,10:00:00,1.00,88,000,25.4,47.20,1011.47,8.00,32.36,27.5,0.0
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1013.95,09-23-2019,10:00:00,0.30,85,000,25.1,17.50,1013.43,9.00,31.95,28.0,0.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1013.80,09-23-2019,10:00:00,0.50,87,000,24.5,22.00,1008.61,10.00,30.72,26.8,0.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1014.40,09-23-2019,10:00:00,0.60,78,050,24.7,17.00,1013.99,8.00,31.13,29.0,7.4
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1014.47,09-23-2019,10:00:00,0.00,85,050,25.7,16.80,1011.69,8.00,32.96,28.5,3.7
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1012.94,09-23-2019,10:00:00,0.00,96,000,23.6,31.60,1012.14,10.00,29.05,24.3,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1013.96,09-23-2019,10:00:00,0.00,81,220,24.9,0.60,1013.50,8.00,31.54,28.5,3.7
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1013.62,09-23-2019,10:00:00,0.00,84,080,24.5,19.80,1012.93,7.00,30.78,27.4,3.7
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1013.41,09-23-2019,10:00:00,0.00,87,000,24.8,10.20,1011.88,6.00,31.22,27.2,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1013.23,09-23-2019,10:00:00,0.00,78,000,24.2,0.00,1012.31,7.00,30.23,28.4,0.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1012.28,09-23-2019,10:00:00,2.80,89,060,24.4,5.10,1011.59,9.00,30.59,26.3,5.6
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1013.44,09-23-2019,10:00:00,0.40,93,350,24.4,22.80,1012.63,5.00,30.63,25.6,5.6
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1013.22,09-23-2019,10:00:00,1.00,95,280,25.1,59.00,1012.58,6.00,31.93,26.0,5.6
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1013.50,09-23-2019,10:00:00,0.40,93,000,24.8,7.20,1013.09,8.00,31.38,26.0,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1015.03,09-23-2019,10:00:00,1.30,90,120,24.5,17.30,1010.77,5.00,30.67,26.2,5.6
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1013.07,09-23-2019,10:00:00,0.40,92,000,24.6,12.40,1011.45,8.00,30.84,26.0,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1012.83,09-23-2019,10:00:00,0.20,93,000,25.0,4.20,1009.33,7.00,31.68,26.3,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1013.40,09-23-2019,10:00:00,2.30,95,250,24.3,21.10,1012.03,7.00,30.42,25.2,3.7
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1012.36,09-23-2019,10:00:00,0.00,77,000,23.3,0.00,1011.47,5.00,28.63,27.7,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1012.84,09-23-2019,10:00:00,0.00,87,000,24.1,3.60,1009.25,10.00,29.97,26.4,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1012.33,09-23-2019,10:00:00,0.00,78,060,24.6,2.60,1011.89,8.00,30.93,28.9,7.4
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1011.78,09-23-2019,10:00:00,0.00,79,050,23.7,17.60,1010.78,5.00,29.36,27.8,11.1
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1012.15,09-23-2019,10:00:00,0.00,79,030,25.6,5.40,1011.33,8.00,32.83,29.7,9.3
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1012.51,09-23-2019,10:00:00,0.01,86,040,23.7,33.20,1010.68,6.00,29.25,26.3,7.4
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1013.06,09-23-2019,10:00:00,0.00,79,060,25.1,9.30,1012.31,5.00,31.81,29.2,9.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1013.42,09-23-2019,10:00:00,0.00,83,350,24.5,0.01,1009.41,9.00,30.81,27.7,7.4
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1013.15,09-23-2019,10:00:00,0.00,82,000,24.7,3.10,1012.47,3.00,31.03,28.1,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1013.53,09-23-2019,10:00:00,0.00,85,280,25.0,0.80,1012.41,7.00,31.75,27.9,3.7
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1012.77,09-23-2019,10:00:00,0.00,83,090,25.8,4.80,1009.85,9.00,33.20,28.9,13.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1012.45,09-23-2019,10:00:00,0.00,80,000,26.6,0.00,1011.77,6.00,34.82,30.5,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1013.56,09-23-2019,10:00:00,0.00,75,120,24.5,20.20,1009.45,3.00,30.72,29.5,3.7
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1013.23,09-23-2019,10:00:00,0.00,69,130,24.6,0.00,1012.64,8.00,30.90,31.0,13.0
