WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,MeanSeaLevelPressure,MaximumTemperature,WindDirection,LandVisibility,StationPressure,VaporPressure,AirTemperature,DewPoint,Rainfall24Hr,RelativeHumidity,Rainfall
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,08-05-2019,19:00:00,1003.20,32.5,000,11.00,986.67,29.60,29.5,23.9,0.20,72,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,08-05-2019,19:00:00,1002.96,31.5,000,10.00,985.72,34.40,28.5,26.4,0.20,88,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,08-05-2019,19:00:00,1001.50,33.2,000,12.00,976.02,28.62,28.7,23.3,0.00,73,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,5.6,08-05-2019,19:00:00,1002.75,30.8,180,8.00,996.99,33.91,27.0,26.1,21.10,95,4.80
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,08-05-2019,19:00:00,1003.39,30.5,000,7.00,997.23,32.86,26.9,25.6,18.80,93,4.10
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,08-05-2019,19:00:00,1003.23,32.2,000,10.00,986.88,32.36,27.5,25.4,3.80,88,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,5.6,08-05-2019,19:00:00,1002.08,29.4,300,10.00,979.69,27.86,24.5,22.9,53.30,91,11.10
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.0,08-05-2019,19:00:00,1003.27,30.5,000,8.00,988.92,31.71,26.6,25.0,12.70,91,1.20
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,08-05-2019,19:00:00,1002.59,27.7,000,6.00,986.20,31.25,25.5,24.8,14.30,96,1.20
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,5.6,08-05-2019,19:00:00,1003.28,32.1,190,10.00,998.10,28.54,28.8,23.3,6.80,72,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,08-05-2019,19:00:00,1001.88,32.5,000,12.00,988.81,28.95,28.3,23.5,20.80,75,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1.9,08-05-2019,19:00:00,1002.56,30.8,070,10.00,993.33,31.46,28.6,24.9,4.80,80,0.01
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,9.3,08-05-2019,19:00:00,1003.80,33.6,330,10.00,982.37,27.42,29.5,22.6,0.01,67,0.01
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,11.1,08-05-2019,19:00:00,1002.79,33.0,220,12.00,985.53,29.08,29.8,23.6,0.00,69,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.0,08-05-2019,19:00:00,1002.33,33.0,000,10.00,986.75,31.31,30.5,24.8,0.00,72,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,08-05-2019,19:00:00,1001.86,34.1,000,10.00,983.20,31.98,29.0,25.2,0.40,80,0.40
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,08-05-2019,19:00:00,1002.18,27.0,000,7.00,950.79,26.17,23.2,21.8,17.30,92,8.20
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,9.3,08-05-2019,19:00:00,1002.80,31.6,140,7.00,998.87,29.05,28.5,23.6,0.01,75,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,14.8,08-05-2019,19:00:00,1003.80,24.3,250,.70,908.86,24.15,21.0,20.5,28.40,97,9.30
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,08-05-2019,19:00:00,1001.98,33.3,000,8.00,986.21,34.00,29.7,26.2,0.40,82,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,9.3,08-05-2019,19:00:00,1003.21,31.3,180,9.00,999.21,32.63,28.9,25.5,0.20,82,0.01
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,08-05-2019,19:00:00,1004.45,31.2,000,9.00,993.87,28.35,28.7,23.2,3.60,72,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,5.6,08-05-2019,19:00:00,1003.76,30.5,180,12.00,1001.84,29.87,28.5,24.0,1.50,77,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,5.6,08-05-2019,19:00:00,1003.72,34.4,240,10.00,983.11,26.27,29.6,21.9,0.00,63,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.0,08-05-2019,19:00:00,1001.96,33.7,000,10.00,984.59,32.96,30.6,25.7,0.00,75,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,7.4,08-05-2019,19:00:00,1001.79,34.3,060,10.00,985.94,29.24,31.3,23.7,0.00,64,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,3.7,08-05-2019,19:00:00,1002.85,32.9,220,10.00,989.03,28.75,30.2,23.4,0.00,67,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,08-05-2019,19:00:00,1004.21,33.5,000,8.00,989.46,33.62,27.7,26.0,0.00,91,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1.9,08-05-2019,19:00:00,1002.82,32.5,160,10.00,988.37,31.97,30.4,25.2,0.00,74,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,08-05-2019,19:00:00,1002.73,34.6,000,10.00,999.74,31.86,28.8,25.1,0.70,80,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,08-05-2019,19:00:00,1003.44,33.5,000,10.00,995.59,28.61,29.7,23.3,0.00,69,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,5.6,08-05-2019,19:00:00,1004.15,33.0,180,8.00,1003.05,29.16,28.7,23.6,1.60,74,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,08-05-2019,19:00:00,1003.40,34.5,000,8.00,988.92,33.17,30.0,25.8,0.00,78,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,11.1,08-05-2019,19:00:00,1005.70,23.4,190,.10,870.97,22.48,19.7,19.4,24.00,98,12.80
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,08-05-2019,19:00:00,1003.74,35.0,000,10.00,997.93,31.93,29.4,25.1,9.40,78,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,7.4,08-05-2019,19:00:00,1004.52,34.8,160,8.00,1003.72,31.27,26.8,24.8,2.10,89,0.50
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,14.8,08-05-2019,19:00:00,1004.28,31.6,210,10.00,1003.84,29.74,28.0,23.9,3.00,79,0.50
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,08-05-2019,19:00:00,1003.73,28.8,000,5.00,992.45,32.63,26.5,25.5,24.30,94,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.0,08-05-2019,19:00:00,1004.05,32.0,000,10.00,1003.05,31.69,29.0,25.0,3.30,79,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,3.7,08-05-2019,19:00:00,1003.80,33.1,160,8.00,1002.00,28.72,29.9,23.4,0.00,68,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,08-05-2019,19:00:00,1003.66,31.5,000,6.00,1002.90,30.51,28.4,24.4,1.30,79,0.01
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,13.0,08-05-2019,19:00:00,1004.68,31.4,190,10.00,1003.98,29.72,26.7,23.9,12.00,85,4.40
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.0,08-05-2019,19:00:00,1004.63,34.2,000,7.00,1003.93,32.47,28.4,25.4,0.60,84,0.40
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,7.4,08-05-2019,19:00:00,1003.53,35.7,290,10.00,982.71,28.53,30.8,23.3,0.00,64,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,08-05-2019,19:00:00,1002.61,33.3,000,9.00,986.18,29.20,31.0,23.6,0.00,65,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.0,08-05-2019,19:00:00,1003.79,33.7,000,8.00,987.59,29.30,30.2,23.7,0.00,68,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,08-05-2019,19:00:00,1003.47,35.2,000,10.00,981.94,23.19,30.5,19.9,0.00,53,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,7.4,08-05-2019,19:00:00,1004.26,31.7,230,10.00,961.13,26.15,26.9,21.8,0.80,74,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,14.8,08-05-2019,19:00:00,1003.06,36.1,230,10.00,982.89,25.51,31.5,21.4,0.00,55,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,7.4,08-05-2019,19:00:00,1004.48,34.6,250,9.00,983.95,27.22,30.4,22.5,0.00,63,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,11.1,08-05-2019,19:00:00,1003.88,31.4,200,10.00,1003.45,31.54,28.5,24.9,10.60,81,1.20
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,08-05-2019,19:00:00,1004.35,33.9,000,6.00,1002.95,29.74,29.0,23.9,0.00,74,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,08-05-2019,19:00:00,1004.75,32.5,000,7.00,999.86,30.29,29.0,24.3,0.01,76,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.0,08-05-2019,19:00:00,1003.83,31.6,000,12.00,1000.57,31.33,29.1,24.8,0.80,78,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,08-05-2019,19:00:00,1004.08,32.6,000,10.00,1002.98,32.68,27.8,25.5,1.10,88,0.70
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.0,08-05-2019,19:00:00,1004.51,32.6,000,10.00,1004.21,31.79,26.5,25.1,23.40,92,5.20
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.0,08-05-2019,19:00:00,1004.56,32.2,000,10.00,1003.88,32.79,26.3,25.6,15.70,96,7.80
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.0,08-05-2019,19:00:00,1004.58,33.1,000,10.00,1004.09,32.51,26.3,25.4,23.90,95,9.80
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,11.1,08-05-2019,19:00:00,1004.71,32.6,170,10.00,1003.30,31.96,26.3,25.1,9.60,93,5.60
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,29.6,08-05-2019,19:00:00,1004.69,31.0,190,10.00,1003.03,28.91,29.0,23.5,0.00,72,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,3.7,08-05-2019,19:00:00,1005.96,32.7,230,10.00,998.00,28.16,28.6,23.0,20.70,72,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,08-05-2019,19:00:00,1004.47,32.8,000,10.00,1004.19,31.13,29.0,24.7,6.80,78,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,9.3,08-05-2019,19:00:00,1004.86,31.7,300,10.00,1001.75,27.97,28.5,22.9,0.50,72,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,5.6,08-05-2019,19:00:00,1005.20,31.0,210,12.00,998.30,30.56,28.0,24.4,0.60,81,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,7.4,08-05-2019,19:00:00,1004.62,33.0,190,7.00,999.08,29.85,29.2,24.0,0.00,74,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,18.5,08-05-2019,19:00:00,1005.96,32.5,210,10.00,996.69,28.39,28.0,23.2,0.40,75,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.0,08-05-2019,19:00:00,1005.38,32.7,000,10.00,1004.12,32.64,27.5,25.5,8.00,89,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.0,08-05-2019,19:00:00,1004.59,32.3,000,11.00,1004.16,33.41,29.0,25.9,3.30,83,0.70
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,08-05-2019,19:00:00,1004.73,31.0,000,10.00,992.53,28.90,27.7,23.5,21.10,78,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,7.4,08-05-2019,19:00:00,1004.65,31.2,240,10.00,1003.94,31.66,28.7,25.0,7.40,80,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,11.1,08-05-2019,19:00:00,1005.82,34.4,200,10.00,1003.40,29.08,28.8,23.6,2.60,73,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,18.5,08-05-2019,19:00:00,1005.26,31.0,240,10.00,1004.74,30.42,28.5,24.3,7.40,78,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,3.7,08-05-2019,19:00:00,1005.18,31.7,230,11.00,1000.05,28.22,28.2,23.1,4.80,74,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,5.6,08-05-2019,19:00:00,1005.66,29.3,170,7.00,1005.25,30.26,27.7,24.2,72.90,81,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,08-05-2019,19:00:00,1006.03,29.4,000,8.00,1003.25,30.84,26.0,24.6,49.30,92,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,08-05-2019,19:00:00,1006.91,29.2,000,10.00,1006.13,28.94,27.0,23.5,15.20,81,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,5.6,08-05-2019,19:00:00,1006.71,27.0,060,6.00,1006.25,31.25,25.5,24.8,121.70,96,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,3.7,08-05-2019,19:00:00,1005.77,30.8,270,7.00,1005.09,29.95,26.1,24.1,13.70,89,4.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.0,08-05-2019,19:00:00,1006.10,30.0,000,7.00,1004.58,30.97,26.5,24.6,12.40,89,5.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,9.3,08-05-2019,19:00:00,1007.28,30.0,190,10.00,1006.36,29.82,25.6,24.0,26.70,91,7.30
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,08-05-2019,19:00:00,1006.38,32.7,000,10.00,1005.69,31.36,25.7,24.8,12.30,95,1.50
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,3.7,08-05-2019,19:00:00,1006.93,32.0,280,8.00,1006.13,33.67,26.6,26.0,18.60,97,5.70
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1.9,08-05-2019,19:00:00,1005.95,33.8,010,10.00,1005.31,32.69,27.1,25.5,2.60,91,2.60
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,7.4,08-05-2019,19:00:00,1006.02,34.9,210,10.00,1005.62,28.75,29.2,23.4,0.00,71,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,08-05-2019,19:00:00,1008.83,32.7,000,5.00,1004.61,32.63,26.5,25.5,2.60,94,1.20
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,08-05-2019,19:00:00,1006.83,33.2,000,10.00,1005.23,28.78,28.5,23.4,0.00,74,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,08-05-2019,19:00:00,1007.53,33.5,000,10.00,1004.06,31.38,27.0,24.8,0.20,88,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,08-05-2019,19:00:00,1006.25,35.4,000,9.00,1004.91,28.26,30.8,23.1,0.00,64,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,18.5,08-05-2019,19:00:00,1006.99,31.5,240,10.00,1006.11,29.33,29.5,23.7,2.90,71,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,7.4,08-05-2019,19:00:00,1006.94,32.5,250,10.00,1003.41,30.57,29.0,24.4,0.00,76,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,08-05-2019,19:00:00,1007.01,34.0,000,10.00,1006.58,31.31,30.5,24.8,0.60,72,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,9.3,08-05-2019,19:00:00,1007.26,33.3,230,10.00,1006.28,31.72,30.0,25.0,0.01,75,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,16.7,08-05-2019,19:00:00,1007.07,32.3,220,10.00,1006.27,30.75,29.8,24.5,6.20,73,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,08-05-2019,19:00:00,1006.97,32.8,000,10.00,1005.17,32.30,29.3,25.3,7.00,79,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,3.7,08-05-2019,19:00:00,1006.36,36.0,260,10.00,1005.62,26.05,31.5,21.8,0.00,56,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,7.4,08-05-2019,19:00:00,1006.57,35.3,240,10.00,1002.61,29.08,29.8,23.6,0.00,69,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,08-05-2019,19:00:00,1006.97,33.1,000,10.00,1006.29,30.92,29.6,24.6,0.00,75,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,08-05-2019,19:00:00,1006.37,35.5,000,10.00,1005.27,28.89,30.7,23.5,0.00,65,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,3.7,08-05-2019,19:00:00,1006.88,34.2,220,10.00,1003.99,31.44,30.0,24.9,0.00,74,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.0,08-05-2019,19:00:00,1006.55,35.7,000,9.00,1005.87,30.57,31.4,24.4,0.00,67,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.0,08-05-2019,19:00:00,1006.71,35.4,000,8.00,1002.63,28.97,29.6,23.5,0.00,70,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.0,08-05-2019,19:00:00,1007.84,34.9,000,10.00,1007.26,29.09,30.8,23.6,0.00,66,0.00
