WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,AirTemperature,LandVisibility,StationPressure,MaximumTemperature,WindSpeed,DewPoint,Rainfall24Hr,MeanSeaLevelPressure,WindDirection,Rainfall,RelativeHumidity
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,32.77,09-25-2019,19:00:00,27.0,8.00,966.89,31.5,0.0,25.6,1.80,1002.13,000,0.00,92
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,25.44,09-25-2019,19:00:00,25.6,7.00,983.71,33.3,0.0,21.4,0.00,1013.69,000,0.00,78
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.70,09-25-2019,19:00:00,30.7,8.00,1005.93,36.0,0.0,22.2,0.00,1013.19,000,0.00,60
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,27.12,09-25-2019,19:00:00,30.2,7.00,993.89,34.3,0.0,22.4,0.00,1013.69,000,0.00,63
48353,LOEI,เลย,เลย,17.45000,101.73333,26.13,09-25-2019,19:00:00,28.5,10.00,985.10,33.2,0.0,21.8,0.00,1013.77,000,0.00,67
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.34,09-25-2019,19:00:00,29.1,12.00,993.94,33.6,0.0,20.7,0.00,1014.10,000,0.00,60
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,25.41,09-25-2019,19:00:00,27.8,6.00,992.71,32.8,0.0,21.4,0.00,1014.52,000,0.00,68
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,24.40,09-25-2019,19:00:00,28.4,10.00,994.39,32.5,7.4,20.7,0.00,1013.90,100,0.00,63
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,22.56,09-25-2019,19:00:00,28.2,10.00,998.35,33.2,1.9,19.4,0.00,1015.16,050,0.00,59
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,27.52,09-25-2019,19:00:00,26.8,10.00,999.59,34.0,0.0,22.7,0.00,1017.17,000,0.00,78
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,27.85,09-25-2019,19:00:00,28.0,8.00,987.79,33.0,0.0,22.9,0.00,1013.63,000,0.00,74
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,31.56,09-25-2019,19:00:00,29.5,10.00,1007.24,34.5,0.0,24.9,0.01,1013.01,000,0.00,77
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,30.96,09-25-2019,19:00:00,29.2,8.00,1007.13,34.3,0.0,24.6,0.00,1013.32,000,0.00,76
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.60,09-25-2019,19:00:00,30.0,10.00,997.30,35.0,0.0,20.2,0.00,1013.68,000,0.00,56
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,25.30,09-25-2019,19:00:00,29.5,10.00,989.28,34.0,7.4,21.3,0.00,1011.51,050,0.00,61
48376,TAK,ตาก,ตาก,16.87833,99.14333,32.55,09-25-2019,19:00:00,29.0,6.00,999.82,33.2,0.0,25.5,0.00,1014.21,000,0.00,81
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,28.00,09-25-2019,19:00:00,27.5,7.00,997.50,34.0,0.0,22.9,0.00,1013.97,000,0.00,76
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,27.63,09-25-2019,19:00:00,29.9,8.00,1008.53,34.5,0.0,22.7,0.00,1013.74,000,0.00,66
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,25.62,09-25-2019,19:00:00,30.4,10.00,998.68,35.4,0.0,21.5,0.00,1011.79,000,0.00,59
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,30.87,09-25-2019,19:00:00,30.0,10.00,1004.06,33.8,0.0,24.6,0.00,1013.35,000,0.00,73
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,26.89,09-25-2019,19:00:00,29.5,10.00,991.89,32.5,5.6,22.3,0.00,1013.54,060,0.00,65
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,29.24,09-25-2019,19:00:00,29.6,12.00,996.12,32.8,0.0,23.7,0.00,1013.59,000,0.00,71
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.47,09-25-2019,19:00:00,27.4,10.00,998.27,33.3,3.7,20.7,0.00,1014.20,060,0.00,67
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,30.73,09-25-2019,19:00:00,28.8,7.00,993.92,33.3,0.0,24.5,0.00,1012.80,000,0.00,78
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.96,09-25-2019,19:00:00,25.6,8.00,962.99,32.8,0.0,20.4,0.00,1014.61,000,0.00,73
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,35.92,09-25-2019,19:00:00,31.0,5.00,1009.04,34.4,0.0,27.1,0.00,1012.97,000,0.00,80
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,22.69,09-25-2019,19:00:00,22.5,6.00,919.03,26.5,0.0,19.5,0.00,1014.53,000,0.00,83
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,28.43,09-25-2019,19:00:00,28.6,10.00,997.50,33.3,0.0,23.2,0.00,1013.50,000,0.00,73
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,29.05,09-25-2019,19:00:00,29.5,9.00,1009.40,33.9,0.0,23.6,0.00,1013.42,000,0.00,70
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,27.75,09-25-2019,19:00:00,29.1,7.00,1003.13,33.5,0.0,22.8,0.00,1013.80,000,0.00,69
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,30.27,09-25-2019,19:00:00,29.7,10.00,1011.32,33.6,0.0,24.2,0.00,1013.25,000,0.00,73
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,25.32,09-25-2019,19:00:00,29.8,10.00,992.26,33.0,5.6,21.3,0.00,1013.05,040,0.00,60
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,26.13,09-25-2019,19:00:00,28.5,10.00,995.62,32.0,18.5,21.8,0.00,1013.30,070,0.00,67
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,27.03,09-25-2019,19:00:00,29.0,10.00,996.85,33.5,0.0,22.4,0.00,1013.00,000,0.00,68
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,27.30,09-25-2019,19:00:00,29.0,10.00,998.85,33.5,5.6,22.5,0.00,1012.87,010,0.00,68
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,28.78,09-25-2019,19:00:00,28.5,10.00,998.80,33.5,0.0,23.4,0.00,1013.65,000,0.00,74
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,31.44,09-25-2019,19:00:00,30.0,10.00,999.84,32.4,11.1,24.9,0.00,1014.47,050,0.00,74
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,30.45,09-25-2019,19:00:00,31.2,8.00,1010.13,33.6,0.0,24.3,0.00,1013.13,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,67
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,29.03,09-25-2019,19:00:00,30.2,10.00,1005.31,34.2,0.0,23.5,0.00,1013.22,000,0.00,68
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,29.71,09-25-2019,19:00:00,29.7,8.00,1012.29,33.1,11.1,23.9,0.00,1013.40,050,0.00,71
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,28.91,09-25-2019,19:00:00,30.0,8.00,998.20,32.1,3.7,23.5,0.00,1012.83,100,0.00,68
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,21.27,09-25-2019,19:00:00,19.3,8.00,878.88,24.5,0.0,18.5,0.00,1015.03,000,0.00,95
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,29.90,09-25-2019,19:00:00,28.8,10.00,1007.16,33.0,0.0,24.0,0.00,1013.04,000,0.00,76
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,30.39,09-25-2019,19:00:00,29.9,5.00,1011.85,35.9,9.3,24.3,0.01,1012.64,070,0.01,72
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,28.86,09-25-2019,19:00:00,30.4,9.00,1011.82,33.2,11.1,23.5,0.00,1012.26,120,0.00,66
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,30.78,09-25-2019,19:00:00,27.4,7.00,1001.73,33.7,0.0,24.5,0.00,1013.09,000,0.00,84
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,30.34,09-25-2019,19:00:00,30.3,8.00,1011.97,34.1,0.0,24.3,0.00,1012.98,000,0.00,70
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,28.64,09-25-2019,19:00:00,30.0,8.00,1011.19,33.5,0.0,23.3,0.00,1013.01,000,0.00,68
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,30.96,09-25-2019,19:00:00,29.2,6.00,1012.00,33.4,0.0,24.6,0.00,1012.77,000,0.00,76
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,28.31,09-25-2019,19:00:00,30.4,8.00,1011.94,33.4,13.0,23.1,0.00,1012.63,060,0.00,65
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,28.34,09-25-2019,19:00:00,30.7,7.00,1011.38,34.2,3.7,23.1,0.00,1012.08,060,0.00,64
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,26.57,09-25-2019,19:00:00,28.6,7.00,992.47,31.5,1.9,22.1,0.00,1013.65,060,0.00,68
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,29.74,09-25-2019,19:00:00,29.0,8.00,996.61,31.7,0.0,23.9,0.00,1013.31,000,0.00,74
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,30.84,09-25-2019,19:00:00,28.0,9.00,997.38,32.8,0.0,24.6,0.00,1013.86,000,0.00,82
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,28.37,09-25-2019,19:00:00,29.0,8.00,991.38,32.0,0.0,23.2,0.00,1013.23,000,0.00,71
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,24.94,09-25-2019,19:00:00,25.6,8.00,970.03,30.6,7.4,21.1,0.00,1013.75,080,0.00,76
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,30.56,09-25-2019,19:00:00,28.0,10.00,992.60,31.5,0.0,24.4,0.00,1013.22,000,0.00,81
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,31.76,09-25-2019,19:00:00,26.2,7.00,994.18,30.8,0.0,25.0,0.00,1015.22,000,0.00,93
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,29.65,09-25-2019,19:00:00,29.1,9.00,1011.96,32.7,0.0,23.9,2.00,1012.39,000,0.00,74
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,29.57,09-25-2019,19:00:00,29.2,6.00,1010.61,32.4,0.0,23.9,0.00,1012.03,000,0.00,73
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,33.78,09-25-2019,19:00:00,28.9,8.00,1008.07,33.0,0.0,26.1,0.00,1013.00,000,0.00,85
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,27.63,09-25-2019,19:00:00,29.9,7.00,1009.65,33.0,0.0,22.7,0.00,1012.93,000,0.00,66
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,30.75,09-25-2019,19:00:00,29.8,10.00,1011.72,32.6,0.0,24.5,0.30,1012.82,000,0.00,73
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,29.48,09-25-2019,19:00:00,31.0,10.00,1012.04,33.8,5.6,23.8,0.00,1012.33,080,0.00,66
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,28.59,09-25-2019,19:00:00,30.4,10.00,1011.57,34.5,3.7,23.3,0.00,1012.25,050,0.00,66
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,29.50,09-25-2019,19:00:00,30.3,10.00,1012.17,35.2,0.0,23.8,0.00,1012.66,000,0.00,68
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,28.97,09-25-2019,19:00:00,30.6,10.00,1011.20,33.2,11.1,23.5,0.00,1012.60,020,0.00,66
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,31.39,09-25-2019,19:00:00,31.1,10.00,1010.62,31.6,18.5,24.8,0.00,1012.28,040,0.00,69
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,32.10,09-25-2019,19:00:00,28.5,10.00,1006.49,33.5,0.0,25.2,0.00,1014.51,000,0.00,83
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,29.92,09-25-2019,19:00:00,31.5,10.00,1011.73,35.0,9.3,24.0,0.00,1012.01,020,0.00,65
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,31.72,09-25-2019,19:00:00,30.0,10.00,1008.73,33.0,0.0,25.0,0.00,1011.85,000,0.00,75
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,29.70,09-25-2019,19:00:00,30.4,10.00,1004.87,32.3,7.4,23.9,0.00,1011.76,050,0.00,68
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,32.21,09-25-2019,19:00:00,30.1,8.00,1007.39,33.3,0.0,25.3,0.00,1012.96,000,0.00,76
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,29.33,09-25-2019,19:00:00,29.5,8.00,1004.10,33.8,0.0,23.7,0.00,1013.39,000,0.00,71
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,32.03,09-25-2019,19:00:00,27.9,8.00,1012.05,31.8,3.7,25.2,2.30,1013.32,270,2.30,85
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,30.18,09-25-2019,19:00:00,30.5,11.00,1012.00,33.7,0.0,24.2,0.40,1012.43,000,0.00,69
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,31.11,09-25-2019,19:00:00,28.0,6.00,1000.61,32.0,0.0,24.7,2.50,1012.89,000,0.00,82
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,29.25,09-25-2019,19:00:00,30.6,7.00,1011.31,32.5,9.3,23.7,0.00,1012.02,330,0.00,67
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,34.97,09-25-2019,19:00:00,29.6,5.00,1009.52,35.2,3.7,26.7,0.00,1011.94,130,0.00,84
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,32.01,09-25-2019,19:00:00,29.3,10.00,1011.19,34.3,0.0,25.2,0.00,1011.70,000,0.00,79
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,32.38,09-25-2019,19:00:00,29.2,8.00,1006.65,33.5,1.9,25.4,0.00,1011.79,300,0.00,80
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,28.91,09-25-2019,19:00:00,30.0,7.00,1011.66,34.5,0.0,23.5,0.00,1012.07,000,0.00,68
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,30.72,09-25-2019,19:00:00,27.8,10.00,1009.45,34.2,3.7,24.5,0.00,1012.22,200,0.00,82
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.33,09-25-2019,19:00:00,29.5,10.00,1011.22,33.6,0.0,23.7,0.00,1012.01,000,0.00,71
48501,TRAD,ตราด,ตราด,11.76667,102.88333,31.29,09-25-2019,19:00:00,28.8,8.00,1011.40,33.0,3.7,24.8,0.00,1011.85,100,0.00,79
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,31.95,09-25-2019,19:00:00,28.0,7.00,1011.27,32.1,3.7,25.1,5.90,1011.95,070,0.00,85
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,33.41,09-25-2019,19:00:00,29.0,8.00,1010.19,33.0,0.0,25.9,1.20,1011.72,000,0.00,83
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,27.85,09-25-2019,19:00:00,28.0,10.00,1010.79,33.1,3.7,22.9,1.00,1011.71,020,0.00,74
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,32.84,09-25-2019,19:00:00,28.3,10.00,1010.90,30.9,9.3,25.6,0.00,1011.58,320,0.00,85
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,31.99,09-25-2019,19:00:00,26.6,7.00,1011.49,29.4,0.0,25.2,23.60,1012.29,000,0.00,92
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,31.79,09-25-2019,19:00:00,28.2,10.00,1010.91,31.8,0.0,25.1,16.10,1011.54,000,0.00,83
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,33.14,09-25-2019,19:00:00,26.9,10.00,1011.23,30.7,0.0,25.8,41.60,1011.63,000,0.00,94
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,31.92,09-25-2019,19:00:00,27.7,5.00,1010.13,31.3,0.0,25.1,8.30,1014.35,000,0.00,86
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,28.76,09-25-2019,19:00:00,26.9,8.00,1009.83,33.2,0.0,23.4,1.60,1011.45,000,0.00,81
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,29.60,09-25-2019,19:00:00,27.5,10.00,1007.96,34.0,0.0,23.9,2.60,1011.45,000,0.00,81
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,32.88,09-25-2019,19:00:00,28.6,7.00,1009.87,36.0,33.3,25.6,42.50,1011.22,120,0.00,84
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,30.01,09-25-2019,19:00:00,28.0,10.00,1009.60,33.0,0.0,24.1,0.00,1010.49,000,0.00,79
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,32.38,09-25-2019,19:00:00,26.8,10.00,1007.90,31.3,0.0,25.4,2.80,1011.47,000,0.00,92
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,31.28,09-25-2019,19:00:00,29.5,10.00,1010.47,34.3,0.0,24.8,0.80,1010.90,000,0.00,76
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,32.28,09-25-2019,19:00:00,27.6,10.00,1010.25,33.0,0.0,25.3,0.01,1011.24,000,0.00,87
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,28.23,09-25-2019,19:00:00,29.5,8.00,1009.90,33.0,9.3,23.1,0.00,1010.71,050,0.00,68
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,27.72,09-25-2019,19:00:00,27.2,10.00,1009.17,33.2,0.0,22.8,4.50,1010.99,000,0.00,77
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,30.24,09-25-2019,19:00:00,29.4,10.00,1010.79,32.4,9.3,24.2,1.40,1011.54,070,0.00,74
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,30.62,09-25-2019,19:00:00,28.6,10.00,1007.45,33.7,18.5,24.4,0.01,1011.44,070,0.00,78
48570,SATUN,สตูล,สตูล,6.65000,100.08333,27.66,09-25-2019,19:00:00,30.2,10.00,1010.45,34.7,9.3,22.7,0.00,1011.13,050,0.00,64
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,35.16,09-25-2019,19:00:00,29.0,10.00,1010.38,32.1,7.4,26.8,0.00,1011.49,130,0.00,88
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,30.18,09-25-2019,19:00:00,28.8,10.00,1008.37,34.5,11.1,24.2,0.00,1011.29,070,0.00,76
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,32.42,09-25-2019,19:00:00,28.8,8.00,1010.83,34.3,0.0,25.4,0.00,1011.52,000,0.00,82
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,30.15,09-25-2019,19:00:00,28.5,10.00,1007.79,32.8,0.0,24.2,5.50,1011.91,000,0.00,78
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,30.57,09-25-2019,19:00:00,29.0,10.00,1010.44,33.0,11.1,24.4,1.90,1011.03,120,0.00,76
