WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,AirTemperature,VaporPressure,WindDirection,Rainfall24Hr,RelativeHumidity,DewPoint,WindSpeed,MeanSeaLevelPressure,Rainfall,StationPressure
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,8.00,08-04-2019,22:00:00,24.2,28.36,000,12.20,94,23.2,0.0,1002.42,1.30,974.83
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,08-04-2019,22:00:00,24.8,30.22,000,14.50,97,24.2,0.0,1000.51,0.70,967.02
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,4.00,08-04-2019,22:00:00,24.2,29.66,220,19.30,98,23.9,5.6,1001.76,2.10,983.21
48331,NAN,น่าน,น่าน,18.77972,100.77778,8.00,08-04-2019,22:00:00,23.7,28.77,000,60.30,98,23.4,0.0,1001.82,2.00,978.91
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,6.00,08-04-2019,22:00:00,23.4,27.75,000,56.30,96,22.8,0.0,1001.79,4.10,971.77
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,5.00,08-04-2019,22:00:00,25.0,30.32,000,12.00,96,24.3,0.0,1002.05,1.40,966.59
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,13.00,08-04-2019,22:00:00,24.6,28.55,150,20.30,92,23.3,3.7,1003.28,0.00,973.51
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,7.00,08-04-2019,22:00:00,25.0,30.32,000,9.90,96,24.3,0.0,1002.04,0.90,994.72
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,11.00,08-04-2019,22:00:00,26.8,32.10,210,11.80,91,25.2,3.7,1002.67,0.00,982.86
48353,LOEI,เลย,เลย,17.45000,101.73333,13.00,08-04-2019,22:00:00,25.0,27.70,160,11.80,88,22.8,3.7,1002.93,0.00,974.24
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,12.00,08-04-2019,22:00:00,27.5,30.15,000,0.60,82,24.2,0.0,1002.83,0.00,982.79
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10.00,08-04-2019,22:00:00,25.8,30.46,000,3.60,92,24.3,0.0,1003.61,0.00,981.89
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10.00,08-04-2019,22:00:00,25.9,30.65,080,4.00,92,24.4,3.7,1003.10,0.00,983.63
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10.00,08-04-2019,22:00:00,25.0,30.05,000,13.50,95,24.1,0.0,1003.79,0.20,987.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10.00,08-04-2019,22:00:00,25.0,30.32,000,14.40,96,24.3,0.0,1004.42,0.20,986.96
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,11.00,08-04-2019,22:00:00,27.1,27.27,000,1.30,76,22.5,0.0,1001.70,0.00,976.08
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,08-04-2019,22:00:00,27.4,31.05,120,0.20,85,24.7,5.6,1002.42,0.00,996.67
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,7.00,08-04-2019,22:00:00,26.5,29.08,000,0.70,84,23.6,0.0,1002.00,0.50,995.84
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,8.00,08-04-2019,22:00:00,25.2,29.36,000,1.00,92,23.7,0.0,1003.97,0.00,987.49
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,7.00,08-04-2019,22:00:00,23.5,27.66,000,32.50,96,22.8,0.0,1001.83,14.40,979.37
48376,TAK,ตาก,ตาก,16.87833,99.14333,5.00,08-04-2019,22:00:00,25.1,29.44,000,4.00,92,23.8,0.0,1002.94,1.80,988.53
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,6.00,08-04-2019,22:00:00,25.5,29.64,000,0.80,91,23.9,0.0,1001.80,0.50,985.43
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,08-04-2019,22:00:00,26.0,31.11,130,0.90,93,24.7,3.7,1002.83,0.20,997.60
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10.00,08-04-2019,22:00:00,25.7,30.01,000,14.30,91,24.1,0.0,1001.94,14.30,988.75
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10.00,08-04-2019,22:00:00,27.0,31.38,000,0.01,88,24.8,0.0,1002.21,0.01,992.93
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,9.00,08-04-2019,22:00:00,27.6,25.57,190,2.20,69,21.5,5.6,1003.16,0.00,981.60
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,8.00,08-04-2019,22:00:00,26.8,27.52,240,0.50,78,22.7,5.6,1003.31,0.00,985.86
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.00,08-04-2019,22:00:00,26.7,28.92,200,0.00,83,23.5,3.7,1003.01,0.00,987.23
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,8.00,08-04-2019,22:00:00,27.9,29.28,000,0.50,78,23.7,0.0,1002.15,0.00,983.42
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,7.00,08-04-2019,22:00:00,22.8,25.28,000,14.80,91,21.3,0.0,1004.76,1.40,953.17
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,7.00,08-04-2019,22:00:00,26.2,29.07,130,0.00,85,23.6,13.0,1002.33,0.00,998.38
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,.40,08-04-2019,22:00:00,20.4,23.49,180,20.50,98,20.1,14.8,1002.90,3.50,907.86
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,7.00,08-04-2019,22:00:00,26.5,31.24,000,0.20,90,24.8,0.0,1003.26,0.00,987.31
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,10.00,08-04-2019,22:00:00,27.0,31.38,190,0.10,88,24.8,7.4,1002.55,0.00,998.54
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,5.00,08-04-2019,22:00:00,25.0,29.79,000,13.90,94,24.0,0.0,1004.42,3.00,993.71
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,8.00,08-04-2019,22:00:00,25.5,29.11,180,0.30,89,23.6,9.3,1003.78,0.00,1001.84
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,08-04-2019,22:00:00,25.9,28.78,250,0.00,86,23.4,7.4,1004.32,0.00,983.44
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,08-04-2019,22:00:00,26.4,29.70,000,0.10,86,23.9,0.0,1003.12,0.00,985.49
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,08-04-2019,22:00:00,27.0,30.02,000,0.00,84,24.1,0.0,1003.02,0.00,986.92
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,08-04-2019,22:00:00,27.6,27.65,000,2.40,75,22.7,0.0,1003.92,0.00,989.96
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10.00,08-04-2019,22:00:00,27.0,31.38,000,0.40,88,24.8,0.0,1004.64,0.00,989.85
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,7.00,08-04-2019,22:00:00,27.5,29.60,220,0.70,81,23.9,9.3,1004.88,0.00,990.27
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10.00,08-04-2019,22:00:00,25.8,31.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",8.20,93,24.6,0.0,1002.59,0.00,999.58
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,7.00,08-04-2019,22:00:00,25.9,28.78,000,0.00,86,23.4,0.0,1003.48,0.00,995.52
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,8.00,08-04-2019,22:00:00,25.9,29.84,190,2.00,89,24.0,7.4,1004.27,1.10,1003.16
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,8.00,08-04-2019,22:00:00,28.8,31.86,100,0.00,80,25.1,3.7,1004.11,0.00,989.56
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,.05,08-04-2019,22:00:00,19.3,22.15,290,2.70,99,19.1,9.3,1006.19,0.00,871.23
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10.00,08-04-2019,22:00:00,25.1,29.97,000,19.50,94,24.1,0.0,1004.15,9.30,998.25
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,8.00,08-04-2019,22:00:00,26.7,28.92,270,2.00,83,23.5,5.6,1004.73,0.20,1003.93
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,08-04-2019,22:00:00,28.8,28.00,230,0.30,71,22.9,9.3,1005.70,0.00,1005.25
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,4.00,08-04-2019,22:00:00,24.8,29.95,000,41.70,96,24.1,0.0,1004.52,0.50,993.17
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10.00,08-04-2019,22:00:00,26.5,28.55,210,1.40,83,23.3,7.4,1004.15,0.00,1003.14
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,7.00,08-04-2019,22:00:00,26.5,29.89,160,0.50,86,24.0,3.7,1004.16,0.00,1002.34
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,7.00,08-04-2019,22:00:00,26.4,26.81,000,4.00,78,22.2,0.0,1004.08,0.00,1003.31
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,08-04-2019,22:00:00,25.9,28.26,240,0.01,85,23.1,9.3,1004.96,0.01,1004.26
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.00,08-04-2019,22:00:00,28.2,29.57,240,0.00,77,23.9,5.6,1004.83,0.00,1004.13
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10.00,08-04-2019,22:00:00,27.1,28.06,250,0.10,78,23.0,3.7,1004.07,0.00,982.98
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,8.00,08-04-2019,22:00:00,27.5,26.95,000,0.00,73,22.3,0.0,1004.60,0.00,987.96
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,6.00,08-04-2019,22:00:00,27.4,28.08,180,0.10,77,23.0,3.7,1005.01,0.00,988.63
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,08-04-2019,22:00:00,27.4,24.47,000,0.00,67,20.7,0.0,1004.44,0.00,982.67
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10.00,08-04-2019,22:00:00,24.8,26.60,170,1.60,85,22.1,7.4,1004.81,0.80,961.36
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,8.00,08-04-2019,22:00:00,27.8,26.70,210,0.00,71,22.2,5.6,1005.58,0.00,985.11
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,9.00,08-04-2019,22:00:00,26.5,28.82,220,0.00,83,23.4,9.3,1005.57,0.00,984.75
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,08-04-2019,22:00:00,26.0,31.11,240,4.70,93,24.7,5.6,1005.11,0.80,1004.67
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,8.00,08-04-2019,22:00:00,27.0,30.02,000,0.10,84,24.1,0.0,1004.80,0.00,1003.39
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,7.00,08-04-2019,22:00:00,27.4,30.78,000,0.01,84,24.5,0.0,1004.97,0.00,1000.05
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10.00,08-04-2019,22:00:00,25.8,29.13,170,6.40,88,23.6,3.7,1004.44,0.00,1001.14
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,5.00,08-04-2019,22:00:00,25.8,31.00,000,3.70,93,24.6,0.0,1004.83,0.01,1003.72
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,8.00,08-04-2019,22:00:00,26.7,30.26,000,1.10,86,24.2,0.0,1004.74,0.60,1004.44
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,08-04-2019,22:00:00,26.5,30.43,000,1.10,88,24.3,0.0,1004.91,0.40,1004.42
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,08-04-2019,22:00:00,26.6,30.07,210,0.60,86,24.1,11.1,1004.89,0.01,1003.48
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,08-04-2019,22:00:00,26.4,29.97,230,0.30,87,24.1,3.7,1006.48,0.30,998.46
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,08-04-2019,22:00:00,27.8,33.82,170,0.01,91,26.1,3.7,1004.88,0.00,1004.60
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,08-04-2019,22:00:00,28.0,30.56,270,1.30,81,24.4,5.6,1004.97,0.00,1001.85
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,08-04-2019,22:00:00,28.5,30.15,240,0.40,78,24.2,9.3,1005.53,0.00,998.63
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,7.00,08-04-2019,22:00:00,28.2,30.40,000,0.00,80,24.3,0.0,1005.25,0.00,999.68
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,8.00,08-04-2019,22:00:00,25.1,31.31,000,5.20,98,24.8,0.0,1005.57,1.70,1004.31
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,08-04-2019,22:00:00,27.3,31.41,000,2.80,87,24.9,0.0,1005.12,0.00,1004.69
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,8.00,08-04-2019,22:00:00,25.0,30.32,000,7.40,96,24.3,0.0,1005.64,4.60,993.32
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,08-04-2019,22:00:00,26.0,31.65,000,1.80,94,25.0,0.0,1005.30,0.80,1004.59
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,08-04-2019,22:00:00,28.8,31.29,220,0.01,79,24.8,5.6,1005.52,0.00,1003.10
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,8.00,08-04-2019,22:00:00,28.8,33.28,250,0.01,84,25.8,9.3,1005.79,0.00,1005.27
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,10.00,08-04-2019,22:00:00,28.3,31.42,260,0.01,82,24.9,1.9,1005.46,0.00,1000.33
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.00,08-04-2019,22:00:00,28.4,31.62,190,4.70,82,25.0,9.3,1005.90,0.00,1005.49
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,08-04-2019,22:00:00,27.0,31.66,000,0.00,89,25.0,0.0,1006.45,0.00,1003.68
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,08-04-2019,22:00:00,26.7,28.39,000,6.30,81,23.2,0.0,1005.44,0.00,1004.66
48501,TRAD,ตราด,ตราด,11.76667,102.88333,5.00,08-04-2019,22:00:00,25.5,31.79,230,141.30,97,25.1,9.3,1007.04,26.50,1006.58
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,7.00,08-04-2019,22:00:00,26.5,30.97,180,3.50,89,24.6,5.6,1006.55,2.00,1005.87
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,7.00,08-04-2019,22:00:00,26.8,31.55,000,5.20,90,24.9,0.0,1006.40,4.00,1004.88
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,08-04-2019,22:00:00,26.5,30.70,210,5.80,89,24.5,5.6,1007.92,0.50,1007.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,08-04-2019,22:00:00,29.0,30.57,000,0.00,76,24.4,0.0,1007.05,0.00,1006.37
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,8.00,08-04-2019,22:00:00,26.8,30.18,000,0.40,86,24.2,0.0,1007.54,0.00,1006.75
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,08-04-2019,22:00:00,27.9,29.28,220,1.80,78,23.7,9.3,1007.15,0.00,1006.51
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,08-04-2019,22:00:00,27.0,30.02,230,2.50,84,24.1,7.4,1007.18,0.00,1006.77
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,5.00,08-04-2019,22:00:00,28.0,27.85,210,0.01,74,22.9,9.3,1008.53,0.00,1004.33
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10.00,08-04-2019,22:00:00,25.0,29.00,000,0.00,92,23.5,0.0,1009.93,0.00,1008.30
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,7.00,08-04-2019,22:00:00,25.5,31.25,000,13.00,96,24.8,0.0,1008.15,0.00,1004.66
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,8.00,08-04-2019,22:00:00,27.2,28.51,000,0.00,79,23.2,0.0,1007.55,0.00,1006.19
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,08-04-2019,22:00:00,27.7,31.36,240,0.70,84,24.8,5.6,1007.71,0.20,1006.82
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,08-04-2019,22:00:00,27.4,29.15,000,0.00,80,23.6,0.0,1008.27,0.00,1004.71
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,08-04-2019,22:00:00,29.2,31.25,280,0.60,77,24.8,7.4,1007.91,0.60,1007.48
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.00,08-04-2019,22:00:00,29.6,31.20,270,0.00,75,24.7,7.4,1007.45,0.00,1006.46
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,08-04-2019,22:00:00,29.6,32.05,250,0.00,77,25.2,27.8,1008.35,0.00,1007.55
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10.00,08-04-2019,22:00:00,27.3,31.14,000,0.20,86,24.7,0.0,1008.19,0.00,1006.38
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10.00,08-04-2019,22:00:00,29.2,26.87,240,0.00,66,22.3,5.6,1007.98,0.00,1007.23
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,08-04-2019,22:00:00,26.9,28.49,000,3.20,80,23.2,0.0,1008.30,0.00,1004.30
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,08-04-2019,22:00:00,26.0,30.30,000,8.60,90,24.3,0.0,1008.53,0.00,1007.85
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,08-04-2019,22:00:00,27.6,28.45,000,0.00,77,23.2,0.0,1007.97,0.00,1006.86
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10.00,08-04-2019,22:00:00,27.4,30.23,000,0.80,83,24.2,0.0,1008.41,0.00,1005.49
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,8.00,08-04-2019,22:00:00,27.1,31.85,000,0.00,89,25.1,0.0,1007.77,0.00,1007.08
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,8.00,08-04-2019,22:00:00,26.2,24.95,250,0.00,73,21.1,3.7,1008.78,0.00,1004.64
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10.00,08-04-2019,22:00:00,29.0,28.37,000,0.00,71,23.2,0.0,1007.98,0.00,1007.40
