WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,DewPoint,RelativeHumidity,MeanSeaLevelPressure,AirTemperature,VaporPressure,Rainfall24Hr,MinimumTemperature,Rainfall,LandVisibility,WindDirection,StationPressure
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,09-17-2019,07:00:00,22.9,96,1009.41,23.5,27.92,0.00,22.6,0.00,7.00,000,981.56
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,09-17-2019,07:00:00,22.6,97,1009.54,23.1,27.49,0.00,22.7,0.00,10.00,000,975.56
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,3.7,09-17-2019,07:00:00,23.8,94,1008.48,24.8,29.42,0.00,24.5,0.00,8.00,330,989.84
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,09-17-2019,07:00:00,23.4,97,1009.51,24.0,28.78,0.00,23.8,0.00,5.00,000,986.45
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,09-17-2019,07:00:00,22.2,93,1009.61,23.4,26.75,0.00,22.5,0.00,10.00,000,979.36
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,09-17-2019,07:00:00,21.2,95,1009.35,22.0,25.21,0.00,21.8,0.00,8.00,000,973.28
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,3.7,09-17-2019,07:00:00,22.9,96,1008.58,23.6,27.83,0.00,22.8,0.00,4.00,270,978.55
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,09-17-2019,07:00:00,23.8,91,1008.71,25.4,29.46,0.00,25.0,0.00,10.00,000,1001.36
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,3.7,09-17-2019,07:00:00,25.1,88,1008.16,27.2,31.77,0.00,26.7,0.00,12.00,050,988.27
48353,LOEI,เลย,เลย,17.45000,101.73333,0.0,09-17-2019,07:00:00,22.7,90,1008.91,24.5,27.60,0.00,23.8,0.00,4.00,000,980.01
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.0,09-17-2019,07:00:00,25.8,93,1008.61,27.1,33.26,0.00,26.4,0.00,10.00,000,988.43
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.0,09-17-2019,07:00:00,23.6,89,1009.02,25.5,29.11,0.00,24.4,0.00,10.00,000,987.16
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,3.7,09-17-2019,07:00:00,24.6,89,1008.46,26.5,30.97,0.00,25.0,0.00,10.00,020,988.92
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1.9,09-17-2019,07:00:00,24.8,88,1008.94,27.0,31.38,0.01,25.6,0.00,9.00,270,992.17
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,09-17-2019,07:00:00,24.6,92,1009.58,26.0,30.84,0.00,24.0,0.00,6.00,000,992.08
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,09-17-2019,07:00:00,24.5,94,1007.58,25.5,30.71,0.00,25.0,0.00,12.00,000,981.68
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.0,09-17-2019,07:00:00,26.1,98,1007.88,26.4,33.83,1.70,25.0,0.00,8.00,000,1002.08
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,09-17-2019,07:00:00,25.3,96,1008.41,26.0,32.20,0.00,25.5,0.00,12.00,000,1002.19
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,09-17-2019,07:00:00,22.9,91,1009.26,24.4,27.94,0.00,23.8,0.00,12.00,000,992.65
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,3.7,09-17-2019,07:00:00,22.5,91,1007.76,24.0,27.25,0.00,23.0,0.00,10.00,090,985.21
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.0,09-17-2019,07:00:00,23.5,92,1008.89,25.0,29.00,0.00,24.2,0.00,7.00,000,994.39
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,09-17-2019,07:00:00,23.2,86,1008.53,25.7,28.42,0.00,25.2,0.00,8.00,000,992.05
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.0,09-17-2019,07:00:00,25.1,95,1008.32,26.0,31.93,0.00,25.0,0.00,10.00,000,1003.06
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,09-17-2019,07:00:00,23.7,95,1007.23,24.6,29.33,0.00,24.0,0.00,12.00,000,993.93
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,3.7,09-17-2019,07:00:00,23.9,89,1008.12,25.8,29.66,0.00,25.0,0.00,11.00,320,998.75
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1.9,09-17-2019,07:00:00,25.5,96,1008.30,26.2,32.59,0.00,25.4,0.00,7.00,120,986.54
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,09-17-2019,07:00:00,24.2,86,1007.80,26.7,30.26,0.00,25.5,0.00,10.00,000,990.27
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.0,09-17-2019,07:00:00,23.2,71,1007.92,29.0,28.37,0.00,25.3,0.00,10.00,000,992.18
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,09-17-2019,07:00:00,25.2,97,1007.46,25.6,31.98,0.00,24.6,0.00,5.00,000,988.48
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,09-17-2019,07:00:00,20.4,95,1010.66,21.2,23.98,0.00,20.7,0.00,.10,000,958.50
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,3.7,09-17-2019,07:00:00,25.4,91,1007.79,27.0,32.49,0.00,25.3,0.00,4.00,100,1003.83
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.0,09-17-2019,07:00:00,20.2,98,1009.80,20.5,23.64,0.00,18.3,0.00,.20,000,914.14
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,09-17-2019,07:00:00,24.5,87,1008.30,26.8,30.72,0.00,25.0,0.00,8.00,000,992.29
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,3.7,09-17-2019,07:00:00,25.2,94,1007.85,26.2,32.04,0.00,25.6,0.00,4.00,140,1003.80
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,09-17-2019,07:00:00,23.9,93,1009.37,25.1,29.70,0.00,23.6,0.00,9.00,000,998.61
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,3.7,09-17-2019,07:00:00,24.6,93,1008.54,25.8,31.00,0.00,25.2,0.00,6.00,090,1006.60
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,5.6,09-17-2019,07:00:00,23.4,88,1007.72,25.6,28.77,0.00,23.5,0.00,10.00,270,986.75
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,3.7,09-17-2019,07:00:00,25.2,89,1007.85,27.2,32.05,0.00,25.5,0.00,8.00,090,990.18
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.0,09-17-2019,07:00:00,25.0,89,1007.81,27.0,31.66,0.00,26.1,0.00,10.00,000,991.64
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.0,09-17-2019,07:00:00,23.8,84,1007.91,26.7,29.45,0.00,26.0,0.00,10.00,000,993.85
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,09-17-2019,07:00:00,24.3,93,1008.45,25.5,30.44,0.00,24.5,0.00,9.00,000,993.53
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,3.7,09-17-2019,07:00:00,26.1,98,1008.13,26.5,33.75,0.00,25.8,0.00,8.00,200,993.42
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,09-17-2019,07:00:00,25.3,96,1007.49,26.0,32.20,0.60,24.7,0.00,7.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1004.46
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,09-17-2019,07:00:00,24.4,93,1008.02,25.7,30.54,0.00,25.1,0.00,10.00,000,1000.03
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.0,09-17-2019,07:00:00,24.6,93,1007.72,25.9,30.92,16.80,24.9,0.00,6.00,000,1006.61
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,09-17-2019,07:00:00,23.3,88,1008.04,25.5,28.59,16.00,25.3,0.00,8.00,000,993.27
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.0,09-17-2019,07:00:00,18.3,91,1009.19,19.8,21.08,3.60,17.2,0.00,6.00,000,874.04
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,09-17-2019,07:00:00,24.3,96,1008.08,25.0,30.32,0.00,24.0,0.00,5.00,000,1002.16
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.0,09-17-2019,07:00:00,25.4,97,1007.77,26.0,32.48,14.60,25.4,0.00,8.00,000,1006.97
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.0,09-17-2019,07:00:00,25.9,89,1007.57,27.9,33.45,0.20,26.8,0.00,10.00,000,1007.13
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,09-17-2019,07:00:00,24.5,94,1008.69,25.5,30.71,1.20,24.5,0.00,4.00,000,997.31
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.0,09-17-2019,07:00:00,25.8,96,1008.24,26.5,33.19,0.30,25.8,0.00,10.00,000,1007.23
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.0,09-17-2019,07:00:00,24.4,96,1007.99,25.1,30.50,44.60,24.7,0.00,7.00,000,1006.15
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,09-17-2019,07:00:00,24.8,94,1007.93,25.8,31.27,0.00,25.1,0.00,9.00,000,1007.16
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,3.7,09-17-2019,07:00:00,25.8,92,1008.21,27.2,33.17,24.00,24.0,0.00,6.00,020,1007.50
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.0,09-17-2019,07:00:00,25.6,94,1007.73,26.6,32.82,0.00,25.9,0.00,7.00,000,1007.02
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1.9,09-17-2019,07:00:00,24.1,91,1008.15,25.7,30.01,0.00,24.9,0.00,10.00,300,986.89
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,09-17-2019,07:00:00,24.8,95,1007.84,25.7,31.36,0.00,24.0,0.00,7.00,000,991.04
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,5.6,09-17-2019,07:00:00,25.4,97,1008.36,25.8,32.37,0.00,24.0,0.00,6.00,320,991.85
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,09-17-2019,07:00:00,23.8,91,1008.17,25.4,29.46,0.00,24.5,0.00,10.00,000,986.18
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.0,09-17-2019,07:00:00,23.4,99,1008.52,23.6,28.85,21.50,22.0,0.00,8.00,000,964.74
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.0,09-17-2019,07:00:00,23.6,89,1007.75,25.5,29.11,0.00,24.6,0.00,10.00,000,987.08
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,3.7,09-17-2019,07:00:00,25.7,100,1009.72,25.7,33.01,0.20,24.2,0.00,5.00,360,988.76
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,13.0,09-17-2019,07:00:00,24.8,91,1007.67,26.4,31.33,2.80,25.5,1.10,10.00,050,1007.24
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,09-17-2019,07:00:00,25.0,97,1008.13,25.6,31.71,2.40,25.4,0.00,6.00,000,1006.71
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,09-17-2019,07:00:00,25.7,98,1008.46,26.0,33.04,0.01,25.5,0.00,7.00,000,1003.50
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,3.7,09-17-2019,07:00:00,23.7,86,1007.90,26.2,29.33,0.00,23.9,0.00,12.00,210,1004.60
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,09-17-2019,07:00:00,25.1,96,1008.16,25.8,31.82,0.00,25.1,0.00,10.00,000,1007.05
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.0,09-17-2019,07:00:00,25.6,92,1007.92,27.0,32.77,17.00,26.3,0.00,10.00,000,1007.62
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.0,09-17-2019,07:00:00,24.9,90,1007.89,26.8,31.55,15.30,26.0,0.00,10.00,000,1007.20
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.0,09-17-2019,07:00:00,26.3,96,1007.36,27.0,34.19,34.50,26.5,0.00,10.00,000,1006.88
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,5.6,09-17-2019,07:00:00,26.4,95,1008.69,27.3,34.52,0.01,26.6,0.00,8.00,310,1007.28
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,14.8,09-17-2019,07:00:00,27.1,93,1007.75,28.4,35.96,0.00,27.6,0.00,10.00,300,1006.08
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,09-17-2019,07:00:00,25.0,97,1009.50,25.6,31.71,0.00,25.0,0.00,10.00,000,1001.44
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,09-17-2019,07:00:00,25.3,96,1007.43,26.0,32.20,0.20,25.4,0.00,10.00,000,1007.14
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.0,09-17-2019,07:00:00,26.1,92,1007.51,27.5,33.78,0.00,26.5,0.00,10.00,000,1004.38
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.0,09-17-2019,07:00:00,25.4,88,1007.63,27.5,32.36,0.00,26.5,0.00,12.00,000,1000.70
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,09-17-2019,07:00:00,25.1,92,1008.47,26.5,31.79,0.20,25.5,0.00,10.00,000,1002.86
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.0,09-17-2019,07:00:00,25.2,90,1009.30,27.1,32.13,0.00,26.3,0.00,8.00,000,999.97
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,3.7,09-17-2019,07:00:00,24.7,94,1008.43,25.7,31.08,0.70,25.5,0.70,12.00,320,1007.16
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.0,09-17-2019,07:00:00,24.3,88,1007.59,26.5,30.43,0.00,25.8,0.00,11.00,000,1007.15
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,09-17-2019,07:00:00,23.0,92,1008.09,24.3,28.02,0.00,23.3,0.00,10.00,000,995.71
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,5.6,09-17-2019,07:00:00,23.3,84,1007.69,26.2,28.54,0.00,25.8,0.00,12.00,270,1006.97
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.0,09-17-2019,07:00:00,24.5,91,1007.47,26.1,30.76,0.01,25.6,0.00,10.00,000,1005.03
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,7.4,09-17-2019,07:00:00,24.6,84,1007.51,27.6,30.89,0.30,27.2,0.00,10.00,250,1006.99
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.0,09-17-2019,07:00:00,24.4,90,1007.57,26.1,30.48,16.90,25.7,0.00,11.00,000,1002.40
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,09-17-2019,07:00:00,25.8,97,1007.86,26.4,33.27,5.30,25.9,0.10,7.00,000,1007.45
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,09-17-2019,07:00:00,25.4,97,1008.43,26.0,32.48,11.20,25.2,1.10,8.00,000,1005.65
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,09-17-2019,07:00:00,23.0,86,1009.49,25.5,28.07,19.30,24.6,0.00,10.00,000,1008.70
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.0,09-17-2019,07:00:00,24.7,98,1008.70,25.0,31.12,69.80,23.2,3.80,5.00,000,1008.24
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.0,09-17-2019,07:00:00,24.1,97,1009.24,24.5,29.93,7.80,24.0,4.40,6.00,000,1008.55
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1.9,09-17-2019,07:00:00,23.9,98,1008.99,24.2,29.66,2.60,24.2,0.60,7.00,130,1007.44
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,7.4,09-17-2019,07:00:00,23.1,94,1010.29,24.1,28.19,76.70,23.8,28.60,6.00,190,1009.36
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,09-17-2019,07:00:00,24.0,93,1009.44,25.2,29.89,1.40,24.2,0.00,12.00,000,1008.74
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,09-17-2019,07:00:00,23.2,97,1009.59,23.8,28.43,0.80,23.2,0.00,8.00,000,1008.79
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,3.7,09-17-2019,07:00:00,24.2,94,1009.04,25.2,30.15,0.20,24.5,0.00,10.00,060,1008.41
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,09-17-2019,07:00:00,24.0,96,1009.35,24.7,29.77,3.20,23.8,0.00,10.00,000,1008.94
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,09-17-2019,07:00:00,23.8,96,1012.39,24.5,29.41,0.50,24.0,0.00,5.00,000,1008.12
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,09-17-2019,07:00:00,23.2,98,1009.55,23.5,28.42,4.80,23.3,0.20,10.00,000,1007.91
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,09-17-2019,07:00:00,23.5,97,1009.57,24.1,28.96,14.30,23.5,0.00,8.00,000,1006.05
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,09-17-2019,07:00:00,24.4,97,1009.52,25.0,30.58,0.00,24.9,0.00,8.00,000,1008.15
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,09-17-2019,07:00:00,25.0,94,1008.62,26.0,31.65,8.80,24.3,0.00,10.00,000,1007.73
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,09-17-2019,07:00:00,24.1,98,1009.13,24.4,30.02,6.00,22.7,0.00,10.00,000,1005.53
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,09-17-2019,07:00:00,24.3,89,1009.12,26.3,30.32,3.80,25.2,0.00,10.00,000,1008.68
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,13.0,09-17-2019,07:00:00,23.8,76,1008.60,28.4,29.41,5.20,23.9,0.00,9.00,330,1007.61
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,14.8,09-17-2019,07:00:00,24.4,82,1009.01,27.9,30.64,0.00,27.3,0.00,10.00,290,1008.20
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,09-17-2019,07:00:00,24.1,97,1009.75,24.7,30.03,0.00,24.3,0.00,8.00,000,1007.92
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1.9,09-17-2019,07:00:00,23.8,87,1010.04,26.1,29.41,0.00,25.3,0.00,10.00,230,1009.28
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,3.7,09-17-2019,07:00:00,23.2,93,1010.18,24.4,28.45,0.20,23.3,0.00,10.00,240,1006.13
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,09-17-2019,07:00:00,23.8,96,1010.79,24.5,29.41,49.30,24.0,19.00,6.00,000,1010.10
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,09-17-2019,07:00:00,23.5,92,1009.73,25.0,29.00,0.00,23.2,0.00,10.00,000,1008.61
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,5.6,09-17-2019,07:00:00,23.6,97,1010.35,24.0,29.04,5.50,22.0,0.00,10.00,250,1007.39
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.0,09-17-2019,07:00:00,23.9,96,1009.07,24.6,29.59,0.70,24.1,0.00,10.00,000,1008.38
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.0,09-17-2019,07:00:00,23.2,94,1010.16,24.2,28.36,0.00,23.7,0.00,8.00,000,1005.99
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.0,09-17-2019,07:00:00,23.2,90,1009.70,25.0,28.48,0.00,.0,0.00,9.00,000,1009.10
