WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,VaporPressure,WindSpeed,DewPoint,LandVisibility,Rainfall24Hr,Rainfall,AirTemperature,StationPressure,WindDirection,RelativeHumidity
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1008.82,07-25-2019,01:00:00,28.64,3.7,23.3,5.00,8.00,1.80,24.8,988.07,240,92
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1010.39,07-25-2019,01:00:00,30.73,11.1,24.5,6.00,1.80,1.80,24.5,989.33,210,100
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1009.43,07-25-2019,01:00:00,31.72,3.7,25.0,9.00,25.90,0.00,27.6,1009.00,300,86
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1009.37,07-25-2019,01:00:00,28.67,0.0,23.3,6.00,17.10,0.00,25.4,1007.94,000,88
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1009.37,07-25-2019,01:00:00,31.12,0.0,24.7,7.00,10.00,0.00,25.0,1004.40,000,98
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1009.29,07-25-2019,01:00:00,28.53,3.7,23.3,10.00,0.20,0.00,27.5,1005.99,210,78
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1009.65,07-25-2019,01:00:00,30.18,0.0,24.2,10.00,0.10,0.00,26.8,1008.54,000,86
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1009.51,07-25-2019,01:00:00,33.41,0.0,25.9,8.00,17.50,0.10,27.6,1009.21,000,91
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1009.17,07-25-2019,01:00:00,29.58,0.0,23.9,10.00,0.30,0.00,27.2,1008.68,000,82
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1009.57,07-25-2019,01:00:00,30.56,13.0,24.4,10.00,0.01,0.01,28.0,1008.16,230,81
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1011.30,07-25-2019,01:00:00,31.31,0.0,24.8,10.00,6.10,0.50,25.1,1003.21,000,98
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1009.33,07-25-2019,01:00:00,33.29,0.0,25.8,6.00,3.50,0.00,27.4,1009.05,000,91
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1009.56,07-25-2019,01:00:00,32.36,0.0,25.4,10.00,0.00,0.00,27.5,1006.42,000,88
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1009.46,07-25-2019,01:00:00,32.36,5.6,25.4,10.00,1.20,0.00,27.5,1002.52,240,88
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1009.55,07-25-2019,01:00:00,30.84,0.0,24.6,8.00,2.20,0.00,26.0,1003.92,000,92
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1010.22,07-25-2019,01:00:00,32.48,0.0,25.4,8.00,33.00,0.00,26.0,1008.95,000,97
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1009.36,07-25-2019,01:00:00,32.45,0.0,25.4,11.00,34.20,0.00,27.4,1008.92,000,89
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1009.66,07-25-2019,01:00:00,29.38,0.0,23.7,10.00,0.50,0.00,25.5,997.31,000,90
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1009.48,07-25-2019,01:00:00,30.26,5.6,24.2,10.00,0.00,0.00,28.7,1008.77,240,77
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1009.49,07-25-2019,01:00:00,30.15,3.7,24.2,9.00,0.01,0.01,27.5,1007.05,060,82
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1008.90,07-25-2019,01:00:00,31.79,0.0,25.1,10.00,10.30,10.30,26.5,1008.38,000,92
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1009.40,07-25-2019,01:00:00,30.31,3.7,24.3,9.00,0.01,0.01,27.3,1004.24,270,84
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1009.50,07-25-2019,01:00:00,29.16,0.0,23.6,2.00,51.70,25.20,24.8,1009.08,000,93
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1009.37,07-25-2019,01:00:00,33.35,7.4,25.9,8.00,56.50,7.20,26.3,1006.59,230,98
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1009.79,07-25-2019,01:00:00,28.70,0.0,23.4,10.00,0.00,0.00,28.6,1009.00,000,73
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1009.64,07-25-2019,01:00:00,31.79,7.4,25.1,6.00,54.10,9.10,26.5,1009.18,070,92
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.44,07-25-2019,01:00:00,30.64,0.0,24.4,8.00,0.00,0.00,27.9,1009.76,000,82
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1010.04,07-25-2019,01:00:00,29.60,0.0,23.9,8.00,0.00,0.00,27.5,1008.51,000,81
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1011.13,07-25-2019,01:00:00,31.38,0.0,24.8,10.00,0.00,0.00,27.0,1010.21,000,88
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.96,07-25-2019,01:00:00,29.04,5.6,23.6,10.00,0.20,0.00,27.2,1010.27,300,81
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1011.24,07-25-2019,01:00:00,29.08,0.0,23.6,9.00,0.00,0.00,24.9,1010.44,000,92
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1011.00,07-25-2019,01:00:00,30.32,3.7,24.3,10.00,14.20,0.00,25.0,1010.36,210,96
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1011.05,07-25-2019,01:00:00,31.25,0.0,24.8,10.00,6.50,0.00,25.5,1010.65,000,96
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1013.22,07-25-2019,01:00:00,29.33,0.0,23.7,5.00,0.20,0.00,24.6,1008.95,000,95
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1011.61,07-25-2019,01:00:00,29.30,0.0,23.7,10.00,18.80,0.00,24.0,1009.98,000,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1011.52,07-25-2019,01:00:00,28.11,0.0,23.0,10.00,9.60,0.00,24.5,1008.00,000,91
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1011.31,07-25-2019,01:00:00,30.87,0.0,24.6,7.00,4.10,0.00,25.3,1009.94,000,96
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.92,07-25-2019,01:00:00,29.50,0.0,23.8,10.00,0.00,0.00,26.0,1010.03,000,88
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1010.85,07-25-2019,01:00:00,30.13,0.0,24.2,10.00,5.00,0.00,24.9,1007.25,000,96
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1010.94,07-25-2019,01:00:00,32.08,0.0,25.2,10.00,0.00,0.00,27.5,1010.50,000,87
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1010.56,07-25-2019,01:00:00,29.38,0.0,23.7,10.00,0.00,0.00,25.5,1009.56,000,90
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1011.08,07-25-2019,01:00:00,30.92,0.0,24.6,10.00,0.00,0.00,25.9,1010.26,000,93
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1011.51,07-25-2019,01:00:00,30.15,0.0,24.2,10.00,0.60,0.00,25.2,1009.68,000,94
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1011.10,07-25-2019,01:00:00,29.38,3.7,23.7,10.00,17.10,1.00,25.5,1010.35,190,90
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1011.61,07-25-2019,01:00:00,30.42,3.7,24.3,10.00,6.00,0.60,25.2,1007.57,250,95
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1012.05,07-25-2019,01:00:00,30.48,0.0,24.4,10.00,9.60,1.00,24.8,1010.92,000,97
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1011.87,07-25-2019,01:00:00,30.32,0.0,24.3,10.00,7.20,0.00,25.0,1008.92,000,96
