WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,WindSpeed,VaporPressure,RelativeHumidity,MeanSeaLevelPressure,DewPoint,StationPressure,WindDirection,Rainfall24Hr,Rainfall,LandVisibility
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,31.3,08-18-2019,13:00:00,7.4,32.10,70,1006.86,25.2,977.63,260,1.60,0.00,15.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,32.2,08-18-2019,13:00:00,0.0,32.82,68,1008.24,25.6,1001.05,000,0.00,0.00,10.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,32.0,08-18-2019,13:00:00,3.7,34.49,73,1006.85,26.4,987.29,230,33.70,0.00,13.00
48353,LOEI,เลย,เลย,17.45000,101.73333,31.7,08-18-2019,13:00:00,11.1,28.63,61,1007.17,23.3,978.98,270,0.70,0.00,15.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,31.7,08-18-2019,13:00:00,9.3,30.32,65,1007.54,24.3,987.69,230,12.90,0.00,6.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,31.8,08-18-2019,13:00:00,7.4,31.68,67,1007.52,25.0,986.14,240,1.00,0.00,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,32.0,08-18-2019,13:00:00,9.3,30.08,63,1007.39,24.1,988.23,200,2.10,0.00,15.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,31.5,08-18-2019,13:00:00,0.0,31.35,68,1007.88,24.8,991.38,000,0.20,0.00,12.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,30.5,08-18-2019,13:00:00,9.3,32.75,75,1008.14,25.6,990.92,270,0.20,0.00,12.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,31.9,08-18-2019,13:00:00,3.7,32.48,69,1006.76,25.4,981.42,260,22.30,0.00,10.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,32.0,08-18-2019,13:00:00,0.0,31.52,66,1008.97,24.9,1003.27,000,0.00,0.00,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,31.8,08-18-2019,13:00:00,11.1,31.68,67,1008.91,25.0,1002.80,240,0.00,0.00,12.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,32.3,08-18-2019,13:00:00,9.3,29.83,62,1008.63,24.0,992.45,180,10.80,0.00,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,29.3,08-18-2019,13:00:00,11.1,30.88,76,1008.00,24.6,985.83,270,0.00,0.00,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,31.5,08-18-2019,13:00:00,3.7,30.20,65,1009.14,24.2,994.94,290,0.00,0.00,9.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,30.8,08-18-2019,13:00:00,0.0,31.35,71,1008.78,24.8,992.57,000,0.00,0.00,12.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,31.5,08-18-2019,13:00:00,3.7,32.22,70,1008.97,25.3,1003.81,190,2.80,0.00,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,33.5,08-18-2019,13:00:00,3.7,31.16,60,1006.91,24.7,993.99,170,0.00,0.00,12.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,31.6,08-18-2019,13:00:00,3.7,29.55,64,1008.73,23.8,999.54,180,5.10,0.00,12.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,33.6,08-18-2019,13:00:00,11.1,27.34,53,1007.37,22.6,986.14,250,1.60,0.00,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,35.5,08-18-2019,13:00:00,0.0,30.10,52,1008.44,24.2,991.40,000,0.70,0.00,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,32.0,08-18-2019,13:00:00,9.3,29.22,61,1007.13,23.7,991.56,210,20.00,0.00,12.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,34.3,08-18-2019,13:00:00,1.9,28.18,52,1006.36,23.1,987.93,290,0.01,0.00,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,27.2,08-18-2019,13:00:00,0.0,29.31,81,1010.51,23.7,959.36,000,17.60,0.60,10.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,32.0,08-18-2019,13:00:00,3.7,31.52,66,1008.49,24.9,1004.59,150,30.60,0.00,10.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,23.6,08-18-2019,13:00:00,9.3,26.33,90,1009.34,21.9,914.66,210,2.50,1.30,6.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,31.7,08-18-2019,13:00:00,0.0,34.13,73,1007.92,26.3,992.17,000,14.50,0.00,10.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,34.0,08-18-2019,13:00:00,5.6,32.84,62,1008.58,25.6,1004.63,180,0.01,0.00,12.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,31.1,08-18-2019,13:00:00,3.7,28.84,64,1009.98,23.4,999.42,180,0.01,0.00,10.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,31.6,08-18-2019,13:00:00,7.4,29.27,63,1009.13,23.7,1007.23,180,0.00,0.00,10.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,35.0,08-18-2019,13:00:00,11.1,24.80,44,1007.37,21.0,987.04,240,0.00,0.00,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,31.5,08-18-2019,13:00:00,22.2,30.49,66,1007.87,24.4,990.45,230,71.30,0.00,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,32.5,08-18-2019,13:00:00,14.8,29.66,61,1007.67,23.9,991.79,200,10.00,0.00,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,32.5,08-18-2019,13:00:00,11.1,28.81,59,1008.39,23.4,994.59,230,2.70,0.00,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,31.8,08-18-2019,13:00:00,0.0,32.56,69,1009.33,25.5,994.71,000,9.60,0.00,10.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,33.2,08-18-2019,13:00:00,13.0,31.70,62,1009.74,25.0,995.32,230,0.00,0.00,10.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,32.8,08-18-2019,13:00:00,0.0,32.33,65,1008.77,25.3,1005.80,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",13.90,0.00,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,32.4,08-18-2019,13:00:00,5.6,30.03,62,1008.76,24.1,1000.93,230,2.20,0.00,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,32.9,08-18-2019,13:00:00,13.0,30.20,60,1009.20,24.2,1008.11,220,0.00,0.00,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,33.5,08-18-2019,13:00:00,0.0,27.71,54,1008.70,22.8,994.30,000,0.00,0.00,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,23.3,08-18-2019,13:00:00,5.6,23.20,81,1009.11,19.9,875.43,320,19.80,0.00,8.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,33.0,08-18-2019,13:00:00,7.4,30.69,61,1008.82,24.5,1003.04,220,2.00,0.00,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,34.5,08-18-2019,13:00:00,11.1,28.88,53,1009.30,23.5,1008.52,230,0.00,0.00,12.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.1,08-18-2019,13:00:00,14.8,30.82,68,1009.83,24.5,1009.39,210,0.00,0.00,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,30.0,08-18-2019,13:00:00,0.0,33.17,78,1010.35,25.8,999.12,000,7.50,0.00,6.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,33.5,08-18-2019,13:00:00,3.7,29.99,58,1009.40,24.1,1008.40,180,3.80,0.00,12.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,33.4,08-18-2019,13:00:00,5.6,28.92,56,1009.43,23.5,1007.64,180,8.70,0.00,10.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,32.5,08-18-2019,13:00:00,0.0,27.13,55,1009.06,22.4,1008.30,000,4.00,0.00,9.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,32.5,08-18-2019,13:00:00,16.7,28.81,59,1009.54,23.4,1008.84,200,0.01,0.00,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,33.5,08-18-2019,13:00:00,3.7,31.16,60,1009.23,24.7,1008.54,210,0.00,0.00,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,34.2,08-18-2019,13:00:00,11.1,25.74,48,1008.14,21.6,987.46,250,26.60,0.00,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,32.4,08-18-2019,13:00:00,5.6,29.75,61,1008.30,24.0,991.86,240,0.01,0.00,11.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,33.5,08-18-2019,13:00:00,3.7,32.05,62,1008.93,25.2,992.81,260,1.20,0.00,10.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,34.5,08-18-2019,13:00:00,11.1,26.88,49,1007.80,22.3,986.46,300,0.00,0.00,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,29.4,08-18-2019,13:00:00,14.8,28.04,68,1009.22,23.0,966.22,250,1.30,0.00,14.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,35.0,08-18-2019,13:00:00,5.6,26.19,47,1007.90,21.9,987.85,210,0.00,0.00,12.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,32.6,08-18-2019,13:00:00,11.1,32.49,66,1010.30,25.4,989.80,240,23.40,0.00,10.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,31.6,08-18-2019,13:00:00,13.0,31.56,68,1008.79,24.9,1008.36,160,0.00,0.00,11.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,32.8,08-18-2019,13:00:00,3.7,32.63,66,1009.32,25.5,1007.93,270,0.00,0.00,11.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,33.0,08-18-2019,13:00:00,0.0,32.16,64,1010.51,25.3,1005.66,000,1.40,0.00,10.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,34.4,08-18-2019,13:00:00,5.6,27.53,51,1008.95,22.7,1005.73,300,0.01,0.00,12.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,33.0,08-18-2019,13:00:00,5.6,28.40,56,1009.39,23.2,1008.30,290,0.01,0.00,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,32.7,08-18-2019,13:00:00,7.4,29.21,59,1009.45,23.7,1009.16,230,0.00,0.00,10.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,32.7,08-18-2019,13:00:00,9.3,28.65,58,1009.46,23.3,1008.78,200,0.00,0.00,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,33.0,08-18-2019,13:00:00,3.7,28.68,57,1009.19,23.3,1008.71,270,0.00,0.00,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,33.1,08-18-2019,13:00:00,16.7,28.04,55,1009.27,23.0,1007.88,250,0.00,0.00,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,33.0,08-18-2019,13:00:00,3.7,26.45,53,1011.40,22.0,1003.52,180,3.40,0.00,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,33.0,08-18-2019,13:00:00,5.6,29.83,59,1009.42,24.0,1009.15,290,0.00,0.00,12.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,31.0,08-18-2019,13:00:00,5.6,30.33,68,1009.82,24.3,1006.72,300,0.00,0.00,12.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,30.9,08-18-2019,13:00:00,13.0,29.85,67,1010.20,24.0,1003.32,240,0.00,0.00,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,34.3,08-18-2019,13:00:00,9.3,31.09,57,1009.27,24.7,1003.79,210,11.10,0.00,8.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,32.0,08-18-2019,13:00:00,14.8,31.52,66,1009.71,24.9,1000.53,210,0.00,0.00,12.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,33.1,08-18-2019,13:00:00,14.8,30.03,59,1010.14,24.1,1008.90,280,3.90,0.00,15.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,33.7,08-18-2019,13:00:00,18.5,34.61,66,1009.31,26.5,1008.88,150,0.00,0.00,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,33.0,08-18-2019,13:00:00,7.4,28.12,56,1009.46,23.0,997.41,220,0.00,0.00,10.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,31.3,08-18-2019,13:00:00,9.3,34.16,75,1009.67,26.3,1008.96,130,0.00,0.00,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,32.0,08-18-2019,13:00:00,7.4,32.99,69,1010.55,25.7,1008.15,220,0.00,0.00,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,31.5,08-18-2019,13:00:00,18.5,33.40,72,1010.45,25.9,1009.94,240,0.00,0.00,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,31.8,08-18-2019,13:00:00,11.1,29.67,63,1009.79,23.9,1004.70,170,0.00,0.00,12.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,32.3,08-18-2019,13:00:00,9.3,32.74,68,1010.06,25.6,1009.66,190,9.60,0.00,10.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,31.7,08-18-2019,13:00:00,11.1,33.24,71,1010.13,25.8,1007.39,200,0.00,0.00,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,32.5,08-18-2019,13:00:00,5.6,33.17,68,1010.47,25.8,1009.69,150,0.00,0.00,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,32.0,08-18-2019,13:00:00,3.7,33.29,70,1010.99,25.8,1010.54,300,6.20,0.00,10.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,30.3,08-18-2019,13:00:00,9.3,33.21,77,1010.30,25.8,1009.62,280,1.70,1.50,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,31.4,08-18-2019,13:00:00,5.6,26.94,59,1010.42,22.3,1008.91,300,0.00,0.00,10.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,32.0,08-18-2019,13:00:00,3.7,30.08,63,1011.45,24.1,1010.54,200,0.20,0.00,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,31.7,08-18-2019,13:00:00,5.6,32.35,69,1010.66,25.4,1009.98,110,0.00,0.00,12.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,34.0,08-18-2019,13:00:00,5.6,30.75,58,1010.54,24.5,1009.76,270,0.00,0.00,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,33.5,08-18-2019,13:00:00,5.6,29.41,57,1009.79,23.8,1009.17,040,0.00,0.00,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,36.1,08-18-2019,13:00:00,0.0,29.02,49,1010.20,23.5,1009.80,000,0.00,0.00,12.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,34.2,08-18-2019,13:00:00,0.0,27.13,50,1011.78,22.4,1007.65,000,0.00,0.00,8.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,33.4,08-18-2019,13:00:00,9.3,27.51,53,1010.22,22.7,1008.64,250,0.00,0.00,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,33.0,08-18-2019,13:00:00,0.0,31.57,63,1010.86,24.9,1007.44,000,0.00,0.00,12.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,32.6,08-18-2019,13:00:00,7.4,29.30,60,1010.17,23.7,1008.83,120,0.00,0.00,10.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,31.7,08-18-2019,13:00:00,0.0,26.15,56,1010.90,21.8,1010.03,000,0.00,0.00,15.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,33.5,08-18-2019,13:00:00,9.3,23.87,46,1010.03,20.3,1006.54,240,0.00,0.00,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,33.0,08-18-2019,13:00:00,0.0,32.16,64,1010.30,25.3,1009.87,000,0.00,0.00,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,32.2,08-18-2019,13:00:00,0.0,27.11,56,1010.35,22.4,1009.37,000,0.00,0.00,12.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,30.4,08-18-2019,13:00:00,11.1,32.84,76,1010.21,25.6,1009.40,260,0.00,0.00,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,33.5,08-18-2019,13:00:00,5.6,28.56,55,1010.38,23.3,1008.60,310,0.00,0.00,14.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,31.6,08-18-2019,13:00:00,9.3,33.32,72,1010.83,25.9,1010.08,020,0.30,0.00,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,32.9,08-18-2019,13:00:00,13.0,27.64,55,1010.29,22.7,1006.36,050,0.00,0.00,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,34.0,08-18-2019,13:00:00,0.0,28.43,53,1011.37,23.2,1010.70,000,0.00,0.00,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,33.2,08-18-2019,13:00:00,0.0,27.67,54,1010.28,22.8,1009.19,000,0.00,0.00,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,35.3,08-18-2019,13:00:00,0.0,28.22,49,1010.09,23.1,1007.24,000,0.00,0.00,12.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,33.7,08-18-2019,13:00:00,0.0,30.41,58,1010.11,24.3,1009.44,000,18.80,0.00,11.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,33.3,08-18-2019,13:00:00,13.0,26.20,51,1010.43,21.9,1006.38,340,10.60,0.00,10.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,32.0,08-18-2019,13:00:00,13.0,26.45,56,1010.52,22.0,1009.94,050,1.60,0.00,12.00
