WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall,MeanSeaLevelPressure,DewPoint,AirTemperature,StationPressure,LandVisibility,VaporPressure,Rainfall24Hr,WindSpeed,WindDirection
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,97,07-17-2019,22:00:00,0.00,1003.46,24.8,25.4,981.71,12.00,31.33,37.20,0.0,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,91,07-17-2019,22:00:00,0.00,1003.09,24.8,26.4,983.65,12.00,31.33,46.00,3.7,180
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,83,07-17-2019,22:00:00,0.00,1003.80,27.1,30.3,987.30,10.00,35.89,0.00,0.0,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,88,07-17-2019,22:00:00,0.00,1003.93,26.6,28.7,986.69,10.00,34.82,0.00,0.0,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,81,07-17-2019,22:00:00,0.00,1002.62,26.5,30.1,977.23,11.00,34.55,10.60,0.0,000
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,68,07-17-2019,22:00:00,0.00,1002.68,24.4,31.0,996.99,10.00,30.61,0.00,0.0,000
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,72,07-17-2019,22:00:00,0.00,1001.85,24.8,30.5,995.76,10.00,31.31,0.00,0.0,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,70,07-17-2019,22:00:00,0.00,1003.56,24.1,30.3,987.36,10.00,30.06,0.00,0.0,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,84,07-17-2019,22:00:00,0.00,1003.97,23.1,26.0,981.65,10.00,28.18,1.00,3.7,270
48376,TAK,ตาก,ตาก,16.87833,99.14333,67,07-17-2019,22:00:00,0.00,1004.21,22.3,29.1,989.96,10.00,26.95,0.00,5.6,260
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,60,07-17-2019,22:00:00,0.00,1003.03,21.5,30.1,986.89,10.00,25.60,0.00,7.4,240
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,74,07-17-2019,22:00:00,0.00,1002.87,25.5,30.6,997.72,10.00,32.67,0.00,0.0,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,69,07-17-2019,22:00:00,0.00,1001.96,24.6,31.0,989.01,10.00,30.90,0.00,0.0,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,67,07-17-2019,22:00:00,0.00,1003.17,24.4,31.4,994.02,12.00,30.57,0.00,0.0,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,57,07-17-2019,22:00:00,0.00,1002.88,22.5,32.0,981.64,10.00,27.27,2.90,3.7,150
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,57,07-17-2019,22:00:00,0.00,1002.48,21.9,31.5,985.32,10.00,26.32,2.20,5.6,230
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,78,07-17-2019,22:00:00,0.00,1003.21,25.2,29.5,987.57,10.00,32.13,0.00,0.0,000
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,69,07-17-2019,22:00:00,0.00,1002.06,25.1,31.5,983.55,10.00,31.93,1.30,0.0,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,87,07-17-2019,22:00:00,0.00,1006.58,22.4,24.8,955.24,7.00,27.10,0.00,0.0,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,84,07-17-2019,22:00:00,0.00,1002.87,27.4,30.4,998.97,8.00,36.41,0.00,7.4,160
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,94,07-17-2019,22:00:00,0.00,1006.02,20.1,21.2,910.93,4.00,23.52,2.70,7.4,200
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,79,07-17-2019,22:00:00,0.00,1003.10,26.2,30.3,987.35,6.00,34.09,0.00,3.7,180
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,75,07-17-2019,22:00:00,0.00,1003.36,26.1,31.0,999.39,10.00,33.81,0.00,0.0,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,75,07-17-2019,22:00:00,0.00,1004.68,24.5,29.5,994.12,8.00,30.72,0.00,0.0,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,72,07-17-2019,22:00:00,0.00,1004.07,24.5,30.1,1002.17,8.00,30.79,0.00,11.1,150
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,64,07-17-2019,22:00:00,0.00,1003.73,23.2,30.9,983.21,10.00,28.45,0.00,0.0,000
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,69,07-17-2019,22:00:00,0.00,1002.97,24.1,30.4,985.58,10.00,29.98,0.00,0.0,000
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,72,07-17-2019,22:00:00,0.00,1002.90,25.1,30.6,987.00,10.00,31.80,0.00,5.6,140
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,76,07-17-2019,22:00:00,0.00,1004.36,24.2,28.8,990.45,10.00,30.18,1.90,3.7,150
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,83,07-17-2019,22:00:00,0.00,1005.13,25.1,28.2,990.39,10.00,31.79,2.20,0.0,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,81,07-17-2019,22:00:00,0.00,1005.46,24.4,28.0,990.87,8.00,30.56,0.50,7.4,220
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,75,07-17-2019,22:00:00,0.00,1003.02,25.5,30.4,1000.05,10.00,32.55,0.00,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,75,07-17-2019,22:00:00,0.00,1003.35,24.5,29.5,995.49,7.00,30.72,0.00,0.0,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,73,07-17-2019,22:00:00,0.00,1004.75,24.4,29.8,1003.65,8.00,30.47,0.00,5.6,180
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,79,07-17-2019,22:00:00,0.00,1003.80,26.7,30.9,989.35,9.00,35.09,0.00,5.6,090
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,99,07-17-2019,22:00:00,0.00,1005.56,20.6,20.8,871.31,.10,24.31,2.20,11.1,190
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,78,07-17-2019,22:00:00,0.00,1004.13,25.9,30.1,998.32,10.00,33.38,0.00,5.6,210
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,79,07-17-2019,22:00:00,0.00,1005.69,26.8,31.0,1004.90,8.00,35.31,0.00,7.4,240
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,85,07-17-2019,22:00:00,0.00,1004.10,26.2,29.0,1003.66,10.00,33.99,0.00,9.3,230
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,89,07-17-2019,22:00:00,0.00,1006.00,24.6,26.5,994.69,6.00,30.97,0.00,0.0,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,69,07-17-2019,22:00:00,0.00,1004.34,23.4,29.6,1003.34,10.00,28.69,0.00,7.4,210
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,71,07-17-2019,22:00:00,0.00,1004.12,24.3,30.0,1002.32,9.00,30.31,0.00,3.7,190
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,65,07-17-2019,22:00:00,0.00,1004.36,22.1,29.5,1003.61,8.00,26.62,0.00,0.0,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,72,07-17-2019,22:00:00,0.00,1004.46,24.2,29.8,1003.76,10.00,30.19,0.00,9.3,200
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,76,07-17-2019,22:00:00,0.00,1004.83,25.5,30.3,1004.14,7.00,32.63,0.00,0.0,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,71,07-17-2019,22:00:00,0.00,1004.01,24.9,30.7,983.17,10.00,31.43,0.00,9.3,230
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,71,07-17-2019,22:00:00,0.00,1004.75,23.1,28.8,988.18,8.00,28.27,0.00,5.6,200
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,74,07-17-2019,22:00:00,0.00,1005.45,23.4,28.5,989.12,6.00,28.78,0.00,3.7,180
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,66,07-17-2019,22:00:00,0.00,1003.98,22.8,29.8,982.39,10.00,27.71,0.00,0.0,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,76,07-17-2019,22:00:00,0.00,1004.90,22.9,27.5,961.82,11.00,28.00,0.00,3.7,270
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,71,07-17-2019,22:00:00,0.00,1004.23,24.3,30.0,983.93,9.00,30.31,0.00,9.3,120
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,84,07-17-2019,22:00:00,0.00,1005.84,25.1,28.1,985.13,8.00,31.87,0.00,13.0,190
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,70,07-17-2019,22:00:00,0.00,1004.49,23.6,29.7,1004.06,10.00,29.16,0.80,3.7,270
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,84,07-17-2019,22:00:00,0.00,1005.12,24.1,27.0,1003.70,8.00,30.02,0.00,0.0,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,88,07-17-2019,22:00:00,0.00,1005.02,24.6,26.8,1000.09,7.00,31.00,0.00,0.0,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,66,07-17-2019,22:00:00,0.00,1004.65,22.7,29.9,1001.40,12.00,27.63,0.00,7.4,260
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,78,07-17-2019,22:00:00,0.00,1004.87,24.2,28.5,1003.77,10.00,30.15,0.00,1.9,250
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,70,07-17-2019,22:00:00,0.00,1004.95,24.4,30.4,1004.65,10.00,30.54,0.00,9.3,220
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,70,07-17-2019,22:00:00,0.00,1005.14,24.3,30.5,1004.66,10.00,30.46,0.00,0.0,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,70,07-17-2019,22:00:00,0.00,1004.89,24.1,30.3,1003.50,10.00,30.06,0.00,13.0,190
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,85,07-17-2019,22:00:00,0.00,1006.62,25.1,27.8,998.64,10.00,31.84,0.00,7.4,180
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,78,07-17-2019,22:00:00,0.00,1004.92,25.8,30.0,1004.64,10.00,33.17,0.00,5.6,270
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,75,07-17-2019,22:00:00,0.00,1005.00,24.5,29.5,1001.90,10.00,30.72,0.00,0.0,000
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,74,07-17-2019,22:00:00,0.00,1005.40,23.9,29.0,998.52,10.00,29.74,0.00,13.0,210
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,84,07-17-2019,22:00:00,0.00,1006.02,24.2,27.1,1000.43,7.00,30.20,2.10,0.0,000
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,77,07-17-2019,22:00:00,0.00,1005.19,23.2,27.6,1003.93,10.00,28.45,0.10,11.1,260
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,68,07-17-2019,22:00:00,0.00,1005.09,22.4,29.0,1004.66,11.00,27.03,0.01,11.1,330
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,74,07-17-2019,22:00:00,0.00,1005.77,22.4,27.4,993.54,8.00,27.03,0.00,0.0,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,74,07-17-2019,22:00:00,0.00,1005.43,23.4,28.5,1004.72,10.00,28.78,0.60,3.7,240
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,71,07-17-2019,22:00:00,0.00,1005.69,23.7,29.5,1003.28,10.00,29.33,0.00,11.1,230
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,75,07-17-2019,22:00:00,0.00,1005.51,24.8,29.8,1005.00,10.00,31.32,0.00,7.4,290
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,71,07-17-2019,22:00:00,0.00,1005.53,23.1,28.8,1000.41,10.00,28.27,0.00,1.9,250
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,87,07-17-2019,22:00:00,0.50,1006.01,26.4,28.8,1005.60,7.00,34.45,4.20,0.0,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,94,07-17-2019,22:00:00,12.80,1006.32,25.7,26.7,1003.54,8.00,33.02,12.80,0.0,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,78,07-17-2019,22:00:00,0.00,1006.05,22.9,27.2,1005.26,10.00,27.98,0.90,0.0,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,93,07-17-2019,22:00:00,1.00,1006.73,25.8,27.1,1006.27,6.00,33.26,72.70,7.4,060
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,92,07-17-2019,22:00:00,0.20,1007.01,23.5,25.0,1006.33,7.00,29.00,5.00,0.0,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,80,07-17-2019,22:00:00,0.00,1007.20,21.7,25.5,1005.67,7.00,26.02,3.40,0.0,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,89,07-17-2019,22:00:00,0.00,1008.47,23.1,25.0,1007.55,10.00,28.22,68.90,5.6,200
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,94,07-17-2019,22:00:00,0.00,1008.09,24.7,25.7,1007.40,9.00,31.08,22.00,7.4,290
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,97,07-17-2019,22:00:00,0.20,1008.46,24.3,24.9,1007.65,8.00,30.40,1.80,3.7,220
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,86,07-17-2019,22:00:00,0.00,1007.81,23.7,26.2,1007.18,10.00,29.33,7.00,0.0,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,88,07-17-2019,22:00:00,0.00,1008.38,23.5,25.6,1007.97,10.00,29.03,0.20,18.5,230
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,97,07-17-2019,22:00:00,2.90,1010.12,23.9,24.3,1005.86,6.00,29.57,9.20,0.0,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,98,07-17-2019,22:00:00,15.40,1009.36,24.5,24.8,1007.74,9.00,30.75,24.80,0.0,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,95,07-17-2019,22:00:00,3.40,1009.47,23.1,24.0,1005.95,7.00,28.27,4.70,0.0,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,91,07-17-2019,22:00:00,0.80,1009.17,22.2,23.7,1007.80,8.00,26.75,1.10,9.3,280
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,91,07-17-2019,22:00:00,6.00,1009.10,22.0,23.5,1008.21,8.00,26.42,18.70,0.0,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,99,07-17-2019,22:00:00,2.20,1009.31,22.8,23.0,1005.69,10.00,27.82,20.30,0.0,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,96,07-17-2019,22:00:00,14.40,1008.69,23.8,24.5,1008.25,8.00,29.41,39.40,0.0,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,95,07-17-2019,22:00:00,10.40,1008.01,22.5,23.4,1007.01,8.00,27.24,31.60,0.0,000
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,96,07-17-2019,22:00:00,8.20,1009.89,23.0,23.7,1009.07,10.00,28.01,15.80,14.8,270
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,96,07-17-2019,22:00:00,10.90,1010.25,22.8,23.5,1008.41,8.00,27.66,38.80,0.0,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,74,07-17-2019,22:00:00,0.00,1009.18,23.7,28.9,1008.43,10.00,29.27,0.00,16.7,250
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,79,07-17-2019,22:00:00,0.00,1009.01,23.8,27.7,1005.02,10.00,29.44,1.00,7.4,240
48570,SATUN,สตูล,สตูล,6.65000,100.08333,79,07-17-2019,22:00:00,0.00,1009.78,22.7,26.7,1009.09,10.00,27.60,1.30,11.1,310
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,81,07-17-2019,22:00:00,0.00,1008.74,24.0,27.6,1007.63,10.00,29.79,0.00,0.0,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,88,07-17-2019,22:00:00,0.00,1008.84,25.1,27.2,1005.92,10.00,31.77,0.00,0.0,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,81,07-17-2019,22:00:00,0.00,1007.84,25.2,28.8,1007.15,10.00,32.14,0.00,0.0,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,87,07-17-2019,22:00:00,0.00,1009.07,25.2,27.5,1004.95,8.00,32.08,0.00,0.0,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,71,07-17-2019,22:00:00,0.00,1008.12,22.6,28.5,1007.54,10.00,27.44,0.00,0.0,000
